50Traced_NONETRACED_SUM_RAW_LSA_82_MAX,Associated
0.3727,NO
0.2481,NO
0.503,NO
0.3807,NO
0.6012,NO
0.5711,NO
0.3927,NO
0.1002,NO
0.5136,NO
1.3761,YES
0.4694,NO
1.8097,YES
0.4203,NO
0.5669,NO
0.3614,NO
0.1142,NO
0.4782,NO
0.1701,NO
0.3782,NO
0.3255,NO
0.4307,NO
0.9636,YES
1.3623,YES
0.8928,YES
0.5435,YES
0.4144,NO
1.4476,YES
0.4932,NO
2.2601,YES
1.2833,YES
0.6885,NO
0.5697,NO
0.5559,NO
1.0452,NO
2.2164,YES
1.7154,YES
0.5855,NO
0.2742,NO
0.5985,NO
0.2769,NO
0.4131,NO
0.282,NO
0.1551,NO
0.6953,YES
0.7051,NO
2.5023,YES
0.6742,NO
2.3479,YES
0.4161,NO
0.2724,NO
0.4957,NO
0.2561,NO
0.1498,NO
0.8228,NO
0.4975,NO
0.3174,NO
0.2514,NO
0.1843,NO
0.6478,NO
0.7841,NO
1.1848,NO
0.8076,NO
0.5188,NO
0.1353,NO
0.7664,NO
1.9369,YES
0.4536,NO
3.0147,YES
0.4869,NO
0.6719,NO
0.3221,NO
0.1919,NO
1.1607,NO
0.3175,NO
0.9045,NO
0.2387,NO
0.8203,NO
1.2673,YES
2.8456,YES
2.4115,YES
1.4354,YES
0.5843,NO
2.0811,YES
0.5268,NO
2.14,YES
1.1427,YES
0.5494,NO
0.4259,NO
0.4251,NO
0.8357,NO
1.5871,YES
0.9883,YES
0.5734,NO
0.2958,NO
0.4866,NO
0.4456,NO
0.4111,NO
0.5441,NO
0.3119,NO
0.4011,YES
0.5606,NO
1.7891,YES
0.5163,NO
1.6301,YES
0.3254,NO
0.2367,NO
0.5604,NO
0.3531,NO
0.1912,NO
0.6216,NO
0.5567,NO
0.2375,NO
0.4643,NO
0.249,NO
0.6476,YES
1.8081,YES
2.2569,YES
1.0859,YES
0.1265,NO
0.0864,NO
0.6338,YES
0.1576,NO
0.4655,YES
0.2391,NO
0.2165,NO
0.1934,NO
0.1934,NO
0.0958,NO
1.9985,YES
0.1318,NO
2.6161,YES
0.3052,NO
1.5967,YES
0.2937,NO
0.5044,NO
0.3998,NO
0.1414,NO
0.379,YES
0.2578,NO
0.3672,YES
0.314,NO
0.3686,NO
0.3578,NO
0.5299,NO
0.7758,NO
0.4295,NO
0.5624,NO
0.2942,NO
0.7079,NO
1.9394,YES
0.3421,NO
3.0341,YES
0.2733,NO
0.3476,NO
0.1689,NO
0.1207,NO
0.6133,NO
0.423,NO
0.3577,NO
0.5229,NO
0.5938,NO
1.3090000000000002,YES
2.7951,YES
2.314,YES
1.3982,YES
0.4989,NO
2.0084,YES
0.5168,NO
0.4094,NO
0.1417,NO
0.6228,YES
2.1674,YES
2.9348,YES
0.8071,YES
0.4306,NO
0.1624,NO
0.4648,YES
0.8715,NO
0.2668,YES
1.0822,NO
0.6002,NO
0.7331,NO
0.3527,NO
0.1888,NO
