50Traced_NONETRACED_MAX_MULTI_LSA_57_MAX,Associated
0.32,NO
0.0713,NO
0.2809,NO
0.5644,NO
0.0677,NO
0.2707,NO
0.3056,NO
0.087,NO
0.3138,NO
0.9462,YES
0.2289,NO
1.0,YES
0.2427,NO
0.35200000000000004,NO
0.2223,NO
0.1596,NO
0.4327,NO
0.1443,NO
0.3529,NO
0.2179,NO
0.4378,NO
0.83,YES
1.0,YES
0.7677,YES
1.0,YES
0.314,NO
1.0,YES
0.2458,NO
1.0,YES
0.408,YES
0.3362,NO
0.2304,NO
0.2165,NO
0.2069,NO
1.0,YES
0.7333,YES
0.1873,NO
0.1692,NO
0.1276,NO
0.1102,NO
0.301,NO
0.3144,NO
0.301,NO
1.0,YES
0.2165,NO
0.904,YES
0.1359,NO
1.0,YES
0.1607,NO
0.1939,NO
0.2289,NO
0.1597,NO
0.1789,NO
0.228,NO
0.1939,NO
0.2069,NO
0.32,NO
0.1534,NO
0.5722,NO
0.5644,NO
0.2813,NO
0.6333,NO
0.3056,NO
0.0892,NO
0.3138,NO
0.9462,YES
0.1603,NO
1.0,YES
0.205,NO
0.35200000000000004,NO
0.2136,NO
0.294,NO
0.4327,NO
0.1431,NO
0.3844,NO
0.294,NO
0.4378,NO
1.0,YES
1.0,YES
0.8236,YES
1.0,YES
0.314,NO
1.0,YES
0.2458,NO
1.0,YES
0.408,YES
0.3559,NO
0.3559,NO
0.1989,NO
0.3559,NO
1.0,YES
0.2375,YES
0.3559,NO
0.2069,NO
0.3559,NO
0.1102,NO
0.3845,NO
0.3845,NO
0.3667,NO
1.0,YES
0.1909,NO
0.2891,YES
0.3559,NO
1.0,YES
0.3559,NO
0.2251,NO
0.2289,NO
0.1854,NO
0.2187,NO
0.2862,NO
0.2251,NO
0.1724,NO
0.27,NO
0.1089,NO
0.6191,YES
1.0,YES
0.7917,YES
0.6191,YES
0.2784,NO
0.0821,NO
0.6191,YES
0.1395,NO
0.6191,YES
0.1443,NO
0.3877,NO
0.3569,NO
0.3877,NO
0.09699999999999999,NO
1.0,YES
0.1669,NO
1.0,YES
0.1882,NO
1.0,YES
0.254,NO
0.28600000000000003,NO
0.4471,NO
0.1856,NO
0.4224,YES
0.2751,NO
0.3189,YES
0.2912,NO
0.111,NO
0.5722,NO
0.5352,NO
0.3132,NO
0.6333,NO
0.272,NO
0.1225,NO
0.2237,NO
0.8971,YES
0.2756,NO
0.9187,YES
0.3166,NO
0.3375,NO
0.3166,NO
0.272,NO
0.3984,NO
0.1727,NO
0.3844,NO
0.272,NO
0.2968,NO
1.0,YES
0.9481,YES
0.9187,YES
0.9481,YES
0.2372,NO
1.0,YES
0.2333,NO
0.3011,NO
0.11599999999999999,NO
1.0,YES
1.0,YES
0.5589,YES
1.0,YES
0.1673,NO
0.1327,NO
1.0,YES
0.2598,NO
1.0,YES
0.1459,NO
0.3031,NO
0.3522,NO
0.2375,NO
0.1567,NO
0.6115,YES
0.141,NO
1.0,YES
0.304,NO
1.0,YES
0.3369,NO
0.462,NO
0.2228,NO
0.2229,NO
0.5820000000000001,YES
0.4444,NO
0.4367,YES
0.32,NO
0.0745,NO
0.5722,NO
0.42700000000000005,NO
0.2813,NO
0.6333,NO
0.3096,NO
0.2271,NO
0.42700000000000005,NO
0.8204,YES
0.42700000000000005,NO
1.0,YES
0.4018,NO
0.4018,NO
0.2493,NO
0.1944,NO
0.4327,NO
0.2699,NO
0.42700000000000005,NO
0.2256,NO
0.4378,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.314,NO
1.0,YES
0.2626,NO
0.2944,NO
0.1339,NO
0.5722,NO
0.4117,NO
0.2813,NO
0.6333,NO
0.2831,NO
0.1133,NO
0.2886,NO
0.7547,YES
0.3271,NO
1.0,YES
0.1725,NO
0.3673,NO
0.1078,NO
0.204,NO
0.3984,NO
0.188,NO
0.3844,NO
0.1656,NO
0.4027,NO
1.0,YES
0.9199,YES
1.0,YES
1.0,YES
0.3263,NO
1.0,YES
0.2261,NO
0.2762,NO
0.0994,NO
0.4809,NO
0.5077,NO
0.2688,NO
0.4809,NO
0.2435,NO
0.1204,NO
0.4809,NO
0.8511,YES
0.4809,NO
0.8232,YES
0.3649,NO
0.3166,NO
0.3649,NO
0.2435,NO
0.3827,NO
0.1548,NO
0.4809,NO
0.2435,NO
0.4809,NO
0.8232,YES
0.8995,YES
0.8232,YES
0.8995,YES
0.2799,NO
0.8995,YES
0.2512,NO
0.3071,NO
0.1045,NO
0.5722,NO
0.5644,NO
0.2813,NO
0.6333,NO
0.2562,NO
0.1473,NO
0.2324,NO
0.9462,YES
0.0979,NO
0.7406,YES
0.3435,NO
0.35200000000000004,NO
0.2131,NO
0.2562,NO
0.3984,NO
0.1964,NO
0.3847,NO
0.2562,NO
0.3847,NO
1.0,YES
1.0,YES
0.8236,YES
1.0,YES
0.2502,NO
1.0,YES
0.182,NO
0.2433,NO
0.1504,NO
1.0,YES
0.5061,YES
0.2829,YES
1.0,YES
0.3016,NO
0.1861,NO
0.9273,YES
0.2509,NO
1.0,YES
0.1983,NO
0.4238,NO
0.3191,NO
0.3885,NO
0.2771,NO
0.4049,YES
0.2682,NO
0.516,YES
0.2433,NO
0.5061,YES
0.5358,NO
0.3547,NO
0.6069,NO
0.2153,NO
0.6549,YES
0.5358,NO
1.0,YES
0.3183,NO
0.1547,NO
1.0,YES
0.2918,NO
0.2297,NO
1.0,YES
0.3518,NO
0.1097,NO
0.9273,YES
0.2146,NO
1.0,YES
0.1547,NO
0.5231,NO
0.3965,NO
0.5231,NO
0.1965,NO
0.4049,NO
0.1902,NO
0.4144,NO
0.1725,NO
0.2637,NO
0.1991,NO
0.3547,NO
0.4676,NO
0.2166,NO
0.62,YES
0.3359,NO
0.9027,YES
0.3011,NO
0.11599999999999999,NO
1.0,YES
1.0,YES
0.6940000000000001,YES
1.0,YES
0.2784,NO
0.1725,NO
1.0,YES
0.2917,NO
1.0,YES
0.1407,NO
0.4651,NO
0.4308,NO
0.4651,NO
0.2544,NO
1.0,YES
0.2299,NO
1.0,YES
0.304,NO
1.0,YES
0.6231,NO
0.462,NO
0.5131,NO
0.2229,NO
0.5820000000000001,YES
0.6231,NO
0.6062,YES
0.1636,NO
0.1646,NO
0.8554,YES
0.5554,NO
0.2459,NO
0.6838,YES
0.2676,NO
0.153,NO
0.6706,YES
0.3096,NO
0.8554,YES
0.3773,NO
0.3625,NO
0.273,NO
0.2898,NO
0.1895,NO
0.5554,NO
0.1834,NO
0.4421,NO
0.1664,NO
0.44,NO
0.5177,NO
0.3773,NO
0.4264,NO
0.3773,NO
0.4638,YES
0.5177,NO
0.8554,YES
0.3229,NO
0.11599999999999999,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2784,NO
0.1327,NO
1.0,YES
0.1373,NO
1.0,YES
0.1827,NO
0.3031,NO
0.3569,NO
0.1785,NO
0.1567,NO
1.0,YES
0.1669,NO
1.0,YES
0.304,NO
1.0,YES
0.3369,NO
0.462,NO
0.4471,NO
0.2229,NO
0.5820000000000001,YES
0.4444,NO
0.4367,YES
0.9153,YES
0.0976,YES
0.3634,NO
0.3389,NO
0.1894,NO
0.3389,NO
1.0,YES
0.6779999999999999,YES
0.3389,NO
0.1151,NO
0.3389,NO
0.067,NO
0.4028,NO
0.3053,NO
0.4028,NO
1.0,YES
0.1676,NO
0.904,YES
0.3389,NO
0.5838,YES
0.3389,NO
0.2457,NO
0.2104,NO
0.2024,NO
0.1193,NO
0.275,NO
0.2457,NO
0.2103,NO
0.3527,NO
0.1531,NO
1.0,YES
0.5502,YES
0.3075,YES
1.0,YES
0.3898,NO
0.1228,NO
0.9051,YES
0.2378,NO
0.9043,YES
0.1713,NO
0.4413,NO
0.42,NO
0.2606,NO
0.2771,NO
0.4013,YES
0.2682,NO
0.5502,YES
0.2433,NO
0.5502,YES
0.4779,NO
0.3092,NO
0.6069,NO
0.24,NO
0.6869,YES
0.4779,NO
1.0,YES
0.3011,NO
0.1291,NO
1.0,YES
1.0,YES
0.5589,YES
1.0,YES
0.3433,NO
0.1672,NO
1.0,YES
0.4565,NO
1.0,YES
0.4324,NO
0.3247,NO
0.3522,NO
0.21600000000000003,NO
0.2771,NO
0.4942,YES
0.2682,NO
1.0,YES
0.304,NO
1.0,YES
0.4324,NO
0.4825,NO
0.6069,NO
0.4825,NO
0.5922,YES
0.4825,NO
0.6773,YES
0.207,NO
0.1291,NO
1.0,YES
0.4498,YES
0.2514,YES
0.728,YES
0.3433,NO
0.1622,NO
0.8116,YES
0.3543,NO
1.0,YES
0.4318,NO
0.2758,NO
0.2076,NO
0.21600000000000003,NO
0.2034,NO
0.3273,YES
0.1975,NO
0.4498,YES
0.1773,NO
0.4498,YES
0.2958,NO
0.4318,NO
0.4418,NO
0.4318,NO
0.5544,YES
0.4318,NO
0.6773,YES
0.2582,NO
0.1451,NO
1.0,YES
0.5636,YES
0.315,YES
1.0,YES
0.3195,NO
0.1263,NO
0.7882,YES
0.2302,NO
0.9648,YES
0.2806,NO
0.4412,NO
0.3344,NO
0.4412,NO
0.2771,NO
0.3442,YES
0.2682,NO
0.5636,YES
0.2433,NO
0.5636,YES
0.4462,NO
0.3015,NO
0.6069,NO
0.2806,NO
0.5922,YES
0.4462,NO
0.9648,YES
0.3011,NO
0.11599999999999999,NO
1.0,YES
1.0,YES
0.5962,YES
1.0,YES
0.2784,NO
0.1327,NO
1.0,YES
0.3405,NO
1.0,YES
0.415,NO
0.3575,NO
0.3569,NO
0.3575,NO
0.1881,NO
1.0,YES
0.17,NO
1.0,YES
0.304,NO
1.0,YES
0.3369,NO
0.462,NO
0.4471,NO
0.415,NO
0.5820000000000001,YES
0.4444,NO
0.4367,YES
