50Traced_NONETRACED_SUM_RAW_LSA_36_MAX,Associated
0.4156,NO
0.4117,NO
0.3599,NO
0.8113,NO
0.619,NO
0.3624,NO
0.5662,NO
0.4744,NO
0.7392,NO
0.8258,YES
0.4653,NO
0.5233,YES
0.413,NO
0.509,NO
0.3095,NO
0.3285,NO
0.4146,NO
0.3693,NO
0.546,NO
0.442,NO
0.3642,NO
1.7494,YES
1.0581,YES
0.9434,YES
0.5233,YES
0.2101,NO
1.1351,YES
0.3892,NO
0.8983,YES
1.3873,YES
0.349,NO
0.4435,NO
0.2733,NO
0.2719,NO
0.5945,YES
1.5330000000000001,YES
0.4197,NO
0.1416,NO
0.2174,NO
0.1259,NO
0.1797,NO
0.3011,NO
0.1551,NO
0.5757,YES
0.2451,NO
0.6658,YES
0.2759,NO
1.2709,YES
0.1059,NO
0.3934,NO
0.2826,NO
0.172,NO
0.1729,NO
0.3071,NO
0.307,NO
0.1511,NO
0.4317,NO
0.3216,NO
0.1648,NO
0.7479,NO
0.73,NO
0.5053,NO
0.6722,NO
0.2758,NO
1.0616,NO
2.4254,YES
0.7466,NO
1.4528,YES
0.3362,NO
0.7201,NO
0.2231,NO
0.3818,NO
0.2639,NO
0.3561,NO
0.4095,NO
0.2651,NO
0.2202,NO
2.8442,YES
1.6883,YES
2.5416,YES
1.4519,YES
0.4485,NO
2.0719,YES
0.4659,NO
1.524,YES
1.2208,YES
0.3356,NO
0.3505,NO
0.1884,NO
0.431,NO
1.2371,YES
2.1859,YES
0.4425,NO
0.157,NO
0.41700000000000004,NO
0.1448,NO
0.2289,NO
0.3175,NO
0.2075,NO
1.2058,YES
0.2412,NO
1.237,YES
0.1226,NO
1.4545,YES
0.1538,NO
0.1827,NO
0.2174,NO
0.11800000000000001,NO
0.1078,NO
0.33899999999999997,NO
0.2884,NO
0.4432,NO
0.4628,NO
0.0431,NO
1.3642,YES
3.6867,YES
3.4389,YES
0.8244,YES
0.307,NO
0.0256,NO
2.0035,YES
0.21100000000000002,NO
0.8155,YES
0.2057,NO
0.4522,NO
0.4318,NO
0.2051,NO
0.3012,NO
1.9732,YES
0.2702,NO
4.1325,YES
0.1417,NO
2.0885,YES
0.6105,NO
0.6025,NO
0.6497,NO
0.28300000000000003,NO
1.0148,YES
0.5639,NO
0.758,YES
0.2621,NO
0.2912,NO
0.6093,NO
1.0834,NO
0.7706,NO
0.6324,NO
0.4179,NO
0.2271,NO
1.3379,NO
1.3115,YES
0.9631,NO
0.7673,YES
0.2389,NO
0.4508,NO
0.1689,NO
0.2127,NO
0.5709,NO
0.2757,NO
0.7308,NO
0.3738,NO
0.4773,NO
2.1313,YES
1.3632,YES
1.5301,YES
0.8199,YES
0.5533,NO
1.4147,YES
0.7647,NO
0.452,NO
0.2627,NO
0.426,YES
2.0598,YES
1.7234,YES
0.5134,YES
0.4021,NO
0.3252,NO
0.9631,YES
0.2598,NO
0.4113,YES
0.1459,NO
0.3058,NO
0.2619,NO
0.2375,NO
0.2999,NO
0.8483,YES
0.3147,NO
1.9846,YES
0.2926,NO
0.9077,YES
0.2565,NO
0.2206,NO
0.379,NO
0.1698,NO
0.5078,YES
0.348,NO
0.3245,YES
0.3726,NO
0.3155,NO
0.3522,NO
0.6165,NO
0.4378,NO
0.9287,NO
0.4374,NO
0.2161,NO
1.1427,NO
2.4743,YES
0.7672,NO
1.5568,YES
0.5309,NO
0.9232,NO
0.3403,NO
0.3009,NO
0.3391,NO
0.3211,NO
0.3698,NO
0.3731,NO
0.3573,NO
2.7044,YES
2.0907,YES
2.4067,YES
1.5087,YES
