50Traced_NONETRACED_MAX_MULTI_VSM_15_MEDIAN,Associated
0.3071,NO
0.1164,NO
0.2289,NO
0.5644,NO
0.2804,NO
0.1844,NO
0.2159,NO
0.2852,NO
0.2137,NO
1.0,YES
0.1516,NO
0.7677,YES
0.2918,NO
0.35200000000000004,NO
0.3555,NO
0.2574,NO
0.36,NO
0.2574,NO
0.1995,NO
0.2852,NO
0.3078,NO
1.0,YES
1.0,YES
0.6467,YES
1.0,YES
0.2502,NO
0.3569,YES
0.2289,NO
1.0,YES
0.2821,YES
0.3362,NO
0.2796,NO
0.1563,NO
0.2444,NO
0.5234,YES
1.0,YES
0.1873,NO
0.1453,NO
0.2113,NO
0.1189,NO
0.1797,NO
0.3082,NO
0.1551,NO
1.0,YES
0.2796,NO
1.0,YES
0.2796,NO
1.0,YES
0.2796,NO
0.1212,NO
0.2104,NO
0.1235,NO
0.0802,NO
0.228,NO
0.1724,NO
0.3034,NO
0.3071,NO
0.1534,NO
0.3097,NO
0.5644,NO
0.3069,NO
0.4162,NO
0.3056,NO
0.294,NO
0.2594,NO
1.0,YES
0.2297,NO
0.7613,YES
0.2522,NO
0.35200000000000004,NO
0.2136,NO
0.2431,NO
0.4327,NO
0.1268,NO
0.3753,NO
0.294,NO
0.3753,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2866,NO
0.5682,YES
0.2487,NO
0.5161,YES
0.2106,YES
0.3356,NO
0.1662,NO
0.1507,NO
0.2306,NO
0.3908,YES
0.5161,YES
0.2222,NO
0.316,NO
0.2479,NO
0.316,NO
0.2289,NO
0.2088,NO
0.2075,NO
0.4268,YES
0.1909,NO
0.3239,YES
0.2013,NO
0.5161,YES
0.2013,NO
0.316,NO
0.2251,NO
0.1854,NO
0.316,NO
0.2455,NO
0.1746,NO
0.2862,NO
0.3229,NO
0.08199999999999999,NO
0.5033,YES
1.0,YES
1.0,YES
0.6382,YES
0.344,NO
0.2011,NO
0.5227,YES
0.2147,NO
0.4491,YES
0.2147,NO
0.2986,NO
0.3877,NO
0.2412,NO
0.1663,NO
1.0,YES
0.1652,NO
1.0,YES
0.2011,NO
1.0,YES
0.3118,NO
