50Traced_NONETRACED_SUM_SINGLE_VSM_76_MAX,Associated
0.5555,NO
0.7424,NO
1.3071,NO
0.2225,NO
0.4737,NO
0.7113,NO
1.2371,NO
0.1485,NO
1.1840000000000002,NO
2.4777,YES
0.6443,NO
2.9429,YES
1.1027,NO
0.973,NO
1.1208,NO
0.5051,NO
1.3035,NO
0.3834,NO
0.4195,NO
0.8544,NO
0.655,NO
2.4496,YES
2.9313,YES
3.1478,YES
2.4911,YES
1.1318,NO
2.8074,YES
1.1887,NO
2.4256,YES
1.1996,YES
0.9289,NO
0.4823,NO
0.4749,NO
0.2881,NO
2.6637,YES
1.3471,YES
0.2216,NO
0.3426,NO
0.4361,NO
0.3249,NO
0.4662,NO
0.5237,NO
0.8041,NO
2.4102,YES
0.6758,NO
1.6396,YES
0.4668,NO
2.5397,YES
0.4953,NO
0.2143,NO
0.556,NO
0.2419,NO
0.3138,NO
0.3791,NO
0.4678,NO
0.6111,NO
0.3448,NO
0.6829999999999999,NO
1.2635,NO
0.9696,NO
1.0898,NO
0.7921,NO
1.1311,NO
0.1631,NO
1.2457,NO
2.9625,YES
0.7261,NO
3.3891,YES
0.7994,NO
0.7352,NO
0.7408,NO
0.2536,NO
1.7958,NO
0.3084,NO
1.2790000000000001,NO
0.4935,NO
1.2279,NO
3.073,YES
3.5622,YES
3.6393,YES
2.8714,YES
1.335,NO
3.1665,YES
1.5245,NO
2.3269,YES
1.7069999999999999,YES
3.3194,NO
0.4368,NO
0.7545,NO
2.4581,NO
2.937,YES
1.329,YES
2.9582,NO
0.8055,NO
2.7994,NO
1.4073,NO
2.0408,NO
1.8841,NO
2.0463,NO
2.5168,YES
1.4935,NO
1.5821,YES
0.9672,NO
3.0992,YES
0.7113,NO
0.8113,NO
1.4046,NO
1.465,NO
1.6465,NO
2.6129,NO
2.0105,NO
2.8864,NO
0.2945,NO
0.7537,NO
2.0038,YES
4.5659,YES
3.9673,YES
1.8755,YES
0.5775,NO
0.02,NO
1.2617,YES
0.8031,NO
2.0871,YES
0.5737,NO
0.4545,NO
1.054,NO
0.8191,NO
0.3558,NO
4.5775,YES
0.2276,NO
4.2764,YES
0.721,NO
3.8888,YES
0.5507,NO
0.9054,NO
0.9709,NO
0.5583,NO
1.7051,YES
0.47600000000000003,NO
1.7729,YES
0.9682,NO
0.7895,NO
1.4855,NO
0.7426,NO
0.8249,NO
0.9001,NO
1.7958,NO
0.6036,NO
1.3982,NO
3.0579,YES
0.7571,NO
3.5678,YES
0.7376,NO
0.6864,NO
0.785,NO
0.9052,NO
1.6966,NO
0.8271,NO
1.1225,NO
1.0847,NO
0.8798,NO
3.1404,YES
3.6881,YES
3.6764,YES
3.0369,YES
1.4624,NO
3.4766,YES
1.4082,NO
0.2413,NO
1.0099,NO
1.6364,YES
3.8214,YES
3.3975,YES
1.4066,YES
0.8959999999999999,NO
0.0604,NO
1.3849,YES
1.3665,NO
1.581,YES
1.4026,NO
1.0086,NO
1.4506,NO
1.1911,NO
0.2996,NO
4.2726,YES
0.1968,NO
3.9165,YES
0.4702,NO
3.1864,YES
1.3527,NO
1.6412,NO
1.4761,NO
1.2471,NO
1.5447,YES
1.5248,NO
1.6745,YES
1.0021,NO
0.5203,NO
2.3014,NO
0.2821,NO
0.5207,NO
1.5978,NO
1.5882,NO
0.642,NO
2.0607,NO
2.35,YES
1.6665,NO
2.8646,YES
0.5619,NO
0.4173,NO
0.5583,NO
0.8405,NO
1.1293,NO
0.812,NO
0.7644,NO
1.301,NO
0.7523,NO
2.5127,YES
