50Traced_NONETRACED_SUM_SINGLE_VSM_35_MEDIAN,Associated
0.3562,NO
0.5623,NO
0.5454,NO
0.9692,NO
0.6393,NO
0.7781,NO
0.6931,NO
0.7336,NO
0.2864,NO
2.3102,YES
0.8776,NO
1.9823,YES
0.2427,NO
0.2231,NO
0.258,NO
0.345,NO
0.6733,NO
0.4351,NO
0.7709,NO
0.893,NO
1.0204,NO
1.9318,YES
2.0401,YES
2.3694,YES
1.9846,YES
0.4348,NO
1.8373,YES
0.5854,NO
1.1773,YES
1.6587,YES
1.2191,NO
1.248,NO
1.0539,NO
0.9314,NO
2.415,YES
1.9283,YES
1.0694,NO
0.7899,NO
1.2879,NO
0.8909999999999999,NO
1.0402,NO
0.9554,NO
1.187,NO
1.3783,YES
1.2969,NO
1.2319,YES
1.561,NO
2.0506,YES
1.2008,NO
1.0766,NO
0.7084,NO
0.9608,NO
1.08,NO
1.2244,NO
0.9736,NO
1.5496,NO
0.2474,NO
0.2704,NO
0.45,NO
1.0456,NO
1.0637,NO
0.7391,NO
0.5679,NO
0.5726,NO
0.4733,NO
2.8817,YES
1.1441,NO
2.3885,YES
0.3649,NO
0.386,NO
0.3494,NO
0.2575,NO
0.9394,NO
0.1969,NO
1.0838,NO
0.6733,NO
1.2336,NO
2.8601,YES
2.8486,YES
3.0060000000000002,YES
2.5521,YES
0.5667,NO
2.8155,YES
0.9158,NO
1.9114,YES
1.7243,YES
1.0395,NO
0.9199,NO
0.4045,NO
1.1728,NO
3.1585,YES
2.6933,YES
0.9884,NO
0.7373,NO
1.3319,NO
0.8434,NO
1.6542,NO
1.6552,NO
1.91,NO
1.5112,YES
0.4929,NO
1.9535,YES
1.0163,NO
2.8674,YES
0.6081,NO
0.7658,NO
0.4884,NO
1.3431,NO
1.1787,NO
1.0687,NO
0.4239,NO
1.8904,NO
0.5408,NO
0.5836,NO
1.8719,YES
4.1794,YES
4.0843,YES
1.7378,YES
0.9215,NO
0.4273,NO
2.3302,YES
0.6553,NO
2.0005,YES
0.6133,NO
0.8701,NO
0.8312,NO
1.0306,NO
0.2999,NO
4.744,YES
0.3913,NO
5.2479,YES
0.4608,NO
5.1394,YES
0.9973,NO
0.3278,NO
0.5404,NO
0.5984,NO
1.9718,YES
0.9479,NO
1.653,YES
0.8436,NO
0.45299999999999996,NO
0.7416,NO
1.0242,NO
0.9224,NO
1.1126,NO
1.0825,NO
0.8673,NO
0.7269,NO
2.9037,YES
1.6034,NO
2.6481,YES
0.6662,NO
0.7106,NO
0.7424,NO
0.2328,NO
1.0023,NO
0.6851,NO
1.1926,NO
1.3118,NO
1.1456,NO
2.7639,YES
2.8478,YES
3.1121,YES
2.8523,YES
1.1644,NO
2.6138,YES
1.3845,NO
0.46,NO
0.4067,NO
1.946,YES
4.2104,YES
3.9485,YES
1.7449,YES
0.7596,NO
0.2642,NO
2.0364,YES
1.0894,NO
1.794,YES
0.8707,NO
0.5952,NO
0.3523,NO
0.4955,NO
0.1477,NO
4.3038,YES
0.2853,NO
4.7154,YES
0.198,NO
4.9958,YES
1.4072,NO
0.7105,NO
0.7768,NO
0.764,NO
1.9053,YES
1.3985,NO
1.4915,YES
0.8853,NO
0.5846,NO
0.5202,NO
1.0345,NO
1.0239,NO
0.6970000000000001,NO
1.2109999999999999,NO
1.0027,NO
0.6701,NO
2.4653,YES
1.0567,NO
2.247,YES
0.9872,NO
0.9773,NO
1.1741,NO
0.40399999999999997,NO
1.0588,NO
0.7175,NO
1.0453,NO
1.2751,NO
1.0888,NO
2.4269,YES
2.3248,YES
2.611,YES
2.6127,YES
0.9051,NO
2.076,YES
1.2770000000000001,NO
0.2255,NO
0.4079,NO
0.4954,NO
1.0709,NO
1.0918,NO
0.769,NO
0.5501,NO
0.5519,NO
0.7959,NO
2.5949,YES
1.4136,NO
2.3856,YES
0.1331,NO
0.2655,NO
0.2253,NO
0.2515,NO
1.1505,NO
0.1655,NO
1.2267,NO
0.5309,NO
1.3053,NO
2.8705,YES
2.7760000000000002,YES
2.8272,YES
2.2434,YES
0.9657,NO
2.7336,YES
1.1058,NO
0.5343,NO
0.3255,NO
0.436,NO
1.1667,NO
1.0633,NO
0.8083,NO
0.6993,NO
0.6845,NO
0.6374,NO
2.9734,YES
1.1444,NO
2.6578,YES
0.4267,NO
0.5686,NO
0.5505,NO
0.2359,NO
1.2299,NO
0.3831,NO
0.9668,NO
0.8305,NO
1.2564,NO
2.8707,YES
2.7706,YES
2.9444,YES
2.6998,YES
0.8622,NO
2.6279,YES
1.1199,NO
0.3708,NO
0.5117,NO
0.5155,NO
0.9734,NO
1.0501,NO
0.6834,NO
0.8873,NO
0.6963,NO
0.7673,NO
2.8263,YES
1.3239,NO
2.7108,YES
0.2118,NO
0.2391,NO
0.2506,NO
0.281,NO
1.1612,NO
0.324,NO
1.0084,NO
0.7916,NO
1.3154,NO
3.1475,YES
3.1321,YES
3.1936,YES
2.7811,YES
0.9896,NO
2.9438,YES
1.0178,NO
0.7724,NO
1.475,NO
5.9953,YES
1.3643,YES
1.4946,YES
5.768,YES
2.3245,NO
0.6629999999999999,NO
5.6955,YES
0.40399999999999997,NO
6.5253,YES
0.7116,NO
1.3145,NO
1.5593,NO
1.8409,NO
0.5782,NO
2.0202,YES
0.4695,NO
3.6537,YES
1.416,NO
1.9262,YES
1.4255,NO
0.4197,NO
1.2014,NO
1.595,NO
6.3374,YES
1.5827,NO
6.0766,YES
0.629,NO
0.6398,NO
3.4198,YES
0.8406,NO
0.7962,NO
3.4216,YES
1.2267,NO
0.2234,NO
3.3855,YES
0.3149,NO
4.0303,YES
0.624,NO
1.3342,NO
1.5147,NO
1.3989,NO
0.171,NO
1.6528,NO
0.2186,NO
2.1232,NO
0.5627,NO
1.4514,NO
0.7697,NO
0.1784,NO
0.5872,NO
0.5887,NO
3.4079,YES
1.1595,NO
3.4851,YES
0.5901,NO
0.6933,NO
2.7936,YES
3.6533,YES
3.8301,YES
2.9325,YES
1.5172,NO
0.6338,NO
3.1864,YES
1.3834,NO
3.7634,YES
1.6818,NO
0.9492,NO
1.334,NO
1.2014,NO
0.2159,NO
4.2749,YES
0.3628,NO
5.0686,YES
0.9142,NO
5.1723,YES
2.3848,NO
1.8032,NO
2.2064,NO
1.6136,NO
3.242,YES
2.427,NO
2.6471,YES
0.3836,NO
1.0672,NO
3.6199,YES
1.3153,NO
1.5854,NO
3.6166,YES
1.0678,NO
0.3232,NO
3.9842,YES
0.2199,NO
4.1373,YES
0.3169,NO
0.2244,NO
0.7653,NO
0.9699,NO
0.2918,NO
2.4607,NO
0.3127,NO
3.1925,NO
0.4998,NO
2.1474,NO
0.9396,NO
0.3767,NO
0.5323,NO
0.7435,NO
3.7439999999999998,YES
1.3779,NO
3.6909,YES
0.8698,NO
0.4978,NO
2.1516,YES
4.2676,YES
3.904,YES
2.0786,YES
1.047,NO
0.4555,NO
2.1956,YES
1.1478,NO
1.9812,YES
1.1166,NO
1.3095,NO
1.246,NO
1.3853,NO
0.3155,NO
4.7611,YES
0.6231,NO
4.8809,YES
0.6871,NO
5.0736,YES
1.1889,NO
0.606,NO
0.6211,NO
1.1533,NO
2.1509,YES
1.3103,NO
2.0013,YES
2.2349,YES
2.2455,YES
0.7912,NO
0.7651,NO
0.493,NO
0.7145,NO
3.355,YES
2.997,YES
0.8493,NO
0.2986,NO
1.0124,NO
0.6198,NO
0.8174,NO
0.8413,NO
0.9464,NO
1.5876,YES
