50Traced_NONETRACED_SUM_SINGLE_LSA_18_MEDIAN,Associated
0.6938,NO
0.653,NO
1.0001,NO
1.1002,NO
1.175,NO
1.0687,NO
1.0549,NO
0.62,NO
1.2145,NO
2.721,YES
0.6827,NO
2.7561,YES
0.6887,NO
0.6389,NO
0.4738,NO
0.6777,NO
1.1515,NO
0.9069,NO
1.4437,NO
0.8170000000000001,NO
0.9102,NO
3.2226,YES
2.4281,YES
2.7632,YES
3.4947,YES
1.0088,NO
2.0549,YES
0.6152,NO
1.6775,YES
2.5978,YES
1.7567,NO
0.5019,NO
0.4536,NO
1.3582,NO
2.6916,YES
1.5561,YES
1.5192,NO
0.3947,NO
1.4704,NO
0.5285,NO
0.9662,NO
0.955,NO
0.9861,NO
2.1886,YES
0.7158,NO
2.4867,YES
0.975,NO
2.5517,YES
0.4662,NO
0.418,NO
0.424,NO
0.4078,NO
0.6873,NO
1.5608,NO
0.4962,NO
1.4259,NO
0.5664,NO
0.2733,NO
1.1877,NO
1.0786,NO
1.1079,NO
1.3199,NO
0.9854,NO
0.3986,NO
1.4831,NO
3.1165,YES
1.1619,NO
3.214,YES
0.5073,NO
0.7098,NO
0.3293,NO
0.4402,NO
1.4633,NO
0.5005,NO
1.6141,NO
0.4228,NO
0.9435,NO
3.4444,YES
2.885,YES
2.8871,YES
3.6291,YES
1.1866,NO
2.0039,YES
1.2057,NO
2.4644,YES
3.4668,YES
3.7211,NO
2.1685,NO
1.9973,NO
3.5391,NO
3.1877,YES
2.312,YES
3.4703,NO
0.9856,NO
3.2776,NO
1.1273,NO
1.1466,NO
1.3439,NO
1.1466,NO
2.4833,YES
2.3930000000000002,NO
3.3212,YES
2.7217,NO
3.472,YES
1.8326,NO
1.5194,NO
1.1069,NO
1.7273,NO
1.4955,NO
3.2685,NO
1.5997,NO
2.946,NO
0.3284,NO
0.5732,NO
2.3471,YES
4.2893,YES
3.859,YES
3.0456,YES
0.9683,NO
0.3077,NO
2.6719,YES
0.6196,NO
2.4768,YES
0.5956,NO
0.8234,NO
0.9678,NO
1.1203,NO
0.217,NO
4.6365,YES
0.3672,NO
5.1856,YES
0.4477,NO
4.2437,YES
0.6619,NO
0.6779999999999999,NO
1.3788,NO
0.9556,NO
2.5611,YES
1.4879,NO
2.3062,YES
0.9004,NO
0.9281,NO
1.1691,NO
1.0981,NO
1.2919,NO
1.3626,NO
1.2601,NO
0.8297,NO
1.1282,NO
3.1254,YES
0.8332,NO
3.0986,YES
0.4283,NO
0.5297,NO
0.1689,NO
0.8212,NO
1.5155,NO
1.0608,NO
1.6035,NO
1.0242,NO
1.1958,NO
3.7041,YES
2.8186,YES
3.138,YES
3.7174,YES
1.1791,NO
2.1836,YES
0.9763,NO
0.3853,NO
0.5191,NO
0.8429,YES
4.292,YES
3.8798,YES
1.6134,YES
1.0523,NO
0.2926,NO
