50Traced_NONETRACED_SUM_SINGLE_LSA_38_MEDIAN,Associated
0.8174,NO
0.2792,NO
0.5882,NO
1.2292,NO
1.4614,NO
1.5973,NO
0.7788,NO
0.5518,NO
0.5432,NO
4.0079,YES
1.0732,NO
3.5491,YES
0.3014,NO
0.2231,NO
0.3139,NO
0.6936,NO
1.7121,NO
0.5062,NO
0.8288,NO
0.2207,NO
1.6715,NO
4.1537,YES
3.717,YES
3.4456,YES
2.589,YES
0.3858,NO
2.6521,YES
0.9152,NO
1.0784,YES
1.9277,YES
0.7873,NO
0.9116,NO
0.8735,NO
1.1891,NO
1.4108,YES
1.8633,YES
1.0653,NO
0.5968,NO
0.9425,NO
0.5627,NO
0.2553,NO
0.3692,NO
0.3695,NO
1.3204,YES
1.0733,NO
1.8239,YES
0.8448,NO
2.1146,YES
0.8405,NO
1.0313,NO
0.8117,NO
0.8322,NO
0.6927,NO
1.0119,NO
0.4155,NO
1.1457,NO
0.7932,NO
0.406,NO
0.6689,NO
1.4073,NO
1.5824,NO
1.6822,NO
0.8062,NO
0.5192,NO
0.7481,NO
4.0937,YES
1.1425,NO
3.5737,YES
0.6635,NO
0.3935,NO
0.7884,NO
0.6828,NO
1.9315,NO
0.4599,NO
1.1269,NO
0.3087,NO
1.7151,NO
4.1465,YES
3.8528,YES
3.5768,YES
2.5197,YES
0.4578,NO
2.6001,YES
1.1795,NO
1.9211,YES
2.5535,YES
1.8607,NO
1.217,NO
1.2376,NO
2.3116,NO
1.646,YES
2.3274,YES
2.1971,NO
1.5118,NO
2.4196,NO
1.5382,NO
1.0534,NO
1.2739,NO
1.155,NO
1.68,YES
1.7394,NO
2.265,YES
1.2325,NO
2.5876,YES
1.2427,NO
2.1325,NO
1.6422,NO
1.6122,NO
1.7367,NO
1.8331,NO
1.2332,NO
2.1684,NO
0.3463,NO
0.7813,NO
1.6465,YES
4.3646,YES
4.2159,YES
2.4328,YES
0.8011,NO
0.4341,NO
2.0086,YES
0.5408,NO
1.7704,YES
0.3102,NO
0.7519,NO
0.5165,NO
1.2747,NO
0.5035,NO
4.3989,YES
0.2352,NO
4.7001,YES
1.2877,NO
4.6368,YES
1.0632,NO
1.2943,NO
1.537,NO
0.5544,NO
2.0534,YES
0.8164,NO
2.0822,YES
0.9611,NO
0.6423,NO
0.4047,NO
0.6371,NO
0.8497,NO
1.4024,NO
0.8865,NO
0.8540000000000001,NO
0.5363,NO
3.6928,YES
1.0247,NO
3.4227,YES
0.5305,NO
0.3799,NO
0.4678,NO
0.792,NO
1.0663,NO
0.7682,NO
0.2441,NO
0.6,NO
0.8672,NO
3.8164,YES
3.3731,YES
3.0572,YES
2.4892,YES
0.2802,NO
2.3782,YES
0.8622,NO
0.4384,NO
0.4777,NO
0.9485,YES
4.5217,YES
4.3467,YES
1.7188,YES
0.6065,NO
0.3322,NO
1.6241,YES
1.6015,NO
1.1128,YES
1.3104,NO
0.3939,NO
0.336,NO
0.9609,NO
0.4789,NO
4.433,YES
0.1565,NO
4.3322,YES
0.7076,NO
4.1439,YES
1.9481,NO
2.0216,NO
1.8965,NO
1.2458,NO
1.5696,YES
0.8932,NO
1.7677,YES
0.8874,NO
0.2792,NO
0.8109,NO
0.7712,NO
0.8703,NO
1.4585,NO
0.4928,NO
0.6311,NO
0.7152,NO
3.5176,YES
1.0032,NO
3.0837,YES
0.2519,NO
0.2036,NO
0.402,NO
0.6542,NO
1.3941,NO
0.612,NO
0.5081,NO
0.2565,NO
1.0332,NO
3.61,YES
3.1922,YES
2.8109,YES
2.3344,YES
0.5011,NO
2.3964,YES
1.1012,NO
0.8103,NO
0.2782,NO
1.4469999999999998,NO
0.816,NO
1.0168,NO
2.3224,NO
0.7458,NO
0.6813,NO
1.368,NO
3.7964,YES
1.9381,NO
3.3764,YES
0.3287,NO
0.2004,NO
0.5564,NO
0.8576,NO
1.4809999999999999,NO
0.5879,NO
0.6825,NO
0.4134,NO
1.3572,NO
4.0053,YES
3.5661,YES
3.3287,YES
2.7508,YES
1.3142,NO
2.7207,YES
1.6702,NO
1.0619,NO
0.7164,NO
0.9822,NO
0.9862,NO
1.1306,NO
1.9732,NO
0.9003,NO
0.9569,NO
1.2747,NO
3.6115,YES
1.3021,NO
3.2091,YES
0.578,NO
0.428,NO
0.7015,NO
0.8622,NO
1.7083,NO
0.9166,NO
0.8014,NO
0.8445,NO
1.3872,NO
3.9109,YES
3.4619999999999997,YES
3.1739,YES
2.4696,YES
0.9068,NO
2.456,YES
1.6771,NO
0.7772,NO
0.3704,NO
0.5638,NO
0.9477,NO
1.0229,NO
1.4644,NO
0.7758,NO
0.4963,NO
0.5354,NO
3.7443,YES
1.0119,NO
3.2883,YES
0.5353,NO
0.2593,NO
0.5142,NO
0.6476,NO
1.3884,NO
0.5117,NO
0.5909,NO
0.233,NO
1.2623,NO
3.8676,YES
3.5616,YES
3.3434,YES
2.2546,YES
0.31,NO
2.4604,YES
0.9397,NO
1.1271,NO
1.0312,NO
4.6042,YES
1.6148,YES
1.6512,YES
5.6898,YES
0.8489,NO
1.0053,NO
5.2664,YES
0.1015,NO
5.2957,YES
0.231,NO
1.0258,NO
0.8943,NO
1.3711,NO
0.6441,NO
2.6775,YES
0.7140000000000001,NO
2.6366,YES
2.1661,NO
2.7549,YES
1.2586,NO
1.1916,NO
1.7818,NO
1.479,NO
5.2042,YES
1.5593,NO
5.0793,YES
0.9929,NO
0.5177,NO
3.1663,YES
1.2353,NO
1.1522,NO
4.2336,YES
0.6902,NO
0.4179,NO
3.758,YES
0.9242,NO
4.0953,YES
0.8451,NO
1.5464,NO
1.5778,NO
1.5181,NO
0.4384,NO
2.6619,NO
0.2169,NO
1.9207,NO
0.9048,NO
1.844,NO
1.7276,NO
1.548,NO
1.3939,NO
1.6612,NO
3.062,YES
2.6014,NO
3.7744,YES
0.7047,NO
0.6609,NO
1.7493,YES
4.3645,YES
3.5639999999999996,YES
2.5874,YES
0.6219,NO
0.3544,NO
2.9985,YES
1.1285,NO
2.4354,YES
0.9702,NO
1.1726,NO
0.9549,NO
1.7375,NO
0.4559,NO
4.4329,YES
0.2719,NO
4.0783,YES
0.7889,NO
3.8826,YES
1.7007,NO
2.0576,NO
2.1931,NO
1.2391,NO
2.6511,YES
1.2623,NO
3.1459,YES
0.6687,NO
0.4763,NO
3.4197,YES
0.9789,NO
1.1787,NO
4.0206,YES
0.5124,NO
0.3536,NO
3.39,YES
1.1027,NO
4.0368,YES
0.9919,NO
0.7215,NO
0.3861,NO
1.0873,NO
0.3952,NO
1.6702,NO
0.2103,NO
1.5715,NO
0.8738,NO
2.19,NO
1.5319999999999998,NO
1.5874,NO
2.4487,NO
1.304,NO
3.2864,YES
1.5613,NO
3.3215,YES
0.527,NO
0.9390000000000001,NO
0.9329,YES
4.4694,YES
3.9426,YES
1.3575,YES
0.9338,NO
0.4123,NO
1.5593,YES
0.8162,NO
1.0088,YES
0.3728,NO
0.9514,NO
1.0267,NO
1.4736,NO
0.7728,NO
4.6082,YES
0.4518,NO
4.4674,YES
0.8304,NO
4.1643,YES
1.1547,NO
1.4117,NO
1.3154,NO
0.5941,NO
1.1927,YES
0.9352,NO
1.7309999999999999,YES
2.6324,YES
3.5314,YES
1.5635,NO
0.9831,NO
0.9628,NO
2.0216,NO
1.8049,YES
3.1097,YES
2.3439,NO
0.4992,NO
2.1967,NO
0.6498,NO
1.5004,NO
1.6451,NO
1.7514,NO
1.6509,YES
1.6899,NO
3.0874,YES
1.0903,NO
3.3959,YES
1.071,NO
0.9215,NO
0.8108,NO
1.0108,NO
0.7949,NO
1.4144,NO
1.0894,NO
2.4012,NO
1.024,NO
0.6117,NO
4.5926,YES
0.9129,YES
1.2499,YES
6.0047,YES
0.7487,NO
0.5066,NO
5.8727,YES
0.6222,NO
5.9399,YES
0.7085,NO
1.6802,NO
1.7483,NO
1.9963,NO
0.4239,NO
2.4935,YES
0.1788,NO
2.0797,YES
1.3477,NO
1.9498,YES
1.5491,NO
1.5329,NO
1.8878,NO
1.7881,NO
5.2018,YES
2.2359,NO
5.6452,YES
0.9196,NO
0.5402,NO
4.3306,YES
1.7648,YES
1.9113,YES
5.8695,YES
0.7813,NO
0.5144,NO
5.4745,YES
0.8745,NO
5.2653,YES
0.7568,NO
1.0628,NO
1.1052,NO
1.4246,NO
0.3811,NO
3.1884,YES
0.2269,NO
2.5435,YES
1.5119999999999998,NO
2.2134,YES
1.8141,NO
1.9989,NO
2.3786,NO
1.7183,NO
5.1938,YES
1.8669,NO
5.5086,YES
0.8089,NO
0.4674,NO
4.1257,YES
1.0908,YES
1.2593,YES
5.0355,YES
0.5825,NO
0.4576,NO
4.6338,YES
0.6639,NO
4.8044,YES
0.4277,NO
0.8038,NO
0.7490000000000001,NO
1.1666,NO
0.5143,NO
2.508,YES
0.3369,NO
1.8182,YES
1.1909999999999998,NO
2.2026,YES
1.4142,NO
1.4780000000000002,NO
2.1193,NO
1.5404,NO
4.4986,YES
1.7548,NO
4.5927,YES
1.0103,NO
0.6431,NO
4.2806,YES
1.1861,YES
1.5061,YES
5.9504,YES
0.8978,NO
0.5168,NO
6.0511,YES
0.6265,NO
5.7821,YES
0.6920000000000001,NO
1.6013,NO
1.5971,NO
1.9594,NO
0.3955,NO
2.7761,YES
0.2042,NO
2.2744,YES
1.2536,NO
2.2071,YES
1.6029,NO
1.6242,NO
2.0506,NO
1.6961,NO
5.154,YES
2.2446,NO
5.8775,YES
0.5222,NO
0.8883,NO
1.0396,YES
4.2706,YES
3.8986,YES
1.7414,YES
0.8287,NO
0.4367,NO
1.9518,YES
1.1417,NO
1.2149,YES
0.6735,NO
1.3258,NO
1.2781,NO
1.8426,NO
0.7293,NO
4.8073,YES
0.4673,NO
4.1542,YES
0.9335,NO
4.2276,YES
1.4983,NO
1.7293,NO
1.7787,NO
0.7965,NO
1.3430000000000002,YES
1.2783,NO
2.2342,YES
0.4839,NO
0.5696,NO
1.6803,YES
4.5579,YES
4.3841,YES
2.7525,YES
0.8036,NO
0.4278,NO
2.2858,YES
0.654,NO
2.1856,YES
0.4719,NO
0.6053,NO
0.3368,NO
1.0933,NO
0.433,NO
4.6012,YES
0.1772,NO
4.9094,YES
0.9702,NO
4.8515,YES
1.3029,NO
1.4792,NO
1.4108,NO
0.7343,NO
2.282,YES
1.4658,NO
2.2922,YES
0.7123,NO
0.8647,NO
0.6356,NO
0.7932,NO
0.505,NO
0.7683,NO
0.2187,NO
0.34299999999999997,NO
1.9277,NO
0.5651,NO
1.0586,NO
0.7401,NO
1.9356,YES
2.0515,YES
2.0379,YES
0.3119,NO
1.3386,NO
0.3612,NO
0.6745,NO
0.6125,NO
0.62,NO
0.6894,NO
0.5668,NO
0.6591,NO
0.7985,NO
0.5841,NO
0.4985,NO
1.9462,NO
2.2432,YES
3.2562,YES
0.9304,NO
0.9153,NO
0.8265,NO
0.8793,NO
1.5592,YES
2.9905,YES
0.8356,NO
0.1519,NO
0.8507,NO
0.1784,NO
0.4366,NO
0.5189,NO
0.6089,NO
1.5855,YES
0.9677,NO
3.0546,YES
0.9268,NO
3.2963,YES
0.8725,NO
0.4618,NO
0.3033,NO
0.4131,NO
0.2101,NO
0.7834,NO
0.0963,NO
0.8606,NO
0.4763,NO
0.8189,NO
1.5948,YES
4.8437,YES
4.4377,YES
2.2011,YES
0.7516,NO
0.2773,NO
2.0988,YES
0.5227,NO
1.8891,YES
0.2845,NO
0.8612,NO
0.6018,NO
1.3379,NO
0.4774,NO
4.6782,YES
0.1779,NO
4.9175,YES
1.0478,NO
4.9834,YES
1.0270000000000001,NO
1.3398,NO
1.7022,NO
0.6762,NO
2.1137,YES
0.652,NO
2.0924,YES
2.3056,YES
2.5495,YES
0.9859,NO
0.4622,NO
0.4066,NO
0.9986,NO
0.8422,YES
2.3231,YES
1.2501,NO
0.4589,NO
1.0923,NO
0.6381,NO
0.7961,NO
0.8407,NO
0.8883,NO
0.9109999999999999,YES
0.8025,NO
2.3496,YES
0.4023,NO
2.5082,YES
0.4368,NO
0.7194,NO
0.5477,NO
0.5874,NO
0.6834,NO
0.7547,NO
0.4585,NO
1.275,NO
0.6137,NO
0.2908,NO
0.3664,NO
0.7544,NO
0.9565,NO
1.1556,NO
0.7323,NO
0.5359,NO
0.1921,NO
3.6043,YES
0.8301,NO
3.3246,YES
0.24100000000000002,NO
0.263,NO
0.2504,NO
0.6693,NO
0.9015,NO
0.4324,NO
0.3209,NO
0.2362,NO
0.9499,NO
3.6621,YES
3.2201,YES
2.9673,YES
2.3451,YES
0.1378,NO
2.1006,YES
0.4431,NO
2.1586,YES
3.082,YES
0.5128,NO
0.7712,NO
0.7573,NO
0.5197,NO
1.5439,YES
2.9764,YES
0.397,NO
0.4111,NO
0.3944,NO
0.5113,NO
0.1665,NO
0.1558,NO
0.2434,NO
1.5878,YES
0.7016,NO
3.032,YES
0.6377,NO
3.1362,YES
0.7852,NO
0.8003,NO
0.5101,NO
0.6075,NO
0.4325,NO
0.42700000000000005,NO
0.1277,NO
0.4499,NO
1.0174,NO
0.9629,NO
1.1954,NO
1.0552,NO
1.0207,NO
1.5304,NO
0.6849,NO
0.9848,NO
1.3007,NO
2.5004,YES
1.3072,NO
2.4285,YES
0.5318,NO
0.5877,NO
0.747,NO
0.8438,NO
1.139,NO
0.8825,NO
1.0112,NO
1.0745,NO
0.8434,NO
2.7653,YES
2.3394,YES
2.0301,YES
1.92,YES
1.1402,NO
1.1686,YES
1.4131,NO
