50Traced_NONETRACED_SUM_RAW_VSM_4_MAX,Associated
0.3438,NO
0.1125,NO
0.7395,NO
0.4557,NO
0.3655,NO
0.4598,NO
0.3461,NO
0.158,NO
0.6028,NO
1.141,YES
0.4197,NO
1.4815,YES
0.3445,NO
0.3683,NO
0.2223,NO
0.3397,NO
0.3143,NO
0.2398,NO
0.1286,NO
0.3021,NO
0.1296,NO
1.2485,YES
1.7371,YES
1.5415,YES
0.6764,YES
0.6074,NO
1.4378,YES
0.4044,NO
0.3367,YES
0.2444,YES
0.3683,NO
0.2668,NO
0.2888,NO
0.3011,NO
0.826,YES
0.6256,YES
0.2595,NO
0.2805,NO
0.2358,NO
0.1058,NO
0.1797,NO
0.1526,NO
0.1551,NO
0.3722,YES
0.2153,NO
0.331,YES
0.124,NO
0.7422,YES
0.1413,NO
0.1212,NO
0.2849,NO
0.1235,NO
0.2148,NO
0.3876,NO
0.1119,NO
0.2863,NO
0.4227,NO
0.1534,NO
1.194,NO
0.9533,NO
0.7183,NO
0.5054,NO
0.4101,NO
0.1479,NO
0.7979,NO
1.6392,YES
0.6073,NO
2.6407,YES
0.2954,NO
0.2168,NO
0.2136,NO
0.313,NO
0.7290000000000001,NO
0.2395,NO
0.4227,NO
0.2415,NO
0.2691,NO
1.5326,YES
2.3412,YES
2.7026,YES
0.8307,YES
0.7542,NO
2.6695,YES
0.5448,NO
1.6782,YES
0.3096,YES
0.8013,NO
0.4089,NO
0.3459,NO
0.7731,NO
3.216,YES
2.3426,YES
0.6746,NO
0.3205,NO
0.4878,NO
0.0936,NO
0.3314,NO
0.3895,NO
0.2677,NO
1.5667,YES
0.2429,NO
1.6363,YES
0.2982,NO
3.0914,YES
0.3063,NO
0.1251,NO
0.2033,NO
0.2163,NO
0.2058,NO
0.7744,NO
0.1766,NO
0.4181,NO
0.4248,NO
0.1718,NO
0.9999,YES
1.838,YES
1.8216,YES
1.2427,YES
0.7722,NO
0.2655,NO
1.129,YES
0.5816,NO
0.6642,YES
0.3104,NO
0.5313,NO
0.6065,NO
0.2158,NO
0.3399,NO
2.3211,YES
0.2892,NO
2.055,YES
0.4371,NO
1.0918,YES
0.2781,NO
0.6938,NO
0.5192,NO
0.3405,NO
0.8277,YES
0.491,NO
0.5485,YES
0.4649,NO
0.135,NO
0.7381,NO
0.7746,NO
0.6349,NO
0.4508,NO
0.7097,NO
0.514,NO
0.6447,NO
1.742,YES
0.3565,NO
1.5038,YES
0.1987,NO
0.1756,NO
0.1689,NO
0.4669,NO
0.7707,NO
0.4038,NO
0.4928,NO
0.6046,NO
0.3014,NO
0.9341,YES
2.0511,YES
1.4835,YES
1.2292,YES
0.4993,NO
1.4523,YES
0.3239,NO
0.2533,NO
0.14300000000000002,NO
0.7659,YES
1.2231,YES
1.9369999999999998,YES
0.7192,YES
0.4851,NO
0.1436,NO
0.6859,YES
0.9006,NO
0.3774,YES
0.7362,NO
0.3796,NO
0.3349,NO
0.2375,NO
0.2738,NO
1.4152,YES
0.1781,NO
1.1798,YES
0.2227,NO
0.7661,YES
0.4768,NO
1.1448,NO
0.987,NO
0.3849,NO
0.5542,YES
0.8177,NO
0.2645,YES
0.3587,NO
0.1231,NO
0.9808,NO
0.7328,NO
0.4407,NO
0.6855,NO
0.3858,NO
0.2812,NO
0.5178,NO
2.2681,YES
0.5437,NO
1.7976,YES
0.2519,NO
0.4738,NO
0.2033,NO
0.225,NO
0.3821,NO
0.4315,NO
0.2434,NO
0.2619,NO
0.2817,NO
0.9335,YES
2.396,YES
1.7985,YES
1.2919,YES
0.6545,NO
1.7169,YES
0.47100000000000003,NO
0.2606,NO
0.13699999999999998,NO
0.42200000000000004,NO
0.7707,NO
0.6437,NO
0.2819,NO
0.4353,NO
0.2537,NO
0.5017,NO
1.8589,YES
0.3428,NO
1.5642,YES
0.2106,NO
0.2959,NO
