50Traced_NONETRACED_SUM_RAW_LSA_24_MAX,Associated
0.3708,NO
0.1087,NO
0.4749,NO
0.8156,NO
0.7006,NO
0.3887,NO
0.4985,NO
0.2422,NO
0.8443,NO
1.1072,YES
0.4986,NO
2.3454,YES
0.5549,NO
0.4643,NO
0.2895,NO
0.1222,NO
0.8791,NO
0.1857,NO
0.8474,NO
0.2179,NO
1.0269,NO
2.4683,YES
1.7605,YES
1.6493,YES
2.2169,YES
0.7221,NO
2.408,YES
0.6868,NO
1.5545,YES
1.1186,YES
0.3362,NO
0.5942,NO
0.4565,NO
0.4249,NO
1.6479,YES
1.3702,YES
0.2304,NO
0.2442,NO
0.1511,NO
0.3741,NO
0.4449,NO
0.2803,NO
0.2105,NO
1.3013,YES
0.1902,NO
2.4142,YES
0.4732,NO
1.3987,YES
0.5035,NO
0.3583,NO
0.3171,NO
0.3067,NO
0.2934,NO
0.3778,NO
0.5389,NO
0.3465,NO
0.5424,NO
0.1882,NO
0.5074,NO
0.8365,NO
0.7105,NO
0.7111,NO
0.5119,NO
0.2945,NO
0.6232,NO
1.1004,YES
0.3752,NO
1.6124,YES
0.4739,NO
0.2602,NO
0.2693,NO
0.1919,NO
0.6382,NO
0.2979,NO
0.6277,NO
0.2412,NO
1.0004,NO
2.426,YES
1.7163,YES
1.1596,YES
1.0101,YES
0.7476,NO
2.4524,YES
0.6544,NO
1.2701,YES
0.4713,YES
0.5956,NO
0.5719,NO
0.4734,NO
0.4066,NO
2.1826,YES
0.613,YES
0.4547,NO
0.1763,NO
0.3193,NO
0.0887,NO
0.708,NO
0.4374,NO
0.4745,NO
1.4516,YES
0.2418,NO
2.2218,YES
0.3537,NO
1.3582,YES
0.4325,NO
0.2347,NO
0.28,NO
0.1526,NO
0.2464,NO
0.5817,NO
0.3566,NO
0.59,NO
0.3958,NO
0.1809,NO
1.4782,YES
2.4478,YES
3.4852,YES
1.1043,YES
0.7552,NO
0.2711,NO
1.1852,YES
0.397,NO
0.6279,YES
0.5286,NO
0.3776,NO
0.7589,NO
0.4107,NO
0.3145,NO
2.9976,YES
0.3303,NO
3.7566,YES
