50Traced_NONETRACED_MAX_MULTI_LSA_94_MAX,Associated
0.1819,NO
0.1819,NO
0.2323,NO
0.4029,NO
0.31,NO
0.2524,NO
0.3258,NO
0.1819,NO
0.2289,NO
1.0,YES
0.2323,NO
0.5949,YES
0.3555,NO
0.3555,NO
0.3555,NO
0.1819,NO
0.36,NO
0.1585,NO
0.2102,NO
0.2179,NO
0.2804,NO
0.83,YES
1.0,YES
1.0,YES
1.0,YES
0.2323,NO
1.0,YES
0.2323,NO
1.0,YES
1.0,YES
0.3362,NO
0.2304,NO
0.1261,NO
0.2287,NO
1.0,YES
1.0,YES
0.2069,NO
0.2425,NO
0.2069,NO
0.1443,NO
0.1797,NO
0.3144,NO
0.1551,NO
1.0,YES
0.2165,NO
0.904,YES
0.2165,NO
1.0,YES
0.2165,NO
0.1484,NO
0.2456,NO
0.2425,NO
0.2425,NO
0.2673,NO
0.2425,NO
0.2287,NO
0.294,NO
0.294,NO
0.3753,NO
0.3753,NO
0.3753,NO
0.4016,NO
0.3258,NO
0.1316,NO
0.3028,NO
1.0,YES
0.3753,NO
0.5412,YES
0.2445,NO
0.35200000000000004,NO
0.2445,NO
0.3167,NO
0.4175,NO
0.294,NO
0.271,NO
0.1755,NO
0.4224,NO
0.965,YES
1.0,YES
0.965,YES
1.0,YES
0.3753,NO
1.0,YES
0.3753,NO
1.0,YES
1.0,YES
0.3559,NO
0.3559,NO
0.3559,NO
0.3559,NO
0.7571,YES
0.3239,YES
0.2862,NO
0.1077,NO
0.3559,NO
0.1102,NO
0.3845,NO
0.3845,NO
0.3845,NO
0.8269,YES
0.2044,NO
1.0,YES
0.2148,NO
0.504,YES
0.2013,NO
0.1769,NO
0.091,NO
0.1272,NO
0.1053,NO
0.3559,NO
0.1582,NO
0.3559,NO
0.3229,NO
0.2011,NO
0.6191,YES
1.0,YES
0.6477,YES
0.6191,YES
0.3189,NO
0.2493,NO
0.3413,YES
0.2975,NO
0.6191,YES
0.1729,NO
0.2531,NO
0.2644,NO
0.1934,NO
