50Traced_NONETRACED_SUM_MULTI_VSM_3_MEDIAN,Associated
1.5556,NO
0.4324,NO
1.0194,NO
1.9129,NO
0.7548,NO
1.2275,NO
1.0684,NO
0.7066,NO
1.4503,NO
3.1673,YES
0.8985,NO
2.1099,YES
0.7431,NO
1.413,NO
0.5883,NO
0.9004,NO
0.7237,NO
0.7661,NO
1.0806,NO
0.8832,NO
1.3518,NO
2.7812,YES
2.9593,YES
2.7542,YES
2.8786,YES
1.1294,NO
1.7168,YES
0.8796,NO
1.7786,YES
1.179,YES
0.9245,NO
0.9497,NO
0.483,NO
0.7286,NO
1.6625,YES
1.3937,YES
0.6367,NO
0.5669,NO
0.7594,NO
0.635,NO
0.7090000000000001,NO
1.0817,NO
0.7017,NO
2.4811,YES
0.8373,NO
1.6115,YES
0.9036,NO
2.0618,YES
0.9579,NO
0.3864,NO
0.7329,NO
0.6472,NO
0.3934,NO
0.6456,NO
0.4313,NO
0.6592,NO
1.3962,NO
0.1534,NO
0.8198,NO
1.9257,NO
1.0681,NO
1.3956,NO
0.7028,NO
0.4595,NO
1.3259999999999998,NO
3.1613,YES
1.0742,NO
2.1724,YES
0.5403,NO
0.9652,NO
0.2852,NO
0.29,NO
0.7746,NO
0.3111,NO
1.0973,NO
0.4323,NO
1.3436,NO
2.8560000000000003,YES
3.1097,YES
2.8842,YES
3.1092,YES
1.1909,NO
2.1454,YES
0.857,NO
1.7339,YES
0.7187,YES
1.1034,NO
0.9986,NO
0.7014,NO
1.3769999999999998,NO
1.9261,YES
1.2756,YES
1.3614,NO
0.5853,NO
1.2208,NO
0.5838,NO
0.7179,NO
1.026,NO
0.5871,NO
2.0476,YES
0.9063,NO
1.5474,YES
0.9181,NO
1.9627,YES
1.1577,NO
0.2772,NO
0.9153,NO
0.8035,NO
0.4414,NO
1.3686,NO
0.5693,NO
0.9649,NO
1.6055,NO
0.4057,NO
1.8398,YES
3.7671,YES
3.9582,YES
2.6925,YES
1.5423,NO
0.7731,NO
2.0654,YES
1.1612,NO
2.0058,YES
1.0584,NO
1.1462,NO
1.4542,NO
0.9067,NO
1.3241,NO
4.1288,YES
0.7692,NO
4.147,YES
1.1671,NO
4.3312,YES
0.4128,NO
1.1984,NO
1.6176,NO
0.9674,NO
2.258,YES
1.4327,NO
1.4758,YES
1.3088,NO
0.2388,NO
0.6635,NO
2.0941,NO
1.0203,NO
1.0856,NO
0.7927,NO
0.4401,NO
1.6564,NO
3.7665,YES
0.9498,NO
2.7827,YES
1.3608,NO
1.3906,NO
0.8244,NO
0.2734,NO
1.1158,NO
0.2022,NO
1.2734,NO
0.3467,NO
1.3086,NO
3.4454,YES
3.6778,YES
3.1551,YES
3.5469,YES
1.3904,NO
2.2949,YES
1.2267,NO
1.1422,NO
0.1479,NO
1.263,YES
3.0267,YES
3.634,YES
1.8108,YES
0.8998,NO
0.5281,NO
1.1641,YES
0.8740000000000001,NO
1.1486,YES
0.8101,NO
0.8618,NO
1.0252,NO
0.6461,NO
0.7629,NO
3.3145,YES
0.5174,NO
3.5397,YES
0.6212,NO
3.4560000000000004,YES
0.2486,NO
0.732,NO
0.938,NO
0.5831,NO
1.3408,YES
0.6889,NO
0.7957,YES
1.6188,NO
0.5783,NO
0.6291,NO
1.7959,NO
0.9490000000000001,NO
1.0423,NO
1.4052,NO
0.6061,NO
1.4511,NO
3.2745,YES
0.9465,NO
2.6543,YES
1.1179999999999999,NO
1.1956,NO
0.6813,NO
0.8289,NO
1.0789,NO
0.6098,NO
1.0587,NO
0.9848,NO
1.3769999999999998,NO
2.8453,YES
3.2799,YES
2.8015,YES
2.935,YES
1.4541,NO
2.0571,YES
1.296,NO
1.5006,NO
0.4324,NO
1.7353,NO
1.7568,NO
0.7923,NO
2.021,NO
1.2817,NO
0.6011,NO
2.2744,NO
3.4819,YES
1.6933,NO
2.8104,YES
0.7458,NO
0.972,NO
0.3924,NO
0.6357,NO
1.1195,NO
0.4912,NO
1.1733,NO
0.6875,NO
1.2178,NO
3.3431,YES
3.77,YES
3.5165,YES
3.4147,YES
2.1657,NO
2.6214,YES
1.7443,NO
1.6933,NO
0.5488,NO
1.2052,NO
2.1808,NO
1.0721,NO
1.6192,NO
1.089,NO
0.7173,NO
1.7111,NO
3.1486,YES
1.5243,NO
2.3484,YES
1.0921,NO
1.367,NO
0.9999,NO
0.8357,NO
1.1773,NO
0.5979,NO
1.4629,NO
0.904,NO
1.5554,NO
2.6976,YES
3.2743,YES
2.9413,YES
2.864,YES
1.6104,NO
1.8727,YES
1.3006,NO
1.6241,NO
0.16899999999999998,NO
0.6677,NO
1.7242,NO
0.7442,NO
1.1009,NO
1.1295,NO
0.6772,NO
1.3245,NO
3.2932,YES
0.8954,NO
2.4795,YES
0.5214,NO
0.8251,NO
0.2045,NO
0.6734,NO
0.9437,NO
0.5726,NO
0.9614,NO
0.6593,NO
1.0393,NO
3.0688,YES
3.3855,YES
2.9631,YES
3.2108,YES
1.2401,NO
2.3175,YES
0.8653,NO
1.2839,NO
0.2688,NO
4.4074,YES
1.9778,YES
1.1648,YES
4.6015,YES
1.3635,NO
0.9678,NO
4.9956,YES
1.3198,NO
4.0414,YES
1.4509,NO
1.2039,NO
1.4579,NO
0.9061,NO
1.0794,NO
2.4284,YES
0.9413,NO
1.8504,YES
0.7457,NO
1.9835,YES
1.2821,NO
2.0831,NO
3.6138,NO
1.868,NO
4.3763,YES
2.8963,NO
4.0065,YES
0.878,NO
0.491,NO
3.0178,YES
2.1501,NO
1.6464,NO
3.3511,YES
0.9006,NO
0.5551,NO
3.4047,YES
0.6445,NO
3.2527,YES
0.6149,NO
1.2347,NO
1.1928,NO
0.9965,NO
0.6869,NO
2.5126,NO
0.6394,NO
2.403,NO
0.6132,NO
2.5118,NO
