50Traced_NONETRACED_SUM_MULTI_LSA_63_MAX,Associated
0.5084,NO
0.4994,NO
0.7927,NO
0.5726,NO
1.0897,NO
1.2834,NO
0.784,NO
0.3262,NO
0.4637,NO
2.5809,YES
0.3507,NO
2.34,YES
0.5048,NO
0.9840000000000001,NO
0.2223,NO
0.8684,NO
1.4072,NO
0.914,NO
1.1724,NO
0.3395,NO
1.3605,NO
1.6669999999999998,YES
2.7402,YES
2.6042,YES
1.99,YES
0.8963,NO
2.804,YES
0.5735,NO
2.255,YES
1.6363,YES
1.3843,NO
0.5266,NO
0.5865,NO
1.1031,NO
1.4073,YES
1.3696,YES
1.1579,NO
0.4017,NO
0.8947,NO
0.3435,NO
0.9695,NO
0.8284,NO
0.5725,NO
2.0291,YES
0.6207,NO
1.6803,YES
0.5384,NO
1.3851,YES
0.4663,NO
0.2561,NO
0.7105,NO
0.6627,NO
0.349,NO
1.2575,NO
0.4134,NO
0.9586,NO
0.4689,NO
0.3454,NO
0.733,NO
1.0745,NO
1.3927,NO
1.3611,NO
0.8861,NO
0.2347,NO
0.4966,NO
3.4496,YES
0.3812,NO
3.2701,YES
0.7197,NO
1.3923,NO
0.2136,NO
0.8411,NO
1.7731,NO
0.9373,NO
1.3577,NO
0.2154,NO
1.3648,NO
2.5039,YES
3.6153,YES
3.6822,YES
2.4308,YES
1.062,NO
3.61,YES
0.5528,NO
2.6256,YES
1.7163,YES
1.2518,NO
0.4955,NO
0.7752,NO
0.7746,NO
2.0593,YES
1.4376,YES
1.0714,NO
0.7222,NO
0.7659,NO
0.8353,NO
0.4961,NO
0.5767,NO
0.2075,NO
2.353,YES
0.9058,NO
1.6997,YES
0.8085,NO
1.8285,YES
0.5557,NO
0.6426,NO
0.9029,NO
0.7816,NO
0.6554,NO
1.4477,NO
0.8508,NO
0.9459,NO
1.1464,NO
0.3825,NO
2.0782,YES
4.086,YES
4.6064,YES
2.3211,YES
1.265,NO
0.3054,NO
1.6488,YES
1.4253,NO
1.2206,YES
1.3503,NO
1.0445,NO
1.2224,NO
0.6731,NO
0.5664,NO
4.2158,YES
0.7355,NO
3.8127,YES
0.782,NO
4.1573,YES
0.6928,NO
1.9306,NO
1.0765,NO
1.1255,NO
2.1519,YES
1.0769,NO
1.8677,YES
1.4780000000000002,NO
0.7555,NO
2.2081,NO
1.1534,NO
1.3983,NO
2.1699,NO
1.4045,NO
0.5954,NO
1.4497,NO
4.1425,YES
1.0637,NO
3.7964,YES
1.4435,NO
1.7493,NO
0.6566,NO
1.317,NO
1.9333,NO
1.4342,NO
1.7981,NO
0.7438,NO
1.6667,NO
2.7028,YES
4.0378,YES
4.3946,YES
3.1066,YES
2.2569,NO
4.1776,YES
1.5234,NO
0.8303,NO
0.4915,NO
0.8687,YES
2.8553,YES
3.3951,YES
1.1640000000000001,YES
0.9965,NO
0.3821,NO
0.5446,YES
0.9118,NO
0.4178,YES
1.0478,NO
0.4197,NO
0.7811,NO
0.2375,NO
0.5018,NO
3.2622,YES
0.7413,NO
2.7902,YES
0.6744,NO
3.1915,YES
0.7519,NO
1.5819999999999999,NO
0.5464,NO
0.5136,NO
1.411,YES
0.6767,NO
1.0687,YES
0.9541,NO
0.5828,NO
1.2854,NO
1.1371,NO
1.4013,NO
1.6561,NO
0.9097,NO
0.4998,NO
0.8857,NO
3.3053,YES
0.7973,NO
3.0988,YES
0.9687,NO
1.5953,NO
0.4052,NO
0.9933,NO
