50Traced_NONETRACED_MAX_MULTI_LSA_35_MEDIAN,Associated
0.32,NO
0.2852,NO
0.2323,NO
0.5644,NO
0.2804,NO
0.4162,NO
0.3258,NO
0.2852,NO
0.3138,NO
0.9462,YES
0.2323,NO
1.0,YES
0.2522,NO
0.3511,NO
0.2223,NO
0.2358,NO
0.4327,NO
0.318,NO
0.3529,NO
0.2852,NO
0.4378,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.314,NO
1.0,YES
0.1354,NO
1.0,YES
1.0,YES
0.3362,NO
0.1579,NO
0.1149,NO
0.2069,NO
0.5234,YES
1.0,YES
0.2069,NO
0.1683,NO
0.1358,NO
0.1443,NO
0.3148,NO
0.3082,NO
0.3148,NO
1.0,YES
0.1922,NO
1.0,YES
0.1652,NO
1.0,YES
0.1652,NO
0.1223,NO
0.2425,NO
0.2425,NO
0.126,NO
0.2113,NO
0.2425,NO
0.1506,NO
0.32,NO
0.1534,NO
0.3753,NO
0.5644,NO
0.3753,NO
0.4162,NO
0.3258,NO
0.0958,NO
0.3138,NO
0.9462,YES
0.3753,NO
1.0,YES
0.2522,NO
0.3673,NO
0.2445,NO
0.1919,NO
0.4327,NO
0.318,NO
0.3765,NO
0.1755,NO
0.4378,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3753,NO
1.0,YES
0.2223,NO
1.0,YES
1.0,YES
0.3559,NO
0.228,NO
0.3559,NO
0.2862,NO
0.3908,YES
1.0,YES
0.2528,NO
0.2193,NO
0.3559,NO
0.188,NO
0.3667,NO
0.3082,NO
0.3667,NO
1.0,YES
0.2013,NO
1.0,YES
0.3559,NO
1.0,YES
0.1617,NO
0.2187,NO
0.316,NO
0.316,NO
0.1641,NO
0.3559,NO
0.316,NO
0.1923,NO
0.3229,NO
0.2493,NO
0.6191,YES
1.0,YES
1.0,YES
0.3951,YES
0.3189,NO
0.2493,NO
0.3236,YES
0.1874,NO
0.6191,YES
0.1443,NO
0.3877,NO
0.3569,NO
0.3877,NO
0.2493,NO
1.0,YES
0.2493,NO
1.0,YES
0.2493,NO
1.0,YES
0.1982,NO
0.4291,NO
0.2147,NO
0.1856,NO
0.6191,YES
0.2751,NO
0.3189,YES
0.32,NO
0.272,NO
0.4528,NO
0.5352,NO
0.4528,NO
0.4162,NO
0.3089,NO
0.272,NO
0.3138,NO
0.8971,YES
0.4528,NO
1.0,YES
0.3166,NO
0.3673,NO
0.3166,NO
0.2249,NO
0.4327,NO
0.318,NO
0.4528,NO
0.272,NO
0.4378,NO
0.9481,YES
1.0,YES
1.0,YES
1.0,YES
0.4528,NO
1.0,YES
0.2026,NO
0.3011,NO
0.174,NO
1.0,YES
1.0,YES
1.0,YES
0.6382,YES
0.344,NO
0.174,NO
0.5227,YES
0.433,NO
1.0,YES
0.2419,NO
0.2252,NO
0.3569,NO
0.2375,NO
0.174,NO
1.0,YES
0.174,NO
1.0,YES
0.174,NO
1.0,YES
0.4576,NO
0.5347,NO
0.4576,NO
0.2229,NO
1.0,YES
0.4576,NO
0.4367,YES
