50Traced_NONETRACED_SUM_RAW_LSA_18_MEDIAN,Associated
0.6026,NO
0.2126,NO
0.7319,NO
0.5663,NO
0.4516,NO
1.0275,NO
0.3666,NO
0.14800000000000002,NO
0.6901,NO
3.1124,YES
0.3561,NO
1.6228,YES
0.3731,NO
0.6341,NO
0.2461,NO
0.1896,NO
0.6024,NO
0.2283,NO
0.8414,NO
0.2179,NO
0.6781,NO
0.9185,YES
3.2026,YES
1.8402,YES
2.2319999999999998,YES
0.6879,NO
2.3493,YES
0.5705,NO
1.3389,YES
1.2173,YES
0.7268,NO
0.3259,NO
0.3461,NO
0.769,NO
1.1229,YES
1.3712,YES
0.6204,NO
0.1056,NO
0.4323,NO
0.1058,NO
0.1797,NO
0.4372,NO
0.2659,NO
1.0664,YES
0.3523,NO
0.3268,YES
0.3952,NO
0.4246,YES
0.2519,NO
0.1212,NO
0.1204,NO
0.1235,NO
0.1012,NO
0.8226,NO
0.1891,NO
0.5083,NO
0.4278,NO
0.2179,NO
0.5408,NO
0.6556,NO
0.5792,NO
0.7838,NO
0.2522,NO
0.1618,NO
0.4499,NO
1.4702,YES
0.2765,NO
1.2325,YES
0.282,NO
0.3998,NO
0.2379,NO
0.1919,NO
0.6447,NO
0.1451,NO
0.9041,NO
0.1755,NO
0.8343,NO
0.6368,YES
1.6355,YES
0.9072,YES
1.0935,YES
0.4418,NO
1.4264,YES
0.3782,NO
1.885,YES
1.3788,YES
0.8151,NO
0.6072,NO
0.3811,NO
0.6398,NO
0.7340000000000001,YES
2.3186,YES
0.5514,NO
0.4758,NO
0.5545,NO
0.3754,NO
0.2544,NO
0.5484,NO
0.3105,NO
0.5947,YES
0.4311,NO
0.9312,YES
0.5383,NO
0.6856,YES
0.4336,NO
0.255,NO
0.5123,NO
0.4233,NO
0.3806,NO
0.6139,NO
0.5687,NO
0.5508,NO
0.2997,NO
0.0725,NO
0.3078,YES
1.633,YES
0.9926,YES
0.5815,YES
0.2732,NO
0.0999,NO
0.4296,YES
0.2045,NO
0.1456,YES
0.1443,NO
0.389,NO
0.5557,NO
0.5932,NO
0.1535,NO
1.4833,YES
0.0895,NO
2.3235,YES
0.1623,NO
1.9906,YES
0.3188,NO
0.6363,NO
0.165,NO
0.177,NO
0.4085,YES
0.1773,NO
0.2657,YES
0.8681,NO
0.3747,NO
0.9313,NO
0.5651,NO
0.6195,NO
1.3219999999999998,NO
0.5322,NO
0.4775,NO
0.7786,NO
2.5789999999999997,YES
0.5638,NO
1.8888,YES
0.3268,NO
0.4965,NO
0.1689,NO
0.3864,NO
0.8172,NO
0.2587,NO
0.8597,NO
0.2513,NO
0.7294,NO
0.9361,YES
2.6907,YES
1.6728,YES
2.169,YES
1.0681,NO
2.0672,YES
0.6181,NO
0.4261,NO
0.1388,NO
0.613,YES
2.0597,YES
1.5669,YES
1.4951,YES
0.2074,NO
0.1069,NO
0.5686,YES
0.5004,NO
0.5406,YES
0.4412,NO
0.3316,NO
0.2758,NO
0.2375,NO
0.2053,NO
2.49,YES
0.141,NO
2.8098,YES
0.2517,NO
2.1325,YES
0.4614,NO
0.8590000000000001,NO
0.39399999999999996,NO
0.3688,NO
1.3269,YES
0.4524,NO
0.4444,YES
0.3676,NO
0.1147,NO
0.5777,NO
0.3637,NO
0.3512,NO
0.8049,NO
0.244,NO
0.1536,NO
0.7095,NO
1.6088,YES
0.6598,NO
0.7658,YES
0.4097,NO
0.5663,NO
0.2967,NO
0.0982,NO
0.4128,NO
0.1567,NO
0.6093,NO
0.2256,NO
0.5027,NO
0.5318,YES
1.6868,YES
1.3327,YES
1.3043,YES
0.662,NO
0.8846,YES
0.7592,NO
0.6036,NO
0.2373,NO
1.3228,NO
0.5204,NO
0.4389,NO
1.4903,NO
0.2671,NO
0.1665,NO
1.053,NO
2.7594,YES
0.7785,NO
2.2449,YES
0.4398,NO
0.4904,NO
0.1996,NO
0.204,NO
0.3163,NO
0.1655,NO
0.6423,NO
0.1939,NO
0.3648,NO
1.1051,YES
2.8339,YES
1.3746,YES
1.6126,YES
0.997,NO
3.1318,YES
0.9612,NO
0.6675,NO
0.2825,NO
0.5342,NO
0.5068,NO
0.3508,NO
0.6684,NO
0.4355,NO
0.365,NO
0.5797,NO
1.8839,YES
0.4537,NO
1.1707,YES
0.251,NO
0.376,NO
0.2007,NO
0.2479,NO
0.4217,NO
0.2241,NO
0.4888,NO
0.1912,NO
0.4405,NO
0.6595,YES
1.9628,YES
1.4509999999999998,YES
1.4955,YES
0.5852,NO
1.3814,YES
0.4281,NO
0.5548,NO
0.2377,NO
0.5805,NO
0.5423,NO
0.4976,NO
0.9108,NO
0.2296,NO
0.326,NO
0.4263,NO
1.3049,YES
0.3498,NO
1.0977,YES
0.2691,NO
0.4132,NO
0.2568,NO
0.1427,NO
0.5789,NO
0.2211,NO
0.6539,NO
0.20600000000000002,NO
0.5619,NO
0.5559,YES
1.4225,YES
0.8624,YES
0.9484,YES
0.6475,NO
1.2327,YES
0.4929,NO
0.3642,NO
0.2666,NO
3.7969,YES
0.4842,YES
1.3633,YES
3.9824,YES
0.39399999999999996,NO
0.1987,NO
2.6268,YES
0.3342,NO
2.513,YES
0.4505,NO
0.7443,NO
0.7852,NO
0.5431,NO
0.2263,NO
1.2518,YES
0.1923,NO
1.9143,YES
0.5132,NO
1.4392,YES
0.5648,NO
0.9219,NO
0.4659,NO
0.3902,NO
3.7416,YES
0.4573,NO
2.4438,YES
0.4482,NO
0.1547,NO
1.1132,YES
0.8590000000000001,NO
0.3876,NO
1.1167,YES
0.1827,NO
0.2301,NO
1.9317,YES
0.191,NO
1.1524,YES
0.1528,NO
0.3264,NO
0.49200000000000005,NO
0.2648,NO
0.171,NO
0.5924,NO
0.2031,NO
0.9086,NO
0.1699,NO
0.4879,NO
0.2577,NO
0.1784,NO
0.3767,NO
0.1917,NO
0.8831,YES
0.3359,NO
1.6184,YES
0.5659,NO
0.13,NO
1.0404,YES
2.8382,YES
1.2744,YES
1.5304,YES
0.3801,NO
0.2848,NO
1.001,YES
0.4082,NO
0.8942,YES
0.4104,NO
0.4219,NO
0.5713,NO
0.4671,NO
0.2817,NO
2.248,YES
0.1969,NO
3.2423,YES
0.2779,NO
2.4412,YES
0.5325,NO
0.8048,NO
0.2935,NO
0.5433,NO
1.3029,YES
0.4167,NO
0.6574,YES
0.2351,NO
0.1646,NO
1.4531,YES
0.1762,NO
0.2242,NO
1.2561,YES
0.2253,NO
0.1572,NO
1.4427,YES
0.3103,NO
1.3629,YES
0.3437,NO
0.2244,NO
0.4932,NO
0.2454,NO
0.1775,NO
0.2106,NO
0.1654,NO
0.5731,NO
0.1731,NO
0.3231,NO
0.3028,NO
0.4046,NO
0.3901,NO
0.2725,NO
1.0918,YES
0.4498,NO
1.416,YES
0.7091,NO
0.1415,NO
0.6018,YES
3.6897,YES
2.0787,YES
1.5443,YES
0.4327,NO
0.2486,NO
0.7997,YES
0.2104,NO
0.5094,YES
0.2369,NO
0.475,NO
0.7373,NO
0.6534,NO
0.3372,NO
3.5337,YES
0.2213,NO
4.4581,YES
0.3126,NO
3.7077,YES
0.5169,NO
0.8351,NO
0.2015,NO
0.3609,NO
1.1508,YES
0.1539,NO
0.5375,YES
2.6575,YES
2.0972,YES
0.6409,NO
0.6166,NO
0.5828,NO
0.6502,NO
1.3891,YES
3.049,YES
0.5169,NO
0.5038,NO
0.2002,NO
0.3962,NO
0.5069,NO
0.8501,NO
0.6009,NO
1.3075,YES
0.5843,NO
1.0174,YES
0.5587,NO
0.8635,YES
0.4179,NO
0.2675,NO
0.5264,NO
0.3862,NO
0.4037,NO
0.5738,NO
0.627,NO
0.4235,NO
0.6072,NO
0.4131,NO
4.605,YES
0.7181,YES
1.5503,YES
4.8652,YES
0.4383,NO
0.33299999999999996,NO
3.2347,YES
0.7298,NO
3.4042,YES
0.6272,NO
0.8687,NO
1.11,NO
0.6971,NO
0.3427,NO
1.4053,YES
0.3408,NO
2.3193,YES
0.6293,NO
1.7005,YES
0.7128,NO
1.2827,NO
0.6071,NO
0.546,NO
4.2433,YES
0.9021,NO
3.3432,YES
0.5709,NO
