50Traced_NONETRACED_MAX_SINGLE_LSA_94_MEDIAN,Associated
0.1341,NO
0.1109,NO
0.6593,NO
0.2164,NO
0.2874,NO
0.6773,NO
0.1963,NO
0.0679,NO
0.2216,NO
1.0,YES
0.7077,NO
1.0,YES
0.3701,NO
0.3701,NO
0.3691,NO
0.1438,NO
0.2942,NO
0.1109,NO
0.4343,NO
0.2508,NO
0.3295,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.5187,NO
1.0,YES
0.1205,NO
0.9432,YES
1.0,YES
0.4007,NO
0.2455,NO
0.2152,NO
0.4007,NO
1.0,YES
1.0,YES
0.2559,NO
0.1056,NO
0.3,NO
0.1058,NO
0.3658,NO
0.397,NO
0.397,NO
1.0,YES
0.2604,NO
1.0,YES
0.2047,NO
1.0,YES
0.1702,NO
0.2314,NO
0.1361,NO
0.2314,NO
0.127,NO
0.4007,NO
0.2314,NO
0.2584,NO
0.1671,NO
0.3133,NO
0.6593,NO
0.3895,NO
0.3369,NO
0.6773,NO
0.2344,NO
0.21600000000000003,NO
0.2187,NO
1.0,YES
0.7077,NO
1.0,YES
0.2134,NO
0.2391,NO
0.2136,NO
0.21600000000000003,NO
0.5985,NO
0.1268,NO
0.4343,NO
0.1851,NO
0.3295,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.5187,NO
1.0,YES
0.2574,NO
0.6166,YES
1.0,YES
0.3542,NO
0.34299999999999997,NO
0.3006,NO
0.3542,NO
1.0,YES
1.0,YES
0.4526,NO
0.601,NO
0.3542,NO
0.601,NO
0.647,NO
0.7021,NO
0.7021,NO
1.0,YES
0.3638,NO
0.5923,YES
0.28600000000000003,NO
0.8571,YES
0.2239,NO
0.601,NO
0.601,NO
0.4197,NO
0.601,NO
0.2568,NO
0.601,NO
0.4519,NO
0.1709,NO
0.1663,NO
0.7346,YES
1.0,YES
1.0,YES
0.503,YES
0.257,NO
0.1663,NO
0.3689,YES
0.1395,NO
0.7346,YES
0.22399999999999998,NO
0.3493,NO
0.379,NO
0.379,NO
0.0921,NO
1.0,YES
0.1663,NO
0.8285,YES
0.3664,NO
0.8285,YES
0.2736,NO
0.457,NO
0.368,NO
0.1918,NO
0.7346,YES
0.3393,NO
0.4304,YES
0.2565,NO
0.3133,NO
0.6593,NO
0.3895,NO
0.3369,NO
0.6773,NO
0.2719,NO
0.2719,NO
0.1628,NO
1.0,YES
0.7077,NO
1.0,YES
0.2451,NO
0.2525,NO
0.2525,NO
0.1388,NO
0.5985,NO
0.2719,NO
0.4343,NO
0.2719,NO
0.3295,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.5187,NO
1.0,YES
0.2574,NO
0.146,NO
0.2248,NO
1.0,YES
1.0,YES
1.0,YES
0.6847,YES
0.2196,NO
0.1065,NO
0.5022,YES
0.6903,NO
1.0,YES
0.6968,NO
0.4058,NO
0.4403,NO
0.4403,NO
0.1453,NO
1.0,YES
0.141,NO
1.0,YES
0.4988,NO
1.0,YES
0.6903,NO
0.6903,NO
0.6968,NO
0.6968,NO
1.0,YES
0.6903,NO
0.5859,YES
0.1415,NO
0.1856,NO
0.3398,NO
0.19,NO
0.3369,NO
0.366,NO
0.1963,NO
0.1856,NO
0.3139,NO
1.0,YES
0.3648,NO
