50Traced_NONETRACED_MAX_MULTI_VSM_19_MAX,Associated
0.2262,NO
0.0713,NO
0.5722,NO
0.5644,NO
0.2813,NO
0.6333,NO
0.4164,NO
0.1187,NO
0.2141,NO
1.0,YES
0.4964,NO
0.4567,YES
0.3353,NO
0.35200000000000004,NO
0.3353,NO
0.1596,NO
0.3984,NO
0.1164,NO
0.3844,NO
0.2179,NO
0.1995,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2289,NO
1.0,YES
0.2289,NO
1.0,YES
0.6914,YES
0.3362,NO
0.2304,NO
0.2796,NO
0.2113,NO
1.0,YES
0.7333,YES
0.2113,NO
0.1789,NO
0.2796,NO
0.1189,NO
0.2584,NO
0.3144,NO
0.1953,NO
1.0,YES
0.2796,NO
1.0,YES
0.2796,NO
1.0,YES
0.127,NO
0.1789,NO
0.2456,NO
0.1267,NO
0.1789,NO
0.2673,NO
0.1789,NO
0.1506,NO
0.2947,NO
0.1534,NO
0.5722,NO
0.5644,NO
0.2813,NO
0.6333,NO
0.4164,NO
0.1187,NO
0.2297,NO
1.0,YES
0.4964,NO
1.0,YES
0.3104,NO
0.3673,NO
0.2136,NO
0.3282,NO
0.4327,NO
0.1316,NO
0.3844,NO
0.1755,NO
0.2418,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2297,NO
1.0,YES
0.1604,NO
0.9153,YES
1.0,YES
0.3559,NO
0.2304,NO
0.3559,NO
0.2862,NO
1.0,YES
0.6779999999999999,YES
0.2528,NO
0.2251,NO
0.3559,NO
0.1189,NO
0.2289,NO
0.3413,NO
0.2075,NO
1.0,YES
0.3559,NO
1.0,YES
0.3559,NO
1.0,YES
0.1909,NO
0.2251,NO
0.2187,NO
0.2251,NO
0.2187,NO
0.2862,NO
0.2187,NO
0.2862,NO
0.27,NO
0.0849,NO
0.6191,YES
1.0,YES
0.7917,YES
0.4224,YES
0.2784,NO
0.0821,NO
0.3701,YES
0.2975,NO
0.6191,YES
0.1787,NO
0.3877,NO
0.3877,NO
0.3877,NO
0.1349,NO
1.0,YES
0.1216,NO
1.0,YES
0.1417,NO
1.0,YES
0.254,NO
0.4169,NO
0.254,NO
0.1856,NO
0.4224,YES
0.4382,NO
0.4224,YES
0.2947,NO
0.1493,NO
0.4528,NO
0.5644,NO
0.4528,NO
0.3946,NO
0.3258,NO
0.1225,NO
0.2367,NO
1.0,YES
0.4528,NO
1.0,YES
0.2244,NO
0.3673,NO
0.1689,NO
0.3282,NO
0.4528,NO
0.0726,NO
0.4528,NO
0.2019,NO
0.2418,NO
1.0,YES
1.0,YES
0.7587,YES
1.0,YES
0.2635,NO
1.0,YES
0.1977,NO
0.1348,NO
0.1676,NO
1.0,YES
0.7909,YES
1.0,YES
0.6382,YES
0.344,NO
0.1327,NO
0.5227,YES
0.4608,NO
1.0,YES
0.4608,NO
0.3335,NO
0.3522,NO
0.3335,NO
0.1567,NO
1.0,YES
0.141,NO
1.0,YES
0.142,NO
1.0,YES
0.3369,NO
0.5347,NO
0.3496,NO
0.4066,NO
0.5820000000000001,YES
0.4608,NO
0.4367,YES
0.3096,NO
0.1493,NO
0.2722,NO
0.2486,NO
0.1547,NO
0.3013,NO
0.3096,NO
0.2271,NO
0.2756,NO
1.0,YES
0.2748,NO
1.0,YES
0.4316,NO
0.4316,NO
0.4316,NO
0.3282,NO
0.4327,NO
0.3096,NO
0.3529,NO
0.2988,NO
0.2418,NO
0.6851,YES
1.0,YES
0.7587,YES
1.0,YES
0.2405,NO
1.0,YES
0.2029,NO
0.1468,NO
0.1871,NO
0.5722,NO
0.5644,NO
0.3237,NO
0.6333,NO
0.4164,NO
0.1187,NO
0.3905,NO
1.0,YES
0.4964,NO
1.0,YES
0.3104,NO
0.35200000000000004,NO
0.1069,NO
0.3282,NO
0.4327,NO
0.1655,NO
0.4156,NO
0.1309,NO
0.2819,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3271,NO
1.0,YES
0.3263,NO
0.307,NO
0.1493,NO
0.5722,NO
0.5644,NO
0.4809,NO
0.6333,NO
0.4164,NO
0.2252,NO
0.2964,NO
1.0,YES
0.4964,NO
1.0,YES
0.3104,NO
0.35200000000000004,NO
0.2007,NO
0.3282,NO
0.4809,NO
0.307,NO
0.4809,NO
0.2636,NO
0.2184,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2799,NO
1.0,YES
0.2964,NO
0.2156,NO
