50Traced_NONETRACED_MAX_SINGLE_LSA_81_MEDIAN,Associated
0.2076,NO
0.3133,NO
0.1901,NO
0.3031,NO
0.3315,NO
0.3464,NO
0.4224,NO
0.2201,NO
0.444,NO
1.0,YES
0.7077,NO
1.0,YES
0.3701,NO
0.3574,NO
0.3701,NO
0.3249,NO
0.2553,NO
0.2201,NO
0.4343,NO
0.2201,NO
0.3295,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2322,NO
1.0,YES
0.3939,NO
0.382,YES
1.0,YES
0.3639,NO
0.3639,NO
0.3639,NO
0.2515,NO
1.0,YES
1.0,YES
0.2504,NO
0.3066,NO
0.3639,NO
0.3066,NO
0.4183,NO
0.40399999999999997,NO
0.4183,NO
1.0,YES
0.2735,NO
0.405,YES
0.2676,NO
1.0,YES
0.3639,NO
0.1688,NO
0.3066,NO
0.2314,NO
0.3066,NO
0.2572,NO
0.3066,NO
0.2751,NO
0.2057,NO
0.3133,NO
0.3063,NO
0.3063,NO
0.3369,NO
0.3464,NO
0.4224,NO
0.1135,NO
0.444,NO
1.0,YES
0.7077,NO
1.0,YES
0.2134,NO
0.2168,NO
0.2136,NO
0.3249,NO
0.4176,NO
0.1268,NO
0.4343,NO
0.1755,NO
0.3295,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2322,NO
1.0,YES
0.3939,NO
0.9432,YES
1.0,YES
0.6805,NO
0.6805,NO
0.6805,NO
0.466,NO
1.0,YES
1.0,YES
0.4479,NO
0.4197,NO
0.6805,NO
0.1135,NO
0.2289,NO
0.2088,NO
0.2075,NO
1.0,YES
0.5115,NO
1.0,YES
0.5005,NO
1.0,YES
0.6805,NO
0.2458,NO
0.2533,NO
0.4197,NO
0.4197,NO
0.48100000000000004,NO
0.4197,NO
0.3987,NO
0.1568,NO
0.2248,NO
1.0,YES
1.0,YES
1.0,YES
0.6847,YES
0.2995,NO
0.1663,NO
0.5022,YES
0.2963,NO
1.0,YES
0.2198,NO
0.3291,NO
0.3179,NO
0.3291,NO
0.1663,NO
1.0,YES
0.1663,NO
1.0,YES
0.1663,NO
1.0,YES
0.061,NO
0.4485,NO
0.5265,NO
0.3307,NO
0.7068,YES
0.2109,NO
0.5859,YES
0.2169,NO
0.3133,NO
0.2137,NO
0.3054,NO
0.3369,NO
0.3573,NO
0.2687,NO
0.2169,NO
0.3573,NO
1.0,YES
0.4354,NO
1.0,YES
0.2327,NO
0.2525,NO
0.2525,NO
0.3249,NO
0.4176,NO
0.2084,NO
0.3054,NO
0.2169,NO
0.3054,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3573,NO
1.0,YES
0.2574,NO
0.1178,NO
0.2183,NO
0.8266,YES
1.0,YES
1.0,YES
0.5660000000000001,YES
0.2476,NO
0.1194,NO
0.4151,YES
0.6968,NO
0.8266,YES
0.6968,NO
0.2252,NO
0.2571,NO
0.2375,NO
0.2264,NO
1.0,YES
0.141,NO
1.0,YES
0.142,NO
1.0,YES
0.6968,NO
0.6903,NO
0.6903,NO
0.6903,NO
0.5843,YES
0.6968,NO
0.4843,YES
0.2332,NO
0.3133,NO
0.366,NO
0.19,NO
0.3315,NO
0.4239,NO
0.2344,NO
0.2332,NO
0.4239,NO
1.0,YES
0.4239,NO
1.0,YES
0.406,NO
0.4406,NO
0.4406,NO
0.3249,NO
0.1902,NO
0.22399999999999998,NO
0.2239,NO
0.2332,NO
0.1755,NO
1.0,YES
1.0,YES
0.9091,YES
1.0,YES
0.4239,NO
1.0,YES
0.366,NO
0.2057,NO
0.3133,NO
0.4095,NO
0.4374,NO
0.4374,NO
0.3916,NO
0.4224,NO
0.1825,NO
0.444,NO
1.0,YES
0.7077,NO
1.0,YES
0.2134,NO
0.2085,NO
0.1733,NO
0.3249,NO
0.4374,NO
0.1655,NO
0.4374,NO
0.1825,NO
0.4374,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3916,NO
1.0,YES
0.4095,NO
0.2093,NO
0.2036,NO
0.1953,NO
0.3103,NO
0.3369,NO
0.3095,NO
0.2687,NO
0.2093,NO
0.3095,NO
1.0,YES
0.4203,NO
1.0,YES
0.2729,NO
0.2866,NO
0.2866,NO
0.2111,NO
0.4176,NO
0.2011,NO
0.3103,NO
0.2093,NO
0.3103,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3095,NO
1.0,YES
0.2339,NO
0.2057,NO
0.2365,NO
0.31,NO
0.31,NO
0.3369,NO
0.2615,NO
0.4224,NO
0.1352,NO
0.444,NO
1.0,YES
0.7077,NO
1.0,YES
0.2846,NO
0.2749,NO
0.2846,NO
0.2453,NO
0.4176,NO
0.1352,NO
0.4343,NO
0.1702,NO
0.3295,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2191,NO
1.0,YES
0.3939,NO
0.2097,NO
0.3233,NO
1.0,YES
0.6673,YES
0.6673,YES
1.0,YES
0.3986,NO
0.2194,NO
1.0,YES
0.1242,NO
1.0,YES
0.1629,NO
0.4151,NO
0.441,NO
0.441,NO
0.2557,NO
0.5016,YES
0.2194,NO
0.5394,YES
0.4826,NO
0.6673,YES
0.2571,NO
0.2483,NO
0.5719,NO
0.3693,NO
1.0,YES
0.6789,NO
1.0,YES
0.2097,NO
0.3233,NO
1.0,YES
0.6811,NO
0.6811,NO
1.0,YES
0.3051,NO
0.134,NO
0.9727,YES
0.191,NO
1.0,YES
0.1629,NO
0.4978,NO
0.5402,NO
0.5402,NO
0.1957,NO
0.6811,NO
0.1398,NO
0.6811,NO
0.3122,NO
0.6811,NO
0.2081,NO
0.2365,NO
0.5719,NO
0.3693,NO
1.0,YES
0.5196,NO
0.7929999999999999,YES
0.1805,NO
0.2225,NO
0.982,YES
1.0,YES
1.0,YES
0.6724,YES
0.3708,NO
0.1312,NO
0.4931,YES
0.8778,NO
0.982,YES
0.7101,NO
0.4811,NO
0.5221,NO
0.5221,NO
0.2307,NO
1.0,YES
0.1052,NO
1.0,YES
0.1224,NO
1.0,YES
0.7101,NO
0.6351,NO
0.8778,NO
0.8778,NO
0.6941,YES
0.8778,NO
0.5753,YES
0.1636,NO
0.2596,NO
1.0,YES
0.6479,NO
0.6479,NO
1.0,YES
0.2703,NO
0.153,NO
0.8576,YES
0.6038,NO
1.0,YES
0.439,NO
0.38799999999999996,NO
0.3363,NO
0.3363,NO
0.1775,NO
0.6479,NO
0.1654,NO
0.6479,NO
0.0902,NO
0.6479,NO
0.439,NO
0.3927,NO
0.6038,NO
0.6038,NO
0.7803,YES
0.6038,NO
1.0,YES
0.2084,NO
0.2956,NO
1.0,YES
1.0,YES
1.0,YES
0.6847,YES
0.2995,NO
0.221,NO
0.5022,YES
0.4207,NO
1.0,YES
0.4207,NO
0.7871,NO
0.7602,NO
0.7871,NO
0.221,NO
1.0,YES
0.221,NO
1.0,YES
0.221,NO
1.0,YES
0.218,NO
0.4207,NO
0.5265,NO
0.4207,NO
0.7068,YES
0.4207,NO
0.5859,YES
1.0,YES
1.0,YES
0.4952,NO
0.4952,NO
0.4952,NO
0.4057,NO
1.0,YES
1.0,YES
0.3722,NO
0.4076,NO
0.4952,NO
0.4076,NO
0.6218,NO
0.6005,NO
0.6218,NO
1.0,YES
0.3722,NO
0.9606,YES
0.3642,NO
1.0,YES
0.4952,NO
0.3269,NO
0.4076,NO
0.3547,NO
0.4076,NO
0.35,NO
0.4076,NO
0.409,NO
0.2003,NO
0.3002,NO
1.0,YES
0.5710000000000001,YES
0.5710000000000001,YES
1.0,YES
0.3709,NO
0.1244,NO
1.0,YES
0.2684,NO
1.0,YES
0.2684,NO
0.38799999999999996,NO
0.3838,NO
0.2687,NO
0.1612,NO
0.4785,YES
0.1171,NO
0.5394,YES
0.506,NO
0.5710000000000001,YES
0.2684,NO
0.2401,NO
0.531,NO
0.3429,NO
1.0,YES
0.5692,NO
1.0,YES
0.2339,NO
0.2248,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3986,NO
0.2339,NO
1.0,YES
0.6074,NO
1.0,YES
0.6074,NO
0.2872,NO
0.2539,NO
0.2758,NO
0.2557,NO
0.7517,YES
0.2247,NO
0.7355,YES
0.506,NO
1.0,YES
0.6074,NO
0.6074,NO
0.6074,NO
0.6074,NO
1.0,YES
0.6789,NO
1.0,YES
0.2097,NO
0.3233,NO
1.0,YES
0.6709999999999999,YES
0.6709999999999999,YES
1.0,YES
0.3986,NO
0.1622,NO
1.0,YES
0.5224,NO
1.0,YES
0.5224,NO
0.4151,NO
0.36700000000000005,NO
0.2894,NO
0.2557,NO
0.6709999999999999,YES
0.1975,NO
0.6709999999999999,YES
0.3187,NO
0.6709999999999999,YES
0.5224,NO
0.4673,NO
0.5719,NO
0.3693,NO
1.0,YES
0.6789,NO
1.0,YES
0.2216,NO
0.3233,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4103,NO
0.134,NO
1.0,YES
0.4433,NO
1.0,YES
0.2655,NO
0.4151,NO
0.4246,NO
0.2972,NO
0.1529,NO
0.7517,YES
0.1171,NO
0.7355,YES
0.506,NO
1.0,YES
0.2655,NO
0.3721,NO
0.5719,NO
0.4433,NO
1.0,YES
0.5482,NO
1.0,YES
0.1425,NO
0.2248,NO
1.0,YES
1.0,YES
1.0,YES
0.6847,YES
0.2995,NO
0.1483,NO
0.5022,YES
0.6109,NO
1.0,YES
0.6109,NO
0.2488,NO
0.2731,NO
0.2758,NO
0.1985,NO
0.9773,YES
0.1648,NO
0.9338,YES
0.1508,NO
1.0,YES
0.6109,NO
0.5464,NO
0.5554,NO
0.3307,NO
0.7068,YES
0.6109,NO
0.5859,YES
0.1201,NO
0.2059,NO
0.7440000000000001,YES
1.0,YES
1.0,YES
0.5094,YES
0.2229,NO
0.1131,NO
0.4912,YES
0.4584,NO
0.7440000000000001,YES
0.4584,NO
0.2096,NO
0.1853,NO
0.2052,NO
0.1825,NO
1.0,YES
0.1772,NO
1.0,YES
0.1786,NO
1.0,YES
0.4584,NO
0.457,NO
0.4167,NO
0.4027,NO
0.5259,YES
0.4584,NO
0.5031,YES
0.2769,NO
0.4212,NO
0.4344,NO
0.3776,NO
0.3776,NO
0.4344,NO
0.2526,NO
0.2552,NO
0.5987,NO
0.3073,NO
0.4344,NO
0.3073,NO
1.0,YES
1.0,YES
1.0,YES
0.2552,NO
0.3776,NO
0.2526,NO
0.3776,NO
0.2552,NO
0.3776,NO
0.2128,NO
0.3073,NO
0.2128,NO
0.3073,NO
0.2858,NO
0.3073,NO
0.6577,NO
0.9432,YES
1.0,YES
0.2752,NO
0.2269,NO
0.2269,NO
0.1763,NO
1.0,YES
1.0,YES
0.2116,NO
0.3252,NO
0.2269,NO
0.3252,NO
0.2747,NO
0.2981,NO
0.2981,NO
1.0,YES
0.21600000000000003,NO
1.0,YES
0.21600000000000003,NO
1.0,YES
0.2269,NO
0.1688,NO
