50Traced_NONETRACED_MAX_MULTI_VSM_35_MAX,Associated
0.2574,NO
0.2574,NO
0.1629,NO
0.4029,NO
0.2813,NO
0.6333,NO
0.4164,NO
0.2852,NO
0.4753,NO
1.0,YES
0.1782,NO
1.0,YES
0.3104,NO
0.3824,NO
0.2223,NO
0.2852,NO
0.3984,NO
0.2574,NO
0.2383,NO
0.2179,NO
0.2323,NO
1.0,YES
1.0,YES
0.8236,YES
1.0,YES
0.4758,NO
0.7756,YES
0.1782,NO
0.9589,YES
1.0,YES
0.3362,NO
0.2165,NO
0.2165,NO
0.2287,NO
1.0,YES
1.0,YES
0.2287,NO
0.2425,NO
0.1276,NO
0.1939,NO
0.3148,NO
0.2333,NO
0.3148,NO
1.0,YES
0.2278,NO
0.8716,YES
0.2165,NO
0.568,YES
0.2796,NO
0.2425,NO
0.2456,NO
0.1597,NO
0.2425,NO
0.2287,NO
0.1504,NO
0.2287,NO
0.3088,NO
0.1534,NO
0.2287,NO
0.4177,NO
0.2471,NO
0.4016,NO
0.3258,NO
0.1316,NO
0.3028,NO
1.0,YES
0.2866,NO
0.965,YES
0.2445,NO
0.3388,NO
0.2445,NO
0.1944,NO
0.3104,NO
0.3069,NO
0.3405,NO
0.1755,NO
0.3753,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.303,NO
0.965,YES
0.2866,NO
0.9589,YES
1.0,YES
0.3356,NO
0.2044,NO
0.1909,NO
0.1697,NO
0.5161,YES
0.7333,YES
0.2341,NO
0.2251,NO
0.1594,NO
0.2251,NO
0.2824,NO
0.278,NO
0.2281,NO
1.0,YES
0.2278,NO
0.8716,YES
0.1909,NO
0.568,YES
0.1,NO
0.2251,NO
0.2456,NO
0.1854,NO
0.1053,NO
0.2479,NO
0.1746,NO
0.1724,NO
0.2556,NO
0.2493,NO
0.3116,YES
1.0,YES
1.0,YES
0.3951,YES
0.2651,NO
0.2493,NO
0.3701,YES
0.3816,NO
0.3701,YES
0.254,NO
0.2986,NO
0.3376,NO
0.2412,NO
0.2493,NO
1.0,YES
0.2493,NO
1.0,YES
0.1882,NO
0.7878,YES
0.254,NO
0.5347,NO
0.3056,NO
0.2147,NO
0.3603,YES
0.2838,NO
0.3701,YES
0.3331,NO
0.3331,NO
0.2287,NO
0.4329,NO
0.3132,NO
0.4162,NO
0.3258,NO
0.3331,NO
0.3138,NO
1.0,YES
0.2887,NO
1.0,YES
0.2438,NO
0.3511,NO
0.19699999999999998,NO
0.3331,NO
0.3132,NO
0.3331,NO
0.3529,NO
0.2019,NO
0.4528,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.314,NO
1.0,YES
0.2458,NO
0.3229,NO
0.1168,NO
0.5033,YES
1.0,YES
1.0,YES
0.6382,YES
0.2784,NO
0.0856,NO
0.5227,YES
0.4608,NO
0.4491,YES
0.4608,NO
0.3031,NO
0.3569,NO
0.2375,NO
0.1729,NO
1.0,YES
0.1465,NO
1.0,YES
0.304,NO
1.0,YES
0.4576,NO
0.5347,NO
0.4856,NO
0.4608,NO
0.5820000000000001,YES
0.4608,NO
0.4367,YES
0.3071,NO
0.3096,NO
0.2381,NO
0.3065,NO
0.2386,NO
0.4218,NO
0.3258,NO
0.2988,NO
0.2756,NO
0.9462,YES
0.3347,NO
0.4757,YES
0.3323,NO
0.3272,NO
0.2685,NO
0.3096,NO
0.2361,NO
0.2988,NO
0.2577,NO
0.2256,NO
0.42700000000000005,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3153,NO
0.3689,YES
0.3347,NO
0.3071,NO
0.1339,NO
0.2287,NO
0.4156,NO
0.4156,NO
0.4569,NO
0.3258,NO
0.1871,NO
0.3429,NO
0.9462,YES
0.2696,NO
0.9199,YES
0.22399999999999998,NO
0.32299999999999995,NO
0.0706,NO
0.204,NO
0.4156,NO
0.2925,NO
0.3308,NO
0.1309,NO
0.4156,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3432,NO
0.9199,YES
0.2696,NO
0.32,NO
0.307,NO
0.2287,NO
0.4329,NO
0.3827,NO
0.6333,NO
0.4164,NO
0.2252,NO
0.4753,NO
1.0,YES
0.2887,NO
1.0,YES
0.3547,NO
0.3824,NO
0.3547,NO
0.307,NO
0.3984,NO
0.318,NO
0.3827,NO
0.1912,NO
0.3078,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4758,NO
1.0,YES
0.2458,NO
0.32,NO
0.0714,NO
0.2287,NO
0.4329,NO
0.263,NO
0.4162,NO
0.3258,NO
0.0563,NO
0.3138,NO
1.0,YES
0.2887,NO
1.0,YES
0.3435,NO
0.3511,NO
0.3435,NO
0.1596,NO
0.2271,NO
0.318,NO
0.3529,NO
0.1702,NO
0.3649,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.314,NO
1.0,YES
0.2458,NO
0.3527,NO
0.065,NO
0.5633,YES
0.3242,YES
0.2829,YES
1.0,YES
0.3898,NO
0.1329,NO
1.0,YES
0.5358,NO
1.0,YES
0.5358,NO
0.4413,NO
0.4456,NO
0.1542,NO
0.184,NO
0.4013,YES
0.1371,NO
0.516,YES
0.2129,NO
0.5061,YES
0.5358,NO
0.3467,NO
0.4412,NO
0.242,NO
0.6869,YES
0.4155,NO
1.0,YES
0.3183,NO
0.1547,NO
0.5557,YES
0.6395,NO
0.6395,NO
1.0,YES
0.4093,NO
0.1287,NO
0.9273,YES
0.2942,NO
1.0,YES
0.2942,NO
0.3984,NO
0.474,NO
0.2648,NO
0.1747,NO
0.6395,NO
0.1411,NO
0.509,NO
0.1451,NO
0.6395,NO
0.2016,NO
0.3547,NO
0.4303,NO
0.2942,NO
0.7318,YES
0.4098,NO
1.0,YES
0.3229,NO
0.2544,NO
0.5033,YES
1.0,YES
1.0,YES
0.6382,YES
0.2784,NO
0.2544,NO
0.5227,YES
0.6231,NO
0.4491,YES
0.6231,NO
0.3581,NO
0.3569,NO
0.2893,NO
0.2544,NO
1.0,YES
0.2544,NO
1.0,YES
0.304,NO
1.0,YES
0.6231,NO
0.6083,NO
0.6083,NO
0.6083,NO
0.6149,YES
0.4832,NO
0.4367,YES
0.2393,NO
0.1646,NO
0.5359,YES
0.1979,NO
0.1795,NO
0.6838,YES
0.2752,NO
0.153,NO
0.6838,YES
0.5177,NO
0.8554,YES
0.5177,NO
0.2949,NO
0.3005,NO
0.1684,NO
0.1775,NO
0.2681,NO
0.1654,NO
0.4414,NO
0.1572,NO
0.2663,NO
0.5177,NO
0.3432,NO
0.4264,NO
0.3773,NO
0.7795,YES
0.4015,NO
0.8554,YES
0.2522,NO
0.0483,NO
0.5033,YES
1.0,YES
1.0,YES
0.6382,YES
0.2651,NO
0.1184,NO
0.5227,YES
0.3816,NO
0.4491,YES
0.153,NO
0.3031,NO
0.3376,NO
0.1785,NO
0.1567,NO
1.0,YES
0.0802,NO
1.0,YES
0.304,NO
1.0,YES
0.1048,NO
0.5347,NO
0.4856,NO
0.1587,NO
0.5820000000000001,YES
0.4444,NO
0.4367,YES
1.0,YES
1.0,YES
0.3634,NO
0.2304,NO
0.1894,NO
0.275,NO
0.2791,YES
1.0,YES
0.1771,NO
0.2457,NO
0.1522,NO
0.2457,NO
0.2131,NO
0.3082,NO
0.1446,NO
1.0,YES
0.1675,NO
1.0,YES
0.2045,NO
0.5838,YES
0.3389,NO
0.2457,NO
0.2273,NO
0.2273,NO
0.2273,NO
0.2177,NO
0.1906,NO
0.14800000000000002,NO
0.3527,NO
0.0865,NO
0.5831,YES
0.3525,YES
0.3075,YES
1.0,YES
0.4093,NO
0.1358,NO
1.0,YES
0.1665,NO
1.0,YES
0.1713,NO
0.4413,NO
0.474,NO
0.21600000000000003,NO
0.184,NO
0.4013,YES
0.1767,NO
0.4637,YES
0.308,NO
0.5502,YES
0.2213,NO
0.3547,NO
0.5187,NO
0.2338,NO
1.0,YES
0.5104,NO
1.0,YES
0.3527,NO
0.0984,NO
0.7838,YES
0.6407,YES
0.5589,YES
1.0,YES
0.4024,NO
0.2411,NO
1.0,YES
0.3769,NO
1.0,YES
0.3769,NO
0.4413,NO
0.4456,NO
0.3247,NO
0.2411,NO
0.4942,YES
0.1767,NO
0.6036,YES
0.308,NO
1.0,YES
0.2582,NO
0.462,NO
0.6069,NO
0.3769,NO
1.0,YES
0.578,NO
1.0,YES
0.3527,NO
0.1099,NO
0.7838,YES
0.6407,YES
0.5589,YES
1.0,YES
0.4093,NO
0.1622,NO
1.0,YES
0.5289,NO
1.0,YES
0.5289,NO
0.4413,NO
0.474,NO
0.1849,NO
0.2034,NO
0.4942,YES
0.1975,NO
0.6036,YES
0.308,NO
1.0,YES
0.5289,NO
0.462,NO
0.6069,NO
0.242,NO
1.0,YES
0.578,NO
1.0,YES
0.3527,NO
0.0838,NO
0.5831,YES
0.6407,YES
0.5589,YES
1.0,YES
0.4093,NO
0.1358,NO
1.0,YES
0.3027,NO
1.0,YES
0.2806,NO
0.4413,NO
0.474,NO
0.2744,NO
0.184,NO
0.4942,YES
0.1411,NO
0.6036,YES
0.304,NO
1.0,YES
0.2375,NO
0.462,NO
0.5187,NO
0.2806,NO
1.0,YES
0.5104,NO
1.0,YES
0.27,NO
0.1881,NO
0.5033,YES
1.0,YES
1.0,YES
0.6382,YES
0.2784,NO
0.1995,NO
0.5227,YES
0.3027,NO
0.4491,YES
0.1418,NO
0.3569,NO
0.3569,NO
0.3569,NO
0.1995,NO
1.0,YES
0.1881,NO
0.7959999999999999,YES
0.304,NO
1.0,YES
0.1982,NO
0.462,NO
0.4856,NO
0.1018,NO
0.5820000000000001,YES
0.4444,NO
0.4367,YES
0.3229,NO
0.10300000000000001,NO
0.3075,YES
1.0,YES
1.0,YES
0.5022,YES
0.2784,NO
0.0935,NO
0.3193,YES
0.3816,NO
0.4131,YES
0.1729,NO
0.2531,NO
0.3569,NO
0.1762,NO
0.1825,NO
1.0,YES
0.1772,NO
1.0,YES
0.1857,NO
1.0,YES
0.1982,NO
0.5347,NO
0.3056,NO
0.1696,NO
0.3891,YES
0.4382,NO
0.3189,YES
0.2897,NO
0.1943,NO
0.1948,NO
0.2858,NO
0.2437,NO
0.3316,NO
0.3122,NO
0.1943,NO
0.4623,NO
0.1291,NO
0.301,NO
0.133,NO
0.7691,YES
0.57,YES
0.7691,YES
0.1943,NO
0.2767,NO
0.1943,NO
0.2437,NO
0.1551,NO
0.2654,NO
0.0667,NO
0.2463,NO
0.1733,NO
0.1547,NO
0.3341,NO
0.1836,NO
0.3371,NO
0.9589,YES
1.0,YES
0.2752,NO
0.2044,NO
0.1921,NO
0.16699999999999998,NO
0.6856,YES
0.7333,YES
0.1251,NO
0.2608,NO
0.1276,NO
0.1784,NO
0.1661,NO
0.1504,NO
0.1562,NO
1.0,YES
0.2278,NO
0.8716,YES
0.175,NO
0.568,YES
0.1513,NO
0.2608,NO
0.2608,NO
0.1468,NO
0.2608,NO
0.1407,NO
0.0935,NO
0.1469,NO
0.27,NO
0.1526,NO
0.5033,YES
1.0,YES
1.0,YES
0.6382,YES
0.2784,NO
0.1526,NO
0.5227,YES
0.3027,NO
0.4491,YES
0.1244,NO
0.3031,NO
0.3569,NO
0.1805,NO
0.1729,NO
1.0,YES
0.1526,NO
0.7959999999999999,YES
0.304,NO
1.0,YES
0.1982,NO
0.462,NO
0.4856,NO
0.1809,NO
0.5820000000000001,YES
0.4444,NO
0.4367,YES
0.7969,YES
0.7969,YES
0.3473,NO
0.2043,NO
0.2043,NO
0.295,NO
1.0,YES
1.0,YES
0.2279,NO
0.2011,NO
0.1537,NO
0.2011,NO
0.3062,NO
0.2456,NO
0.3062,NO
1.0,YES
0.2044,NO
0.7969,YES
0.2043,NO
0.504,YES
0.275,NO
0.2011,NO
0.2289,NO
0.1823,NO
0.1823,NO
0.2279,NO
0.1559,NO
0.2279,NO
0.32,NO
0.2425,NO
0.1629,NO
0.4329,NO
0.282,NO
0.6333,NO
0.4164,NO
0.1779,NO
0.4753,NO
1.0,YES
0.2887,NO
1.0,YES
0.3627,NO
0.3824,NO
0.3627,NO
0.2425,NO
0.3984,NO
0.318,NO
0.3529,NO
0.2072,NO
0.2269,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4758,NO
1.0,YES
0.2458,NO
1.0,YES
1.0,YES
0.2856,NO
0.2304,NO
0.2061,NO
0.1803,NO
0.3322,YES
1.0,YES
0.1546,NO
0.2015,NO
0.1276,NO
0.1199,NO
0.172,NO
0.3082,NO
0.1463,NO
1.0,YES
0.2278,NO
1.0,YES
0.1756,NO
0.5838,YES
0.2067,NO
0.2015,NO
0.2456,NO
0.1274,NO
0.2015,NO
0.1546,NO
0.1724,NO
0.1546,NO
0.3765,NO
0.3765,NO
0.2212,NO
0.4329,NO
0.2287,NO
0.4162,NO
0.3056,NO
0.3765,NO
0.3138,NO
1.0,YES
0.2887,NO
1.0,YES
0.2853,NO
0.3511,NO
0.2305,NO
0.3765,NO
0.3104,NO
0.3765,NO
0.3529,NO
0.2286,NO
0.1494,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.314,NO
1.0,YES
0.2676,NO
