50Traced_NONETRACED_MAX_SINGLE_LSA_38_MEDIAN,Associated
0.1671,NO
0.3133,NO
0.1144,NO
0.3895,NO
0.191,NO
0.3464,NO
0.2626,NO
0.2626,NO
0.2452,NO
0.8445,YES
0.1142,NO
1.0,YES
0.3701,NO
0.3574,NO
0.3701,NO
0.3249,NO
0.2942,NO
0.2886,NO
0.1818,NO
0.2251,NO
0.4715,NO
1.0,YES
1.0,YES
0.9091,YES
1.0,YES
0.2322,NO
1.0,YES
0.1205,NO
1.0,YES
1.0,YES
0.3362,NO
0.2707,NO
0.27899999999999997,NO
0.2515,NO
1.0,YES
1.0,YES
0.3639,NO
0.21100000000000002,NO
0.2515,NO
0.3066,NO
0.4183,NO
0.40399999999999997,NO
0.4183,NO
1.0,YES
0.3639,NO
1.0,YES
0.3639,NO
1.0,YES
0.3639,NO
0.3066,NO
0.3066,NO
0.1916,NO
0.3066,NO
0.3639,NO
0.3066,NO
0.2584,NO
0.2057,NO
0.3133,NO
0.2077,NO
0.6139,NO
0.3076,NO
0.6773,NO
0.4224,NO
0.1135,NO
0.444,NO
1.0,YES
0.2077,NO
1.0,YES
0.2134,NO
0.2168,NO
0.2136,NO
0.3249,NO
0.3076,NO
0.2886,NO
0.3063,NO
0.1827,NO
0.4715,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.5187,NO
1.0,YES
0.2077,NO
1.0,YES
1.0,YES
0.5415,NO
0.5062,NO
0.5217,NO
0.5415,NO
1.0,YES
1.0,YES
0.6805,NO
0.4197,NO
0.4605,NO
0.4197,NO
0.7376,NO
0.7124,NO
0.7376,NO
1.0,YES
0.6805,NO
0.9606,YES
0.6805,NO
0.9717,YES
0.6805,NO
0.4069,NO
0.4197,NO
0.4197,NO
0.4197,NO
0.6805,NO
0.4197,NO
0.4653,NO
0.102,NO
0.2021,NO
0.5483,YES
1.0,YES
1.0,YES
0.6847,YES
0.1195,NO
0.0921,NO
1.0,YES
0.2963,NO
0.6283,YES
0.2198,NO
0.3291,NO
0.3179,NO
0.3291,NO
0.1146,NO
1.0,YES
0.0896,NO
1.0,YES
0.1989,NO
1.0,YES
0.3725,NO
0.4485,NO
0.5265,NO
0.2464,NO
1.0,YES
0.4518,NO
0.5859,YES
0.2057,NO
0.3133,NO
0.3573,NO
0.6139,NO
0.3054,NO
0.6773,NO
0.4224,NO
0.1996,NO
0.444,NO
1.0,YES
0.2675,NO
1.0,YES
0.2134,NO
0.2012,NO
0.1689,NO
0.3249,NO
0.3054,NO
0.2886,NO
0.2299,NO
0.2019,NO
0.4715,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.5187,NO
1.0,YES
0.2039,NO
0.1126,NO
0.2059,NO
0.4532,YES
1.0,YES
1.0,YES
0.5660000000000001,YES
0.2003,NO
0.1194,NO
0.8266,YES
0.6903,NO
0.5193,YES
0.6903,NO
0.4403,NO
0.4403,NO
0.4403,NO
0.1453,NO
1.0,YES
0.141,NO
0.8266,YES
0.2026,NO
1.0,YES
0.6903,NO
0.6903,NO
0.5192,NO
0.6903,NO
0.8266,YES
0.6903,NO
0.4843,YES
0.2332,NO
0.3133,NO
0.4239,NO
0.3895,NO
0.1547,NO
0.6773,NO
0.4224,NO
0.2332,NO
0.444,NO
1.0,YES
0.3174,NO
1.0,YES
0.4406,NO
0.4406,NO
0.4406,NO
0.3249,NO
0.2942,NO
0.2886,NO
0.1844,NO
0.2266,NO
0.4715,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.5187,NO
1.0,YES
0.2836,NO
