50Traced_NONETRACED_MAX_MULTI_VSM_78_MEDIAN,Associated
0.3496,NO
0.0713,NO
0.5722,NO
0.5644,NO
0.31,NO
0.2289,NO
0.4164,NO
0.1334,NO
0.4753,NO
1.0,YES
0.4964,NO
1.0,YES
0.2522,NO
0.3824,NO
0.2223,NO
0.1819,NO
0.2383,NO
0.1585,NO
0.2323,NO
0.2179,NO
0.3438,NO
1.0,YES
1.0,YES
1.0,YES
0.7677,YES
0.4758,NO
1.0,YES
0.3251,NO
1.0,YES
1.0,YES
0.3362,NO
0.1579,NO
0.1236,NO
0.2387,NO
1.0,YES
1.0,YES
0.2113,NO
0.2425,NO
0.2113,NO
0.2425,NO
0.3148,NO
0.3144,NO
0.1953,NO
1.0,YES
0.2278,NO
1.0,YES
0.1542,NO
1.0,YES
0.1607,NO
0.1769,NO
0.1585,NO
0.2425,NO
0.2425,NO
0.2673,NO
0.2425,NO
0.2113,NO
0.3496,NO
0.1534,NO
0.5722,NO
0.5644,NO
0.31,NO
0.4162,NO
0.4164,NO
0.1187,NO
0.4753,NO
1.0,YES
0.4964,NO
1.0,YES
0.2728,NO
0.3824,NO
0.2136,NO
0.1919,NO
0.2363,NO
0.1542,NO
0.3529,NO
0.1755,NO
0.4378,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4758,NO
1.0,YES
0.3251,NO
1.0,YES
1.0,YES
0.3356,NO
0.228,NO
0.2013,NO
0.2479,NO
1.0,YES
1.0,YES
0.2479,NO
0.2187,NO
0.2479,NO
0.2187,NO
0.2289,NO
0.2088,NO
0.2075,NO
0.8269,YES
0.3559,NO
1.0,YES
0.3559,NO
1.0,YES
0.2013,NO
0.2187,NO
0.2187,NO
0.2187,NO
0.1107,NO
0.3559,NO
0.2187,NO
0.3559,NO
0.3229,NO
0.2493,NO
0.4224,YES
1.0,YES
1.0,YES
0.4224,YES
0.2493,NO
0.1691,NO
0.4664,YES
0.2629,NO
0.3603,YES
0.254,NO
0.3553,NO
0.3569,NO
0.2204,NO
0.1729,NO
1.0,YES
0.2254,NO
1.0,YES
0.2493,NO
1.0,YES
0.2431,NO
0.4291,NO
0.4471,NO
0.2147,NO
0.6191,YES
0.4382,NO
0.6191,YES
0.3331,NO
0.3331,NO
0.4052,NO
0.5644,NO
0.3132,NO
0.4052,NO
0.3331,NO
0.2258,NO
0.4052,NO
1.0,YES
0.3093,NO
1.0,YES
0.3166,NO
0.3166,NO
0.19699999999999998,NO
0.2866,NO
0.3104,NO
0.3011,NO
0.2392,NO
0.3331,NO
0.3132,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3029,NO
1.0,YES
0.4052,NO
0.3011,NO
0.174,NO
0.5033,YES
1.0,YES
0.5589,YES
0.6382,YES
0.174,NO
0.1676,NO
0.5227,YES
0.3027,NO
0.4491,YES
0.1459,NO
0.3335,NO
0.3522,NO
0.2375,NO
0.1567,NO
1.0,YES
0.1676,NO
1.0,YES
0.304,NO
1.0,YES
0.3369,NO
0.462,NO
0.2228,NO
0.2229,NO
1.0,YES
0.4444,NO
1.0,YES
0.1663,NO
0.2816,NO
0.2722,NO
0.2486,NO
0.2405,NO
0.4162,NO
0.3056,NO
0.2816,NO
0.3347,NO
1.0,YES
0.2748,NO
1.0,YES
0.4018,NO
0.3511,NO
0.2493,NO
0.2328,NO
0.2361,NO
0.2816,NO
0.3529,NO
0.2256,NO
0.4378,NO
1.0,YES
0.9096,YES
0.7607,YES
1.0,YES
0.314,NO
1.0,YES
0.3347,NO
0.2522,NO
0.1493,NO
0.4128,NO
0.4117,NO
0.4156,NO
0.4162,NO
0.3056,NO
0.0967,NO
0.3429,NO
1.0,YES
0.3581,NO
1.0,YES
0.184,NO
0.3511,NO
0.0665,NO
0.204,NO
0.4156,NO
0.1655,NO
0.3529,NO
0.1309,NO
0.4378,NO
1.0,YES
0.9096,YES
0.7587,YES
1.0,YES
0.3432,NO
1.0,YES
0.3271,NO
0.307,NO
0.2636,NO
0.3406,NO
0.5644,NO
0.31,NO
0.2964,NO
0.3258,NO
0.2252,NO
0.2964,NO
1.0,YES
0.2964,NO
1.0,YES
0.3547,NO
0.2629,NO
0.2201,NO
0.307,NO
0.3104,NO
0.2676,NO
0.2248,NO
0.307,NO
0.3078,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2832,NO
1.0,YES
0.2964,NO
0.2173,NO
0.2173,NO
0.2714,NO
0.5644,NO
0.31,NO
0.4162,NO
0.3258,NO
0.1473,NO
0.2254,NO
1.0,YES
0.2354,NO
1.0,YES
0.3435,NO
0.3511,NO
0.2131,NO
0.1712,NO
0.3847,NO
0.1964,NO
0.3649,NO
0.2173,NO
0.4378,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3649,NO
1.0,YES
0.3649,NO
0.3618,NO
0.2734,NO
1.0,YES
0.6407,YES
0.5589,YES
1.0,YES
0.4093,NO
0.1861,NO
1.0,YES
0.3027,NO
1.0,YES
0.1905,NO
0.3885,NO
0.3885,NO
0.2417,NO
0.2538,NO
1.0,YES
0.2471,NO
1.0,YES
0.304,NO
0.4542,YES
0.3369,NO
0.462,NO
0.5289,NO
