50Traced_NONETRACED_SUM_MULTI_LSA_31_MAX,Associated
0.8786,NO
0.6552,NO
1.2547,NO
1.4943,NO
0.9455,NO
0.8388,NO
0.3913,NO
0.46399999999999997,NO
1.7841,NO
3.7460000000000004,YES
1.2643,NO
1.6792,YES
1.1035,NO
1.4642,NO
0.733,NO
0.8158,NO
1.6118,NO
0.8997,NO
1.1932,NO
0.3298,NO
1.4174,NO
3.7471,YES
4.0119,YES
3.7972,YES
2.8743,YES
1.7399,NO
2.8739,YES
1.2129,NO
2.5992,YES
1.5849,YES
1.3826,NO
1.5931,NO
1.0916,NO
0.7569,NO
2.7448,YES
2.8537,YES
0.8916,NO
0.8015,NO
0.9866,NO
0.4922,NO
0.7543,NO
1.7123,NO
0.7701,NO
2.2896,YES
1.1988,NO
2.3509,YES
0.9347,NO
2.6194,YES
0.9938,NO
0.4791,NO
0.9885,NO
0.909,NO
0.7593,NO
0.9226,NO
0.7276,NO
0.8165,NO
0.7443,NO
0.6481,NO
1.263,NO
1.021,NO
0.5898,NO
0.9129,NO
0.3271,NO
0.6633,NO
1.82,NO
3.6646,YES
1.2984,NO
1.6447,YES
0.8654,NO
1.1386,NO
0.3557,NO
0.9579,NO
1.1302,NO
0.8815,NO
0.6817,NO
0.3028,NO
0.8717,NO
3.6748,YES
3.8967,YES
3.7507,YES
2.8339999999999996,YES
1.8436,NO
2.9994,YES
1.2332,NO
0.9773,YES
0.6158,YES
1.6094,NO
0.7126,NO
0.6602,NO
1.2153,NO
1.1872,YES
1.0939,YES
1.2969,NO
0.4447,NO
1.3251,NO
0.3404,NO
0.7142,NO
0.8288,NO
0.5852,NO
0.825,YES
0.7504,NO
0.9855,YES
0.4047,NO
0.86,YES
0.6516,NO
0.3458,NO
0.5589,NO
0.7738,NO
0.38299999999999995,NO
1.4516,NO
0.6105,NO
0.8134,NO
1.0225,NO
0.3194,NO
1.5579,YES
3.5129,YES
3.6251,YES
1.1605,YES
1.3047,NO
0.5268,NO
1.2767,YES
0.4496,NO
1.8232,YES
0.405,NO
0.5488,NO
0.2844,NO
0.4714,NO
0.9266,NO
3.3205,YES
0.5775,NO
3.3523,YES
0.5254,NO
4.0191,YES
0.8035,NO
0.5293,NO
0.8721,NO
0.3597,NO
1.5953,YES
0.9333,NO
1.1104,YES
0.6114,NO
0.5402,NO
0.7440000000000001,NO
0.7231,NO
0.4308,NO
0.5212,NO
0.4099,NO
0.5193,NO
1.2042,NO
3.1943,YES
0.8293,NO
1.4778,YES
1.0001,NO
1.2823,NO
0.5528,NO
0.9017,NO
0.9621,NO
0.6154,NO
0.6023,NO
0.2575,NO
0.6895,NO
3.14,YES
3.5726,YES
3.0187,YES
2.576,YES
1.2235,NO
2.4954,YES
0.8059,NO
0.9462,NO
0.4132,NO
1.5043,YES
3.5152,YES
3.233,YES
1.2383,YES
1.1475,NO
0.6068,NO
1.3055,YES
0.8744,NO
1.6764,YES
0.5720000000000001,NO
0.5403,NO
0.536,NO
0.4942,NO
0.8858,NO
2.8847,YES
0.6586,NO
2.8947,YES
0.526,NO
3.4723,YES
1.2184,NO
0.9339,NO
1.4936,NO
0.7637,NO
1.6402,YES
1.2241,NO
1.2158,YES
1.0849,NO
0.7153,NO
2.0,NO
1.7529,NO
1.4179,NO
1.4173,NO
0.8207,NO
0.7832,NO
2.2358,NO
2.7558,YES
2.1952,NO
1.4932,YES
1.1668,NO
1.1655,NO
0.6978,NO
1.07,NO
1.7728,NO
1.3624,NO
1.3214,NO
0.679,NO
1.7253,NO
2.8744,YES
3.2769,YES
3.2165,YES
2.5402,YES
2.6501,NO
2.5965,YES
1.6480000000000001,NO
0.6733,NO
0.4252,NO
1.2583,NO
1.5417,NO
1.1769,NO
0.9516,NO
0.376,NO
0.3392,NO
1.736,NO
3.3478,YES
1.5661,NO
1.5881,YES
0.6505,NO
0.8812,NO
0.1572,NO
0.8536,NO
1.8909,NO
0.8755,NO
1.3661,NO
0.1667,NO
1.7243,NO
3.5282,YES
3.6443,YES
3.6552,YES
2.6556,YES
2.2271,NO
2.9321,YES
1.1908,NO
0.5764,NO
0.4805,NO
1.8135,NO
1.7025,NO
1.0876,NO
1.4127,NO
0.6122,NO
0.569,NO
1.9961,NO
3.3798,YES
1.6388,NO
1.4801,YES
0.546,NO
0.9623,NO
0.247,NO
0.8078,NO
1.4364,NO
0.6755,NO
1.3503,NO
0.2234,NO
1.4944,NO
3.4119,YES
3.1944,YES
3.3501,YES
2.3434,YES
2.0988,NO
2.6315,YES
1.6198,NO
0.7411,NO
0.4047,NO
1.3728,NO
1.5809,NO
1.2381,NO
1.2054,NO
0.5401,NO
0.5033,NO
1.6635,NO
3.1819,YES
1.5266,NO
1.3694,YES
0.6568,NO
0.8705,NO
0.2045,NO
0.8474,NO
1.5452,NO
0.8828,NO
1.3212,NO
0.2598,NO
1.6395,NO
3.2331,YES
3.2662,YES
3.2717,YES
2.1712,YES
1.992,NO
2.6226,YES
1.4219,NO
1.2978,NO
0.8622,NO
4.4401,YES
1.203,YES
1.2415,YES
3.8331,YES
1.4246,NO
1.1373,NO
3.8995,YES
1.0315,NO
4.0898,YES
0.5025,NO
1.3695,NO
1.3475,NO
0.5468,NO
