50Traced_NONETRACED_SUM_SINGLE_LSA_59_MAX,Associated
0.7984,NO
0.4043,NO
0.3325,NO
1.0559,NO
1.2301,NO
0.8017,NO
0.6137,NO
0.5851,NO
0.7844,NO
3.4897,YES
1.0964,NO
3.2997,YES
0.5906,NO
1.2331,NO
0.5763,NO
0.5583,NO
2.1855,NO
0.7882,NO
0.7527,NO
0.7851,NO
0.4759,NO
3.986,YES
3.6942,YES
4.137,YES
2.5749,YES
1.037,NO
3.3862,YES
1.5781,NO
2.6088,YES
2.5664,YES
0.546,NO
0.3502,NO
0.3748,NO
0.5609,NO
2.3827,YES
2.4805,YES
0.7741,NO
0.4849,NO
0.7205,NO
0.4524,NO
1.0096,NO
1.0745,NO
0.8881,NO
1.6581,YES
0.5101,NO
2.4147,YES
0.4302,NO
2.437,YES
0.3664,NO
0.5973,NO
0.7688,NO
0.7487,NO
0.6428,NO
0.7477,NO
0.9237,NO
1.1398,NO
0.6219,NO
0.34700000000000003,NO
0.6783,NO
1.3616,NO
1.5434,NO
1.1216,NO
0.5884,NO
0.5239,NO
0.9144,NO
3.2238,YES
1.1613,NO
3.1604,YES
0.7248,NO
1.1185,NO
0.6579999999999999,NO
0.632,NO
2.3424,NO
0.725,NO
1.0687,NO
0.5681,NO
0.7494,NO
3.5505,YES
3.2992,YES
3.7727,YES
2.3645,YES
1.0033,NO
3.0874,YES
1.5859,NO
3.3135,YES
3.3398,YES
1.2684,NO
0.7153,NO
0.6613,NO
0.8106,NO
3.1469,YES
3.1274,YES
1.0651,NO
0.8796,NO
1.1146,NO
0.7811,NO
1.2005,NO
1.2352,NO
0.9998,NO
2.4351,YES
0.8923,NO
3.1849,YES
0.8568,NO
3.0409,YES
0.5216,NO
1.3859,NO
1.3431,NO
1.2247,NO
1.2373,NO
1.5121,NO
1.5435,NO
1.6953,NO
0.4384,NO
0.4914,NO
1.9031,YES
4.454,YES
4.1526,YES
2.9599,YES
0.7083,NO
0.4053,NO
2.4432,YES
0.5258,NO
2.7807,YES
0.5093,NO
1.0007,NO
0.915,NO
0.8284,NO
0.4244,NO
5.2139,YES
0.32299999999999995,NO
4.9667,YES
0.9871,NO
4.2531,YES
1.2213,NO
1.3143,NO
1.5735,NO
0.5606,NO
2.7102,YES
1.1524,NO
2.9836,YES
0.653,NO
0.3419,NO
0.6647,NO
1.2669,NO
1.4801,NO
1.1491,NO
0.4414,NO
0.4709,NO
1.253,NO
3.1951,YES
1.6343,NO
3.0432,YES
0.8681,NO
1.3343,NO
