50Traced_NONETRACED_MAX_RAW_LSA_35_MAX,Associated
0.1686,NO
0.0785,NO
0.2688,NO
0.2164,NO
0.1379,NO
0.1986,NO
0.1488,NO
0.1171,NO
0.2252,NO
0.3805,YES
0.2347,NO
0.4096,YES
0.2427,NO
0.2231,NO
0.2223,NO
0.159,NO
0.1906,NO
0.1109,NO
0.1259,NO
0.2179,NO
0.166,NO
1.0,YES
1.0,YES
0.4096,YES
1.0,YES
0.2254,NO
1.0,YES
0.1423,NO
1.0,YES
0.3715,YES
0.3362,NO
0.1579,NO
0.1148,NO
0.1318,NO
1.0,YES
1.0,YES
0.1364,NO
0.1056,NO
0.0981,NO
0.1474,NO
0.1835,NO
0.1835,NO
0.1835,NO
0.3715,YES
0.1088,NO
1.0,YES
0.1088,NO
1.0,YES
0.1088,NO
0.1474,NO
0.1231,NO
0.1474,NO
0.1231,NO
0.1903,NO
0.1231,NO
0.1296,NO
0.1686,NO
0.1534,NO
0.2688,NO
0.2865,NO
0.1512,NO
0.2137,NO
0.1465,NO
0.092,NO
0.2252,NO
1.0,YES
0.2347,NO
1.0,YES
0.205,NO
0.2168,NO
0.2136,NO
0.1919,NO
0.1906,NO
0.1268,NO
0.1947,NO
0.1755,NO
0.2202,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2254,NO
1.0,YES
0.2137,NO
1.0,YES
0.284,YES
0.3356,NO
0.1662,NO
0.1507,NO
0.1441,NO
0.3435,YES
1.0,YES
0.1731,NO
0.0952,NO
0.1364,NO
0.1841,NO
0.2289,NO
0.2183,NO
0.2183,NO
0.284,YES
0.0927,NO
0.4035,YES
0.0995,NO
1.0,YES
0.0406,NO
0.1841,NO
0.1387,NO
0.1841,NO
0.1387,NO
0.2201,NO
0.1387,NO
0.1328,NO
0.1566,NO
0.1267,NO
0.3354,YES
0.4156,YES
1.0,YES
0.3354,YES
0.1508,NO
0.1508,NO
0.3354,YES
0.1395,NO
0.1972,YES
0.1443,NO
0.2165,NO
0.2003,NO
0.1934,NO
0.1267,NO
0.4156,YES
0.1508,NO
1.0,YES
0.1417,NO
1.0,YES
0.1531,NO
0.1531,NO
0.1439,NO
0.1531,NO
0.2062,YES
0.1531,NO
0.3354,YES
0.1926,NO
0.0732,NO
0.1975,NO
0.2582,NO
0.2067,NO
0.1701,NO
0.1926,NO
0.1926,NO
0.1458,NO
1.0,YES
0.1577,NO
0.485,YES
0.1987,NO
0.1756,NO
0.1689,NO
0.057999999999999996,NO
0.2067,NO
0.1926,NO
0.2067,NO
0.2019,NO
0.2067,NO
0.485,YES
1.0,YES
1.0,YES
0.3374,YES
0.2226,NO
1.0,YES
0.1428,NO
0.0985,NO
0.0774,NO
0.2886,YES
1.0,YES
1.0,YES
0.2886,YES
0.0885,NO
0.0604,NO
0.2886,YES
0.2598,NO
0.106,YES
0.1459,NO
0.2252,NO
0.2571,NO
0.2375,NO
0.1453,NO
1.0,YES
0.141,NO
1.0,YES
0.142,NO
1.0,YES
0.2049,NO
0.2519,NO
0.2228,NO
0.1032,NO
0.1461,YES
0.2564,NO
0.2886,YES
0.1755,NO
0.1669,NO
0.2688,NO
0.1926,NO
0.1547,NO
0.2395,NO
0.1755,NO
0.1755,NO
0.2395,NO
1.0,YES
0.2347,NO
1.0,YES
0.2519,NO
0.2036,NO
0.2033,NO
0.1669,NO
0.1906,NO
0.1755,NO
0.1506,NO
0.2256,NO
0.166,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2405,NO
1.0,YES
0.2395,NO
0.1197,NO
0.1339,NO
0.22399999999999998,NO
0.1967,NO
0.1436,NO
0.2188,NO
0.1387,NO
0.0967,NO
0.2198,NO
