50Traced_NONETRACED_MAX_MULTI_LSA_19_MAX,Associated
0.2852,NO
0.1819,NO
0.2323,NO
0.5644,NO
0.2813,NO
0.6333,NO
0.3258,NO
0.2852,NO
0.1898,NO
1.0,YES
0.4964,NO
1.0,YES
0.3353,NO
0.35200000000000004,NO
0.2223,NO
0.2852,NO
0.3984,NO
0.2852,NO
0.2804,NO
0.2179,NO
0.3438,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4758,NO
1.0,YES
0.3251,NO
1.0,YES
0.408,YES
0.3362,NO
0.2576,NO
0.1261,NO
0.2444,NO
1.0,YES
1.0,YES
0.2113,NO
0.1692,NO
0.3034,NO
0.1789,NO
0.301,NO
0.3413,NO
0.3148,NO
1.0,YES
0.1266,NO
1.0,YES
0.2165,NO
0.504,YES
0.1607,NO
0.1789,NO
0.1789,NO
0.1375,NO
0.0802,NO
0.3034,NO
0.2142,NO
0.3034,NO
0.32,NO
0.1534,NO
0.3753,NO
0.5644,NO
0.2471,NO
0.4162,NO
0.3258,NO
0.1316,NO
0.3138,NO
1.0,YES
0.3753,NO
1.0,YES
0.2522,NO
0.35200000000000004,NO
0.2136,NO
0.1919,NO
0.3753,NO
0.318,NO
0.3753,NO
0.1755,NO
0.3753,NO
1.0,YES
1.0,YES
1.0,YES
0.5412,YES
0.2575,NO
1.0,YES
0.3753,NO
1.0,YES
1.0,YES
0.3559,NO
0.3559,NO
0.1989,NO
0.2306,NO
1.0,YES
1.0,YES
0.2479,NO
0.2193,NO
0.3559,NO
0.316,NO
0.3667,NO
0.3845,NO
0.3845,NO
1.0,YES
0.3559,NO
0.8716,YES
0.3559,NO
0.568,YES
0.3559,NO
0.2187,NO
0.316,NO
0.1728,NO
0.1641,NO
0.2862,NO
0.1582,NO
0.3559,NO
0.2556,NO
0.1089,NO
0.6191,YES
0.7917,YES
0.6940000000000001,YES
0.3951,YES
0.2651,NO
0.2011,NO
0.3701,YES
0.3816,NO
0.6191,YES
0.2147,NO
0.3877,NO
0.3877,NO
0.2412,NO
0.2011,NO
0.6477,YES
0.2011,NO
1.0,YES
0.1882,NO
1.0,YES
0.1281,NO
0.5347,NO
0.3056,NO
0.254,NO
0.3603,YES
0.2751,NO
0.6191,YES
0.32,NO
0.3331,NO
0.4528,NO
0.5352,NO
0.2813,NO
0.6333,NO
0.3089,NO
0.3331,NO
0.3138,NO
1.0,YES
0.4964,NO
1.0,YES
0.3104,NO
0.3511,NO
0.1689,NO
0.2866,NO
0.4528,NO
0.318,NO
0.4528,NO
0.2019,NO
0.4528,NO
0.9481,YES
1.0,YES
1.0,YES
1.0,YES
0.4758,NO
1.0,YES
0.4528,NO
0.3229,NO
0.174,NO
1.0,YES
1.0,YES
1.0,YES
0.6382,YES
0.344,NO
0.174,NO
0.5227,YES
0.3816,NO
1.0,YES
0.4066,NO
0.3031,NO
0.3569,NO
0.3108,NO
0.1453,NO
1.0,YES
0.1669,NO
1.0,YES
0.304,NO
1.0,YES
0.2049,NO
0.5347,NO
0.4856,NO
0.2183,NO
0.5820000000000001,YES
0.4444,NO
1.0,YES
0.32,NO
0.2988,NO
0.4218,NO
0.5644,NO
0.1728,NO
0.4162,NO
0.3258,NO
0.2988,NO
0.3327,NO
1.0,YES
0.4218,NO
1.0,YES
0.4316,NO
0.4316,NO
0.4018,NO
0.2816,NO
0.1895,NO
0.318,NO
0.2489,NO
0.2256,NO
0.1985,NO
1.0,YES
1.0,YES
1.0,YES
0.4757,YES
0.4218,NO
1.0,YES
0.4218,NO
0.2944,NO
0.1339,NO
0.22399999999999998,NO
0.5644,NO
0.203,NO
0.4569,NO
0.3258,NO
0.1871,NO
0.3745,NO
0.9462,YES
0.3745,NO
1.0,YES
0.2522,NO
0.35200000000000004,NO
0.0706,NO
0.204,NO
0.2874,NO
0.2925,NO
0.31,NO
0.1309,NO
0.2819,NO
1.0,YES
1.0,YES
0.9199,YES
0.7214,YES
0.3432,NO
0.9199,YES
0.3855,NO
0.2435,NO
0.0994,NO
0.4809,NO
0.5077,NO
0.2688,NO
0.377,NO
0.293,NO
0.2435,NO
