50Traced_NONETRACED_MAX_RAW_VSM_26_MAX,Associated
0.1553,NO
0.0652,NO
0.1423,NO
0.2164,NO
0.1494,NO
0.1153,NO
0.1579,NO
0.1548,NO
0.1689,NO
1.0,YES
0.1423,NO
0.4096,YES
0.2427,NO
0.2231,NO
0.2223,NO
0.159,NO
0.20600000000000002,NO
0.1548,NO
0.0747,NO
0.2179,NO
0.1147,NO
1.0,YES
0.4613,YES
1.0,YES
0.24,YES
0.1573,NO
1.0,YES
0.1406,NO
0.4232,YES
0.2444,YES
0.3362,NO
0.1579,NO
0.1148,NO
0.1318,NO
0.3947,YES
1.0,YES
0.1364,NO
0.1156,NO
0.1318,NO
0.1058,NO
0.1835,NO
0.1835,NO
0.1551,NO
0.3834,YES
0.0978,NO
1.0,YES
0.0553,NO
1.0,YES
0.0836,NO
0.1212,NO
0.106,NO
0.1235,NO
0.0802,NO
0.1903,NO
0.1119,NO
0.1194,NO
0.1686,NO
0.1534,NO
0.141,NO
0.2865,NO
0.1512,NO
0.1666,NO
0.1987,NO
0.1731,NO
0.2187,NO
1.0,YES
0.1603,NO
1.0,YES
0.205,NO
0.2168,NO
0.2136,NO
0.1919,NO
0.2143,NO
0.1268,NO
0.1947,NO
0.1755,NO
0.2202,NO
1.0,YES
1.0,YES
1.0,YES
0.245,YES
0.1659,NO
0.5081,YES
0.1576,NO
1.0,YES
0.1814,YES
0.3356,NO
0.1662,NO
0.1507,NO
0.1501,NO
1.0,YES
0.3413,YES
0.1731,NO
0.1355,NO
0.1692,NO
0.0887,NO
0.2289,NO
0.2088,NO
0.2075,NO
1.0,YES
0.0995,NO
1.0,YES
0.0576,NO
1.0,YES
0.0995,NO
0.1355,NO
0.091,NO
0.11800000000000001,NO
0.1053,NO
0.2201,NO
0.1351,NO
0.1692,NO
0.1468,NO
0.0635,NO
1.0,YES
1.0,YES
1.0,YES
0.2985,YES
0.1661,NO
0.1508,NO
1.0,YES
0.1475,NO
1.0,YES
0.1443,NO
0.2199,NO
0.1934,NO
0.1934,NO
0.1088,NO
1.0,YES
0.1508,NO
0.3609,YES
0.1508,NO
1.0,YES
0.1629,NO
0.1335,NO
0.1439,NO
0.0494,NO
1.0,YES
0.1155,NO
0.2078,YES
0.1544,NO
0.0732,NO
0.1975,NO
0.2582,NO
0.1977,NO
0.1701,NO
0.1684,NO
0.1926,NO
0.1458,NO
1.0,YES
0.1577,NO
1.0,YES
0.1987,NO
0.1756,NO
0.1689,NO
0.0621,NO
0.2067,NO
0.1926,NO
0.1082,NO
0.2019,NO
0.1827,NO
0.4997,YES
1.0,YES
0.3648,YES
0.2894,YES
0.2226,NO
0.3648,YES
0.133,NO
0.1468,NO
0.0774,NO
1.0,YES
1.0,YES
1.0,YES
0.2985,YES
0.1661,NO
0.1132,NO
1.0,YES
0.2598,NO
1.0,YES
0.2293,NO
0.2252,NO
0.2571,NO
0.2375,NO
0.1453,NO
1.0,YES
0.141,NO
0.2937,YES
0.1481,NO
1.0,YES
0.2049,NO
0.2293,NO
0.2564,NO
0.1032,NO
1.0,YES
0.2564,NO
0.2078,YES
0.1809,NO
0.0745,NO
0.2395,NO
0.2395,NO
0.1547,NO
0.1997,NO
0.1809,NO
0.1755,NO
0.2395,NO
0.4061,YES
0.2395,NO
0.4061,YES
0.2519,NO
0.2036,NO
0.2033,NO
0.1809,NO
0.2395,NO
0.1809,NO
0.1113,NO
0.2256,NO
0.0989,NO
0.3196,YES
0.4206,YES
1.0,YES
0.3108,YES
0.2405,NO
1.0,YES
0.1635,NO
0.1686,NO
0.1339,NO
0.22399999999999998,NO
0.2338,NO
0.2338,NO
0.2188,NO
0.1987,NO
0.0967,NO
0.2213,NO
1.0,YES
0.2344,NO
1.0,YES
0.151,NO
0.1834,NO
0.0647,NO
0.204,NO
0.20600000000000002,NO
0.1655,NO
0.31,NO
0.1309,NO
0.2819,NO
1.0,YES
1.0,YES
1.0,YES
0.1783,YES
0.193,NO
1.0,YES
0.2188,NO
0.1439,NO
0.0769,NO
0.2664,NO
0.2664,NO
0.2047,NO
0.1823,NO
0.1684,NO
0.1579,NO
0.2664,NO
1.0,YES
0.2664,NO
1.0,YES
0.2252,NO
0.2041,NO
0.2007,NO
0.0567,NO
0.2664,NO
0.1579,NO
0.1207,NO
0.1912,NO
0.14,NO
0.4754,YES
1.0,YES
0.3444,YES
0.2675,YES
0.2664,NO
0.3444,YES
0.2171,NO
0.1553,NO
0.0714,NO
0.2085,NO
0.2886,NO
0.1576,NO
0.1249,NO
0.1488,NO
0.1542,NO
0.2085,NO
1.0,YES
0.2085,NO
1.0,YES
0.2118,NO
0.2048,NO
0.2045,NO
0.159,NO
0.2085,NO
