50Traced_NONETRACED_SUM_MULTI_LSA_11_MEDIAN,Associated
0.9317,NO
0.4481,NO
0.9891,NO
1.141,NO
1.2794,NO
0.8274,NO
0.7504,NO
0.3297,NO
1.1064,NO
2.7371,YES
1.1705,NO
2.6968,YES
0.3116,NO
0.9543,NO
0.2223,NO
0.32299999999999995,NO
0.8014,NO
0.3779,NO
0.8333,NO
0.5348,NO
0.7777,NO
2.3277,YES
3.3246,YES
3.0171,YES
2.4198,YES
1.3183,NO
3.2451,YES
1.0555,NO
2.1867,YES
1.0634,YES
0.3362,NO
0.5832,NO
0.5043,NO
0.7909999999999999,NO
1.2053,YES
0.9859,YES
0.2494,NO
0.573,NO
0.3035,NO
0.6191,NO
0.4502,NO
1.1184,NO
0.2788,NO
1.7954,YES
0.6155,NO
1.4084,YES
0.5347,NO
1.6803,YES
0.3984,NO
0.4276,NO
0.5401,NO
0.5344,NO
0.613,NO
0.5839,NO
0.872,NO
0.3835,NO
1.1615,NO
0.4076,NO
1.5529,NO
1.1035,NO
1.0644,NO
1.5438,NO
1.0377,NO
0.3979,NO
1.6614,NO
2.9451,YES
1.8992,NO
3.0182,YES
1.08,NO
1.6835,NO
0.617,NO
0.568,NO
0.6288,NO
0.5328,NO
0.8075,NO
0.6587,NO
0.6273,NO
2.6802,YES
3.7105,YES
3.5105,YES
2.5842,YES
2.0097,NO
3.9505,YES
1.4687,NO
2.7856,YES
2.16,YES
0.8134,NO
1.0276,NO
0.8128,NO
1.5507,NO
1.7524,YES
1.1109,YES
0.9699,NO
0.5579,NO
0.8274,NO
0.4046,NO
1.0435,NO
1.6845,NO
0.7071,NO
1.4326,YES
0.8384,NO
1.5343,YES
0.9272,NO
2.3754,YES
0.9407,NO
0.3752,NO
0.6779,NO
0.5057,NO
0.4155,NO
1.4072,NO
0.9181,NO
0.9105,NO
1.5937,NO
0.7158,NO
1.8871,YES
3.7003,YES
3.3666,YES
2.3865,YES
1.4303,NO
0.5481,NO
2.9414,YES
1.006,NO
2.1729,YES
0.4224,NO
1.4453,NO
1.195,NO
0.6271,NO
0.748,NO
3.5288,YES
0.9067,NO
3.3341,YES
0.7969,NO
3.4173,YES
0.4809,NO
1.5157,NO
1.1743,NO
0.8463,NO
2.5594,YES
0.9985,NO
2.3286,YES
1.6068,NO
0.5726,NO
