50Traced_NONETRACED_MAX_RAW_VSM_99_MAX,Associated
0.1686,NO
0.1687,NO
0.2688,NO
0.2164,NO
0.0671,NO
0.2963,NO
0.1987,NO
0.1687,NO
0.2252,NO
1.0,YES
0.2347,NO
1.0,YES
0.2427,NO
0.2231,NO
0.2223,NO
0.1548,NO
0.1906,NO
0.1687,NO
0.0747,NO
0.2179,NO
0.1201,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2254,NO
1.0,YES
0.1576,NO
1.0,YES
1.0,YES
0.3362,NO
0.1579,NO
0.1148,NO
0.1112,NO
1.0,YES
1.0,YES
0.1364,NO
0.1474,NO
0.1405,NO
0.1058,NO
0.1797,NO
0.1526,NO
0.1551,NO
0.2811,YES
0.1138,NO
1.0,YES
0.1344,NO
1.0,YES
0.0412,NO
0.1212,NO
0.1218,NO
0.1474,NO
0.0802,NO
0.1903,NO
0.1119,NO
0.1405,NO
0.092,NO
0.1731,NO
0.1505,NO
0.2865,NO
0.1512,NO
0.1666,NO
0.1731,NO
0.1731,NO
0.2187,NO
0.5256,YES
0.1603,NO
1.0,YES
0.205,NO
0.2168,NO
0.2136,NO
0.1919,NO
0.1533,NO
0.1731,NO
0.1947,NO
0.1755,NO
0.2202,NO
0.4465,YES
1.0,YES
0.4064,YES
1.0,YES
0.1659,NO
0.2965,YES
0.1452,NO
0.188,YES
1.0,YES
0.3356,NO
0.204,NO
0.1507,NO
0.204,NO
1.0,YES
1.0,YES
0.1731,NO
0.1841,NO
0.1364,NO
0.1355,NO
0.2289,NO
0.2183,NO
0.2075,NO
0.3834,YES
0.204,NO
1.0,YES
0.204,NO
0.3081,YES
0.1216,NO
0.1251,NO
0.091,NO
0.1841,NO
0.1053,NO
0.2201,NO
0.1351,NO
0.1328,NO
0.1566,NO
0.1267,NO
0.3354,YES
0.3672,YES
1.0,YES
0.3354,YES
0.1366,NO
0.1267,NO
0.2212,YES
0.1395,NO
0.1972,YES
0.1443,NO
0.2165,NO
0.2037,NO
0.1934,NO
0.0891,NO
1.0,YES
0.1267,NO
1.0,YES
0.1417,NO
1.0,YES
0.1516,NO
0.2519,NO
0.2125,NO
0.0948,NO
0.2111,YES
0.2085,NO
0.1967,YES
0.1694,NO
0.1694,NO
0.2524,NO
0.2582,NO
0.1977,NO
0.2524,NO
0.1694,NO
0.1694,NO
0.1639,NO
0.4997,YES
0.1577,NO
0.4997,YES
0.1987,NO
0.1756,NO
0.1689,NO
0.0621,NO
0.2524,NO
0.1694,NO
0.2524,NO
0.2019,NO
0.1293,NO
0.3897,YES
0.3648,YES
0.485,YES
0.3648,YES
0.2226,NO
0.3374,YES
0.0979,NO
0.1328,NO
0.0846,NO
0.2886,YES
0.3672,YES
1.0,YES
0.2886,YES
0.1366,NO
0.0846,NO
0.2212,YES
0.2598,NO
0.1972,YES
0.2564,NO
0.2252,NO
0.2571,NO
0.2375,NO
0.1453,NO
1.0,YES
0.141,NO
1.0,YES
0.142,NO
1.0,YES
0.2049,NO
0.2564,NO
0.2293,NO
0.2564,NO
0.1864,YES
0.2085,NO
0.1326,YES
0.1415,NO
0.1669,NO
0.2395,NO
0.2653,NO
0.1547,NO
0.2395,NO
0.1669,NO
0.1669,NO
0.1999,NO
1.0,YES
0.2045,NO
1.0,YES
0.2519,NO
0.2269,NO
0.2033,NO
0.159,NO
0.2395,NO
0.1669,NO
0.2395,NO
0.2256,NO
0.2083,NO
0.3848,YES
1.0,YES
1.0,YES
1.0,YES
0.2405,NO
0.267,YES
0.1331,NO
0.0949,NO
0.1339,NO
0.22399999999999998,NO
0.2653,NO
0.1494,NO
0.2079,NO
0.1488,NO
0.1197,NO
0.2198,NO
1.0,YES
0.2344,NO
1.0,YES
0.1331,NO
0.1766,NO
0.0647,NO
0.204,NO
0.1879,NO
0.1655,NO
0.31,NO
0.1309,NO
0.2819,NO
0.4042,YES
1.0,YES
1.0,YES
1.0,YES
0.2188,NO
0.3865,YES
0.2188,NO
0.1439,NO
0.1479,NO
0.2664,NO
0.2664,NO
0.2047,NO
0.2664,NO
0.1684,NO
0.1479,NO
0.1751,NO
0.4754,YES
0.1828,NO
0.4754,YES
0.2252,NO
0.2041,NO
0.2007,NO
0.0567,NO
0.2664,NO
0.1479,NO
0.2664,NO
0.1912,NO
0.14,NO
0.4038,YES
0.3494,YES
0.4373,YES
0.3444,YES
0.2206,NO
0.3235,YES
0.1517,NO
0.1686,NO
0.1542,NO
0.2688,NO
0.2886,NO
0.1427,NO
0.2963,NO
0.1987,NO
0.1542,NO
0.2252,NO
1.0,YES
0.2347,NO
1.0,YES
0.2118,NO
0.2048,NO
0.2045,NO
0.1348,NO
0.2184,NO
0.1542,NO
0.2184,NO
0.1702,NO
0.2184,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2254,NO
1.0,YES
0.1576,NO
0.1741,NO
0.1494,NO
1.0,YES
0.27899999999999997,YES
0.2328,YES
1.0,YES
0.2237,NO
0.1494,NO
1.0,YES
0.2938,NO
1.0,YES
0.2938,NO
0.2131,NO
0.1848,NO
0.1474,NO
0.0973,NO
0.27899999999999997,YES
0.1494,NO
0.27899999999999997,YES
0.2129,NO
0.1739,YES
0.2938,NO
0.2938,NO
0.3025,NO
0.2938,NO
1.0,YES
0.2938,NO
1.0,YES
0.1799,NO
0.1547,NO
1.0,YES
0.2276,NO
0.3456,NO
1.0,YES
0.1827,NO
0.1097,NO
0.5448,YES
0.2742,NO
0.4381,YES
0.2742,NO
0.3264,NO
0.3203,NO
0.2648,NO
0.171,NO
0.3456,NO
0.1398,NO
0.3673,NO
0.1451,NO
0.2637,NO
0.2742,NO
0.2742,NO
0.3767,NO
0.2742,NO
1.0,YES
0.3359,NO
0.3985,YES
0.1566,NO
0.1427,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.1427,NO
0.1427,NO
0.3189,YES
0.33,NO
0.3174,YES
0.33,NO
0.2365,NO
0.2414,NO
0.2048,NO
0.0891,NO
1.0,YES
0.1427,NO
1.0,YES
0.1481,NO
1.0,YES
0.2397,NO
0.3002,NO
0.2935,NO
0.3002,NO
0.32899999999999996,YES
0.2085,NO
0.3189,YES
0.1636,NO
0.1646,NO
1.0,YES
0.24600000000000002,NO
0.1649,NO
0.4197,YES
0.1681,NO
0.153,NO
1.0,YES
0.159,NO
1.0,YES
0.1456,NO
0.2244,NO
0.1549,NO
0.1277,NO
0.1775,NO
0.24600000000000002,NO
0.1654,NO
0.3557,NO
0.0902,NO
0.2663,NO
0.2218,NO
0.1764,NO
0.3901,NO
0.21600000000000003,NO
1.0,YES
0.3584,NO
1.0,YES
0.1566,NO
0.0836,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.1366,NO
0.0855,NO
0.2465,YES
0.1475,NO
0.2134,YES
0.0994,NO
0.171,NO
0.1733,NO
0.1785,NO
0.0891,NO
1.0,YES
0.0836,NO
1.0,YES
0.1481,NO
0.2853,YES
0.073,NO
0.2192,NO
0.2125,NO
0.1116,NO
0.2732,YES
0.2085,NO
0.2078,YES
0.3626,YES
1.0,YES
0.3634,NO
0.1955,NO
0.1459,NO
0.1955,NO
1.0,YES
1.0,YES
0.14800000000000002,NO
0.149,NO
0.1517,NO
0.149,NO
0.2131,NO
0.16,NO
0.1446,NO
0.3834,YES
0.1955,NO
1.0,YES
0.1955,NO
0.3626,YES
0.1009,NO
0.149,NO
0.149,NO
0.1259,NO
0.149,NO
0.2177,NO
0.15,NO
0.14800000000000002,NO
0.1523,NO
0.0672,NO
1.0,YES
0.301,YES
0.13,YES
1.0,YES
0.1494,NO
0.0724,NO
1.0,YES
0.0938,NO
1.0,YES
0.1763,NO
0.3042,NO
0.23600000000000002,NO
0.2024,NO
0.0973,NO
0.301,YES
0.0773,NO
0.301,YES
0.0821,NO
0.1969,YES
0.1353,NO
0.1763,NO
0.3023,NO
0.1763,NO
1.0,YES
0.2621,NO
1.0,YES
0.17,NO
0.1467,NO
1.0,YES
0.3451,YES
0.2007,YES
1.0,YES
0.2192,NO
0.1467,NO
0.4186,YES
0.1886,NO
1.0,YES
0.2145,NO
0.2277,NO
0.1884,NO
0.1744,NO
0.0948,NO
0.3451,YES
0.1467,NO
0.3451,YES
0.1968,NO
0.2292,YES
0.2134,NO
0.2145,NO
0.3004,NO
0.2145,NO
1.0,YES
0.2714,NO
1.0,YES
0.17,NO
0.1099,NO
1.0,YES
1.0,YES
0.2879,YES
1.0,YES
0.22699999999999998,NO
0.1622,NO
1.0,YES
0.1475,NO
1.0,YES
0.1022,NO
0.20199999999999999,NO
0.1848,NO
0.1085,NO
0.2034,NO
1.0,YES
0.1975,NO
1.0,YES
0.1773,NO
0.2514,YES
0.1754,NO
0.2192,NO
0.3619,NO
0.1715,NO
1.0,YES
0.3259,NO
1.0,YES
0.1741,NO
0.0802,NO
1.0,YES
0.3077,YES
0.1147,YES
1.0,YES
0.1955,NO
0.0724,NO
1.0,YES
0.2491,NO
1.0,YES
0.2491,NO
0.2859,NO
0.2005,NO
0.1497,NO
0.1047,NO
0.3077,YES
0.1016,NO
0.3077,YES
0.0698,NO
0.2147,YES
0.2491,NO
0.2491,NO
0.3135,NO
0.2491,NO
1.0,YES
0.2616,NO
1.0,YES
0.1566,NO
0.0905,NO
0.2475,YES
0.3566,YES
1.0,YES
0.2475,YES
0.1366,NO
0.0554,NO
0.2212,YES
0.1971,NO
0.1972,YES
0.1418,NO
0.2488,NO
0.2731,NO
0.2523,NO
0.1698,NO
1.0,YES
0.1648,NO
1.0,YES
0.1508,NO
1.0,YES
0.1206,NO
0.2044,NO
0.2125,NO
0.1018,NO
0.1864,YES
0.2085,NO
0.1311,YES
0.1566,NO
0.10300000000000001,NO
0.3313,YES
0.3672,YES
1.0,YES
0.3313,YES
0.1366,NO
0.0969,NO
0.2917,YES
0.2045,NO
0.3039,YES
0.2045,NO
0.1448,NO
0.1632,NO
0.077,NO
0.1825,NO
1.0,YES
0.1772,NO
1.0,YES
0.0969,NO
1.0,YES
0.2045,NO
0.2519,NO
0.2985,NO
0.2045,NO
0.2635,YES
0.2298,NO
0.2635,YES
0.1233,NO
0.0968,NO
0.1931,NO
0.2108,NO
0.1191,NO
0.1931,NO
0.2073,NO
0.1233,NO
0.2592,NO
0.1291,NO
0.0796,NO
0.1052,NO
0.4225,YES
0.4103,YES
0.3938,YES
0.1233,NO
0.185,NO
0.0797,NO
0.1191,NO
0.1551,NO
0.1191,NO
0.0881,NO
0.1813,NO
0.1548,NO
0.0806,NO
0.1754,NO
0.1642,NO
0.2229,NO
1.0,YES
1.0,YES
0.2752,NO
0.1653,NO
0.0814,NO
0.1256,NO
1.0,YES
1.0,YES
0.0968,NO
0.1565,NO
0.0543,NO
0.1784,NO
0.1661,NO
0.1557,NO
0.1562,NO
1.0,YES
0.1256,NO
1.0,YES
0.1256,NO
1.0,YES
0.0877,NO
0.1163,NO
0.1218,NO
0.1565,NO
0.0948,NO
0.1407,NO
0.0913,NO
0.0894,NO
0.1566,NO
0.1,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.1306,NO
0.1025,NO
0.2465,YES
0.1495,NO
0.2134,YES
0.1495,NO
0.1977,NO
0.2043,NO
0.1805,NO
0.1025,NO
1.0,YES
0.1,NO
1.0,YES
0.1481,NO
1.0,YES
0.1516,NO
0.2519,NO
0.1488,NO
0.1495,NO
0.2732,YES
0.1495,NO
0.2078,YES
1.0,YES
0.4144,YES
0.3473,NO
0.1555,NO
0.0993,NO
0.1267,NO
0.4144,YES
1.0,YES
0.1267,NO
0.1173,NO
0.09699999999999999,NO
0.1173,NO
0.1741,NO
0.15,NO
0.132,NO
1.0,YES
0.0993,NO
0.4181,YES
0.0993,NO
1.0,YES
0.0993,NO
0.0621,NO
0.076,NO
0.1266,NO
0.0726,NO
0.192,NO
0.1128,NO
0.1039,NO
0.1238,NO
0.0659,NO
0.1396,NO
0.2168,NO
0.1494,NO
0.1396,NO
0.1488,NO
0.0869,NO
0.1921,NO
1.0,YES
0.1124,NO
1.0,YES
0.24100000000000002,NO
0.263,NO
0.2504,NO
0.159,NO
0.1396,NO
0.1658,NO
0.1701,NO
0.2072,NO
0.2083,NO
0.3196,YES
1.0,YES
1.0,YES
1.0,YES
0.1378,NO
0.267,YES
0.11900000000000001,NO
1.0,YES
1.0,YES
0.2823,NO
0.1584,NO
0.1292,NO
0.1015,NO
1.0,YES
1.0,YES
0.0947,NO
0.1269,NO
0.0645,NO
