50Traced_NONETRACED_SUM_MULTI_VSM_27_MEDIAN,Associated
0.8458,NO
0.2873,NO
0.6731,NO
0.4999,NO
0.8058,NO
0.4163,NO
0.7078,NO
0.4365,NO
0.6037,NO
2.4211,YES
0.5176,NO
1.3906,YES
0.3872,NO
0.4118,NO
0.2223,NO
0.6353,NO
1.0793,NO
0.5882,NO
0.5734,NO
0.586,NO
0.6082,NO
2.3756,YES
2.2115,YES
2.0529,YES
1.6956,YES
0.6461,NO
1.8739,YES
0.6832,NO
3.1351,YES
2.1841,YES
1.2103,NO
1.0314,NO
0.5118,NO
1.0498,NO
2.5328,YES
2.7473,YES
1.1772,NO
0.9546,NO
0.6447,NO
0.6597,NO
0.6289,NO
0.8042,NO
0.3495,NO
3.0965,YES
0.7105,NO
2.2872,YES
0.4624,NO
2.3679,YES
1.0355,NO
1.0303,NO
1.4226,NO
1.2213,NO
0.716,NO
0.9831,NO
1.0942,NO
0.7178,NO
1.2091,NO
0.6514,NO
1.943,NO
1.6413,NO
1.4519,NO
1.515,NO
1.1199,NO
0.6364,NO
2.2929,NO
4.3502,YES
1.7323,NO
2.1078,YES
0.9879,NO
0.8396,NO
0.36,NO
0.6554,NO
2.0531,NO
0.5195,NO
1.3716,NO
0.6848,NO
1.412,NO
4.3416,YES
3.9608,YES
3.8560000000000003,YES
2.4484,YES
1.7451,NO
3.6218,YES
1.8335,NO
2.7312,YES
1.6723,YES
0.9853,NO
0.6436,NO
0.3241,NO
0.7685,NO
1.9707,YES
2.2052,YES
0.8227,NO
0.1083,NO
0.4499,NO
0.22399999999999998,NO
0.5103,NO
0.6707,NO
0.4739,NO
2.6218,YES
0.4407,NO
2.1072,YES
0.2803,NO
1.9807,YES
0.7245,NO
0.4032,NO
0.895,NO
0.6307,NO
0.331,NO
0.6447,NO
0.5761,NO
0.5779,NO
0.9397,NO
0.3577,NO
1.7979,YES
3.94,YES
3.1194,YES
1.8172,YES
1.4839,NO
0.1755,NO
1.4594,YES
1.1996,NO
2.0580000000000003,YES
0.5706,NO
1.5430000000000001,NO
1.2021,NO
0.6765,NO
0.4974,NO
3.7866,YES
