50Traced_NONETRACED_SUM_SINGLE_VSM_58_MEDIAN,Associated
0.5898,NO
0.5337,NO
0.2247,NO
1.1131,NO
0.4622,NO
0.7045,NO
0.6599,NO
0.4354,NO
0.406,NO
2.4638,YES
0.5587,NO
2.3741,YES
0.2427,NO
0.2287,NO
0.2223,NO
0.2893,NO
0.997,NO
0.4887,NO
0.354,NO
0.3219,NO
0.3709,NO
2.0818,YES
2.515,YES
2.2704,YES
2.3179,YES
0.3276,NO
1.7493,YES
0.3312,NO
3.1888,YES
3.2123,YES
0.3399,NO
0.5701,NO
0.27399999999999997,NO
0.3989,NO
1.6553,YES
3.0431,YES
0.4484,NO
0.5272,NO
0.5549,NO
0.5474,NO
0.4793,NO
0.8290000000000001,NO
0.8342,NO
1.5158,YES
0.424,NO
3.0135,YES
0.4615,NO
2.8667,YES
0.2754,NO
0.588,NO
0.7875,NO
0.5468,NO
0.6178,NO
0.1903,NO
0.5038,NO
0.41,NO
0.9788,NO
0.8729,NO
1.0729,NO
2.0093,NO
1.3875,NO
1.9563,NO
1.1153,NO
0.5162,NO
1.1715,NO
3.6786,YES
2.0892,NO
3.3756,YES
0.6695,NO
0.7024,NO
0.7228,NO
0.7035,NO
1.9392,NO
0.4163,NO
1.7758,NO
0.4938,NO
0.9,NO
3.4689,YES
3.8510000000000004,YES
3.927,YES
2.967,YES
0.9045,NO
3.1905,YES
1.1758,NO
2.483,YES
2.6488,YES
1.3628,NO
1.2477,NO
0.7517,NO
1.1136,NO
1.6306,YES
2.2194,YES
1.712,NO
0.5512,NO
1.5865,NO
0.5254,NO
0.8472,NO
1.4337,NO
1.2534,NO
1.3159999999999998,YES
1.0851,NO
2.1573,YES
1.237,NO
2.0331,YES
0.8543,NO
0.5682,NO
0.8081,NO
0.7531,NO
0.75,NO
1.11,NO
0.6703,NO
1.6364,NO
0.5512,NO
0.8367,NO
1.7256,YES
4.914,YES
4.1907,YES
2.0714,YES
0.2668,NO
0.4588,NO
1.8903,YES
0.5401,NO
2.8261,YES
0.6365,NO
0.9223,NO
0.8602,NO
1.2783,NO
0.1745,NO
4.5052,YES
0.3712,NO
5.2096,YES
0.9482,NO
4.019,YES
0.2976,NO
0.752,NO
1.4608,NO
0.8264,NO
1.8187,YES
1.3864,NO
2.2863,YES
0.9146,NO
0.8065,NO
1.0728,NO
1.942,NO
1.2072,NO
2.0558,NO
1.0496,NO
0.5091,NO
1.4815,NO
3.5756,YES
2.1082,NO
3.4211,YES
0.7711,NO
0.7387,NO
0.8697,NO
0.4386,NO
1.8880000000000001,NO
0.4335,NO
1.7215,NO
0.5221,NO
0.7882,NO
3.3349,YES
3.9549,YES
3.7602,YES
3.2225,YES
1.1412,NO
3.102,YES
1.3554,NO
0.5794,NO
0.862,NO
1.1397,YES
4.9637,YES
4.0198,YES
1.5801,YES
0.3338,NO
0.2858,NO
1.2651,YES
2.1699,NO
1.9921,YES
2.0659,NO
0.9397,NO
0.8294,NO
1.3127,NO
0.3264,NO
4.5914,YES
0.2541,NO
4.3898,YES
0.7352,NO
3.3789999999999996,YES
1.7665,NO
2.3354,NO
2.7739999999999996,NO
2.1626,NO
1.1008,YES
2.1782,NO
1.5453,YES
1.1161,NO
1.1938,NO
1.7414,NO
2.1180000000000003,NO
1.3287,NO
2.3609999999999998,NO
1.0721,NO
0.6477,NO
2.2276,NO
3.4169,YES
2.6411,NO
3.127,YES
0.9195,NO
0.8056,NO
0.8839,NO
0.6974,NO
1.9259,NO
0.6223,NO
1.8715,NO
0.6161,NO
0.9739,NO
3.2763,YES
3.8036,YES
3.8569,YES
3.1603,YES
1.8861,NO
3.0255,YES
2.3119,NO
0.8079,NO
0.9066,NO
0.7913,NO
1.518,NO
0.9528,NO
1.6406,NO
1.0576,NO
0.4274,NO
0.8567,NO
3.0316,YES
1.7549,NO
2.7173,YES
0.4104,NO
0.4667,NO
0.5009,NO
0.6538,NO
1.6274,NO
0.3995,NO
1.2322,NO
0.2944,NO
0.5417,NO
2.8602,YES
3.1005,YES
3.3297,YES
2.2795,YES
0.6831,NO
2.4354,YES
0.9892,NO
0.8292,NO
0.7379,NO
0.7635,NO
1.3239,NO
0.5528,NO
1.8435,NO
1.1208,NO
0.4302,NO
1.1691,NO
3.5552,YES
1.8729,NO
3.3631,YES
0.4894,NO
0.6214,NO
0.5701,NO
0.4021,NO
1.2961,NO
0.4331,NO
1.0573,NO
0.2034,NO
0.4046,NO
3.2909,YES
3.7436,YES
3.5434,YES
3.0398,YES
0.851,NO
2.9333,YES
1.1596,NO
0.6393,NO
0.5532,NO
0.6218,NO
2.0043,NO
1.3574,NO
1.699,NO
0.9154,NO
0.2525,NO
0.7683,NO
3.9452,YES
1.6715,NO
3.6135,YES
0.5445,NO
0.5053,NO
0.6379,NO
0.4878,NO
2.0168,NO
0.1907,NO
1.5393,NO
0.3246,NO
0.8104,NO
3.5435,YES
4.0842,YES
4.045,YES
3.2032,YES
0.6286,NO
3.2199,YES
0.6931,NO
1.1463,NO
1.1045,NO
5.4505,YES
1.2951,YES
1.1809,YES
5.3584,YES
1.167,NO
0.6464,NO
5.9106,YES
0.1701,NO
5.8926,YES
0.3021,NO
1.3416,NO
0.9781,NO
0.9332,NO
0.4354,NO
2.0645,YES
0.684,NO
3.5075,YES
1.2271,NO
2.0831,YES
0.7955,NO
0.7279,NO
2.5597,NO
0.7232,NO
5.7824,YES
2.2726,NO
6.3388,YES
0.8728,NO
0.9087,NO
3.6919999999999997,YES
1.8576,NO
1.3917,NO
4.0901,YES
1.1348,NO
0.132,NO
3.9993,YES
0.6637,NO
4.727,YES
0.8115,NO
1.3319,NO
1.212,NO
1.2091,NO
0.2556,NO
2.2193,NO
0.2652,NO
3.2306,NO
0.5516,NO
1.9751,NO
1.0585,NO
0.9877,NO
2.7897,NO
0.8203,NO
3.4843,YES
2.9475,NO
4.5537,YES
1.2792,NO
1.4967,NO
5.4621,YES
5.7928,YES
4.6015,YES
5.8978,YES
1.3754,NO
0.5222,NO
5.8501,YES
2.4083,NO
6.6904,YES
2.4326,NO
1.7686,NO
1.6609,NO
1.8763,NO
0.5901,NO
6.1252,YES
0.5834,NO
6.9651,YES
1.2075,NO
4.91,YES
2.4965,NO
2.8331,NO
4.7712,NO
2.7199,NO
5.4879999999999995,YES
4.0898,NO
6.6016,YES
0.5751,NO
0.6417,NO
4.6666,YES
1.4791,NO
1.1864,NO
4.5806,YES
0.9808,NO
0.198,NO
4.9264,YES
0.159,NO
5.2102,YES
0.2588,NO
0.8837,NO
0.7432,NO
0.5955,NO
0.2482,NO
2.0218,NO
0.2484,NO
3.2283,NO
0.5683,NO
2.0571,NO
0.5701,NO
0.51,NO
2.2007,NO
0.5691,NO
4.8376,YES
2.0031,NO
5.4884,YES
0.2487,NO
0.4529,NO
1.4024,YES
4.8807,YES
4.1539,YES
1.8468,YES
0.1791,NO
0.1577,NO
1.3118,YES
1.1278,NO
2.1602,YES
1.1638,NO
0.4833,NO
0.3335,NO
0.8229,NO
0.1228,NO
4.6669,YES
0.1715,NO
4.8479,YES
0.6715,NO
3.7992,YES
0.7635,NO
1.2869,NO
1.8893,NO
1.3396,NO
1.4509999999999998,YES
1.6869,NO
1.6853,YES
3.3431,YES
3.5465,YES
1.2184,NO
0.6605,NO
0.2783,NO
1.1759,NO
1.712,YES
3.0937,YES
1.9211,NO
0.4725,NO
1.3539,NO
0.5276,NO
1.3658,NO
1.6708,NO
1.7630000000000001,NO
1.5505,YES
0.7963,NO
3.1,YES
0.8342,NO
3.0526,YES
0.3509,NO
0.5064,NO
1.038,NO
0.7664,NO
0.9265,NO
1.2518,NO
0.7277,NO
1.4941,NO
0.8295,NO
0.8141,NO
5.4478,YES
1.2273,YES
1.2394,YES
5.3181,YES
1.3311,NO
0.2693,NO
5.528,YES
0.7996,NO
5.9618,YES
0.8316,NO
