50Traced_NONETRACED_SUM_RAW_VSM_39_MEDIAN,Associated
0.6009,NO
0.4392,NO
0.4076,NO
0.6912,NO
0.5034,NO
0.9107,NO
0.7179,NO
0.2295,NO
0.4572,NO
1.6473,YES
0.6263,NO
3.0758,YES
0.2427,NO
0.3817,NO
0.2223,NO
0.2307,NO
0.3675,NO
0.4633,NO
0.6953,NO
0.4259,NO
0.6838,NO
1.8711,YES
2.0471,YES
2.6311,YES
1.4668,YES
0.6176,NO
1.4232,YES
0.503,NO
1.6656,YES
2.1977,YES
0.5605,NO
0.2704,NO
0.2331,NO
0.5088,NO
2.1247,YES
1.4925,YES
0.5692,NO
0.1151,NO
0.2444,NO
0.2913,NO
0.4272,NO
0.1526,NO
0.2956,NO
1.1898,YES
0.2699,NO
2.2119,YES
0.2645,NO
1.3584,YES
0.4107,NO
0.4009,NO
0.3509,NO
0.3986,NO
0.1885,NO
0.4423,NO
0.2065,NO
0.3766,NO
0.2363,NO
0.1534,NO
0.3971,NO
0.6056,NO
0.4031,NO
0.6557,NO
0.3944,NO
0.0509,NO
0.405,NO
1.1693,YES
0.285,NO
1.9582,YES
0.205,NO
0.3008,NO
0.2136,NO
0.1919,NO
0.3813,NO
0.1268,NO
0.6121,NO
0.1755,NO
0.5883,NO
1.8299,YES
2.0088,YES
2.0944,YES
0.9133,YES
0.5574,NO
0.7101,YES
0.3115,NO
2.2077,YES
2.2107,YES
0.7582,NO
0.5055,NO
0.4016,NO
0.7464,NO
1.5009,YES
2.0792,YES
0.6993,NO
0.2756,NO
0.3767,NO
0.5728,NO
0.389,NO
0.3242,NO
0.3434,NO
1.1682,YES
0.3588,NO
2.2433,YES
0.3317,NO
1.3798,YES
0.3558,NO
0.5045,NO
0.5829,NO
0.6177,NO
0.4048,NO
0.6681,NO
0.4324,NO
0.2802,NO
0.0913,NO
0.0711,NO
0.9348,YES
1.7208,YES
2.6398,YES
1.4101,YES
0.44299999999999995,NO
0.1341,NO
0.9666,YES
0.3302,NO
1.4267,YES
0.2465,NO
0.2165,NO
0.3776,NO
0.2912,NO
0.14400000000000002,NO
1.8858,YES
0.1118,NO
2.7675,YES
0.1833,NO
2.293,YES
0.2257,NO
0.6977,NO
0.6599,NO
0.081,NO
1.1024,YES
0.3934,NO
1.5728,YES
0.6575,NO
0.5696,NO
0.5064,NO
0.5007,NO
0.5406,NO
0.9599,NO
0.6682,NO
0.4219,NO
0.5128,NO
0.9075,YES
0.5105,NO
1.4358,YES
0.1987,NO
0.265,NO
0.1689,NO
0.3016,NO
0.2821,NO
0.6092,NO
0.5815,NO
0.4021,NO
0.5674,NO
1.1719,YES
1.2821,YES
1.5130000000000001,YES
0.7729,YES
0.4428,NO
0.6804,YES
0.4769,NO
0.309,NO
0.2435,NO
0.414,YES
1.4931,YES
1.7947,YES
0.83,YES
0.3895,NO
0.2276,NO
0.4928,YES
0.469,NO
0.6728,YES
0.7341,NO
0.2252,NO
0.2575,NO
0.2375,NO
0.177,NO
1.5049,YES
0.326,NO
1.9221,YES
0.2629,NO
1.4025,YES
0.44799999999999995,NO
0.6851,NO
0.7286,NO
0.3689,NO
0.5827,YES
0.4474,NO
0.6601,YES
0.5838,NO
0.5922,NO
0.2381,NO
0.4465,NO
0.3992,NO
0.3792,NO
0.6868,NO
0.4252,NO
0.1999,NO
0.7817,YES
0.2045,NO
1.6008,YES
0.405,NO
0.41600000000000004,NO
0.36200000000000004,NO
0.2517,NO
0.46299999999999997,NO
0.6433,NO
0.3967,NO
0.4042,NO
0.5485,NO
1.3884,YES
1.5548,YES
1.5981,YES
0.6109,YES
0.2556,NO
0.6055,YES
0.1542,NO
0.4957,NO
0.2334,NO
0.6087,NO
0.4174,NO
0.5801,NO
0.856,NO
0.3359,NO
0.2305,NO
0.6223,NO
0.7969,YES
0.4635,NO
1.1697,YES
0.1758,NO
0.1636,NO
0.0785,NO
0.27699999999999997,NO
0.3908,NO
0.2414,NO
0.5536,NO
0.2506,NO
0.6881,NO
1.1028,YES
1.2258,YES
1.4198,YES
0.6048,YES
0.6181,NO
0.7424,YES
0.5826,NO
0.5858,NO
0.4108,NO
0.5909,NO
0.6836,NO
0.4931,NO
0.9273,NO
0.7043,NO
0.2306,NO
0.6048,NO
1.1845,YES
0.5512,NO
2.5947,YES
0.3707,NO
0.4756,NO
0.2772,NO
0.2336,NO
0.4446,NO
0.4589,NO
0.5333,NO
0.3836,NO
0.633,NO
1.8264,YES
1.9898,YES
2.6166,YES
1.0153,YES
0.5635,NO
1.4769,YES
0.3927,NO
0.4283,NO
0.2227,NO
0.3613,NO
0.5191,NO
0.4594,NO
0.6378,NO
0.568,NO
0.0685,NO
0.4596,NO
1.5975,YES
0.3407,NO
1.8732,YES
0.3458,NO
0.2048,NO
0.2045,NO
0.1903,NO
0.3622,NO
0.1888,NO
0.5595,NO
0.1702,NO
0.4202,NO
1.8864,YES
2.0189,YES
2.07,YES
1.2969,YES
0.4386,NO
0.8159,YES
0.4915,NO
0.5064,NO
0.496,NO
3.0452,YES
0.5096,YES
0.644,YES
2.4962,YES
0.7516,NO
0.3748,NO
3.3061,YES
0.3716,NO
2.1704,YES
0.3677,NO
0.4054,NO
0.3826,NO
0.3664,NO
0.1149,NO
0.2741,YES
0.6143,NO
0.8702,YES
0.2129,NO
0.7581,YES
0.3276,NO
0.6786,NO
1.079,NO
0.3918,NO
2.4915,YES
0.6871,NO
2.2814,YES
0.4036,NO
0.1674,NO
1.9036,YES
0.541,NO
0.8443,NO
1.6197,YES
0.2952,NO
0.1591,NO
1.9272,YES
0.2041,NO
0.7396,YES
0.1787,NO
0.3264,NO
0.3203,NO
0.2648,NO
0.2716,NO
0.6777,NO
0.222,NO
0.8271,NO
0.1907,NO
0.9898,NO
0.4686,NO
0.609,NO
0.6708,NO
0.1917,NO
1.8981,YES
0.3359,NO
1.0205,YES
0.3936,NO
0.2352,NO
1.4228,YES
2.0652,YES
2.8361,YES
1.9644,YES
0.6318,NO
0.2572,NO
1.3659,YES
0.5725,NO
1.6725,YES
0.5805,NO
0.2365,NO
0.36200000000000004,NO
0.2881,NO
0.3559,NO
1.9992,YES
0.322,NO
3.4895,YES
0.3622,NO
2.9763,YES
0.5299,NO
1.1192,NO
1.347,NO
0.1528,NO
1.5331,YES
0.8979,NO
1.9058,YES
0.2534,NO
0.1646,NO
1.642,YES
0.313,NO
0.2945,NO
1.7781,YES
0.1681,NO
0.153,NO
2.3692,YES
0.2549,NO
1.5194,YES
0.4099,NO
0.26899999999999996,NO
0.1542,NO
0.1504,NO
0.1775,NO
0.2407,NO
0.1654,NO
0.4938,NO
0.0902,NO
0.4029,NO
0.4322,NO
0.5534,NO
0.975,NO
0.21600000000000003,NO
1.6759,YES
0.5653,NO
2.1045,YES
0.2233,NO
0.0768,NO
0.6962,YES
2.2644,YES
3.6310000000000002,YES
1.6939,YES
0.4427,NO
0.1037,NO
0.7595,YES
0.4814,NO
1.1958,YES
0.3742,NO
0.3104,NO
0.3705,NO
0.5057,NO
0.2004,NO
2.8216,YES
0.1343,NO
3.7347,YES
0.2174,NO
3.678,YES
0.3373,NO
1.0175,NO
0.6769,NO
0.1653,NO
0.8565,YES
0.6677,NO
1.2546,YES
1.0532,YES
1.5939,YES
0.6615,NO
0.3046,NO
0.2627,NO
0.6889,NO
1.3992,YES
0.8655,YES
0.8394,NO
0.135,NO
0.5024,NO
0.2781,NO
0.4611,NO
0.2811,NO
0.3905,NO
0.3514,YES
0.3697,NO
1.5883,YES
0.3926,NO
0.5621,YES
0.3639,NO
0.2084,NO
0.3265,NO
0.5092,NO
0.1697,NO
0.6255,NO
0.4091,NO
0.4671,NO
0.5638,NO
0.308,NO
4.88,YES
0.9288,YES
1.6684,YES
4.4501,YES
0.6782,NO
0.3407,NO
5.6416,YES
0.4678,NO
3.9662,YES
0.5352,NO
0.6973,NO
0.3538,NO
0.4359,NO
0.3,NO
0.7249,YES
0.3782,NO
1.9233,YES
0.2671,NO
1.8877,YES
0.7585,NO
1.3217,NO
1.9372,NO
0.3403,NO
4.6935,YES
0.9989,NO
4.6137,YES
0.8372,NO
0.5471,NO
4.1374,YES
1.2118,YES
1.775,YES
4.7661,YES
0.8575,NO
0.5439,NO
4.8701,YES
0.7474,NO
3.8038,YES
1.0373,NO
0.2277,NO
0.4687,NO
0.1904,NO
0.4149,NO
0.6859,YES
0.7293,NO
2.0603,YES
0.4671,NO
1.7822,YES
0.9828,NO
1.4621,NO
2.2018,NO
0.6527,NO
3.5558,YES
1.0846,NO
3.8324,YES
