50Traced_NONETRACED_MAX_SINGLE_VSM_35_MEDIAN,Associated
0.1503,NO
0.1429,NO
0.6593,NO
0.3031,NO
0.1965,NO
0.6773,NO
0.4224,NO
0.0679,NO
0.1818,NO
1.0,YES
0.1142,NO
1.0,YES
0.3391,NO
0.3391,NO
0.3391,NO
0.3249,NO
0.5985,NO
0.1308,NO
0.391,NO
0.2179,NO
0.2752,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.5187,NO
1.0,YES
0.1205,NO
1.0,YES
1.0,YES
0.3362,NO
0.1579,NO
0.1148,NO
0.1112,NO
1.0,YES
1.0,YES
0.1364,NO
0.2082,NO
0.0981,NO
0.1086,NO
0.397,NO
0.397,NO
0.397,NO
1.0,YES
0.1915,NO
1.0,YES
0.1026,NO
1.0,YES
0.0766,NO
0.2082,NO
0.2082,NO
0.2082,NO
0.1249,NO
0.1903,NO
0.2082,NO
0.1008,NO
0.1503,NO
0.21600000000000003,NO
0.6593,NO
0.3076,NO
0.3076,NO
0.6773,NO
0.4224,NO
0.21600000000000003,NO
0.3063,NO
1.0,YES
0.1924,NO
1.0,YES
0.205,NO
0.2168,NO
0.2136,NO
0.3249,NO
0.5985,NO
0.21600000000000003,NO
0.391,NO
0.1851,NO
0.2752,NO
1.0,YES
1.0,YES
1.0,YES
0.7349,YES
0.5187,NO
1.0,YES
0.1794,NO
1.0,YES
1.0,YES
0.6805,NO
0.5062,NO
0.6805,NO
0.6805,NO
1.0,YES
1.0,YES
0.6805,NO
0.4136,NO
0.5415,NO
0.601,NO
0.7376,NO
0.7124,NO
0.7376,NO
1.0,YES
0.5115,NO
1.0,YES
0.6805,NO
1.0,YES
0.3377,NO
0.601,NO
0.4197,NO
0.4197,NO
0.601,NO
0.5415,NO
0.4197,NO
0.5415,NO
0.1425,NO
0.2248,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.1658,NO
0.1337,NO
1.0,YES
0.1552,NO
0.6283,YES
0.22399999999999998,NO
0.379,NO
0.379,NO
0.379,NO
0.0921,NO
1.0,YES
0.0921,NO
1.0,YES
0.1449,NO
1.0,YES
0.3725,NO
0.3721,NO
0.368,NO
0.1197,NO
0.7068,YES
0.4619,NO
0.5859,YES
0.2169,NO
0.2169,NO
0.6593,NO
0.3077,NO
0.4137,NO
0.6773,NO
0.4224,NO
0.2169,NO
0.4137,NO
1.0,YES
