50Traced_NONETRACED_MAX_RAW_LSA_94_MEDIAN,Associated
0.1687,NO
0.0652,NO
0.2688,NO
0.2164,NO
0.0949,NO
0.0906,NO
0.1548,NO
0.1548,NO
0.1689,NO
1.0,YES
0.1153,NO
1.0,YES
0.2427,NO
0.2231,NO
0.2223,NO
0.1142,NO
0.151,NO
0.1687,NO
0.1843,NO
0.2179,NO
0.1201,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.1573,NO
1.0,YES
0.1576,NO
1.0,YES
0.2444,YES
0.3362,NO
0.1659,NO
0.1659,NO
0.1778,NO
1.0,YES
1.0,YES
0.1364,NO
0.1474,NO
0.1296,NO
0.1058,NO
0.1797,NO
0.1835,NO
0.1835,NO
0.3834,YES
0.1033,NO
1.0,YES
0.1659,NO
0.3399,YES
0.0836,NO
0.1212,NO
0.1156,NO
0.1474,NO
0.1474,NO
0.1903,NO
0.1474,NO
0.1659,NO
0.1686,NO
0.1534,NO
0.2688,NO
0.2865,NO
0.1512,NO
0.1666,NO
0.1488,NO
0.092,NO
0.2187,NO
1.0,YES
0.1694,NO
1.0,YES
0.205,NO
0.2168,NO
0.2136,NO
0.1919,NO
0.1616,NO
0.1268,NO
0.1947,NO
0.1755,NO
0.2202,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.1694,NO
0.5256,YES
0.1694,NO
1.0,YES
0.1814,YES
0.3356,NO
0.204,NO
0.204,NO
0.204,NO
1.0,YES
1.0,YES
0.1731,NO
0.1355,NO
0.1489,NO
0.1387,NO
0.2289,NO
0.2183,NO
0.2183,NO
0.1923,YES
0.1268,NO
0.4181,YES
0.204,NO
0.3081,YES
0.044000000000000004,NO
0.1387,NO
0.1387,NO
0.1387,NO
0.1387,NO
0.2201,NO
0.1355,NO
0.204,NO
0.1508,NO
0.0635,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.1548,NO
0.1508,NO
0.2465,YES
0.1395,NO
0.2134,YES
0.1531,NO
0.2165,NO
0.2037,NO
0.2037,NO
0.0572,NO
1.0,YES
0.1267,NO
1.0,YES
0.1481,NO
0.4156,YES
0.1531,NO
0.1531,NO
0.2298,NO
0.1531,NO
1.0,YES
0.1335,NO
1.0,YES
0.1926,NO
0.0785,NO
0.2688,NO
0.2582,NO
0.2524,NO
0.2524,NO
0.1926,NO
0.1926,NO
0.1458,NO
1.0,YES
0.1577,NO
1.0,YES
0.1987,NO
0.1834,NO
0.1813,NO
0.159,NO
0.1827,NO
0.1621,NO
0.2524,NO
0.2019,NO
0.1293,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2524,NO
0.4997,YES
0.2524,NO
0.1468,NO
0.0774,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.1548,NO
0.0604,NO
0.2465,YES
0.2598,NO
0.2134,YES
0.1459,NO
0.2252,NO
0.2571,NO
0.2375,NO
0.1453,NO
1.0,YES
0.141,NO
1.0,YES
0.1481,NO
1.0,YES
0.2049,NO
0.2548,NO
0.2548,NO
0.1116,NO
1.0,YES
0.2548,NO
1.0,YES
0.1755,NO
0.0785,NO
0.2395,NO
0.2395,NO
0.2395,NO
0.2395,NO
0.1755,NO
0.1755,NO
0.2199,NO
1.0,YES
0.2045,NO
1.0,YES
0.2519,NO
0.2036,NO
0.2033,NO
0.159,NO
0.151,NO
0.0959,NO
0.2395,NO
0.2256,NO
0.1254,NO
0.3196,YES
1.0,YES
1.0,YES
1.0,YES
0.2405,NO
1.0,YES
0.2395,NO
0.1686,NO
0.1339,NO
0.2688,NO
0.1967,NO
0.1879,NO
0.2079,NO
0.1339,NO
0.0967,NO
0.2198,NO
1.0,YES
0.2344,NO
1.0,YES
0.1331,NO
0.1834,NO
0.0647,NO
0.204,NO
0.1327,NO
0.1655,NO
0.31,NO
0.1309,NO
0.2819,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.193,NO
1.0,YES
0.1879,NO
0.1686,NO
0.0769,NO
0.2688,NO
0.2664,NO
0.2664,NO
0.2664,NO
0.1684,NO
0.1579,NO
0.1751,NO
1.0,YES
0.1828,NO
1.0,YES
0.2252,NO
0.2041,NO
0.2007,NO
0.0988,NO
0.151,NO
0.1479,NO
0.2664,NO
0.1912,NO
0.14,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2664,NO
1.0,YES
0.2664,NO
0.1542,NO
0.0785,NO
0.2085,NO
0.2886,NO
0.2085,NO
0.2085,NO
0.1488,NO
0.1348,NO
0.1421,NO
1.0,YES
0.1412,NO
1.0,YES
0.2118,NO
0.2048,NO
0.2045,NO
0.159,NO
0.151,NO
0.1542,NO
0.2085,NO
0.1702,NO
0.1518,NO
0.3372,YES
1.0,YES
1.0,YES
1.0,YES
0.2085,NO
1.0,YES
0.2085,NO
0.1628,NO
0.0451,NO
1.0,YES
0.27899999999999997,YES
0.27899999999999997,YES
0.3916,YES
0.2237,NO
0.1628,NO
0.4186,YES
0.1253,NO
1.0,YES
0.1214,NO
0.2131,NO
0.1834,NO
0.1834,NO
0.153,NO
0.1919,YES
0.0875,NO
0.27899999999999997,YES
0.2129,NO
0.2328,YES
0.1271,NO
0.1214,NO
0.3025,NO
0.1253,NO
1.0,YES
0.2616,NO
1.0,YES
0.1799,NO
0.1547,NO
1.0,YES
0.2156,NO
0.1535,NO
0.4159,YES
0.1867,NO
0.1097,NO
0.5448,YES
0.191,NO
1.0,YES
0.2742,NO
0.3264,NO
0.3203,NO
0.2648,NO
0.171,NO
0.21899999999999997,NO
0.1398,NO
0.3673,NO
0.1451,NO
0.2637,NO
0.2742,NO
0.2742,NO
0.3767,NO
0.2742,NO
1.0,YES
0.3359,NO
1.0,YES
0.1533,NO
0.0635,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.1533,NO
0.1768,NO
0.2799,YES
0.2818,NO
0.32899999999999996,YES
0.1095,NO
0.2365,NO
0.2061,NO
0.2048,NO
0.1768,NO
0.2704,YES
0.1427,NO
1.0,YES
0.1768,NO
0.3645,YES
0.2397,NO
0.2111,NO
0.2935,NO
0.2818,NO
1.0,YES
0.2818,NO
1.0,YES
0.1636,NO
0.1646,NO
0.3881,YES
0.3036,NO
0.3036,NO
0.4534,YES
0.1681,NO
0.153,NO
0.4738,YES
0.159,NO
0.493,YES
0.1456,NO
0.2244,NO
0.1542,NO
0.1277,NO
0.1775,NO
0.2106,NO
0.1654,NO
0.3557,NO
0.0902,NO
0.3036,NO
0.2218,NO
0.1764,NO
0.3901,NO
0.21600000000000003,NO
0.4155,YES
0.3584,NO
0.3239,YES
0.1468,NO
0.0635,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.1548,NO
0.0855,NO
0.2465,YES
0.1175,NO
0.2134,YES
0.0994,NO
0.171,NO
0.1762,NO
0.1785,NO
0.0891,NO
1.0,YES
0.0864,NO
1.0,YES
0.1481,NO
1.0,YES
0.0291,NO
0.0757,NO
0.2298,NO
0.1175,NO
1.0,YES
