50Traced_NONETRACED_SUM_MULTI_VSM_65_MEDIAN,Associated
1.2967,NO
0.3425,NO
1.3723,NO
1.071,NO
0.8861,NO
1.2872,NO
1.3768,NO
0.6891,NO
1.1187,NO
1.5313,YES
0.7724,NO
1.4384,YES
1.1509,NO
1.4449,NO
0.5702,NO
0.6439,NO
1.3537,NO
0.8347,NO
0.8548,NO
0.7929999999999999,NO
1.3033,NO
1.9179,YES
2.0467,YES
2.4276,YES
2.0665,YES
1.2437,NO
1.3389,YES
0.9303,NO
3.175,YES
0.6234,YES
1.5744,NO
0.5619,NO
0.5517,NO
1.4154,NO
2.3676,YES
2.1937,YES
0.9833,NO
0.565,NO
0.7376,NO
0.38299999999999995,NO
0.6163,NO
0.67,NO
0.5002,NO
1.442,YES
0.6134,NO
2.1758,YES
0.4463,NO
2.2736,YES
0.5588,NO
0.3633,NO
0.644,NO
0.5828,NO
0.4606,NO
1.0195,NO
0.6042,NO
1.2279,NO
0.8816,NO
0.5403,NO
1.39,NO
1.6004,NO
1.0619,NO
1.5398,NO
1.2404,NO
0.2688,NO
1.4782,NO
2.9509,YES
0.8873,NO
2.7460000000000004,YES
0.8583,NO
1.1576,NO
0.4169,NO
0.526,NO
1.943,NO
0.3739,NO
1.1673,NO
0.5715,NO
1.7916,NO
3.3119,YES
3.6753,YES
4.128,YES
3.6224,YES
1.34,NO
2.445,YES
1.2548,NO
1.8385,YES
0.5314,YES
1.2008,NO
0.4287,NO
0.3777,NO
1.035,NO
1.4322,YES
0.7257,YES
1.0212,NO
0.3068,NO
0.4759,NO
0.1723,NO
0.5531,NO
0.6535,NO
0.4094,NO
1.0419,YES
0.4293,NO
0.9906,YES
0.4067,NO
1.4605,YES
0.4224,NO
0.3425,NO
0.6581,NO
0.5726,NO
0.4419,NO
0.6463,NO
0.4475,NO
0.8079,NO
1.4143,NO
0.5562,NO
2.9949,YES
3.8387,YES
4.4094,YES
3.0687,YES
1.2864,NO
0.8358,NO
2.4942,YES
1.0581,NO
2.6102,YES
0.7804,NO
1.581,NO
1.2444,NO
1.0722,NO
0.5269,NO
3.6698,YES
0.8941,NO
3.6495,YES
0.44799999999999995,NO
4.9702,YES
1.249,NO
2.1823,NO
2.3143,NO
0.9687,NO
2.4829,YES
1.1361,NO
2.8769,YES
0.9183,NO
0.4108,NO
1.8123,NO
0.6940000000000001,NO
0.5389,NO
1.5347,NO
1.3959,NO
0.1948,NO
1.599,NO
2.5291,YES
1.0769,NO
2.3928,YES
0.9927,NO
1.206,NO
0.3473,NO
0.5422,NO
1.2917,NO
0.4728,NO
0.6612,NO
0.561,NO
0.8736,NO
2.9531,YES
3.1023,YES
3.6922,YES
3.3811,YES
1.3967,NO
2.1837,YES
1.0167,NO
1.2911,NO
0.4222,NO
1.9632,YES
3.1781,YES
3.883,YES
1.8669,YES
0.8667,NO
0.6184,NO
1.597,YES
1.3027,NO
1.589,YES
1.1191,NO
1.115,NO
0.7576,NO
0.5657,NO
0.5531,NO
3.3369999999999997,YES
0.6151,NO
3.0273,YES
0.5191,NO
4.2428,YES
1.5545,NO
2.0131,NO
1.9824,NO
1.3785,NO
1.3786,YES
0.5513,NO
1.7151,YES
0.8392,NO
0.4111,NO
2.3675,NO
1.6864,NO
1.3779,NO
2.0982,NO
1.35,NO
0.2921,NO
2.0386,NO
2.2247,YES
1.6266,NO
2.1034,YES
1.5707,NO
1.9173,NO
0.7666,NO
0.3651,NO
1.9799,NO
0.4512,NO
1.3384,NO
0.3243,NO
1.9242,NO
2.5422,YES
2.9865,YES
3.4383,YES
2.8966,YES
1.9877,NO
2.3517,YES
1.8168,NO
0.5661,NO
0.3573,NO
1.1623,NO
1.4025,NO
0.7573,NO
1.1606,NO
0.9914,NO
0.2865,NO
0.9739,NO
2.7527,YES
0.3618,NO
2.5351,YES
0.6205,NO
1.1594,NO
0.1435,NO
0.2243,NO
1.8553,NO
0.2845,NO
1.11,NO
0.2551,NO
1.6579,NO
3.3516,YES
3.4938,YES
3.9003,YES
3.733,YES
1.2372,NO
2.533,YES
0.7141,NO
1.3163,NO
0.4045,NO
2.0297,NO
1.7096,NO
1.1253,NO
2.0026,NO
1.5511,NO
0.8046,NO
1.6695,NO
2.8183,YES
1.0658,NO
2.4705,YES
0.9073,NO
1.4246,NO
0.465,NO
0.47,NO
2.1109999999999998,NO
0.8401,NO
1.2824,NO
0.5905,NO
1.8123,NO
3.4376,YES
3.7221,YES
4.2657,YES
3.745,YES
1.7549,NO
2.6977,YES
1.4708,NO
0.9319,NO
0.3626,NO
1.7774,NO
1.8401,NO
1.3207,NO
1.8246,NO
1.3974,NO
0.4545,NO
1.6321,NO
3.0174,YES
0.9249,NO
2.6947,YES
1.0015,NO
