50Traced_NONETRACED_MAX_RAW_VSM_14_MEDIAN,Associated
0.1439,NO
0.1171,NO
0.1406,NO
0.2164,NO
0.1663,NO
0.1406,NO
0.1579,NO
0.1171,NO
0.1689,NO
1.0,YES
0.1406,NO
1.0,YES
0.2427,NO
0.2231,NO
0.2223,NO
0.1142,NO
0.1733,NO
0.1171,NO
0.1663,NO
0.2179,NO
0.1259,NO
0.3848,YES
0.4613,YES
1.0,YES
1.0,YES
0.1573,NO
1.0,YES
0.1406,NO
1.0,YES
0.2444,YES
0.3362,NO
0.1579,NO
0.1148,NO
0.1405,NO
1.0,YES
0.3164,YES
0.1405,NO
0.1056,NO
0.1318,NO
0.1156,NO
0.1797,NO
0.1649,NO
0.1551,NO
1.0,YES
0.1344,NO
1.0,YES
0.1088,NO
0.3399,YES
0.1088,NO
0.1212,NO
0.0769,NO
0.1235,NO
0.1156,NO
0.1903,NO
0.1119,NO
0.1318,NO
0.1686,NO
0.1534,NO
0.1505,NO
0.2865,NO
0.1512,NO
0.1666,NO
0.1465,NO
0.0647,NO
0.2252,NO
1.0,YES
0.2347,NO
0.5256,YES
0.205,NO
0.2168,NO
0.2136,NO
0.1919,NO
0.1616,NO
0.1268,NO
0.1947,NO
0.1755,NO
0.2202,NO
1.0,YES
0.4252,YES
0.5081,YES
0.5256,YES
0.2254,NO
0.5081,YES
0.1505,NO
1.0,YES
0.1949,YES
0.3356,NO
0.1662,NO
0.1507,NO
0.1489,NO
1.0,YES
0.3164,YES
0.1731,NO
0.0952,NO
0.1501,NO
0.1355,NO
0.2289,NO
0.2088,NO
0.2075,NO
1.0,YES
0.1216,NO
1.0,YES
0.1216,NO
0.3081,YES
0.1216,NO
0.1251,NO
0.091,NO
0.11800000000000001,NO
0.1355,NO
0.2201,NO
0.1351,NO
0.1501,NO
0.1468,NO
0.0247,NO
1.0,YES
0.4216,YES
1.0,YES
0.2985,YES
0.1661,NO
0.015,NO
0.2465,YES
0.1475,NO
0.2372,YES
0.1443,NO
0.2165,NO
0.2037,NO
0.1934,NO
0.1267,NO
1.0,YES
0.1267,NO
1.0,YES
0.1481,NO
1.0,YES
0.1155,NO
0.0862,NO
0.1439,NO
0.1116,NO
1.0,YES
0.1242,NO
0.2372,YES
0.1621,NO
0.0785,NO
0.2524,NO
0.2582,NO
0.2524,NO
0.1701,NO
0.1684,NO
0.1225,NO
0.1458,NO
1.0,YES
0.1577,NO
1.0,YES
0.1987,NO
0.1813,NO
0.1689,NO
0.1621,NO
0.2524,NO
0.1621,NO
0.2524,NO
0.2019,NO
0.2524,NO
1.0,YES
0.4613,YES
1.0,YES
1.0,YES
0.2524,NO
1.0,YES
0.1312,NO
0.1566,NO
0.0774,NO
1.0,YES
1.0,YES
1.0,YES
0.2985,YES
0.1661,NO
0.0604,NO
0.2465,YES
0.2598,NO
0.2134,YES
0.1459,NO
0.2252,NO
0.2571,NO
0.2375,NO
0.1453,NO
1.0,YES
0.141,NO
1.0,YES
0.1481,NO
1.0,YES
0.2049,NO
0.2206,NO
0.2228,NO
0.1116,NO
1.0,YES
0.2085,NO
0.2078,YES
0.1809,NO
0.1809,NO
0.2395,NO
0.19,NO
0.2395,NO
0.1997,NO
0.1653,NO
0.1809,NO
0.1999,NO
1.0,YES
0.2045,NO
0.27899999999999997,YES
0.2519,NO
0.2269,NO
0.2033,NO
0.0988,NO
0.2395,NO
0.1809,NO
0.2395,NO
0.2256,NO
0.2395,NO
0.2638,YES
0.3053,YES
1.0,YES
0.3108,YES
0.2405,NO
1.0,YES
0.1934,NO
0.1686,NO
0.1339,NO
0.22399999999999998,NO
0.2061,NO
0.1508,NO
0.2079,NO
0.1579,NO
0.0967,NO
0.2252,NO
1.0,YES
0.2347,NO
1.0,YES
0.1331,NO
0.1834,NO
0.0647,NO
0.204,NO
0.20600000000000002,NO
0.1655,NO
0.31,NO
0.1309,NO
0.2819,NO
1.0,YES
0.4613,YES
1.0,YES
1.0,YES
0.2254,NO
1.0,YES
0.1892,NO
0.1686,NO
0.0785,NO
0.2664,NO
0.2342,NO
0.2664,NO
0.2171,NO
0.1684,NO
0.1204,NO
0.2252,NO
1.0,YES
0.2347,NO
0.4754,YES
0.2252,NO
0.2041,NO
0.2007,NO
0.1579,NO
0.2664,NO
0.1544,NO
0.2664,NO
0.1912,NO
0.2664,NO
1.0,YES
0.4206,YES
1.0,YES
0.4754,YES
0.2664,NO
1.0,YES
0.2171,NO
0.1686,NO
0.1118,NO
0.2085,NO
0.2886,NO
0.2085,NO
0.1249,NO
0.1348,NO
0.1118,NO
0.2252,NO
1.0,YES
0.2347,NO
0.4994,YES
0.2118,NO
0.2048,NO
0.2045,NO
0.1348,NO
0.2085,NO
0.1544,NO
0.2085,NO
0.1702,NO
0.2085,NO
1.0,YES
0.4206,YES
1.0,YES
0.4994,YES
0.2254,NO
1.0,YES
0.1219,NO
0.1628,NO
0.0694,NO
1.0,YES
0.1431,YES
0.27899999999999997,YES
1.0,YES
0.2237,NO
0.1065,NO
1.0,YES
0.2938,NO
1.0,YES
0.1059,NO
0.2131,NO
0.1834,NO
0.1474,NO
0.1628,NO
0.27899999999999997,YES
0.1494,NO
0.27899999999999997,YES
0.2129,NO
0.27899999999999997,YES
0.2938,NO
0.1285,NO
0.3025,NO
0.1202,NO
0.3477,YES
0.2516,NO
1.0,YES
0.1799,NO
0.1547,NO
0.3803,YES
0.2156,NO
0.172,NO
0.47700000000000004,YES
0.1955,NO
0.1097,NO
1.0,YES
0.2742,NO
0.47700000000000004,YES
0.1528,NO
0.3264,NO
0.3203,NO
0.2648,NO
0.171,NO
0.21899999999999997,NO
0.1398,NO
0.3673,NO
0.1451,NO
0.3456,NO
0.2742,NO
0.1784,NO
0.3767,NO
0.1917,NO
1.0,YES
0.3359,NO
0.47700000000000004,YES
0.1768,NO
0.1768,NO
1.0,YES
0.2996,YES
1.0,YES
0.3174,YES
0.1661,NO
0.1768,NO
0.3189,YES
0.2818,NO
0.3333,YES
0.33,NO
0.2365,NO
0.2414,NO
0.2048,NO
0.1533,NO
1.0,YES
0.1768,NO
1.0,YES
0.1481,NO
1.0,YES
0.2397,NO
0.2111,NO
0.2935,NO
0.33,NO
1.0,YES
0.2818,NO
0.3333,YES
0.1636,NO
0.1646,NO
0.3881,YES
0.1762,NO
0.1649,NO
0.4197,YES
0.1681,NO
0.153,NO
0.4738,YES
0.159,NO
1.0,YES
0.1456,NO
0.2244,NO
0.1542,NO
0.1277,NO
0.1775,NO
