50Traced_NONETRACED_MAX_MULTI_LSA_91_MEDIAN,Associated
0.32,NO
0.1819,NO
0.5722,NO
0.5644,NO
0.31,NO
0.6333,NO
0.2831,NO
0.1334,NO
0.3138,NO
1.0,YES
0.2887,NO
1.0,YES
0.3555,NO
0.3673,NO
0.3555,NO
0.3282,NO
0.4327,NO
0.318,NO
0.3529,NO
0.2179,NO
0.3438,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.1632,NO
1.0,YES
0.2458,NO
1.0,YES
0.408,YES
0.3362,NO
0.2576,NO
0.1542,NO
0.3034,NO
1.0,YES
1.0,YES
0.3034,NO
0.1683,NO
0.3034,NO
0.2425,NO
0.2318,NO
0.3413,NO
0.301,NO
1.0,YES
0.1652,NO
0.904,YES
0.1652,NO
1.0,YES
0.1256,NO
0.1212,NO
0.1585,NO
0.2425,NO
0.2425,NO
0.2287,NO
0.2425,NO
0.2069,NO
0.3088,NO
0.1534,NO
0.3097,NO
0.5644,NO
0.31,NO
0.3427,NO
0.2155,NO
0.0863,NO
0.3028,NO
1.0,YES
0.2866,NO
0.965,YES
0.205,NO
0.2796,NO
0.2136,NO
0.3167,NO
0.4175,NO
0.3069,NO
0.3405,NO
0.1755,NO
0.2202,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2381,NO
0.965,YES
0.2866,NO
1.0,YES
0.408,YES
0.3356,NO
0.3559,NO
0.3559,NO
0.2862,NO
1.0,YES
1.0,YES
0.3559,NO
0.2193,NO
0.3559,NO
0.316,NO
0.3845,NO
0.3413,NO
0.3845,NO
1.0,YES
0.3559,NO
0.904,YES
0.2148,NO
1.0,YES
0.3559,NO
0.2187,NO
0.2187,NO
0.316,NO
0.316,NO
0.2201,NO
0.316,NO
0.2455,NO
0.27,NO
0.1089,NO
0.5033,YES
1.0,YES
1.0,YES
0.6382,YES
0.344,NO
0.1327,NO
1.0,YES
0.3816,NO
1.0,YES
0.2022,NO
0.2986,NO
0.42,NO
0.3877,NO
0.1729,NO
1.0,YES
0.1669,NO
1.0,YES
0.304,NO
1.0,YES
0.3118,NO
0.5347,NO
0.4856,NO
0.1856,NO
0.5820000000000001,YES
0.254,NO
0.4367,YES
0.32,NO
0.1493,NO
0.5722,NO
0.5352,NO
0.4528,NO
0.6333,NO
0.2831,NO
0.272,NO
0.4528,NO
1.0,YES
0.4528,NO
1.0,YES
0.3104,NO
0.3673,NO
0.3104,NO
0.3282,NO
0.4528,NO
0.318,NO
0.3529,NO
0.272,NO
0.4528,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2635,NO
1.0,YES
0.2458,NO
0.1405,NO
0.0774,NO
0.5033,YES
1.0,YES
1.0,YES
0.6382,YES
0.344,NO
0.1327,NO
1.0,YES
0.4576,NO
1.0,YES
0.2183,NO
0.2568,NO
0.42,NO
0.3335,NO
0.1567,NO
1.0,YES
0.141,NO
1.0,YES
0.304,NO
1.0,YES
0.4576,NO
0.4576,NO
0.4856,NO
0.4576,NO
0.5820000000000001,YES
0.254,NO
0.4367,YES
0.3096,NO
0.3096,NO
0.2722,NO
0.2489,NO
0.1728,NO
0.3327,NO
0.3096,NO
0.2271,NO
0.3327,NO
0.6940000000000001,YES
0.3347,NO
1.0,YES
0.3323,NO
0.3673,NO
0.4316,NO
0.3096,NO
0.2489,NO
0.2699,NO
0.2489,NO
0.2256,NO
0.1635,NO
0.4757,YES
0.6533,YES
1.0,YES
1.0,YES
0.3347,NO
1.0,YES
0.3347,NO
0.32,NO
0.1493,NO
0.5722,NO
0.5644,NO
0.3237,NO
0.6333,NO
0.1871,NO
0.1871,NO
0.3271,NO
1.0,YES
0.3855,NO
1.0,YES
0.1746,NO
0.183,NO
0.0793,NO
0.3282,NO
0.4327,NO
0.318,NO
0.3529,NO
0.1871,NO
0.3438,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3855,NO
1.0,YES
0.3855,NO
0.32,NO
0.307,NO
0.3406,NO
0.5077,NO
0.4809,NO
0.377,NO
0.307,NO
0.2435,NO
0.4809,NO
0.8995,YES
0.4809,NO
1.0,YES
0.3547,NO
0.3673,NO
0.3649,NO
0.3282,NO
0.4809,NO
0.318,NO
0.3827,NO
0.2435,NO
0.4809,NO
0.8995,YES
1.0,YES
1.0,YES
1.0,YES
0.2799,NO
1.0,YES
0.2964,NO
0.32,NO
0.1493,NO
0.2809,NO
0.5348,NO
0.3649,NO
0.3004,NO
0.2831,NO
0.2562,NO
0.3649,NO
0.9475,YES
0.3649,NO
