50Traced_NONETRACED_RFSMOTE_MULTI_LSA_13_SUM,Associated
0.044081125827814566,NO
0.03821743929359823,NO
0.0721578366445916,NO
0.14252207505518766,NO
0.03952814569536424,NO
0.05573951434878587,NO
0.03387141280353201,NO
0.040080022075055184,NO
0.10975441501103753,NO
0.16356236203090507,YES
0.035733995584988965,NO
0.2264072847682119,YES
0.1606650110375276,NO
0.14714403973509935,NO
0.1465921633554084,NO
0.07201986754966888,NO
0.04194260485651213,NO
0.0697433774834437,NO
0.044770971302428256,NO
0.1435568432671082,NO
0.0723647902869757,NO
0.04697847682119205,YES
0.04870309050772627,YES
0.10830573951434877,YES
0.8486479028697571,YES
0.10175220750551875,NO
0.042632450331125823,YES
0.0763658940397351,NO
0.7570364238410595,YES
0.8516832229580573,YES
0.22516556291390727,NO
0.10216611479028698,NO
0.07243377483443708,NO
0.0699503311258278,NO
0.9553669977924945,YES
0.7491032008830021,YES
0.0873344370860927,NO
0.06608719646799116,NO
0.06091335540838853,NO
0.06622516556291391,NO
0.11720474613686532,NO
0.09850993377483444,NO
0.10023454746136864,NO
0.8770005518763796,YES
0.04608167770419426,NO
0.7607615894039735,YES
0.01676324503311258,NO
0.9175634657836645,YES
0.021661147902869757,NO
0.07684878587196467,NO
0.04628863134657836,NO
0.07843543046357615,NO
0.04856512141280352,NO
0.12451710816777042,NO
0.0704332229580574,NO
0.06277593818984548,NO
0.05435982339955849,NO
0.09906181015452539,NO
0.08505794701986755,NO
0.19088024282560706,NO
0.09754415011037526,NO
0.10816777041942605,NO
0.09430187637969095,NO
0.028352649006622516,NO
0.1441087196467991,NO
0.3087748344370861,YES
0.1038217439293598,NO
0.8220888520971302,YES
0.1346578366445916,NO
0.1427980132450331,NO
0.14059050772626933,NO
0.1256208609271523,NO
0.09899282560706402,NO
0.0807119205298013,NO
0.12755242825607066,NO
0.11430739514348784,NO
0.14514348785871964,NO
0.3012555187637969,YES
0.2865618101545254,YES
0.2452400662251656,YES
0.11541114790286977,YES
0.10768487858719647,NO
0.12617273730684328,YES
0.07953918322295805,NO
0.08312637969094921,YES
0.1183774834437086,YES
0.22475165562913907,NO
0.10789183222958057,NO
0.09719922737306844,NO
0.0926462472406181,NO
0.2302014348785872,YES
0.0789873068432671,YES
0.11265176600441501,NO
0.05891280353200883,NO
0.0873344370860927,NO
0.05442880794701987,NO
0.1511451434878587,NO
0.13727924944812364,NO
0.1363824503311258,NO
0.1258967991169978,YES
0.057188189845474614,NO
0.04987582781456954,YES
0.014693708609271522,NO
0.20578090507726268,YES
0.021247240618101543,NO
0.07953918322295805,NO
0.05601545253863135,NO
0.07464128035320089,NO
0.06588024282560706,NO
0.14507450331125826,NO
0.08643763796909493,NO
0.08485099337748345,NO
0.04318432671081678,NO
0.010071743929359823,NO
0.779939293598234,YES
0.22419977924944812,YES
0.19584713024282563,YES
0.7817328918322296,YES
0.05022075055187638,NO
0.0022075055187637978,NO
0.13831401766004414,YES
0.08947295805739514,NO
0.08464403973509935,YES
0.09278421633554085,NO
0.142591059602649,NO
0.12665562913907283,NO
0.12665562913907283,NO
0.03269867549668874,NO
0.15314569536423842,YES
0.03159492273730684,NO
0.24220474613686535,YES
0.09099061810154524,NO
0.16915011037527594,YES
0.029249448123620313,NO
0.039942052980132446,NO
0.09250827814569537,NO
0.027317880794701987,NO
0.8013934878587196,YES
0.05974061810154525,NO
0.7757312362030906,YES
0.09975165562913907,NO
0.04373620309050773,NO
0.12948399558498896,NO
0.17135761589403972,NO
0.1296219646799117,NO
0.11058222958057395,NO
0.10940949227373067,NO
0.07774558498896247,NO
0.09381898454746138,NO
0.2711092715231788,YES
0.10202814569536423,NO
0.19357064017660044,YES
0.1303118101545254,NO
0.11437637969094921,NO
0.10975441501103753,NO
0.030491169977924948,NO
0.09457781456953643,NO
0.030974061810154524,NO
0.06788079470198677,NO
0.13251931567328917,NO
0.08243653421633554,NO
0.2620722958057395,YES
0.24241169977924945,YES
0.1857753863134658,YES
0.8827262693156733,YES
0.1467991169977925,NO
0.11416942604856511,YES
0.060775386313465775,NO
0.06118929359823399,NO
0.046633554083885205,NO
0.06698399558498896,YES
0.2448261589403974,YES
0.16783940397350994,YES
0.08505794701986755,YES
0.05429083885209712,NO
0.034906181015452536,NO
0.13589955849889626,YES
0.17246136865342163,NO
0.06636313465783664,YES
0.09388796909492272,NO
0.14859271523178808,NO
0.17059878587196467,NO
0.15707781456953643,NO
0.09347406181015452,NO
0.1481098233995585,YES
0.09050772626931566,NO
0.17418598233995583,YES
0.09119757174392934,NO
0.1694950331125828,YES
0.13458885209713023,NO
0.14541942604856511,NO
0.14693708609271522,NO
0.06443156732891833,NO
0.09402593818984548,YES
0.0702262693156733,NO
0.0847130242825607,YES
0.09085264900662252,NO
0.04463300220750552,NO
0.15749172185430463,NO
0.12431015452538632,NO
0.09995860927152317,NO
0.13100165562913907,NO
0.10727097130242824,NO
0.09919977924944812,NO
0.13113962472406182,NO
0.13044977924944812,YES
0.13431291390728475,NO
0.16204470198675497,YES
0.1670115894039735,NO
0.13369205298013245,NO
0.13348509933774835,NO
0.030008278145695365,NO
0.06567328918322296,NO
0.031870860927152314,NO
0.07001931567328917,NO
0.14886865342163355,NO
0.061465231788079465,NO
0.12286147902869757,YES
0.09292218543046357,YES
0.12437913907284767,YES
0.20764348785871967,YES
0.15914735099337748,NO
0.10754690949227372,YES
