50Traced_NONETRACED_SUM_SINGLE_LSA_95_MAX,Associated
0.716,NO
0.6475,NO
0.5638,NO
1.0029,NO
0.2665,NO
0.8265,NO
0.9001,NO
0.17,NO
0.7227,NO
2.4299,YES
0.7878,NO
2.481,YES
0.8036,NO
0.8512,NO
0.7253,NO
0.8404,NO
0.3033,NO
0.5025,NO
0.3758,NO
0.6102,NO
0.2579,NO
2.0964,YES
2.1285,YES
1.8840000000000001,YES
2.1933,YES
0.6409,NO
2.8897,YES
1.1909999999999998,NO
2.5676,YES
1.2266,YES
0.9762,NO
1.0212,NO
0.6858,NO
1.3105,NO
1.8973,YES
1.5209,YES
1.2105,NO
0.1796,NO
0.9128,NO
0.3442,NO
0.4833,NO
0.9389,NO
0.5704,NO
2.5597,YES
0.7114,NO
2.3843,YES
0.7144,NO
2.634,YES
0.7951,NO
0.4822,NO
0.418,NO
0.6403,NO
0.5571,NO
1.19,NO
0.6994,NO
1.7082,NO
0.6822,NO
0.6467,NO
1.0511,NO
1.8943,NO
0.7909999999999999,NO
1.2536,NO
1.1926,NO
0.1682,NO
1.2524,NO
3.0111,YES
1.3387,NO
2.8548,YES
0.3431,NO
0.47700000000000004,NO
0.3636,NO
0.7412,NO
1.1745,NO
0.3509,NO
0.8088,NO
0.4837,NO
0.9862,NO
3.031,YES
3.0203,YES
2.7603,YES
2.8716,YES
1.1704,NO
3.8096,YES
1.4494,NO
2.8865,YES
1.3593,YES
1.5071,NO
1.8074,NO
1.2628,NO
1.9528,NO
2.3117,YES
1.8128,YES
1.7208,NO
0.4059,NO
1.3129,NO
0.6279,NO
0.9106,NO
1.5074,NO
1.1091,NO
2.7949,YES
1.3358,NO
2.6211,YES
1.1945,NO
2.7756,YES
1.1856,NO
0.9373,NO
0.8547,NO
1.1099,NO
1.0971,NO
1.6771,NO
1.0702,NO
2.4376,NO
0.3806,NO
0.1852,NO
1.449,YES
4.7793,YES
3.6904,YES
1.8967,YES
0.6428,NO
0.1485,NO
2.5085,YES
0.3251,NO
1.5232,YES
0.4157,NO
0.3493,NO
1.0266,NO
0.9651,NO
0.3649,NO
4.394,YES
0.1554,NO
3.8212,YES
0.4146,NO
3.9659,YES
0.9875,NO
0.457,NO
1.2062,NO
0.6781,NO
1.5732,YES
1.2843,NO
1.7314,YES
1.0774,NO
0.3952,NO
0.7643,NO
1.9771,NO
0.7275,NO
1.0156,NO
1.2271,NO
0.6655,NO
0.9586,NO
3.4776,YES
1.062,NO
3.6235,YES
0.435,NO
0.6333,NO
0.5059,NO
1.0571,NO
1.1039,NO
0.6546,NO
0.7273,NO
0.9098,NO
1.1325,NO
3.3309,YES
3.6753,YES
3.2596,YES
3.2199,YES
0.9067,NO
4.4994,YES
1.3827,NO
0.6259,NO
0.3886,NO
1.3880000000000001,YES
5.3861,YES
3.7662,YES
1.9693,YES
1.0671,NO
0.2325,NO
2.5586,YES
0.9954,NO
1.642,YES
0.8516,NO
0.4725,NO
0.9271,NO
1.043,NO
0.514,NO
4.7864,YES
0.2637,NO
3.9721,YES
0.4809,NO
4.1419999999999995,YES
1.7867,NO
1.2276,NO
1.6296,NO
1.4968,NO
1.6,YES
2.1663,NO
1.7623,YES
0.8109999999999999,NO
0.5372,NO
0.9439,NO
1.2422,NO
0.2025,NO
1.0908,NO
1.0307,NO
0.3973,NO
0.9434,NO
2.8760000000000003,YES
1.1231,NO
3.3629,YES
1.2116,NO
1.1247,NO
0.9015,NO
0.7337,NO
0.4364,NO
0.4121,NO
0.4609,NO
0.4523,NO
0.5391,NO
2.7057,YES
3.0804,YES
2.8261,YES
2.8145,YES
0.8126,NO
4.0088,YES
1.7666,NO
0.8281,NO
0.6235,NO
0.8079999999999999,NO
1.3526,NO
0.1436,NO
0.9313,NO
1.2725,NO
0.262,NO
0.8449,NO
3.4147,YES
1.2051,NO
3.6071,YES
0.3234,NO
0.4132,NO
0.3166,NO
0.7461,NO
0.5474,NO
0.462,NO
0.31,NO
0.4876,NO
0.6047,NO
3.2094,YES
3.6008,YES
3.0659,YES
3.3738,YES
1.0143,NO
4.5133,YES
1.2089,NO
0.6817,NO
0.3044,NO
0.6888,NO
1.7291,NO
0.5105,NO
0.7075,NO
0.9819,NO
0.3064,NO
0.5667,NO
3.1716,YES
0.7558,NO
3.2083,YES
0.2502,NO
0.4005,NO
0.2007,NO
0.5221,NO
0.9908,NO
0.3315,NO
0.5319,NO
0.35700000000000004,NO
0.9663,NO
2.9754,YES
3.3473,YES
2.9189,YES
3.0525,YES
0.6914,NO
3.8847,YES
1.0296,NO
0.7647,NO
0.505,NO
0.2381,NO
1.6151,NO
0.4966,NO
0.2319,NO
1.1323,NO
0.2889,NO
0.1421,NO
3.0334,YES
0.4232,NO
2.7379,YES
0.349,NO
0.49700000000000005,NO
0.439,NO
0.8781,NO
0.9606,NO
0.5126,NO
0.5075,NO
0.6814,NO
0.835,NO
2.8056,YES
3.0065,YES
2.5346,YES
2.5974,YES
0.268,NO
3.2801,YES
0.47200000000000003,NO
0.6993,NO
1.0644,NO
5.4335,YES
1.5626,YES
1.521,YES
6.2686,YES
1.5279,NO
0.4443,NO
6.0139,YES
0.5091,NO
5.5005,YES
1.1637,NO
1.0885,NO
1.0904,NO
0.7292,NO
0.4567,NO
1.5127,YES
0.2458,NO
1.2934,YES
0.8115,NO
1.2919,YES
1.7177,NO
1.218,NO
1.9179,NO
2.0798,NO
5.7543,YES
3.3735,NO
6.4069,YES
0.3334,NO
0.4289,NO
2.7012,YES
1.171,NO
1.0251,NO
3.6107,YES
0.9834,NO
0.2919,NO
3.534,YES
0.6578,NO
3.0736,YES
1.0939,NO
0.6576,NO
0.9532,NO
0.9784,NO
0.3127,NO
0.9047,NO
0.1398,NO
0.602,NO
0.655,NO
0.6556,NO
1.2787,NO
1.1764,NO
1.1083,NO
1.5930000000000002,NO
3.4608,YES
2.5429,NO
3.5334,YES
0.7088,NO
0.7006,NO
3.2668,YES
5.436,YES
3.9536,YES
4.0582,YES
1.5316,NO
0.6142,NO
4.4412,YES
1.9384,NO
3.6271,YES
1.7469999999999999,NO
1.4072,NO
1.6774,NO
1.6617,NO
0.8828,NO
4.8069,YES
0.3509,NO
4.2294,YES
