50Traced_NONETRACED_MAX_SINGLE_LSA_43_MEDIAN,Associated
0.1341,NO
0.1429,NO
0.1144,NO
0.3895,NO
0.3315,NO
0.6773,NO
0.2344,NO
0.1058,NO
0.2452,NO
1.0,YES
0.7077,NO
1.0,YES
0.3701,NO
0.3701,NO
0.3701,NO
0.3249,NO
0.4176,NO
0.1109,NO
0.1689,NO
0.2508,NO
0.4715,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.1573,NO
1.0,YES
0.3939,NO
1.0,YES
1.0,YES
0.3639,NO
0.3639,NO
0.3639,NO
0.2853,NO
1.0,YES
1.0,YES
0.3639,NO
0.1056,NO
0.3639,NO
0.1058,NO
0.4183,NO
0.4183,NO
0.4183,NO
1.0,YES
0.3639,NO
0.405,YES
0.3639,NO
1.0,YES
0.3639,NO
0.1688,NO
0.1001,NO
0.14800000000000002,NO
0.1203,NO
0.3639,NO
0.1937,NO
0.2853,NO
0.21600000000000003,NO
0.21600000000000003,NO
0.3063,NO
0.3895,NO
0.3315,NO
0.3322,NO
0.2344,NO
0.21600000000000003,NO
0.3063,NO
1.0,YES
0.3471,NO
1.0,YES
0.205,NO
0.2168,NO
0.2136,NO
0.3249,NO
0.4176,NO
0.1268,NO
0.3063,NO
0.21600000000000003,NO
0.4715,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3063,NO
0.7349,YES
0.2574,NO
1.0,YES
1.0,YES
0.3356,NO
0.3514,NO
0.3514,NO
0.4748,NO
1.0,YES
1.0,YES
0.4748,NO
0.4136,NO
0.3151,NO
0.601,NO
0.7376,NO
0.7376,NO
0.7376,NO
1.0,YES
0.3514,NO
1.0,YES
0.2646,NO
1.0,YES
0.2632,NO
0.601,NO
0.4197,NO
0.4197,NO
0.601,NO
0.4748,NO
0.601,NO
0.4852,NO
0.1709,NO
0.2021,NO
0.7346,YES
1.0,YES
1.0,YES
0.503,YES
0.22,NO
0.153,NO
0.7346,YES
0.2963,NO
0.7346,YES
0.1733,NO
0.3291,NO
0.3291,NO
0.3291,NO
0.1663,NO
1.0,YES
0.1663,NO
1.0,YES
0.2187,NO
1.0,YES
0.3342,NO
0.3338,NO
0.4726,NO
0.2464,NO
0.7346,YES
0.3393,NO
0.4304,YES
0.1996,NO
0.1996,NO
0.1975,NO
0.265,NO
0.2255,NO
0.4167,NO
0.1996,NO
0.1996,NO
0.1668,NO
1.0,YES
0.4354,NO
1.0,YES
0.2451,NO
0.2451,NO
0.2451,NO
0.221,NO
0.4176,NO
0.0547,NO
0.1082,NO
0.2508,NO
0.3207,NO
1.0,YES
1.0,YES
0.7522,YES
1.0,YES
0.2226,NO
1.0,YES
0.2423,NO
0.1709,NO
0.2059,NO
1.0,YES
1.0,YES
1.0,YES
0.6847,YES
0.2995,NO
0.1337,NO
1.0,YES
0.4043,NO
1.0,YES
0.5875,NO
0.3948,NO
0.3948,NO
0.3948,NO
0.1453,NO
1.0,YES
0.141,NO
1.0,YES
0.2026,NO
1.0,YES
0.5875,NO
0.3498,NO
0.2743,NO
0.5875,NO
1.0,YES
0.5875,NO
0.5859,YES
0.2332,NO
0.2332,NO
0.4328,NO
0.4328,NO
0.4328,NO
0.6773,NO
0.2344,NO
0.2332,NO
0.4328,NO
1.0,YES
0.7077,NO
1.0,YES
0.3899,NO
0.3899,NO
0.3899,NO
0.3249,NO
0.4328,NO
0.22399999999999998,NO
0.4328,NO
0.2508,NO
0.4715,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4328,NO
1.0,YES
0.3939,NO
0.0949,NO
0.1339,NO
0.4095,NO
0.4374,NO
0.3315,NO
0.6773,NO
0.2344,NO
0.0967,NO
0.2905,NO
1.0,YES
0.7077,NO
1.0,YES
0.2134,NO
0.2391,NO
0.1004,NO
0.3249,NO
0.4374,NO
0.1655,NO
0.4374,NO
0.1329,NO
0.4715,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3387,NO
1.0,YES
0.4095,NO
0.2093,NO
0.2093,NO
0.4413,NO
0.4413,NO
0.4413,NO
0.6773,NO
0.2093,NO
0.2093,NO
0.4413,NO
1.0,YES
0.7077,NO
1.0,YES
0.2866,NO
0.2866,NO
0.2866,NO
0.2111,NO
0.4413,NO
0.2011,NO
0.4413,NO
0.2508,NO
0.4413,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4413,NO
1.0,YES
0.3939,NO
0.1275,NO
0.1352,NO
0.31,NO
0.3895,NO
0.3335,NO
0.2977,NO
0.2344,NO
0.1244,NO
0.31,NO
1.0,YES
0.311,NO
1.0,YES
0.2593,NO
0.2593,NO
0.2593,NO
0.3249,NO
0.4176,NO
0.1352,NO
0.31,NO
0.1867,NO
0.4715,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.31,NO
0.7443,YES
0.2574,NO
0.2216,NO
0.3162,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4103,NO
0.1816,NO
1.0,YES
0.1242,NO
1.0,YES
0.1607,NO
0.5579,NO
0.4246,NO
0.2894,NO
0.2557,NO
1.0,YES
0.2282,NO
1.0,YES
0.506,NO
1.0,YES
0.3725,NO
0.1735,NO
0.5729,NO
0.3552,NO
1.0,YES
0.6789,NO
1.0,YES
0.2097,NO
0.2094,NO
0.6171,YES
0.6811,NO
0.3948,NO
1.0,YES
0.3772,NO
0.134,NO
0.9727,YES
0.191,NO
1.0,YES
0.1528,NO
0.4151,NO
0.36700000000000005,NO
0.3385,NO
0.171,NO
0.6811,NO
0.1398,NO
0.6811,NO
0.3122,NO
0.4971,NO
0.2695,NO
0.1784,NO
0.3767,NO
0.2298,NO
0.8926,YES
0.6436,NO
1.0,YES
0.1762,NO
0.2444,NO
0.982,YES
1.0,YES
1.0,YES
0.8593,YES
0.326,NO
0.1312,NO
0.982,YES
0.7101,NO
0.982,YES
0.7101,NO
0.5221,NO
0.5221,NO
0.5221,NO
0.2307,NO
1.0,YES
0.1798,NO
1.0,YES
0.3365,NO
1.0,YES
0.7101,NO
0.7101,NO
0.7101,NO
0.7101,NO
0.982,YES
0.6271,NO
0.8593,YES
0.1636,NO
0.3162,NO
1.0,YES
0.6479,NO
0.3468,NO
0.9109,YES
0.2943,NO
0.153,NO
1.0,YES
0.159,NO
1.0,YES
0.1456,NO
0.5082,NO
0.2863,NO
0.2258,NO
0.2042,NO
0.6479,NO
0.1823,NO
0.6479,NO
0.3011,NO
0.4729,NO
0.2571,NO
0.1764,NO
0.5218,NO
0.3236,NO
1.0,YES
0.5796,NO
0.9109,YES
0.2203,NO
0.2956,NO
1.0,YES
1.0,YES
1.0,YES
0.6847,YES
0.2995,NO
0.2203,NO
1.0,YES
0.3283,NO
1.0,YES
0.4207,NO
0.7016,NO
0.7016,NO
0.7016,NO
0.2203,NO
1.0,YES
0.0614,NO
1.0,YES
0.2203,NO
1.0,YES
0.4207,NO
0.3338,NO
0.4145,NO
0.4207,NO
1.0,YES
0.4619,NO
0.5859,YES
1.0,YES
1.0,YES
0.3634,NO
0.2369,NO
0.2369,NO
0.2468,NO
1.0,YES
1.0,YES
0.3813,NO
0.3269,NO
0.2331,NO
0.4076,NO
0.6218,NO
0.6218,NO
0.6218,NO
1.0,YES
0.2853,NO
1.0,YES
0.182,NO
1.0,YES
0.2369,NO
0.4076,NO
0.3269,NO
0.2459,NO
0.4076,NO
0.2177,NO
0.4076,NO
0.409,NO
0.2097,NO
0.3141,NO
1.0,YES
0.5710000000000001,YES
0.5710000000000001,YES
1.0,YES
0.3772,NO
0.134,NO
0.9932,YES
0.2684,NO
1.0,YES
0.2684,NO
0.5579,NO
0.4132,NO
0.4132,NO
0.2557,NO
0.5710000000000001,YES
0.2282,NO
0.6649,YES
0.2776,NO
0.5710000000000001,YES
0.2695,NO
0.2684,NO
0.5729,NO
0.3552,NO
1.0,YES
0.6789,NO
1.0,YES
0.2097,NO
0.3162,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3772,NO
0.134,NO
1.0,YES
0.3417,NO
1.0,YES
0.7974,NO
0.4544,NO
0.36700000000000005,NO
0.2894,NO
0.1486,NO
1.0,YES
0.1326,NO
1.0,YES
0.506,NO
1.0,YES
0.467,NO
0.7974,NO
0.7974,NO
0.7974,NO
1.0,YES
0.7974,NO
1.0,YES
0.2097,NO
0.2768,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3772,NO
0.1622,NO
1.0,YES
0.5224,NO
1.0,YES
0.679,NO
0.4503,NO
0.36700000000000005,NO
0.2894,NO
0.2557,NO
1.0,YES
0.2282,NO
1.0,YES
0.3187,NO
1.0,YES
0.5224,NO
0.679,NO
0.679,NO
0.679,NO
1.0,YES
0.679,NO
1.0,YES
0.2216,NO
0.3162,NO
1.0,YES
0.5693,YES
0.5693,YES
1.0,YES
0.4103,NO
0.134,NO
1.0,YES
0.1814,NO
1.0,YES
0.4433,NO
0.5374,NO
0.4246,NO
0.2894,NO
0.1529,NO
0.5693,YES
0.1365,NO
0.6151,YES
0.2429,NO
0.5693,YES
0.2695,NO
0.4433,NO
0.5518,NO
0.4433,NO
1.0,YES
0.6436,NO
1.0,YES
0.1709,NO
0.2059,NO
0.6711,YES
1.0,YES
1.0,YES
0.4775,YES
0.201,NO
0.1483,NO
0.6711,YES
0.3019,NO
0.6711,YES
0.1418,NO
0.2488,NO
0.3152,NO
0.2833,NO
0.1698,NO
1.0,YES
0.1648,NO
1.0,YES
0.2026,NO
1.0,YES
0.3405,NO
0.3338,NO
0.4726,NO
0.2464,NO
0.6711,YES
0.31,NO
0.3932,YES
0.1709,NO
0.2059,NO
1.0,YES
1.0,YES
1.0,YES
0.6847,YES
0.2995,NO
0.1337,NO
1.0,YES
0.4584,NO
1.0,YES
0.4584,NO
0.2096,NO
0.3152,NO
0.2833,NO
0.1825,NO
1.0,YES
0.1772,NO
1.0,YES
0.2026,NO
1.0,YES
0.4584,NO
0.4584,NO
0.4726,NO
0.4584,NO
1.0,YES
0.4619,NO
0.5859,YES
0.2769,NO
