50Traced_NONETRACED_SUM_RAW_VSM_47_MAX,Associated
0.4619,NO
0.3303,NO
0.5469,NO
0.2164,NO
0.1004,NO
0.4579,NO
0.4672,NO
0.452,NO
0.4138,NO
0.7589,YES
0.5598,NO
0.4079,YES
0.2427,NO
0.2231,NO
0.2223,NO
0.3099,NO
0.3364,NO
0.4104,NO
0.3293,NO
0.3279,NO
0.1147,NO
0.7327,YES
0.9186,YES
0.8489,YES
0.4777,YES
0.3268,NO
0.8804,YES
0.47,NO
1.6912,YES
1.2258,YES
0.3853,NO
0.6429,NO
0.3959,NO
0.4594,NO
1.6566,YES
2.1909,YES
0.4381,NO
0.3318,NO
0.3871,NO
0.2557,NO
0.3836,NO
0.1788,NO
0.1996,NO
1.2161,YES
0.8245,NO
1.3671,YES
0.634,NO
1.3426,YES
0.251,NO
0.2586,NO
0.3293,NO
0.1992,NO
0.1104,NO
0.2703,NO
0.3288,NO
0.313,NO
0.4413,NO
0.2716,NO
0.9439,NO
0.4496,NO
0.3298,NO
0.7933,NO
0.3456,NO
0.2221,NO
0.9655,NO
1.8286,YES
0.9670000000000001,NO
1.0184,YES
0.4217,NO
0.5653,NO
0.2136,NO
0.3928,NO
0.8416,NO
0.2637,NO
0.782,NO
0.2355,NO
0.2202,NO
1.8452,YES
2.1664,YES
2.1151,YES
1.1635,YES
0.59,NO
2.1158,YES
0.713,NO
1.2997,YES
1.2178,YES
0.3876,NO
0.2633,NO
0.1528,NO
0.3188,NO
0.7493,YES
1.3492,YES
0.4531,NO
0.4459,NO
0.4893,NO
0.2934,NO
0.2379,NO
0.2088,NO
0.2075,NO
1.1172,YES
0.3516,NO
0.5548,YES
0.2158,NO
0.5173,YES
0.1463,NO
0.353,NO
0.4085,NO
0.331,NO
0.1566,NO
0.4781,NO
0.4261,NO
0.3076,NO
0.4346,NO
0.1683,NO
0.9753,YES
2.9716,YES
1.5951,YES
0.7962,YES
0.6885,NO
0.3681,NO
0.8546,YES
0.5418,NO
0.6391,YES
0.3106,NO
0.5704,NO
0.5907,NO
0.1934,NO
0.4105,NO
3.3129,YES
0.4297,NO
2.7323,YES
0.3184,NO
0.9931,YES
0.5074,NO
0.5202,NO
0.5026,NO
0.3242,NO
0.6016,YES
0.4825,NO
0.8495,YES
0.4586,NO
0.1139,NO
0.594,NO
0.6668,NO
0.4714,NO
0.6833,NO
0.542,NO
0.2748,NO
0.8745,NO
2.5162,YES
0.6783,NO
1.5586,YES
0.292,NO
0.5375,NO
0.1689,NO
0.2609,NO
1.2434,NO
0.42200000000000004,NO
1.1658,NO
0.3445,NO
0.2878,NO
2.5285,YES
2.8707,YES
2.7921,YES
1.7409999999999999,YES
0.3203,NO
2.715,YES
0.5549,NO
0.5036,NO
0.1537,NO
1.6078,YES
4.379,YES
2.1665,YES
0.8404,YES
0.9759,NO
0.3836,NO
1.641,YES
0.48200000000000004,NO
0.7679,YES
0.3456,NO
0.6371,NO
0.7089,NO
0.2886,NO
0.37,NO
5.1809,YES
0.3965,NO
4.4721,YES
0.3263,NO
1.4122,YES
0.5702,NO
0.6315,NO
0.602,NO
0.5543,NO
1.0132,YES
0.5405,NO
0.6861,YES
0.4744,NO
0.2528,NO
0.7337,NO
0.5709,NO
0.4417,NO
0.6485,NO
0.5731,NO
0.2696,NO
0.7142,NO
1.8924,YES
0.6948,NO
0.8966,YES
0.3829,NO
0.7338,NO
0.3743,NO
0.3374,NO
1.1249,NO
0.2712,NO
0.8989,NO
0.23800000000000002,NO
0.3773,NO
1.9172,YES
2.7707,YES
2.7016,YES
2.3057,YES
0.2405,NO
2.6137,YES
0.594,NO
0.3178,NO
0.1339,NO
0.5539999999999999,NO
0.3525,NO
0.191,NO
0.4716,NO
0.3192,NO
0.1205,NO
0.634,NO
1.5956,YES
0.6555,NO
1.2476,YES
0.2843,NO
0.2697,NO
0.079,NO
0.204,NO
0.6854,NO
0.2385,NO
0.598,NO
0.1668,NO
0.2819,NO
1.6185,YES
1.9331,YES
1.8761,YES
1.0962,YES
0.2934,NO
1.9354,YES
0.4915,NO
0.3657,NO
0.1245,NO
0.7623,NO
0.8179,NO
0.4058,NO
0.7163,NO
0.4486,NO
0.2039,NO
0.9896,NO
2.2797,YES
0.7713,NO
1.4544,YES
0.523,NO
0.6532,NO
0.2021,NO
0.2882,NO
1.2334,NO
0.426,NO
1.1252,NO
0.3509,NO
0.3392,NO
2.3445,YES
2.6,YES
2.5782,YES
1.0986,YES
0.4244,NO
2.5648,YES
0.7817,NO
0.4348,NO
0.1972,NO
0.3576,NO
0.2886,NO
0.2486,NO
0.5497,NO
0.5038,NO
0.3102,NO
0.4436,NO
1.9748,YES
0.5806,NO
1.0211,YES
0.3725,NO
0.6781,NO
0.2045,NO
0.2119,NO
0.669,NO
0.4529,NO
0.5128,NO
0.3265,NO
0.1518,NO
1.9203,YES
2.2648,YES
2.1687,YES
1.6174,YES
