50Traced_NONETRACED_RFUNDER_RAW_VSM_62_SUM,Associated
0.04160698007553067,NO
0.036072405261101705,NO
0.06810782653991405,NO
0.13452272431306161,NO
0.03730954551373877,NO
0.05261101705951296,NO
0.03197030863393671,NO
0.03783044667274385,NO
0.10359421799713504,NO
0.8055085297564788,YES
0.03372835004557885,NO
0.8648261492381821,YES
0.15164734991535356,NO
0.13888527151972913,NO
0.13836437036072405,NO
0.06797760125016278,NO
0.03958848808438599,NO
0.06582888396926684,NO
0.04225810652428702,NO
0.13549941398619614,NO
0.06830316447454096,NO
0.6954681599166559,YES
0.6970959760385468,YES
0.7533533012110953,YES
0.8010157572600599,YES
0.0960411511915614,NO
0.6913660632894909,YES
0.07207969787732778,NO
0.7145461648652168,YES
0.8038807136345879,YES
0.21252767287407215,NO
0.09643182706081523,NO
0.06836827711941659,NO
0.06602422190389373,NO
0.9017450188826671,YES
0.7070582107045188,YES
0.08243260841255372,NO
0.06237791379085819,NO
0.057494465425185576,NO
0.06250813908060945,NO
0.11062638364370361,NO
0.09298085688240658,NO
0.09460867300429743,NO
0.8277770543039458,YES
0.04349524677692408,NO
0.7180622476885011,YES
0.015822372704779267,NO
0.8660632894908192,YES
0.02044537049094934,NO
0.07253548639145722,NO
0.04369058471155098,NO
0.07403307722359682,NO
0.04583930199244693,NO
0.1175283240005209,NO
0.06648001041802318,NO
0.059252506836827715,NO
0.05130876416200026,NO
0.09350175804141166,NO
0.08028389113165776,NO
0.18016668837088162,NO
0.09206927985414767,NO
0.10209662716499544,NO
0.08900898554499284,NO
0.026761297043885926,NO
0.13602031514520121,NO
0.9425706472196902,YES
0.09799453053783044,NO
0.7759473889829406,YES
0.12709988279723922,NO
0.13478317489256414,NO
0.13269957025654383,NO
0.11857012631853106,NO
0.09343664539653601,NO
0.07618179450449278,NO
0.12039328037504884,NO
0.10789165255892694,NO
0.13699700481833574,NO
0.9354733689282458,YES
0.9216043755697357,YES
0.2314754525328819,YES
0.7600599036332857,YES
0.101640838650866,NO
0.7702174762338847,YES
