50Traced_NONETRACED_RFNONE_RAW_VSM_75_SUM,Associated
0.04088291746641075,NO
0.035444657709532944,NO
0.06692258477287268,NO
0.13218170185540626,NO
0.03666026871401152,NO
0.05169545745361484,NO
0.03141394753678823,NO
0.037172104926423546,NO
0.10179142674344209,NO
0.15169545745361485,YES
0.033141394753678825,NO
0.20998080614203452,YES
0.14900831733845168,NO
0.136468330134357,NO
0.13595649392194495,NO
0.06679462571976967,NO
0.038899552143314135,NO
0.06468330134357006,NO
0.04152271273192579,NO
0.1331413947536788,NO
0.06711452335252718,NO
0.043570057581573896,YES
0.6849648112603967,YES
0.7402431222008957,YES
0.7870761356365963,YES
0.09436980166346769,NO
0.6793346129238644,YES
0.0708253358925144,NO
0.062316058861164425,YES
0.7898912348048623,YES
0.20882917466410747,NO
0.09475367882277672,NO
0.0671785028790787,NO
0.06487523992322457,NO
0.8860524632117722,YES
0.05495841330774152,YES
0.08099808061420345,NO
0.06129238643634037,NO
0.05649392194497761,NO
0.061420345489443376,NO
0.10870121561100447,NO
0.09136276391554703,NO
0.0929622520793346,NO
0.8133717210492641,YES
0.04273832373640435,NO
0.06577095329494562,YES
0.015547024952015355,NO
0.21119641714651308,YES
0.020089571337172107,NO
0.07127319257837492,NO
0.042930262316058856,NO
0.0727447216890595,NO
0.045041586692258474,NO
0.11548304542546385,NO
0.0653230966090851,NO
0.05822136916186821,NO
0.05041586692258477,NO
0.09187460012795906,NO
0.07888675623800384,NO
0.1770313499680102,NO
0.09046705054382598,NO
0.10031989763275752,NO
0.0874600127959053,NO
0.026295585412667945,NO
0.13365323096609083,NO
0.28637236084452977,YES
0.09628918746001279,NO
0.12264875239923224,YES
0.12488803582853487,NO
0.13243761996161227,NO
0.13039027511196416,NO
0.1165067178502879,NO
0.09181062060140754,NO
0.07485604606525911,NO
0.11829814459373002,NO
0.10601407549584133,NO
0.13461292386436338,NO
0.2793985924504159,YES
0.9055662188099808,YES
0.8672424824056302,YES
0.1070377479206654,YES
0.09987204094689699,NO
0.11701855406269994,YES
0.07376839411388356,NO
0.716890595009597,YES
0.10978886756238004,YES
0.20844529750479845,NO
0.1000639795265515,NO
0.09014715291106846,NO
0.08592450415866923,NO
0.8532949456174025,YES
0.7130518234165067,YES
0.10447856685860525,NO
0.05463851567498401,NO
0.08099808061420345,NO
0.05047984644913628,NO
0.1401791426743442,NO
0.12731925783749198,NO
0.12648752399232244,NO
0.11676263595649392,YES
0.05303902751119642,NO
0.04625719769673705,YES
0.013627639155470248,NO
0.8306461932181701,YES
0.01970569417786308,NO
0.07376839411388356,NO
0.05195137555982086,NO
0.06922584772872681,NO
0.06110044785668586,NO
0.1345489443378119,NO
0.0801663467690339,NO
0.07869481765834933,NO
0.04005118362124121,NO
0.009341010876519514,NO
0.0835572616762636,YES
0.2079334612923864,YES
0.8214331413947537,YES
0.0852207293666027,YES
0.04657709532949457,NO
0.0020473448496481127,NO
