50Traced_NONETRACED_SUM_SINGLE_VSM_30_MAX,Associated
0.3707,NO
0.0675,NO
0.4632,NO
0.6134,NO
0.8555,NO
1.2109,NO
0.5896,NO
0.5009,NO
0.9731,NO
1.7782,YES
0.446,NO
1.893,YES
0.5136,NO
0.9647,NO
0.6876,NO
0.3332,NO
1.3013,NO
0.4066,NO
0.5529,NO
0.5048,NO
1.2431,NO
1.8751,YES
2.3072,YES
2.9228,YES
2.1246,YES
1.0848,NO
2.4592,YES
0.5328,NO
1.9419,YES
1.2382,YES
1.2211,NO
0.4336,NO
0.4621,NO
0.7968,NO
1.8355,YES
1.7482,YES
0.9555,NO
0.3103,NO
0.745,NO
0.3753,NO
1.0308,NO
1.1207,NO
1.1134,NO
1.3245,YES
0.7363,NO
1.1792,YES
0.6159,NO
2.019,YES
0.2233,NO
0.4645,NO
0.3169,NO
0.7327,NO
0.4829,NO
0.7394,NO
0.3089,NO
0.7514,NO
0.7025,NO
0.4373,NO
0.4562,NO
1.2199,NO
1.0877,NO
1.6440000000000001,NO
1.0851,NO
0.5697,NO
1.1669,NO
2.8551,YES
0.5946,NO
2.64,YES
0.4116,NO
0.8447,NO
0.3916,NO
0.7529,NO
1.7781,NO
0.5321,NO
0.9596,NO
0.6486,NO
1.5595,NO
3.1759,YES
3.4898,YES
4.1303,YES
2.9783,YES
1.3584,NO
2.9301,YES
0.8477,NO
2.8571,YES
1.0624,YES
2.3854,NO
0.6535,NO
1.2267,NO
2.4873,NO
1.6355,YES
2.7869,YES
2.2934,NO
0.4012,NO
1.9552,NO
0.5069,NO
0.9740000000000001,NO
1.2582,NO
1.1789,NO
1.651,YES
1.5942,NO
2.1034,YES
0.7929,NO
3.2188,YES
1.1067,NO
0.7577,NO
0.5246,NO
1.7151,NO
0.9382,NO
2.4293,NO
1.0153,NO
2.1726,NO
0.7857,NO
0.5814,NO
1.6698,YES
4.2484,YES
4.1034,YES
2.275,YES
1.2096,NO
0.381,NO
2.489,YES
0.769,NO
2.345,YES
0.8368,NO
1.2367,NO
1.2933,NO
1.2698,NO
0.4722,NO
5.2419,YES
0.597,NO
4.7946,YES
1.11,NO
4.7712,YES
1.1952,NO
0.7485,NO
1.7280000000000002,NO
0.9038,NO
2.6272,YES
1.2637,NO
2.0784,YES
0.8913,NO
0.4905,NO
0.5905,NO
1.1735,NO
1.104,NO
1.1639,NO
1.1515,NO
0.6908,NO
1.0813,NO
2.6277,YES
0.4837,NO
2.4787,YES
0.5107,NO
0.845,NO
0.659,NO
0.7279,NO
1.4152,NO
0.6746,NO
0.7385,NO
0.7577,NO
1.1807,NO
2.6875,YES
3.0763,YES
3.5966,YES
2.6953,YES
1.0789,NO
2.6948,YES
0.6598,NO
0.7091,NO
0.5964,NO
0.6467,YES
4.1466,YES
3.6721,YES
1.4919,YES
1.0406,NO
0.321,NO
1.3299,YES
1.8367,NO
1.5163,YES
1.5174,NO
0.3974,NO
0.4677,NO
0.4226,NO
0.6111,NO
4.6366,YES
0.4854,NO
4.0058,YES
0.7644,NO
4.3802,YES
2.3718,NO
1.8173,NO
2.3548,NO
1.6706,NO
1.8263,YES
1.3991,NO
1.1989,YES
0.6017,NO
0.3267,NO
0.8009999999999999,NO
0.8936,NO
0.9902,NO
1.5601,NO
1.022,NO
0.5136,NO
1.6007,NO
2.4348,YES
0.8973,NO
2.2954,YES
1.044,NO
1.5157,NO
1.2086,NO
0.3893,NO
1.6719,NO
0.4702,NO
0.5667,NO
0.8323,NO
0.8969,NO
2.3758,YES
2.9292,YES
3.8079,YES
2.9473,YES
1.5292,NO
2.9006,YES
0.8679,NO
0.4672,NO
0.1339,NO
1.115,NO
0.615,NO
0.5613,NO
2.0655,NO
0.8688,NO
0.4457,NO
1.3880000000000001,NO
2.4551,YES
0.9481,NO
2.3325,YES
0.2943,NO
0.8924,NO
0.3502,NO
0.5268,NO
0.9362,NO
0.6615,NO
0.5294,NO
0.3829,NO
1.0645,NO
2.7357,YES
2.9054,YES
3.8285,YES
2.5952,YES
1.5394,NO
2.5942,YES
1.3334,NO
0.9449,NO
0.3709,NO
0.8008,NO
0.9679,NO
1.0726,NO
1.5917,NO
1.209,NO
0.8126,NO
1.3567,NO
2.8698,YES
0.7252,NO
2.8343,YES
0.8622,NO
1.3227,NO
0.895,NO
0.7696,NO
1.4091,NO
0.8813,NO
0.6324,NO
1.1013,NO
1.3142,NO
3.0229,YES
3.4903,YES
3.9905,YES
3.0115,YES
1.3055,NO
2.6547,YES
1.1061,NO
0.7498,NO
0.4691,NO
0.3657,NO
1.2819999999999998,NO
1.2874,NO
1.0189,NO
1.1624,NO
0.5944,NO
0.843,NO
2.7456,YES
0.4018,NO
2.6256,YES
0.8018,NO
1.114,NO
0.884,NO
0.7542,NO
1.6693,NO
0.6375,NO
0.9420000000000001,NO
0.8288,NO
1.5937,NO
2.9107,YES
3.1892,YES
3.568,YES
2.6071,YES
0.8467,NO
2.2747,YES
0.6524,NO
0.8638,NO
0.573,NO
6.2666,YES
1.7017,YES
2.1601,YES
6.992000000000001,YES
1.3851,NO
0.8590000000000001,NO
6.5561,YES
0.8074,NO
6.1293,YES
1.0273,NO
1.3261,NO
1.4239,NO
1.0267,NO
0.6579,NO
2.7245,YES
0.8618,NO
2.7082,YES
1.3237,NO
2.5688,YES
1.2611,NO
0.9328,NO
3.7213,NO
2.0273,NO
6.5959,YES
2.6913,NO
6.952999999999999,YES
0.2245,NO
0.4835,NO
3.8796,YES
0.2167,NO
0.3997,NO
3.8588,YES
1.0172,NO
0.1559,NO
3.9861,YES
0.4546,NO
3.3454,YES
0.636,NO
1.3583,NO
1.4884,NO
1.2907,NO
0.2449,NO
0.7701,NO
0.3679,NO
1.1465,NO
0.4563,NO
0.5971,NO
0.4477,NO
0.4466,NO
2.0678,NO
0.8779,NO
3.4246,YES
1.3718,NO
3.8628,YES
0.6606,NO
0.4063,NO
2.2417,YES
3.8588,YES
3.8978,YES
3.4499,YES
1.0466,NO
0.5006,NO
3.2324,YES
1.5662,NO
2.8802,YES
1.6266,NO
0.6564,NO
1.3226,NO
0.9205,NO
0.6099,NO
4.8864,YES
0.6576,NO
4.0581,YES
0.9007,NO
5.1563,YES
2.1357,NO
1.5918,NO
2.8607,NO
1.9847,NO
3.4525,YES
2.2293,NO
2.8501,YES
0.2729,NO
0.4502,NO
2.4844,YES
1.1485,NO
0.9083,NO
2.4967,YES
0.742,NO
0.2815,NO
2.1808,YES
0.159,NO
3.0657,YES
0.2713,NO
0.5619,NO
0.2006,NO
0.3122,NO
0.1775,NO
1.7239,NO
0.309,NO
2.1981,NO
0.3548,NO
1.3519999999999999,NO
0.3826,NO
0.1764,NO
1.2165,NO
0.5606,NO
2.5024,YES
0.8759999999999999,NO
2.8099,YES
1.2164,NO
0.9199,NO
0.9255,YES
3.6707,YES
3.5567,YES
1.0655,YES
1.7351,NO
0.8086,NO
1.6780000000000002,YES
0.9558,NO
1.5390000000000001,YES
1.1828,NO
1.8665,NO
1.9541,NO
2.0445,NO
0.7039,NO
4.7695,YES
0.7736,NO
4.0557,YES
1.6446,NO
3.9644,YES
1.1295,NO
1.0092,NO
1.4659,NO
1.1414,NO
1.5185,YES
1.2517,NO
0.9639,YES
3.0691,YES
1.1541,YES
1.76,NO
0.5725,NO
0.8534,NO
1.2309999999999999,NO
1.9249,YES
2.9349,YES
1.1943,NO
0.0998,NO
1.2022,NO
0.3119,NO
0.8862,NO
0.9682,NO
1.0613,NO
1.6555,YES
1.0532,NO
2.2793,YES
0.6249,NO
3.0737,YES
0.6593,NO
0.3515,NO
0.0927,NO
0.6163,NO
0.4385,NO
1.1836,NO
0.6753,NO
1.1682,NO
0.556,NO
0.5316,NO
5.7624,YES
1.034,YES
1.7016,YES
6.4199,YES
1.4967,NO
0.5065,NO
6.2803,YES
0.9273,NO
5.4910000000000005,YES
1.2974,NO
2.1924,NO
2.2526,NO
1.8114,NO
0.5122,NO
2.2693,YES
0.637,NO
2.1457,YES
1.2936,NO
1.8639,YES
1.1612,NO
1.1383,NO
3.6213,NO
1.831,NO
5.7811,YES
2.2862,NO
6.5149,YES
0.7134,NO
0.2425,NO
5.6591,YES
1.0845,YES
1.8139,YES
6.6865,YES
1.2063,NO
0.7658,NO
6.0893,YES
1.2692,NO
5.2837,YES
1.6217,NO
1.195,NO
1.4502,NO
0.8701,NO
0.583,NO
2.0688,YES
0.8478,NO
1.9407,YES
1.1027,NO
2.0883,YES
1.6387,NO
1.6642,NO
4.2932,NO
2.3774,NO
6.0046,YES
3.1576,NO
6.4542,YES
0.685,NO
0.452,NO
4.8108,YES
1.4416,YES
1.5723,YES
5.1971,YES
1.2088,NO
0.5691,NO
4.6513,YES
0.7353,NO
5.0194,YES
1.0871,NO
0.9286,NO
0.9362,NO
0.6909,NO
0.5053,NO
1.9862,YES
0.7994,NO
2.4312,YES
0.8862,NO
1.9767,YES
1.1074,NO
0.7938,NO
2.8930000000000002,NO
1.4928,NO
4.8665,YES
1.9037,NO
5.4634,YES
0.4075,NO
0.4119,NO
5.3917,YES
1.7152,YES
2.1072,YES
5.6527,YES
1.2231,NO
0.4138,NO
5.3848,YES
0.3879,NO
5.4825,YES
0.7039,NO
1.5619999999999998,NO
1.3944,NO
1.1692,NO
0.3297,NO
2.5069999999999997,YES
0.5333,NO
2.7573,YES
1.0442,NO
2.3167,YES
0.7127,NO
0.3721,NO
2.5427,NO
1.3724,NO
5.3951,YES
1.5163,NO
6.0968,YES
0.867,NO
0.7779,NO
1.0390000000000001,YES
4.1251,YES
4.0098,YES
1.5034,YES
1.3372,NO
0.4757,NO
1.9526,YES
1.1544,NO
1.9067,YES
1.24,NO
1.3291,NO
1.47,NO
1.5139,NO
0.5265,NO
5.0707,YES
0.4913,NO
4.3808,YES
1.3321,NO
4.3709,YES
1.3982,NO
1.2115,NO
1.8842,NO
1.3769999999999998,NO
2.0838,YES
1.1903,NO
1.3826,YES
0.5088,NO
0.6549,NO
1.5126,YES
3.8578,YES
3.6537,YES
1.8146,YES
0.9113,NO
0.2914,NO
2.138,YES
0.4997,NO
2.2998,YES
0.5284,NO
0.8064,NO
0.5837,NO
0.7497,NO
0.3291,NO
4.7276,YES
0.2675,NO
4.543,YES
0.8233,NO
4.5677,YES
0.8574,NO
0.4104,NO
0.7943,NO
0.6912,NO
2.2332,YES
0.6713,NO
1.9786,YES
0.5945,NO
0.6207,NO
0.8632,NO
0.9136,NO
1.0762,NO
0.8117,NO
1.1051,NO
0.4161,NO
1.4015,NO
0.6244,NO
0.893,NO
0.7305,NO
2.2217,YES
2.1052,YES
2.1442,YES
0.3045,NO
1.9726,NO
0.5009,NO
1.3599,NO
1.2111,NO
1.1159999999999999,NO
0.5927,NO
0.6796,NO
1.1432,NO
0.4231,NO
0.8102,NO
0.4814,NO
0.8152,NO
2.5332,YES
1.2357,YES
0.5374,NO
0.2948,NO
0.4222,NO
0.1781,NO
1.6089,YES
2.4298,YES
0.3229,NO
0.32,NO
0.1517,NO
0.4883,NO
0.3464,NO
0.5287,NO
0.5433,NO
1.3905,YES
0.7029,NO
1.7005,YES
0.5411,NO
2.3866,YES
0.4539,NO
0.4642,NO
0.4671,NO
0.5248,NO
0.5401,NO
0.1802,NO
0.5282,NO
0.0894,NO
0.4583,NO
0.4138,NO
0.9889,YES
4.1017,YES
3.9757,YES
1.5623,YES
0.6223,NO
0.1952,NO
1.6883,YES
0.6246,NO
1.9448,YES
0.5912,NO
0.3151,NO
0.4987,NO
0.546,NO
0.2472,NO
4.7915,YES
0.2779,NO
4.4154,YES
0.7516,NO
4.5752,YES
0.9621,NO
0.47100000000000003,NO
1.1305,NO
0.825,NO
2.0918,YES
0.5518,NO
1.4717,YES
3.2091,YES
1.3039,YES
1.2293,NO
0.6288,NO
0.8245,NO
0.8651,NO
1.7957,YES
3.0045,YES
1.0385,NO
0.5111,NO
0.8327,NO
0.5866,NO
0.5093,NO
0.6856,NO
0.6944,NO
1.5878,YES
1.1159999999999999,NO
2.3233,YES
0.8316,NO
3.2255,YES
0.691,NO
0.6841,NO
0.6404,NO
0.9298,NO
0.8364,NO
0.8977,NO
0.5535,NO
0.8005,NO
0.4026,NO
0.2668,NO
0.3921,NO
0.3668,NO
0.6241,NO
1.4203,NO
0.9785,NO
0.3843,NO
1.2652,NO
2.4526,YES
0.4486,NO
2.74,YES
1.1918,NO
1.8125,NO
1.3726,NO
0.5232,NO
1.305,NO
0.4455,NO
0.3564,NO
0.605,NO
1.1756,NO
2.5343,YES
3.1675,YES
3.8089,YES
2.5284,YES
1.0503,NO
2.9463,YES
0.654,NO
2.3933,YES
0.5592,YES
0.7741,NO
0.1584,NO
0.2803,NO
0.4007,NO
1.181,YES
2.2931,YES
0.4485,NO
0.3268,NO
0.3739,NO
0.5092,NO
0.6271,NO
0.8676,NO
0.7724,NO
0.8806,YES
0.4931,NO
2.1634,YES
0.327,NO
2.4343,YES
0.2694,NO
0.4377,NO
0.4,NO
0.6584,NO
0.4395,NO
0.3003,NO
0.4965,NO
0.2613,NO
0.3829,NO
0.1078,NO
0.3573,NO
0.8512,NO
0.9252,NO
1.4912,NO
0.8516,NO
0.40399999999999997,NO
0.9509,NO
2.9959,YES
0.4739,NO
2.9077,YES
0.5697,NO
1.0506,NO
0.6121,NO
0.5308,NO
1.4419,NO
0.4428,NO
0.4853,NO
0.4858,NO
1.3172,NO
3.2060000000000004,YES
3.6849,YES
4.3113,YES
3.1834,YES
1.1903,NO
3.0851,YES
0.7306,NO
