50Traced_NONETRACED_MAX_RAW_LSA_67_MEDIAN,Associated
0.1553,NO
0.0652,NO
0.1423,NO
0.2164,NO
0.1663,NO
0.1986,NO
0.1579,NO
0.0679,NO
0.1689,NO
1.0,YES
0.1423,NO
1.0,YES
0.2427,NO
0.2231,NO
0.2223,NO
0.1687,NO
0.20600000000000002,NO
0.1544,NO
0.1423,NO
0.2179,NO
0.2083,NO
0.3848,YES
0.4613,YES
1.0,YES
1.0,YES
0.1573,NO
1.0,YES
0.1423,NO
0.4428,YES
0.2444,YES
0.3362,NO
0.1579,NO
0.1148,NO
0.1112,NO
1.0,YES
1.0,YES
0.1364,NO
0.1474,NO
0.1296,NO
0.1156,NO
0.1797,NO
0.1528,NO
0.1551,NO
0.3715,YES
0.0766,NO
1.0,YES
0.0583,NO
1.0,YES
0.0742,NO
0.1231,NO
0.1218,NO
0.1474,NO
0.1231,NO
0.1903,NO
0.1474,NO
0.1778,NO
0.1553,NO
0.1534,NO
0.2137,NO
0.2865,NO
0.2137,NO
0.2137,NO
0.1488,NO
0.092,NO
0.2187,NO
1.0,YES
0.2137,NO
1.0,YES
0.205,NO
0.2168,NO
0.2136,NO
0.1919,NO
0.20600000000000002,NO
0.1544,NO
0.2137,NO
0.1755,NO
0.2202,NO
0.4465,YES
0.4252,YES
1.0,YES
0.5256,YES
0.2137,NO
1.0,YES
0.2137,NO
0.1303,YES
0.1949,YES
0.3356,NO
0.1662,NO
0.1507,NO
0.1441,NO
0.35200000000000004,YES
0.188,YES
0.1731,NO
0.0952,NO
0.1525,NO
0.1355,NO
0.2289,NO
0.2088,NO
0.2183,NO
1.0,YES
0.1268,NO
0.188,YES
0.0553,NO
0.3081,YES
0.0836,NO
0.1251,NO
0.1143,NO
0.11800000000000001,NO
0.1355,NO
0.2201,NO
0.1351,NO
0.1692,NO
0.1468,NO
0.1508,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.1661,NO
0.1508,NO
0.2465,YES
0.1531,NO
1.0,YES
0.1443,NO
0.2165,NO
0.1934,NO
0.2037,NO
0.1508,NO
0.4216,YES
0.1508,NO
1.0,YES
0.1481,NO
1.0,YES
0.1629,NO
0.2192,NO
0.1531,NO
0.1531,NO
1.0,YES
0.2085,NO
1.0,YES
0.1544,NO
0.0732,NO
0.2286,NO
0.2582,NO
0.1977,NO
0.1701,NO
0.1694,NO
0.1694,NO
0.1458,NO
0.485,YES
0.1577,NO
1.0,YES
0.1987,NO
0.1756,NO
0.1689,NO
0.0831,NO
0.1827,NO
0.1694,NO
0.1082,NO
0.2019,NO
0.1293,NO
0.3897,YES
0.4613,YES
0.485,YES
1.0,YES
0.2286,NO
0.485,YES
0.2286,NO
0.0985,NO
0.1132,NO
0.2886,YES
1.0,YES
1.0,YES
0.2886,YES
0.0885,NO
0.1132,NO
0.2068,YES
0.2598,NO
0.2886,YES
0.2564,NO
0.2252,NO
0.2571,NO
0.2375,NO
0.1453,NO
0.2955,YES
0.141,NO
1.0,YES
0.142,NO
0.2886,YES
0.2049,NO
0.2206,NO
0.2293,NO
0.1032,NO
0.2886,YES
0.2293,NO
0.2886,YES
0.1495,NO
0.0745,NO
0.2395,NO
0.1926,NO
0.2395,NO
0.2395,NO
0.1653,NO
0.1536,NO
0.1999,NO
1.0,YES
0.2395,NO
1.0,YES
0.2519,NO
0.2036,NO
0.2033,NO
0.0831,NO
0.151,NO
0.055999999999999994,NO
0.2395,NO
0.2256,NO
0.2395,NO
0.3848,YES
0.4613,YES
1.0,YES
1.0,YES
0.2405,NO
1.0,YES
0.2395,NO
0.1686,NO
0.1339,NO
0.2688,NO
0.2338,NO
0.2338,NO
0.2963,NO
0.1579,NO
0.0967,NO
0.2252,NO
1.0,YES
0.2344,NO
1.0,YES
0.1331,NO
0.1697,NO
0.0647,NO
0.204,NO
0.20600000000000002,NO
0.1655,NO
0.31,NO
0.1309,NO
0.2819,NO
1.0,YES
0.4613,YES
1.0,YES
1.0,YES
0.2213,NO
1.0,YES
0.2213,NO
0.1686,NO
0.1579,NO
0.2688,NO
0.2342,NO
0.2047,NO
0.2963,NO
0.1684,NO
0.1579,NO
0.2252,NO
1.0,YES
0.1828,NO
1.0,YES
0.2252,NO
0.2041,NO
0.2007,NO
0.159,NO
0.20600000000000002,NO
0.1579,NO
0.1207,NO
0.1912,NO
0.2083,NO
1.0,YES
0.4206,YES
1.0,YES
1.0,YES
0.2206,NO
1.0,YES
0.1517,NO
0.1495,NO
0.1348,NO
0.2085,NO
0.2886,NO
0.2085,NO
0.2085,NO
0.1579,NO
0.1348,NO
0.1421,NO
1.0,YES
0.2085,NO
1.0,YES
0.2118,NO
0.2048,NO
0.2045,NO
