50Traced_NONETRACED_MAX_RAW_LSA_46_MAX,Associated
0.1687,NO
0.0652,NO
0.2688,NO
0.2164,NO
0.1379,NO
0.2963,NO
0.1987,NO
0.0679,NO
0.2252,NO
1.0,YES
0.2347,NO
1.0,YES
0.2427,NO
0.2231,NO
0.2223,NO
0.1687,NO
0.1733,NO
0.1687,NO
0.1259,NO
0.2179,NO
0.1663,NO
1.0,YES
1.0,YES
0.3819,YES
1.0,YES
0.2254,NO
1.0,YES
0.1423,NO
1.0,YES
0.2444,YES
0.3362,NO
0.1579,NO
0.1148,NO
0.1405,NO
1.0,YES
0.3413,YES
0.1778,NO
0.1474,NO
0.0981,NO
0.1474,NO
0.1797,NO
0.1766,NO
0.1835,NO
1.0,YES
0.1344,NO
1.0,YES
0.0583,NO
0.3399,YES
0.0836,NO
0.1231,NO
0.1231,NO
0.1235,NO
0.1231,NO
0.1903,NO
0.1231,NO
0.1405,NO
0.1686,NO
0.1534,NO
0.2688,NO
0.2865,NO
0.1512,NO
0.2963,NO
0.1987,NO
0.0647,NO
0.2252,NO
1.0,YES
0.2347,NO
1.0,YES
0.205,NO
0.2168,NO
0.2136,NO
0.1919,NO
0.1616,NO
0.1268,NO
0.2143,NO
0.1755,NO
0.2202,NO
1.0,YES
1.0,YES
0.3819,YES
1.0,YES
0.2254,NO
1.0,YES
0.1373,NO
0.4428,YES
0.1814,YES
0.3356,NO
0.1662,NO
0.1507,NO
0.1501,NO
0.3435,YES
0.3413,YES
0.1731,NO
0.0952,NO
0.1364,NO
0.0887,NO
0.2289,NO
0.2088,NO
0.2183,NO
1.0,YES
0.1138,NO
1.0,YES
0.1216,NO
0.3081,YES
0.0995,NO
0.1251,NO
0.1218,NO
0.11800000000000001,NO
0.1053,NO
0.2201,NO
0.1351,NO
0.1328,NO
0.0724,NO
0.0359,NO
0.3354,YES
1.0,YES
0.3497,YES
0.1977,YES
0.0826,NO
0.0371,NO
0.2372,YES
0.1395,NO
0.3354,YES
0.1443,NO
0.2199,NO
0.2199,NO
0.2199,NO
0.1088,NO
1.0,YES
0.1088,NO
1.0,YES
0.1417,NO
1.0,YES
0.0968,NO
0.2519,NO
0.1488,NO
0.1155,NO
0.3354,YES
0.1155,NO
0.3354,YES
0.1926,NO
0.0732,NO
0.2524,NO
0.2582,NO
0.1977,NO
0.1701,NO
0.1926,NO
0.1225,NO
0.2286,NO
1.0,YES
0.2524,NO
0.485,YES
0.1987,NO
0.1844,NO
0.1844,NO
0.0831,NO
0.2524,NO
0.0805,NO
0.2067,NO
0.2019,NO
0.2524,NO
1.0,YES
0.4613,YES
0.3023,YES
0.3648,YES
0.2524,NO
0.3648,YES
0.2524,NO
0.1132,NO
0.0774,NO
1.0,YES
1.0,YES
0.2628,YES
0.2985,YES
0.1661,NO
0.071,NO
0.2465,YES
0.2598,NO
1.0,YES
0.1459,NO
0.2252,NO
0.2571,NO
0.2375,NO
0.1453,NO
1.0,YES
0.141,NO
0.3316,YES
0.1481,NO
1.0,YES
0.2049,NO
0.2206,NO
0.2228,NO
0.1032,NO
1.0,YES
0.2113,NO
1.0,YES
0.1755,NO
0.0745,NO
0.2688,NO
0.1926,NO
0.1547,NO
0.2963,NO
0.1987,NO
0.1536,NO
0.2252,NO
1.0,YES
0.2347,NO
1.0,YES
0.2519,NO
0.2418,NO
0.2418,NO
0.0988,NO
0.151,NO
0.0959,NO
0.1124,NO
0.2256,NO
0.166,NO
1.0,YES
1.0,YES
0.3819,YES
1.0,YES
0.2405,NO
1.0,YES
0.1453,NO
0.1553,NO
0.1339,NO
0.22399999999999998,NO
0.2338,NO
0.2338,NO
0.2213,NO
0.1488,NO
0.0967,NO
0.2198,NO
1.0,YES
0.2344,NO
1.0,YES
0.1331,NO
0.1766,NO
0.0647,NO
0.204,NO
0.2338,NO
0.1655,NO
0.31,NO
0.1309,NO
0.2819,NO
0.4042,YES
1.0,YES
0.4941,YES
1.0,YES
0.2133,NO
1.0,YES
0.2213,NO
0.1686,NO
0.0769,NO
0.2688,NO
0.2342,NO
0.2047,NO
0.2963,NO
0.1987,NO
0.1204,NO
0.2252,NO
0.4754,YES
0.2347,NO
1.0,YES
0.2252,NO
0.2085,NO
0.2085,NO
0.0656,NO
0.1608,NO
0.066,NO
0.2174,NO
0.1912,NO
0.166,NO
1.0,YES
1.0,YES
0.3819,YES
1.0,YES
0.2254,NO
1.0,YES
0.1168,NO
0.1542,NO
0.0714,NO
0.2085,NO
0.2886,NO
0.1427,NO
0.1331,NO
0.1579,NO
0.0532,NO
0.1421,NO
1.0,YES
0.2085,NO
1.0,YES
0.2118,NO
0.2048,NO
0.2045,NO
0.1542,NO
0.2085,NO
0.1542,NO
0.1059,NO
0.1702,NO
0.2085,NO
1.0,YES
0.4613,YES
0.314,YES
0.3961,YES
0.2085,NO
0.3961,YES
0.2085,NO
0.17,NO
0.0451,NO
1.0,YES
0.27899999999999997,YES
0.1227,YES
1.0,YES
0.2237,NO
0.1065,NO
0.4186,YES
0.1253,NO
1.0,YES
0.1253,NO
0.2131,NO
0.1496,NO
0.1474,NO
0.1494,NO
0.27899999999999997,YES
0.1494,NO
0.2369,YES
0.2129,NO
0.27899999999999997,YES
0.1271,NO
0.1669,NO
0.3025,NO
0.12,NO
1.0,YES
0.2516,NO
1.0,YES
0.1799,NO
0.1547,NO
1.0,YES
0.3456,NO
0.3456,NO
0.4159,YES
0.1827,NO
0.1097,NO
0.5448,YES
0.191,NO
1.0,YES
0.1528,NO
0.3264,NO
0.3203,NO
0.2648,NO
0.171,NO
0.3456,NO
0.1398,NO
0.3673,NO
0.1451,NO
0.2637,NO
0.1991,NO
0.1784,NO
0.3767,NO
0.1917,NO
0.47700000000000004,YES
0.3359,NO
0.3097,YES
0.0798,NO
0.0364,NO
1.0,YES
1.0,YES
0.3645,YES
0.2985,YES
0.1661,NO
0.071,NO
0.3141,YES
0.33,NO
1.0,YES
0.3374,NO
0.2365,NO
0.2061,NO
0.2414,NO
0.07200000000000001,NO
1.0,YES
0.0474,NO
1.0,YES
0.1481,NO
1.0,YES
0.3374,NO
0.3374,NO
0.2935,NO
0.3374,NO
1.0,YES
0.3374,NO
1.0,YES
0.1636,NO
0.1646,NO
1.0,YES
0.3036,NO
0.3036,NO
1.0,YES
0.1681,NO
0.153,NO
1.0,YES
0.159,NO
0.493,YES
0.1456,NO
0.2516,NO
0.1542,NO
0.1277,NO
0.1775,NO
0.3036,NO
0.1654,NO
0.3557,NO
0.0902,NO
0.2663,NO
0.2218,NO
0.1764,NO
0.3901,NO
0.21600000000000003,NO
1.0,YES
0.3584,NO
0.3677,YES
0.0855,NO
0.0184,NO
0.1484,YES
1.0,YES
0.3236,YES
0.1422,YES
0.0855,NO
0.0271,NO
0.1204,YES
0.1175,NO
0.1484,YES
0.1175,NO
0.171,NO
0.1733,NO
0.1785,NO
0.0854,NO
0.2786,YES
0.0854,NO
1.0,YES
0.1347,NO
0.247,YES
0.0328,NO
0.2519,NO
