50Traced_NONETRACED_SUM_RAW_VSM_43_MEDIAN,Associated
0.3365,NO
0.2417,NO
0.3659,NO
0.2582,NO
0.3407,NO
0.134,NO
0.5413,NO
0.3476,NO
0.2434,NO
1.6607,YES
0.3794,NO
0.6485,YES
0.3577,NO
0.2852,NO
0.4707,NO
0.324,NO
0.2815,NO
0.6287,NO
0.1135,NO
0.3482,NO
0.2111,NO
1.0069,YES
1.6738,YES
0.6354,YES
1.6848,YES
0.4957,NO
0.5996,YES
0.1343,NO
0.6512,YES
1.0614,YES
0.6953,NO
0.4878,NO
0.309,NO
0.6156,NO
1.4539,YES
1.5067,YES
0.5818,NO
0.2962,NO
0.4133,NO
0.2187,NO
0.2746,NO
0.1526,NO
0.1551,NO
1.4248,YES
0.5478,NO
2.2096,YES
0.4579,NO
1.3558,YES
0.5045,NO
0.3213,NO
0.3192,NO
0.1235,NO
0.2961,NO
0.5876,NO
0.3393,NO
0.33399999999999996,NO
0.2037,NO
0.2911,NO
1.0262,NO
0.5023,NO
0.6399,NO
0.7406,NO
0.7126,NO
0.2697,NO
0.7424,NO
2.345,YES
0.7029,NO
1.9423,YES
0.4743,NO
0.5760000000000001,NO
0.4202,NO
0.2366,NO
0.5564,NO
0.3631,NO
0.4319,NO
0.385,NO
0.7903,NO
1.9597,YES
2.8489,YES
1.0305,YES
2.3207,YES
1.2031,NO
1.2742,YES
0.5394,NO
0.9672,YES
0.392,YES
0.8328,NO
0.3022,NO
0.223,NO
0.557,NO
1.3855,YES
1.6212,YES
0.7051,NO
0.38799999999999996,NO
0.425,NO
0.2217,NO
0.2289,NO
0.2477,NO
0.2075,NO
1.2789,YES
0.2007,NO
2.3274,YES
0.0772,NO
0.8893,YES
0.1419,NO
0.3474,NO
0.516,NO
0.2039,NO
0.3981,NO
0.7795,NO
0.3118,NO
0.5345,NO
0.264,NO
0.1762,NO
1.4542,YES
2.4496,YES
3.0485,YES
1.4474,YES
0.4786,NO
0.1098,NO
1.4773,YES
0.4487,NO
1.4919,YES
0.31,NO
0.4739,NO
0.5612,NO
0.3105,NO
0.3176,NO
3.5729,YES
0.3224,NO
2.8003,YES
0.3939,NO
