50Traced_NONETRACED_SUM_SINGLE_VSM_29_MAX,Associated
0.6983,NO
0.6455,NO
0.4199,NO
0.9489,NO
0.1617,NO
0.2744,NO
0.8927,NO
0.4112,NO
0.5011,NO
2.3575,YES
0.4625,NO
1.7583,YES
0.5369,NO
0.6333,NO
0.5556,NO
0.7336,NO
0.4847,NO
0.6603,NO
0.4572,NO
0.6471,NO
0.1595,NO
2.5528,YES
2.4239,YES
1.7018,YES
2.3161,YES
0.5248,NO
1.0724,YES
0.8962,NO
2.4825,YES
2.6132,YES
1.415,NO
0.6289,NO
0.508,NO
1.021,NO
1.9249,YES
1.5985,YES
1.2522,NO
0.3177,NO
0.8874,NO
0.1972,NO
0.6885,NO
0.6133,NO
0.5531,NO
2.4895,YES
0.7133,NO
2.4535,YES
0.6691,NO
2.5621,YES
0.3258,NO
0.7038,NO
0.3979,NO
0.4438,NO
0.4339,NO
1.181,NO
0.2216,NO
1.2258,NO
0.6391,NO
0.5404,NO
0.9897,NO
1.9538,NO
0.9512,NO
0.8677,NO
0.6001,NO
0.4187,NO
1.1184,NO
3.3221,YES
1.5827,NO
2.3388,YES
0.205,NO
0.6564,NO
0.2992,NO
0.7724,NO
1.7319,NO
0.462,NO
1.3332,NO
0.3716,NO
0.7952,NO
3.9674,YES
3.6572,YES
3.1293,YES
3.1753,YES
1.4657,NO
2.6472,YES
1.5328,NO
3.4554,YES
3.4538,YES
3.1017,NO
1.4526,NO
1.6361,NO
2.8904,NO
3.0221,YES
2.279,YES
3.1012,NO
0.813,NO
2.6713,NO
0.9259,NO
1.1962,NO
1.0546,NO
1.1075,NO
3.1539,YES
2.1102,NO
3.2289,YES
2.3822,NO
3.5126,YES
1.2991,NO
1.6163,NO
1.2008,NO
0.9221,NO
0.9335,NO
3.0126,NO
0.6792,NO
2.48,NO
0.4835,NO
0.6413,NO
2.3554,YES
4.4144,YES
4.8598,YES
1.8439,YES
1.0005,NO
0.3417,NO
2.3747,YES
0.4446,NO
1.9739,YES
0.4206,NO
0.3014,NO
0.7217,NO
0.337,NO
0.4693,NO
4.6926,YES
0.4579,NO
4.9846,YES
0.6024,NO
4.1809,YES
0.8653,NO
0.9081,NO
0.2721,NO
0.9953,NO
2.1942,YES
0.9414,NO
1.8182,YES
0.7565,NO
0.6529,NO
0.8635,NO
1.4625,NO
0.5444,NO
0.9049,NO
0.7959,NO
0.4633,NO
0.9548,NO
2.7971,YES
1.1955,NO
2.1606,YES
0.4148,NO
0.6325,NO
0.4803,NO
0.7874,NO
1.2673,NO
0.6117,NO
0.8929,NO
0.8298,NO
0.6920000000000001,NO
3.3054,YES
3.091,YES
2.4851,YES
2.6892,YES
1.1827,NO
2.1312,YES
1.2755,NO
0.3461,NO
0.5872,NO
1.8422,YES
4.1276,YES
4.5699,YES
1.5168,YES
0.6227,NO
0.2099,NO
2.1517,YES
0.8436,NO
1.7209,YES
0.8724,NO
0.3394,NO
0.8125,NO
0.3411,NO
0.2402,NO
4.3539,YES
0.318,NO
4.3833,YES
0.2627,NO
3.7773,YES
1.1802,NO
1.23,NO
0.5861,NO
1.4242,NO
1.8887,YES
0.8809999999999999,NO
1.6669999999999998,YES
0.5067,NO
0.33399999999999996,NO
1.1234,NO
1.6980000000000002,NO
0.6913,NO
1.3327,NO
0.7282,NO
0.3014,NO
1.5103,NO
3.2666,YES
1.9456,NO
2.4628,YES
0.7142,NO
0.8936,NO
0.7622,NO
0.5146,NO
1.6865,NO
0.2327,NO
1.0585,NO
0.5059,NO
0.8446,NO
4.0704,YES
3.6783,YES
3.4075,YES
3.1608,YES
1.5952,NO
2.8566,YES
1.7503,NO
0.6284,NO
0.4533,NO
1.5579,NO
2.1505,NO
1.1494,NO
1.2168,NO
0.7356,NO
0.3791,NO
1.4073,NO
3.2442,YES
1.9606,NO
2.2699,YES
0.2156,NO
0.6691,NO
0.3071,NO
0.8376,NO
1.8129,NO
0.4043,NO
1.7885,NO
0.3027,NO
1.1659,NO
3.8301,YES
3.6854,YES
2.906,YES
3.1306,YES
1.7707,NO
2.6214,YES
1.7992,NO
0.8169,NO
0.7957,NO
1.2493,NO
2.391,NO
1.3375,NO
1.476,NO
0.8735,NO
0.7577,NO
1.7604,NO
3.2435,YES
1.9187,NO
2.3876,YES
0.8871,NO
1.1046,NO
0.9056,NO
0.8607,NO
2.4509,NO
0.6035,NO
1.6969999999999998,NO
0.8788,NO
1.1147,NO
4.0737,YES
3.6641,YES
3.275,YES
3.1693,YES
1.9493,NO
2.7403,YES
1.882,NO
0.4918,NO
0.4297,NO
0.8218,NO
2.059,NO
1.1619,NO
0.8982,NO
0.5358,NO
0.4178,NO
0.7426,NO
2.8333,YES
1.0152,NO
2.0052,YES
0.2269,NO
0.3973,NO
0.2666,NO
0.5917,NO
1.889,NO
0.2937,NO
1.6143,NO
0.3056,NO
0.9642,NO
3.1636,YES
3.0282,YES
2.5024,YES
2.6347,YES
1.1246,NO
1.9584,YES
1.0926,NO
0.9548,NO
0.9978,NO
6.0042,YES
1.8215,YES
2.1165,YES
5.8838,YES
1.3769,NO
0.6045,NO
6.6877,YES
0.4955,NO
6.4336,YES
0.3728,NO
1.4223,NO
1.551,NO
0.9595,NO
0.7138,NO
2.5917,YES
0.46399999999999997,NO
3.4783,YES
1.0707,NO
2.5198,YES
1.9477,NO
1.4183,NO
1.912,NO
1.1332,NO
6.4864,YES
2.1319999999999997,NO
6.0356,YES
0.5577,NO
0.4683,NO
3.2615,YES
1.3323,NO
1.4168,NO
3.1639999999999997,YES
0.4334,NO
0.5085,NO
3.6966,YES
0.5253,NO
3.9579,YES
0.3168,NO
0.5327,NO
0.8058,NO
0.2648,NO
0.4866,NO
1.8459999999999999,NO
0.18899999999999997,NO
2.6523,NO
0.1598,NO
1.4904,NO
1.2889,NO
1.0916,NO
1.3426,NO
0.7045,NO
3.9652,YES
1.4489,NO
3.4196,YES
0.6023,NO
0.5631,NO
4.3688,YES
3.8058,YES
4.0465,YES
3.6442,YES
1.1517,NO
0.5758,NO
4.5089,YES
0.2328,NO
3.9027,YES
0.2393,NO
0.7717,NO
1.5398,NO
0.78,NO
0.672,NO
4.0005,YES
0.46799999999999997,NO
5.1119,YES
0.9442,NO
3.9485,YES
0.7015,NO
0.951,NO
0.2935,NO
0.7886,NO
4.4416,YES
1.2461,NO
4.149,YES
0.7224,NO
0.5958,NO
3.114,YES
0.7979999999999999,NO
1.095,NO
3.1187,YES
0.8844,NO
0.308,NO
3.5833,YES
0.159,NO
3.8846,YES
0.1456,NO
1.2272,NO
0.8241,NO
0.7267,NO
0.385,NO
1.1023,NO
0.1897,NO
2.1046,NO
0.2069,NO
1.3287,NO
0.6872,NO
0.3337,NO
1.1319,NO
0.5512,NO
3.1548,YES
0.3915,NO
3.2975,YES
0.8138,NO
0.6948,NO
1.8202,YES
4.3383,YES
4.7149,YES
1.8294,YES
1.1513,NO
0.4299,NO
2.4476,YES
0.4049,NO
1.9164,YES
0.5823,NO
1.0257,NO
1.4549,NO
0.8844,NO
0.5617,NO
4.8338,YES
0.4678,NO
4.5855,YES
0.7390000000000001,NO
3.9853,YES
0.7107,NO
0.9464,NO
0.7331,NO
0.794,NO
1.744,YES
1.149,NO
1.5688,YES
2.5046,YES
2.6469,YES
2.0983,NO
0.9789,NO
1.0088,NO
1.7087,NO
1.8317,YES
2.2417,YES
1.7222,NO
0.5583,NO
1.5946,NO
0.6139,NO
0.2437,NO
0.4117,NO
0.2084,NO
2.4996,YES
1.2138,NO
2.4505,YES
1.5386,NO
2.415,YES
0.7859999999999999,NO
0.9,NO
0.754,NO
0.3812,NO
0.6247,NO
2.1979,NO
0.3402,NO
1.6388,NO
0.6563,NO
0.9466,NO
5.38,YES
1.4565,YES
1.8047,YES
5.5451,YES
0.6522,NO
0.6553,NO
5.8972,YES
0.7527,NO
5.5536,YES
0.3935,NO
1.0617,NO
0.9605,NO
0.596,NO
0.4748,NO
2.3319,YES
0.2304,NO
3.1133,YES
0.4865,NO
1.7842,YES
1.9163,NO
1.3736,NO
1.94,NO
1.1725,NO
6.0584,YES
1.5518,NO
5.4198,YES
0.6294,NO
0.7804,NO
5.2181,YES
1.8844,YES
1.8508,YES
5.122999999999999,YES
1.0362,NO
0.5133,NO
5.4934,YES
0.8622,NO
4.8407,YES
0.3564,NO
