50Traced_NONETRACED_MAX_MULTI_LSA_95_MAX,Associated
0.2574,NO
0.1164,NO
0.2323,NO
0.5644,NO
0.31,NO
0.4162,NO
0.3056,NO
0.2852,NO
0.3138,NO
1.0,YES
0.2887,NO
1.0,YES
0.3555,NO
0.35200000000000004,NO
0.3555,NO
0.2852,NO
0.2804,NO
0.318,NO
0.3529,NO
0.2574,NO
0.4378,NO
0.83,YES
1.0,YES
1.0,YES
0.7677,YES
0.2502,NO
0.7677,YES
0.2323,NO
1.0,YES
0.408,YES
0.3362,NO
0.2044,NO
0.1542,NO
0.2387,NO
1.0,YES
1.0,YES
0.1922,NO
0.1939,NO
0.1865,NO
0.1789,NO
0.3148,NO
0.3413,NO
0.3148,NO
1.0,YES
0.2278,NO
1.0,YES
0.0848,NO
1.0,YES
0.1607,NO
0.1484,NO
0.2456,NO
0.1939,NO
0.1939,NO
0.2673,NO
0.1504,NO
0.1865,NO
0.3496,NO
0.1534,NO
0.2487,NO
0.5644,NO
0.31,NO
0.6333,NO
0.2948,NO
0.1187,NO
0.4753,NO
1.0,YES
0.2785,NO
1.0,YES
0.2244,NO
0.3824,NO
0.2136,NO
0.1919,NO
0.3984,NO
0.3069,NO
0.3405,NO
0.1755,NO
0.4224,NO
0.83,YES
1.0,YES
1.0,YES
1.0,YES
0.4758,NO
1.0,YES
0.2381,NO
0.9589,YES
0.2106,YES
0.3559,NO
0.228,NO
0.3559,NO
0.2387,NO
1.0,YES
1.0,YES
0.2862,NO
0.2251,NO
0.2862,NO
0.0887,NO
0.3667,NO
0.3144,NO
0.3667,NO
1.0,YES
0.2278,NO
1.0,YES
0.3559,NO
0.568,YES
0.3559,NO
0.1251,NO
0.2456,NO
0.2251,NO
0.2251,NO
0.3559,NO
0.1746,NO
0.3559,NO
0.2522,NO
0.1089,NO
1.0,YES
1.0,YES
1.0,YES
0.6382,YES
0.344,NO
0.2011,NO
0.5227,YES
0.3816,NO
0.4491,YES
0.1443,NO
0.3031,NO
0.42,NO
0.1934,NO
0.2493,NO
0.6802,YES
0.2254,NO
1.0,YES
0.2493,NO
1.0,YES
0.3118,NO
0.4291,NO
0.2896,NO
0.2229,NO
1.0,YES
0.2838,NO
1.0,YES
0.3496,NO
0.111,NO
0.4052,NO
0.5352,NO
0.2939,NO
0.6333,NO
0.3331,NO
0.2866,NO
0.4753,NO
1.0,YES
0.4052,NO
0.9481,YES
0.3166,NO
0.3824,NO
0.3166,NO
0.3331,NO
0.3984,NO
0.3011,NO
0.3132,NO
0.3331,NO
0.3613,NO
0.7869,YES
0.9481,YES
1.0,YES
1.0,YES
0.4758,NO
0.9187,YES
0.2101,NO
0.2522,NO
0.1089,NO
0.5253,YES
1.0,YES
0.6940000000000001,YES
0.3353,YES
0.2651,NO
0.1676,NO
0.2746,YES
0.433,NO
0.2359,YES
0.4576,NO
0.3335,NO
0.2571,NO
0.3335,NO
0.174,NO
0.594,YES
0.1573,NO
0.6162,YES
0.174,NO
1.0,YES
0.3798,NO
0.4576,NO
0.4576,NO
0.4066,NO
0.5253,YES
0.4066,NO
0.5253,YES
0.3496,NO
0.1149,NO
0.3877,NO
0.3065,NO
0.2813,NO
0.6333,NO
0.2816,NO
0.2816,NO
0.4753,NO
1.0,YES
0.3877,NO
0.7607,YES
0.4018,NO
0.3824,NO
0.4018,NO
0.2816,NO
0.3984,NO
0.14300000000000002,NO
0.1787,NO
0.2256,NO
0.1985,NO
0.5044,YES
0.6471,YES
1.0,YES
1.0,YES
0.4758,NO
0.7756,YES
0.2748,NO
0.3496,NO
0.1339,NO
0.3905,NO
0.5644,NO
0.4156,NO
0.6333,NO
0.3056,NO
0.1871,NO
0.4753,NO
1.0,YES
0.3905,NO
1.0,YES
0.1876,NO
0.3824,NO
0.1069,NO
0.204,NO
0.4156,NO
0.318,NO
0.4156,NO
0.1309,NO
0.4378,NO
0.83,YES
1.0,YES
1.0,YES
1.0,YES
0.4758,NO
0.7756,YES
0.3905,NO
0.3496,NO
0.0994,NO
0.4809,NO
0.5644,NO
0.4809,NO
0.6333,NO
0.307,NO
0.307,NO
0.4753,NO
1.0,YES
0.2964,NO
1.0,YES
0.3649,NO
0.3824,NO
0.3649,NO
0.307,NO
0.3984,NO
0.318,NO
0.4809,NO
0.1912,NO
0.4809,NO
0.83,YES
1.0,YES
1.0,YES
1.0,YES
0.4809,NO
1.0,YES
0.4809,NO
0.2173,NO
0.0724,NO
0.2167,NO
0.5348,NO
0.2937,NO
0.3083,NO
0.2831,NO
0.1473,NO
0.2324,NO
1.0,YES
0.2138,NO
1.0,YES
0.3221,NO
0.3335,NO
0.3221,NO
0.2173,NO
0.2285,NO
0.2355,NO
0.263,NO
0.2173,NO
0.3847,NO
0.7864,YES
0.9475,YES
1.0,YES
1.0,YES
0.2371,NO
1.0,YES
0.2042,NO
0.2734,NO
0.0886,NO
1.0,YES
0.6407,YES
1.0,YES
0.679,YES
0.344,NO
0.2538,NO
0.6549,YES
0.1905,NO
0.679,YES
0.1905,NO
0.3885,NO
0.3522,NO
0.3885,NO
0.2734,NO
0.4942,YES
0.2538,NO
1.0,YES
0.2734,NO
1.0,YES
0.1531,NO
0.2,NO
0.41200000000000003,NO
0.2229,NO
1.0,YES
0.3924,NO
1.0,YES
0.2133,NO
0.1547,NO
1.0,YES
0.2918,NO
0.6395,NO
0.7629,YES
0.3518,NO
0.1097,NO
0.9273,YES
0.2942,NO
1.0,YES
0.2942,NO
0.5231,NO
0.474,NO
0.5231,NO
0.1747,NO
0.6395,NO
0.1902,NO
0.6395,NO
0.1725,NO
0.3894,NO
0.2311,NO
0.3121,NO
0.4303,NO
0.1917,NO
1.0,YES
0.5021,NO
1.0,YES
0.2522,NO
0.1089,NO
1.0,YES
1.0,YES
1.0,YES
0.6382,YES
0.344,NO
0.2331,NO
0.5764,YES
0.6231,NO
0.586,YES
0.5117,NO
0.4308,NO
0.3522,NO
0.4308,NO
0.2331,NO
1.0,YES
0.1564,NO
1.0,YES
0.1419,NO
1.0,YES
0.3143,NO
0.4032,NO
0.6231,NO
0.6231,NO
1.0,YES
0.5117,NO
1.0,YES
0.2442,NO
0.1646,NO
0.7795,YES
0.24,NO
0.5554,NO
1.0,YES
0.2604,NO
0.153,NO
1.0,YES
0.5177,NO
0.7795,YES
0.1456,NO
0.4238,NO
0.3191,NO
0.2898,NO
0.1775,NO
0.5554,NO
0.1834,NO
0.5554,NO
0.1664,NO
0.3382,NO
0.2612,NO
0.335,NO
0.5177,NO
0.5177,NO
0.6838,YES
