50Traced_NONETRACED_MAX_RAW_VSM_8_MAX,Associated
0.1439,NO
0.1687,NO
0.1423,NO
0.2164,NO
0.1423,NO
0.1406,NO
0.1171,NO
0.0679,NO
0.1689,NO
0.3236,YES
0.1406,NO
1.0,YES
0.2427,NO
0.2231,NO
0.2223,NO
0.1687,NO
0.151,NO
0.1687,NO
0.1423,NO
0.2179,NO
0.1259,NO
1.0,YES
1.0,YES
0.1777,YES
1.0,YES
0.1573,NO
0.1916,YES
0.1423,NO
0.1289,YES
1.0,YES
0.3362,NO
0.1659,NO
0.1659,NO
0.1194,NO
0.3947,YES
0.0957,YES
0.1405,NO
0.1056,NO
0.1405,NO
0.1474,NO
0.1835,NO
0.1766,NO
0.1835,NO
1.0,YES
0.1344,NO
1.0,YES
0.1659,NO
0.3399,YES
0.1344,NO
0.1474,NO
0.1474,NO
0.1235,NO
0.1474,NO
0.1903,NO
0.1119,NO
0.1659,NO
0.1439,NO
0.1534,NO
0.2688,NO
0.2865,NO
0.2137,NO
0.2963,NO
0.1465,NO
0.0647,NO
0.2252,NO
1.0,YES
0.1603,NO
1.0,YES
0.205,NO
0.2168,NO
0.2136,NO
0.1919,NO
0.1533,NO
0.1268,NO
0.2137,NO
0.1755,NO
0.2202,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2254,NO
1.0,YES
0.2137,NO
0.4232,YES
1.0,YES
0.3356,NO
0.204,NO
0.204,NO
0.1692,NO
0.3435,YES
0.3164,YES
0.1731,NO
0.1387,NO
0.1692,NO
0.1387,NO
0.2289,NO
0.2094,NO
0.2094,NO
0.284,YES
0.1268,NO
0.4181,YES
0.204,NO
1.0,YES
0.1268,NO
0.1355,NO
0.091,NO
0.1387,NO
0.1387,NO
0.2201,NO
0.1355,NO
0.204,NO
0.1566,NO
0.1508,NO
1.0,YES
1.0,YES
1.0,YES
0.2985,YES
0.1661,NO
0.0477,NO
0.2465,YES
0.1395,NO
0.2134,YES
0.1443,NO
0.2199,NO
0.2199,NO
0.2199,NO
0.0891,NO
1.0,YES
0.0806,NO
1.0,YES
0.1508,NO
1.0,YES
0.1629,NO
0.2192,NO
0.2125,NO
0.1116,NO
0.2732,YES
0.2113,NO
1.0,YES
0.1544,NO
0.0732,NO
0.1975,NO
0.2582,NO
0.1977,NO
0.1701,NO
0.1684,NO
0.1225,NO
0.1458,NO
0.4028,YES
0.1577,NO
0.485,YES
0.1987,NO
0.1844,NO
0.1844,NO
0.054000000000000006,NO
0.2067,NO
0.0547,NO
0.2067,NO
0.2019,NO
0.2067,NO
0.4997,YES
0.485,YES
0.3374,YES
0.485,YES
0.2226,NO
0.4997,YES
0.133,NO
0.0985,NO
0.1132,NO
0.2886,YES
0.3672,YES
0.3236,YES
0.1371,YES
0.0885,NO
0.0604,NO
0.2068,YES
0.2598,NO
0.106,YES
0.1459,NO
0.2252,NO
0.2571,NO
0.2375,NO
0.1453,NO
1.0,YES
0.141,NO
1.0,YES
0.142,NO
1.0,YES
0.2049,NO
0.2206,NO
0.2228,NO
0.2564,NO
0.1461,YES
0.1116,NO
0.2886,YES
0.1415,NO
0.1669,NO
0.2395,NO
0.2395,NO
0.2395,NO
0.2369,NO
0.1653,NO
0.1536,NO
0.1999,NO
0.4371,YES
0.2369,NO
0.4061,YES
0.2519,NO
0.2418,NO
0.2418,NO
0.1669,NO
0.1506,NO
0.1669,NO
0.2395,NO
0.2256,NO
0.1506,NO
1.0,YES
0.4613,YES
0.3023,YES
0.4061,YES
0.2405,NO
1.0,YES
0.2395,NO
0.1439,NO
0.1339,NO
0.2688,NO
0.2061,NO
0.2338,NO
0.2963,NO
0.1488,NO
0.0967,NO
0.2252,NO
1.0,YES
0.2344,NO
1.0,YES
0.151,NO
0.1693,NO
0.0647,NO
0.204,NO
0.2338,NO
0.1655,NO
0.31,NO
0.1309,NO
0.2819,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2254,NO
1.0,YES
0.1879,NO
0.1439,NO
0.1479,NO
0.2688,NO
0.2342,NO
0.2047,NO
0.2963,NO
0.1796,NO
0.1204,NO
0.2252,NO
1.0,YES
0.1828,NO
1.0,YES
0.2252,NO
0.2085,NO
0.2085,NO
0.1479,NO
0.1415,NO
0.1479,NO
0.1701,NO
0.1912,NO
0.2083,NO
1.0,YES
0.4613,YES
1.0,YES
1.0,YES
0.2254,NO
1.0,YES
0.1576,NO
0.1439,NO
0.0714,NO
0.2688,NO
0.2886,NO
0.2085,NO
0.2963,NO
0.1488,NO
0.0647,NO
0.2252,NO
1.0,YES
0.1412,NO
1.0,YES
