50Traced_NONETRACED_RFSMOTE_SINGLE_VSM_21_SUM,Associated
0.04223118101909987,NO
0.03661357478025246,NO
0.06912960148040448,NO
0.13654087634657328,NO
0.037869274998347774,NO
0.053400304011631754,NO
0.0324499372149891,NO
0.03839799087965105,NO
0.10514837089419074,NO
0.817593020950367,YES
0.034234353314387685,NO
0.21690569030467252,YES
0.15392241094441875,NO
0.14096887185248827,NO
0.140440155971185,NO
0.06899742251007865,NO
0.04018240697904964,NO
0.0668164694997026,NO
0.04289207587072897,NO
0.13753221862401693,NO
0.06932786993589321,NO
0.705901791025048,YES
0.7075540281541208,YES
0.10376049170576962,YES
0.15213799484502016,YES
0.09748199061529311,NO
0.7017381534597847,YES
0.07316106007534202,NO
0.06437115854867491,YES
0.8159407838212941,YES
0.21571607957174016,NO
0.09787852752627059,NO
0.06939395942105611,NO
0.06701473795519133,NO
0.9152732800211488,YES
0.056770867754940196,YES
0.0836692882162448,NO
0.06331372678606834,NO
0.05835701539885005,NO
0.06344590575639417,NO
0.11228603529178509,NO
0.09437578481263632,NO
0.09602802194170908,NO
0.8401956248760822,YES
0.044147776088824274,NO
0.728834842376578,YES
0.01605974489458727,NO
0.21816139052276784,YES
0.020752098341153925,NO
0.0736236864714824,NO
0.044346044544313,NO
0.07514374463022934,NO
0.04652699755468905,NO
0.1192915207190536,NO
0.06747736435133171,NO
0.06014143149824863,NO
0.05207851430837354,NO
0.0949045006939396,NO
0.08148833520586875,NO
0.18286960544577358,NO
0.09345053202035557,NO
0.1036283127354438,NO
0.09034432621769876,NO
0.6880576300310621,NO
0.13806093450532023,NO
0.9567113872182937,YES
0.09946467517018043,NO
0.7875883946864055,YES
0.12900667503800145,NO
0.1368052342872249,NO
0.1346903707620118,NO
0.12034895248166017,NO
0.09483841120877669,NO
0.07732469764060539,NO
0.12219945806622168,NO
0.10951027691494283,NO
0.13905227678276388,NO
0.28861278170643057,YES
0.2745357213667306,YES
0.23494811975414714,YES
0.11056770867754942,YES
0.10316568633930343,NO
0.12087766836296346,YES
0.0762011763928359,NO
0.07963782962130726,YES
0.7743044081686605,YES
0.2153195426607627,NO
0.764258806423898,NO
0.09312008459454102,NO
0.08875817857378893,NO
0.8814354636177386,YES
0.07567246051153262,YES
0.7688189809001389,NO
0.05644042032912565,NO
