50Traced_NONETRACED_SUM_MULTI_VSM_6_MEDIAN,Associated
1.3756,NO
0.5804,NO
1.5875,NO
1.1959,NO
1.5648,NO
1.1023,NO
0.899,NO
0.6316,NO
1.5654,NO
3.2493,YES
1.4842,NO
2.725,YES
1.1311,NO
1.1384,NO
0.6261,NO
0.7534,NO
1.1921,NO
1.0445,NO
1.4021,NO
0.6813,NO
1.5684,NO
3.2994,YES
3.4426,YES
2.8652,YES
2.2412,YES
0.8185,NO
2.8744,YES
1.4298,NO
1.8771,YES
2.1266,YES
1.6234,NO
0.8606,NO
0.8453,NO
1.8633,NO
1.5344,YES
1.1576,YES
1.595,NO
0.7698,NO
1.7134,NO
0.4024,NO
1.0319,NO
0.9740000000000001,NO
0.491,NO
2.1746,YES
0.8872,NO
2.0279,YES
0.9115,NO
1.8618,YES
0.9948,NO
0.7662,NO
0.9246,NO
0.7838,NO
0.4495,NO
1.3518,NO
0.5849,NO
1.3165,NO
1.2202,NO
0.5838,NO
2.0542,NO
1.6731,NO
1.9896,NO
1.3353,NO
0.8848,NO
0.5508,NO
1.8217,NO
3.9031,YES
1.7631,NO
3.0255,YES
1.3071,NO
1.3591,NO
0.8145,NO
0.7898,NO
1.296,NO
1.186,NO
1.6758,NO
0.6367,NO
1.87,NO
4.1499,YES
4.1495,YES
3.806,YES
2.8465,YES
1.2093,NO
3.7119,YES
1.7523,NO
1.9824,YES
2.3637,YES
1.4857,NO
0.865,NO
0.7926,NO
1.4491,NO
1.5523,YES
1.1618,YES
1.5847,NO
1.1731,NO
1.5071,NO
0.6751,NO
0.9635,NO
1.1306,NO
0.5985,NO
2.4603,YES
0.7845,NO
2.3486,YES
0.8578,NO
1.9365,YES
0.9595,NO
1.2825,NO
1.4367,NO
1.1649,NO
0.856,NO
1.2345,NO
0.8472,NO
0.9717,NO
1.3817,NO
0.6319,NO
1.9566,YES
3.4451,YES
3.0553,YES
1.8333,YES
1.1689,NO
0.5495,NO
1.7629,YES
1.4112,NO
1.9489,YES
0.8602,NO
1.2038,NO
0.474,NO
0.5099,NO
0.7915,NO
2.4606,YES
0.7757,NO
3.8077,YES
0.8085,NO
3.5841,YES
0.8778,NO
1.2276,NO
0.9352,NO
0.7612,NO
1.1793,YES
0.3382,NO
1.5863,YES
0.7973,NO
0.4217,NO
1.3939,NO
1.5205,NO
1.6156,NO
1.0982,NO
0.8942,NO
0.4059,NO
1.3703,NO
3.4315,YES
1.3979,NO
2.4858,YES
1.0117,NO
1.1122,NO
0.6862,NO
0.6338,NO
0.8640000000000001,NO
0.9239,NO
0.8889,NO
0.5660000000000001,NO
1.3109,NO
3.6154,YES
3.7125,YES
3.2467,YES
2.5121,YES
0.9288,NO
3.2687,YES
1.33,NO
0.747,NO
0.3908,NO
1.246,YES
3.3127,YES
2.7261,YES
1.0028,YES
0.9762,NO
0.2992,NO
1.1196,YES
1.6307,NO
1.1707,YES
1.062,NO
1.3346,NO
0.6199,NO
0.8219,NO
0.3599,NO
2.0886,YES
0.6487,NO
3.3584,YES
0.4613,NO
3.5794,YES
1.273,NO
1.5014,NO
1.2022,NO
0.9176,NO
0.7393,YES
0.9847,NO
1.0084,YES
1.2197,NO
0.5534,NO
1.9414,NO
0.8493,NO
1.2759,NO
1.3036,NO
0.8584,NO
0.6424,NO
1.4814,NO
3.6119,YES
1.4384,NO
2.9639,YES
1.0173,NO
1.1868,NO
0.6182,NO
0.6097,NO
0.8759999999999999,NO
1.0073,NO
1.1204,NO
0.607,NO
1.179,NO
3.6177,YES
3.7775,YES
3.1982,YES
2.489,YES
0.8546,NO
3.5004,YES
1.6885,NO
0.6176,NO
0.3742,NO
0.7977,NO
0.7913,NO
1.0981,NO
0.2079,NO
0.6339,NO
0.3699,NO
0.5468,NO
3.0539,YES
0.5062,NO
2.3599,YES
0.4474,NO
0.7582,NO
0.318,NO
0.5365,NO
0.4945,NO
0.8594,NO
0.5211,NO
0.2946,NO
0.9569,NO
3.2003,YES
3.1471,YES
2.8707,YES
2.3198,YES
0.2977,NO
3.014,YES
0.7561,NO
1.0986,NO
0.2613,NO
1.5786,NO
1.629,NO
2.0239,NO
1.2668,NO
0.6555,NO
0.4064,NO
1.8577,NO
3.8483,YES
1.7888,NO
2.9051,YES
1.6697,NO
1.7868,NO
1.0766,NO
0.4239,NO
1.4026,NO
0.7464,NO
1.5246,NO
0.3784,NO
1.6822,NO
3.9138,YES
4.2233,YES
3.7831,YES
3.0363,YES
1.2112,NO
3.7937,YES
1.8355,NO
1.1904,NO
0.8752,NO
1.2835,NO
1.6506,NO
1.8475,NO
0.7516,NO
1.1613,NO
0.7115,NO
1.1033,NO
3.4016,YES
0.9957,NO
2.4783,YES
1.3101,NO
1.43,NO
0.9963,NO
0.9658,NO
1.1468,NO
1.4347,NO
1.3209,NO
0.7719,NO
1.8023,NO
3.4010000000000002,YES
3.6957,YES
3.2573,YES
2.4114,YES
0.7617,NO
3.2769999999999997,YES
1.2857,NO
2.2252,NO
0.8969,NO
5.0189,YES
2.1236,YES
1.4164,YES
6.4878,YES
1.2802,NO
0.9092,NO
6.3524,YES
1.2961,NO
6.3515,YES
0.888,NO
2.9666,NO
2.2492,NO
1.0936,NO
1.1424,NO
1.9024,YES
0.8133,NO
2.9772,YES
1.3291,NO
2.6309,YES
1.4639,NO
1.9675,NO
1.1274,NO
1.0429,NO
4.9954,YES
1.5781,NO
5.4026,YES
0.865,NO
0.1894,NO
1.9263,YES
0.4677,NO
0.5697,NO
2.8617,YES
0.4124,NO
0.1387,NO
2.9315,YES
1.0501,NO
3.043,YES
1.1659,NO
1.4521,NO
0.9285,NO
0.2648,NO
0.5174,NO
0.9339,NO
0.1843,NO
0.9128,NO
0.213,NO
0.9761,NO
1.4822,NO
1.6038,NO
1.1106,NO
1.2109,NO
2.4464,YES
1.14,NO
2.5408,YES
1.6569,NO
0.9196,NO
2.9056,YES
4.6091,YES
4.0007,YES
3.2853,YES
1.6877,NO
0.6381,NO
3.2753,YES
2.3231,NO
3.4674,YES
1.4151,NO
2.9601,NO
1.8752,NO
1.6382,NO
0.9477,NO
3.188,YES
1.1206,NO
4.6579,YES
0.9909,NO
4.7217,YES
2.0032,NO
2.6468,NO
2.2918,NO
1.5642,NO
2.6157,YES
1.9289,NO
2.9093,YES
1.1723,NO
0.311,NO
3.2291,YES
1.0339,NO
0.8755,NO
4.1874,YES
0.4073,NO
0.2807,NO
4.1919,YES
1.0633,NO
