50Traced_NONETRACED_MAX_MULTI_LSA_39_MEDIAN,Associated
0.1744,NO
0.2852,NO
0.1632,NO
0.4329,NO
0.2287,NO
0.4162,NO
0.3056,NO
0.2852,NO
0.1689,NO
1.0,YES
0.2887,NO
0.5949,YES
0.2582,NO
0.3511,NO
0.2223,NO
0.2852,NO
0.4327,NO
0.318,NO
0.3529,NO
0.2179,NO
0.4378,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.314,NO
0.5682,YES
0.2458,NO
0.9589,YES
1.0,YES
0.3362,NO
0.2796,NO
0.2796,NO
0.2796,NO
1.0,YES
1.0,YES
0.2796,NO
0.2425,NO
0.2796,NO
0.1939,NO
0.2584,NO
0.3144,NO
0.1953,NO
1.0,YES
0.2044,NO
1.0,YES
0.2796,NO
1.0,YES
0.1607,NO
0.1212,NO
0.2456,NO
0.1939,NO
0.2425,NO
0.2113,NO
0.2142,NO
0.2796,NO
0.3071,NO
0.294,NO
0.2297,NO
0.4177,NO
0.3765,NO
0.4016,NO
0.3258,NO
0.294,NO
0.2487,NO
0.9462,YES
0.2785,NO
0.5412,YES
0.205,NO
0.3388,NO
0.2136,NO
0.294,NO
0.4175,NO
0.3069,NO
0.3405,NO
0.1755,NO
0.4224,NO
0.965,YES
1.0,YES
0.965,YES
0.965,YES
0.303,NO
1.0,YES
0.2487,NO
0.9153,YES
1.0,YES
0.3356,NO
0.2304,NO
0.1507,NO
0.2306,NO
1.0,YES
1.0,YES
0.2862,NO
0.316,NO
0.2862,NO
0.2251,NO
0.3157,NO
0.3082,NO
0.2386,NO
1.0,YES
0.2044,NO
1.0,YES
0.1466,NO
1.0,YES
0.1607,NO
0.1815,NO
0.2187,NO
0.2251,NO
0.316,NO
0.2479,NO
0.2187,NO
0.2862,NO
0.1967,NO
0.2011,NO
0.6191,YES
0.7917,YES
0.7797,YES
0.6191,YES
0.213,NO
0.2011,NO
0.6191,YES
0.2975,NO
0.6191,YES
0.254,NO
0.2917,NO
0.3325,NO
0.2204,NO
0.2011,NO
0.7797,YES
0.1216,NO
1.0,YES
0.1417,NO
1.0,YES
0.2086,NO
0.28600000000000003,NO
0.254,NO
0.1237,NO
0.3603,YES
0.2091,NO
0.6191,YES
0.2912,NO
0.0732,NO
0.2756,NO
0.4029,NO
0.2939,NO
0.3946,NO
0.3089,NO
0.2866,NO
0.2237,NO
1.0,YES
0.1957,NO
0.6231,YES
0.2438,NO
0.24,NO
0.19699999999999998,NO
0.1944,NO
0.3413,NO
0.2866,NO
0.2392,NO
0.2866,NO
0.2968,NO
0.7869,YES
0.9481,YES
0.6779,YES
1.0,YES
0.2756,NO
0.9481,YES
0.2756,NO
0.2522,NO
0.174,NO
0.5253,YES
1.0,YES
1.0,YES
0.5253,YES
0.1807,NO
0.11800000000000001,NO
0.5253,YES
0.433,NO
0.5253,YES
0.1729,NO
0.2568,NO
0.42,NO
0.2375,NO
0.1453,NO
1.0,YES
0.174,NO
0.6276,YES
