50Traced_NONETRACED_MAX_SINGLE_LSA_48_MAX,Associated
0.2076,NO
0.2626,NO
0.1144,NO
0.2164,NO
0.1965,NO
0.1766,NO
0.2626,NO
0.2201,NO
0.1766,NO
0.6882,YES
0.1322,NO
1.0,YES
0.3701,NO
0.3701,NO
0.3701,NO
0.2626,NO
0.2942,NO
0.2626,NO
0.2553,NO
0.2251,NO
0.2553,NO
0.5181,YES
1.0,YES
0.3643,YES
1.0,YES
0.1766,NO
0.3327,YES
0.2434,NO
0.9432,YES
1.0,YES
0.3639,NO
0.2707,NO
0.27899999999999997,NO
0.2853,NO
1.0,YES
1.0,YES
0.2447,NO
0.21100000000000002,NO
0.3639,NO
0.3066,NO
0.1797,NO
0.1558,NO
0.1551,NO
1.0,YES
0.3639,NO
1.0,YES
0.2676,NO
1.0,YES
0.3639,NO
0.1589,NO
0.3066,NO
0.1235,NO
0.3066,NO
0.2572,NO
0.1681,NO
0.3639,NO
0.1009,NO
0.3133,NO
0.1331,NO
0.6139,NO
0.3369,NO
0.1666,NO
0.2687,NO
0.0509,NO
0.2452,NO
1.0,YES
0.3591,NO
1.0,YES
0.205,NO
0.2168,NO
0.2136,NO
0.3249,NO
0.5985,NO
0.2886,NO
0.213,NO
0.1755,NO
0.4715,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2322,NO
1.0,YES
0.2574,NO
1.0,YES
1.0,YES
0.6805,NO
0.5062,NO
0.5217,NO
0.466,NO
1.0,YES
1.0,YES
0.4479,NO
0.4069,NO
0.6805,NO
0.4069,NO
0.647,NO
0.7021,NO
0.7021,NO
1.0,YES
0.6805,NO
1.0,YES
0.5005,NO
1.0,YES
0.6805,NO
0.4069,NO
0.4069,NO
0.4069,NO
0.4069,NO
0.48100000000000004,NO
0.4069,NO
0.6805,NO
0.1568,NO
0.2059,NO
0.7346,YES
1.0,YES
1.0,YES
0.503,YES
0.1663,NO
0.1663,NO
0.4323,YES
0.3019,NO
0.7346,YES
0.22399999999999998,NO
0.3291,NO
0.3291,NO
0.3291,NO
0.0681,NO
1.0,YES
0.1663,NO
1.0,YES
0.3664,NO
0.8285,YES
0.3405,NO
0.457,NO
0.1902,NO
0.2429,NO
0.5192,YES
0.3518,NO
0.7346,YES
0.1544,NO
0.2131,NO
0.1975,NO
0.6139,NO
0.3369,NO
0.2039,NO
0.2687,NO
0.1225,NO
0.1748,NO
1.0,YES
0.2442,NO
1.0,YES
0.2327,NO
0.2525,NO
0.2525,NO
0.221,NO
0.4071,NO
0.1963,NO
0.2672,NO
0.2019,NO
0.3207,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2226,NO
1.0,YES
0.2039,NO
0.1425,NO
0.2248,NO
1.0,YES
1.0,YES
1.0,YES
0.6847,YES
0.2003,NO
0.1337,NO
0.5022,YES
0.3019,NO
1.0,YES
0.22399999999999998,NO
0.4058,NO
0.4403,NO
0.4403,NO
0.1453,NO
1.0,YES
0.141,NO
1.0,YES
0.4988,NO
1.0,YES
0.3405,NO
0.457,NO
0.2228,NO
0.3307,NO
0.7068,YES
0.4619,NO
1.0,YES
0.2057,NO
0.3133,NO
0.2535,NO
0.6139,NO
0.3369,NO
0.4239,NO
0.4224,NO
0.2148,NO
0.4239,NO
1.0,YES
0.3591,NO
1.0,YES
0.3899,NO
0.3899,NO
0.3899,NO
0.3249,NO
0.5985,NO
0.2886,NO
0.4343,NO
0.2256,NO
0.4715,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4239,NO
1.0,YES
0.2758,NO
0.1601,NO
0.3133,NO
0.3349,NO
0.6139,NO
0.4374,NO
0.3916,NO
0.3289,NO
0.0967,NO
0.3809,NO
1.0,YES
0.3916,NO
1.0,YES
0.1661,NO
0.1861,NO
0.1275,NO
0.3249,NO
0.5985,NO
0.2886,NO
0.4374,NO
0.16699999999999998,NO
0.4715,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3496,NO
1.0,YES
0.3387,NO
0.2093,NO
0.3133,NO
0.4413,NO
0.6139,NO
0.3384,NO
0.3022,NO
0.2687,NO
0.2093,NO
0.2452,NO
1.0,YES
0.4413,NO
1.0,YES
0.2729,NO
0.2866,NO
0.2866,NO
0.3249,NO
0.5985,NO
0.2886,NO
0.3246,NO
0.2201,NO
0.4715,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3119,NO
1.0,YES
0.4413,NO
0.2057,NO
0.3133,NO
0.10800000000000001,NO
0.6139,NO
0.3369,NO
0.1246,NO
0.4224,NO
0.1352,NO
0.2452,NO
1.0,YES
0.3591,NO
1.0,YES
0.2134,NO
0.2391,NO
0.2045,NO
0.3249,NO
0.5985,NO
0.2886,NO
0.4343,NO
0.1702,NO
0.4715,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2322,NO
1.0,YES
0.2574,NO
0.2216,NO
0.2698,NO
1.0,YES
0.7438,YES
0.7667,YES
1.0,YES
0.3986,NO
0.1816,NO
1.0,YES
0.7244,NO
1.0,YES
0.7244,NO
0.331,NO
0.36700000000000005,NO
0.3188,NO
0.2557,NO
1.0,YES
0.1744,NO
0.7355,YES
0.4988,NO
1.0,YES
0.7244,NO
0.7244,NO
0.7244,NO
0.7244,NO
0.9537,YES
0.7244,NO
1.0,YES
0.1799,NO
0.2059,NO
0.6877,YES
0.2156,NO
0.1949,NO
1.0,YES
0.3772,NO
0.1097,NO
0.9727,YES
0.2219,NO
1.0,YES
0.2628,NO
0.3264,NO
0.36700000000000005,NO
0.2754,NO
0.171,NO
0.5205,NO
0.1398,NO
0.3673,NO
0.1533,NO
0.2637,NO
0.2628,NO
0.2628,NO
0.3767,NO
0.3693,NO
0.8926,YES
0.3705,NO
0.7929999999999999,YES
0.1805,NO
0.2231,NO
0.982,YES
1.0,YES
1.0,YES
0.8593,YES
0.3708,NO
0.1537,NO
0.8170000000000001,YES
0.8778,NO
0.982,YES
0.8778,NO
0.4811,NO
0.5221,NO
0.5221,NO
0.1089,NO
1.0,YES
0.1477,NO
1.0,YES
0.4898,NO
0.982,YES
0.8778,NO
0.8778,NO
0.8778,NO
0.8778,NO
0.8593,YES
0.8778,NO
0.982,YES
0.1636,NO
0.3162,NO
0.6588,YES
0.3813,NO
0.6479,NO
0.9109,YES
0.1681,NO
0.153,NO
0.8237,YES
0.159,NO
1.0,YES
0.1456,NO
0.38799999999999996,NO
0.3363,NO
0.3363,NO
0.1775,NO
0.5126,NO
0.1654,NO
0.6479,NO
0.2557,NO
0.5126,NO
0.2571,NO
0.1764,NO
0.5872,NO
0.3738,NO
0.9109,YES
0.5796,NO
1.0,YES
0.2091,NO
0.2248,NO
1.0,YES
1.0,YES
1.0,YES
0.6847,YES
0.3191,NO
0.221,NO
0.5022,YES
0.3019,NO
1.0,YES
0.3283,NO
0.7871,NO
0.7871,NO
0.7871,NO
0.1067,NO
1.0,YES
0.221,NO
1.0,YES
0.4988,NO
1.0,YES
0.3405,NO
0.457,NO
0.3283,NO
0.3307,NO
0.7068,YES
0.4619,NO
1.0,YES
1.0,YES
0.345,YES
0.3634,NO
0.2183,NO
0.1913,NO
0.4057,NO
0.9109,YES
1.0,YES
0.3988,NO
0.2805,NO
0.3868,NO
0.4076,NO
0.6218,NO
0.6218,NO
0.6218,NO
0.345,YES
0.2369,NO
0.9606,YES
0.2369,NO
1.0,YES
0.1831,NO
0.2112,NO
0.4076,NO
0.1769,NO
0.4076,NO
0.4057,NO
