50Traced_NONETRACED_SUM_MULTI_VSM_1_MEDIAN,Associated
1.1551,NO
0.2753,NO
0.9612,NO
1.4316,NO
0.7269,NO
1.2575,NO
0.4049,NO
0.5305,NO
0.9886,NO
2.1594,YES
0.988,NO
1.8754,YES
0.7816,NO
0.9592,NO
0.3565,NO
0.5992,NO
0.4958,NO
0.5129,NO
0.7777,NO
0.7748,NO
1.074,NO
1.9105,YES
2.2848,YES
2.5629,YES
1.6556,YES
1.192,NO
1.3463,YES
0.7637,NO
1.6649,YES
0.7268,YES
0.7415,NO
0.8977,NO
0.7223,NO
0.8915,NO
1.3013,YES
0.6072,YES
0.8296,NO
0.2995,NO
0.764,NO
0.1942,NO
0.1797,NO
0.4097,NO
0.1551,NO
1.4802,YES
0.7559999999999999,NO
0.8019,YES
0.6222,NO
1.5617,YES
0.7186,NO
0.4184,NO
0.6534,NO
0.4637,NO
0.0993,NO
0.7313,NO
0.4536,NO
0.7056,NO
1.3361,NO
0.4136,NO
1.0976,NO
2.4067,NO
1.3349,NO
1.8141,NO
0.6869,NO
0.5062,NO
0.9642,NO
3.3635,YES
1.1167,NO
2.4897,YES
0.7271,NO
1.3905,NO
0.3201,NO
0.6195,NO
0.7985,NO
0.3886,NO
1.1157,NO
0.6875,NO
1.7832,NO
2.9011,YES
3.2832,YES
3.4647,YES
2.7095,YES
1.5926,NO
2.2319999999999998,YES
0.8204,NO
1.31,YES
0.605,YES
0.6872,NO
0.7666,NO
0.507,NO
0.7347,NO
0.9044,YES
0.6232,YES
0.7411,NO
0.4507,NO
0.6893,NO
0.3553,NO
0.2968,NO
0.4507,NO
0.2075,NO
0.9159999999999999,YES
0.6869,NO
0.7486,YES
0.5176,NO
0.9947,YES
0.4181,NO
0.3567,NO
0.6402,NO
0.6152,NO
0.3684,NO
0.4686,NO
0.2437,NO
0.7905,NO
1.1452,NO
0.499,NO
2.2466,YES
4.0208,YES
3.9251,YES
3.0015,YES
1.2394,NO
0.6536,NO
2.5021,YES
1.6719,NO
1.9507,YES
0.9025,NO
0.9081,NO
1.7544,NO
0.1934,NO
0.7426,NO
3.5004,YES
0.5577,NO
3.5218,YES
0.7673,NO
4.2246,YES
1.2086,NO
1.7673,NO
1.5616,NO
1.0354,NO
2.0558,YES
1.3273,NO
2.0962,YES
1.8382,NO
0.6926,NO
1.4796,NO
2.5728,NO
1.7063,NO
2.5488,NO
0.83,NO
0.7691,NO
1.7873,NO
3.3516,YES
1.5122,NO
2.6223,YES
1.2966,NO
1.6840000000000002,NO
0.5484,NO
0.8218,NO
1.1838,NO
0.657,NO
1.4686,NO
0.7735,NO
2.1367,NO
2.8542,YES
3.4336,YES
3.7642,YES
2.8049,YES
1.8524,NO
2.4308,YES
