50Traced_NONETRACED_MEDIAN_SINGLE_LSA_31_SUM,Associated
0.11202664796633943,NO
0.09712482468443198,NO
0.18338008415147267,NO
0.3622019635343619,NO
0.10045582047685836,NO
0.14165497896213186,NO
0.08607994389901824,NO
0.10185834502103788,NO
0.2789270687237027,NO
0.41567321178120625,YES
0.09081346423562413,NO
0.5753856942496495,YES
0.4083099579242637,NO
0.3739481065918654,NO
0.3725455820476859,NO
0.18302945301542778,NO
0.10659186535764376,NO
0.17724403927068724,NO
0.11377980364656384,NO
0.36483169705469853,NO
0.18390603085554,NO
0.11938990182328191,YES
0.12377279102384292,YES
0.27524544179523147,YES
0.4035764375876578,YES
0.2585904628330996,NO
0.10834502103786817,YES
0.19407433380084152,NO
0.17075736325385696,YES
0.41129032258064524,YES
0.5722300140252455,NO
0.2596423562412343,NO
0.18408134642356244,NO
0.17776998597475457,NO
0.6747896213183732,YES
0.1505960729312763,YES
0.22194950911640954,NO
0.1679523141654979,NO
0.1548036465638149,NO
0.1683029453015428,NO
0.29786115007012626,NO
0.25035063113604494,NO
0.2547335203366059,NO
0.4756311360448809,YES
0.11711079943899019,NO
0.18022440392706876,YES
0.04260168302945301,NO
0.5787166900420758,YES
0.05504908835904629,NO
0.19530154277699863,NO
0.1176367461430575,NO
0.19933380084151475,NO
0.12342215988779803,NO
0.3164446002805049,NO
0.17899719495091165,NO
0.15953716690042077,NO
0.13814866760168304,NO
0.25175315568022444,NO
0.21616409537166903,NO
0.4850981767180926,NO
0.24789621318373073,NO
0.2748948106591866,NO
0.239656381486676,NO
0.07205469845722301,NO
0.36623422159887803,NO
0.7847124824684433,YES
0.2638499298737728,NO
0.3360799438990183,YES
0.3422159887798037,NO
0.3629032258064516,NO
0.3572931276297336,NO
0.31924964936886396,NO
0.25157784011220197,NO
0.2051192145862553,NO
0.32415848527349234,NO
0.2904978962131837,NO
0.36886395511921466,NO
0.7733169705469848,YES
0.7282608695652176,YES
0.6232468443197757,YES
0.29330294530154283,YES
0.27366760168302945,NO
0.3206521739130435,YES
0.20213884992987377,NO
0.21125525946704068,YES
0.3008415147265078,YES
0.5711781206171109,NO
0.2741935483870968,NO
0.24701963534361854,NO
0.23544880785413747,NO
0.5850280504908838,YES
0.20073632538569425,YES
0.2862903225806452,NO
0.1497194950911641,NO
0.22194950911640954,NO
0.13832398316970548,NO
0.3841164095371669,NO
0.34887798036465645,NO
0.3465988779803647,NO
0.31995091164095374,YES
0.1453366058906031,NO
0.12675315568022444,YES
0.037342215988779806,NO
0.5229663394109398,YES
0.05399719495091164,NO
0.20213884992987377,NO
0.1423562412342216,NO
0.18969144460028053,NO
0.1674263674614306,NO
0.3686886395511922,NO
0.21967040673211782,NO
0.2156381486676017,NO
0.10974754558204772,NO
0.0255960729312763,NO
0.2538569424964937,YES
0.5859046283309959,YES
0.4977208976157083,YES
0.2510518934081347,YES
0.12762973352033663,NO
0.005610098176718096,NO
0.6064165497896215,YES
0.22738429172510524,NO
0.2333450210378682,YES
0.23579943899018235,NO
0.3623772791023843,NO
0.3218793828892006,NO
0.3306451612903226,NO
0.08309957924263675,NO
0.3892005610098177,YES
0.0802945301542777,NO
0.715287517531557,YES
0.2312412342215989,NO
0.4298737727910239,YES
0.10343618513323984,NO
0.101507713884993,NO
0.23509817671809258,NO
0.0694249649368864,NO
0.2834852734922862,YES
0.15883590462833103,NO
0.23650070126227213,YES
0.2535063113604489,NO
0.11115007012622721,NO
0.32906732117812065,NO
0.43548387096774194,NO
0.32941795231416554,NO
0.281030855539972,NO
0.27805049088359046,NO
0.19758064516129034,NO
0.23842917251051898,NO
0.6889901823281909,YES
0.2592917251051894,NO
0.4919354838709678,YES
0.3311711079943899,NO
0.2906732117812062,NO
0.2789270687237027,NO
0.07748948106591867,NO
0.24035764375876584,NO
0.07871669004207574,NO
0.17251051893408137,NO
0.336781206171108,NO
0.2095021037868163,NO
0.6660238429172511,YES
0.6160589060308557,YES
0.47212482468443207,YES
0.4901823281907434,YES
0.3730715287517532,NO
0.2901472650771389,YES
0.15445301542777,NO
0.15550490883590465,NO
0.11851332398316972,NO
0.17023141654978963,YES
0.6221949509116411,YES
0.4265427769985975,YES
0.21616409537166903,YES
0.1379733520336606,NO
0.08870967741935484,NO
0.3453716690042076,YES
0.438288920056101,NO
0.16865357643758766,YES
0.2386044880785414,NO
0.3776297335203367,NO
0.43355539971949514,NO
