50Traced_NONETRACED_MAX_RAW_LSA_66_MAX,Associated
0.1553,NO
0.0785,NO
0.1406,NO
0.2164,NO
0.1453,NO
0.1986,NO
0.1548,NO
0.1548,NO
0.1689,NO
1.0,YES
0.1423,NO
0.4096,YES
0.2427,NO
0.2231,NO
0.2223,NO
0.1548,NO
0.20600000000000002,NO
0.1544,NO
0.1701,NO
0.2179,NO
0.1147,NO
0.3196,YES
1.0,YES
1.0,YES
1.0,YES
0.1573,NO
0.4096,YES
0.1423,NO
0.4232,YES
0.3715,YES
0.3362,NO
0.1579,NO
0.1148,NO
0.1318,NO
1.0,YES
1.0,YES
0.1405,NO
0.1056,NO
0.0981,NO
0.1156,NO
0.1797,NO
0.1766,NO
0.1766,NO
1.0,YES
0.1088,NO
0.4181,YES
0.0341,NO
0.3399,YES
0.1088,NO
0.1212,NO
0.1156,NO
0.1235,NO
0.1156,NO
0.1903,NO
0.1156,NO
0.1194,NO
0.1495,NO
0.1534,NO
0.1505,NO
0.2865,NO
0.1512,NO
0.1666,NO
0.1465,NO
0.092,NO
0.2187,NO
0.5081,YES
0.2137,NO
1.0,YES
0.205,NO
0.2168,NO
0.2136,NO
0.1919,NO
0.2143,NO
0.1268,NO
0.2137,NO
0.1755,NO
0.2202,NO
1.0,YES
1.0,YES
0.5081,YES
1.0,YES
0.1659,NO
1.0,YES
0.2137,NO
0.188,YES
1.0,YES
0.3356,NO
0.1662,NO
0.1507,NO
0.1692,NO
0.35200000000000004,YES
0.188,YES
0.1731,NO
0.1387,NO
0.1692,NO
0.1387,NO
0.2289,NO
0.2094,NO
0.2094,NO
0.3834,YES
0.1268,NO
0.1414,YES
0.0995,NO
0.3081,YES
0.0836,NO
0.1387,NO
0.1355,NO
0.11800000000000001,NO
0.1355,NO
0.2201,NO
0.1387,NO
0.1692,NO
0.1468,NO
0.1267,NO
0.2378,YES
1.0,YES
1.0,YES
0.2985,YES
0.1548,NO
0.1508,NO
1.0,YES
0.1475,NO
1.0,YES
0.1443,NO
0.2165,NO
0.2003,NO
0.1934,NO
0.1508,NO
1.0,YES
0.0864,NO
1.0,YES
0.1417,NO
1.0,YES
0.0968,NO
0.2192,NO
0.1439,NO
0.1116,NO
0.2732,YES
0.2113,NO
1.0,YES
0.1694,NO
0.0732,NO
0.2286,NO
0.2653,NO
0.1977,NO
0.2963,NO
0.1987,NO
0.1926,NO
0.2252,NO
1.0,YES
0.2347,NO
1.0,YES
0.1987,NO
0.1844,NO
0.1844,NO
0.1926,NO
0.2067,NO
0.0805,NO
0.1118,NO
0.2019,NO
0.2067,NO
1.0,YES
1.0,YES
0.485,YES
1.0,YES
0.2254,NO
1.0,YES
0.2286,NO
0.1468,NO
0.11,NO
0.2378,YES
1.0,YES
0.3236,YES
0.2985,YES
0.1306,NO
0.071,NO
1.0,YES
0.2598,NO
1.0,YES
0.2548,NO
0.2252,NO
0.2571,NO
0.2375,NO
0.1453,NO
1.0,YES
0.141,NO
1.0,YES
0.142,NO
1.0,YES
0.2548,NO
0.2564,NO
0.2564,NO
0.2564,NO
0.2732,YES
0.2548,NO
1.0,YES
0.1809,NO
0.0785,NO
0.2381,NO
0.2061,NO
0.1547,NO
0.2963,NO
0.1987,NO
0.1809,NO
0.2395,NO
1.0,YES
0.2395,NO
1.0,YES
0.2519,NO
0.2418,NO
0.2418,NO
0.1809,NO
0.20600000000000002,NO
0.1544,NO
0.2395,NO
0.2256,NO
0.166,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2405,NO
1.0,YES
0.2395,NO
0.1553,NO
0.1339,NO
0.22399999999999998,NO
0.2338,NO
0.1436,NO
0.2963,NO
0.1987,NO
0.0967,NO
0.2252,NO
1.0,YES
0.2347,NO
1.0,YES
0.1331,NO
0.0735,NO
0.0647,NO
0.204,NO
0.20600000000000002,NO
0.1655,NO
0.31,NO
0.1309,NO
0.2819,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2254,NO
1.0,YES
0.2188,NO
0.1796,NO
0.0769,NO
0.2171,NO
0.2342,NO
0.2047,NO
0.2171,NO
0.1684,NO
0.1796,NO
0.1751,NO
0.3579,YES
0.2171,NO
0.4754,YES
0.2252,NO
0.2041,NO
0.2007,NO
0.1796,NO
0.1415,NO
0.0725,NO
0.1207,NO
0.1912,NO
0.14,NO
0.4754,YES
0.4754,YES
0.4373,YES
0.4754,YES
0.2206,NO
0.4754,YES
0.2171,NO
0.1495,NO
0.1542,NO
0.1277,NO
0.2886,NO
0.1576,NO
0.1277,NO
0.1348,NO
0.1348,NO
0.2085,NO
0.4397,YES
0.2085,NO
1.0,YES
0.2118,NO
0.2048,NO
0.2045,NO
0.1348,NO
0.2184,NO
0.0824,NO
0.2085,NO
0.1702,NO
0.2184,NO
1.0,YES
1.0,YES
0.3961,YES
1.0,YES
0.1375,NO
1.0,YES
0.2085,NO
0.1468,NO
0.1494,NO
1.0,YES
0.2996,YES
0.2628,YES
1.0,YES
0.2237,NO
0.1065,NO
1.0,YES
0.2938,NO
1.0,YES
0.2938,NO
0.2203,NO
0.2203,NO
0.2203,NO
0.0973,NO
0.2337,YES
0.0875,NO
1.0,YES
0.2129,NO
0.2157,YES
0.2938,NO
0.2192,NO
0.3025,NO
0.12,NO
0.3477,YES
0.2938,NO
1.0,YES
0.1799,NO
0.1547,NO
1.0,YES
0.2156,NO
0.1535,NO
1.0,YES
0.1955,NO
0.1097,NO
0.5448,YES
0.191,NO
0.47700000000000004,YES
0.1528,NO
0.3264,NO
0.3203,NO
0.2875,NO
0.171,NO
0.21899999999999997,NO
0.1398,NO
0.3673,NO
0.1451,NO
0.2637,NO
0.1991,NO
0.1784,NO
0.3767,NO
0.1917,NO
1.0,YES
0.3359,NO
1.0,YES
0.1768,NO
0.0364,NO
0.3189,YES
1.0,YES
1.0,YES
0.3189,YES
0.1548,NO
0.1768,NO
0.3605,YES
0.2328,NO
0.3605,YES
0.33,NO
0.2414,NO
0.2061,NO
0.2048,NO
0.1768,NO
1.0,YES
0.0864,NO
0.3695,YES
0.1768,NO
