50Traced_NONETRACED_MAX_MULTI_LSA_47_MAX,Associated
0.3496,NO
0.0652,NO
0.1516,NO
0.3822,NO
0.2813,NO
0.2524,NO
0.2831,NO
0.2574,NO
0.4753,NO
1.0,YES
0.4964,NO
1.0,YES
0.3104,NO
0.3824,NO
0.2223,NO
0.1944,NO
0.3984,NO
0.2574,NO
0.3844,NO
0.2179,NO
0.2418,NO
1.0,YES
0.6533,YES
1.0,YES
1.0,YES
0.4758,NO
1.0,YES
0.3251,NO
1.0,YES
0.2821,YES
0.3362,NO
0.2304,NO
0.2796,NO
0.2287,NO
1.0,YES
1.0,YES
0.2796,NO
0.2425,NO
0.2287,NO
0.2425,NO
0.2318,NO
0.2282,NO
0.1872,NO
0.6914,YES
0.1652,NO
1.0,YES
0.2165,NO
0.6914,YES
0.1652,NO
0.2425,NO
0.2104,NO
0.2425,NO
0.2425,NO
0.2287,NO
0.2425,NO
0.2796,NO
0.32,NO
0.1534,NO
0.2297,NO
0.5644,NO
0.2613,NO
0.4162,NO
0.3258,NO
0.1104,NO
0.3138,NO
0.9462,YES
0.2887,NO
1.0,YES
0.2522,NO
0.3511,NO
0.2136,NO
0.3282,NO
0.4327,NO
0.294,NO
0.3765,NO
0.294,NO
0.4378,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2575,NO
0.7613,YES
0.2297,NO
1.0,YES
0.2106,YES
0.3356,NO
0.228,NO
0.3559,NO
0.2306,NO
1.0,YES
1.0,YES
0.3559,NO
0.316,NO
0.2862,NO
0.316,NO
0.3157,NO
0.3144,NO
0.2386,NO
1.0,YES
0.2278,NO
1.0,YES
0.2148,NO
1.0,YES
0.1909,NO
0.316,NO
0.2456,NO
0.316,NO
0.316,NO
0.2862,NO
0.316,NO
0.3559,NO
0.3229,NO
0.0849,NO
0.4224,YES
0.7449,YES
0.6802,YES
0.3951,YES
0.2493,NO
0.2493,NO
0.6191,YES
0.2975,NO
0.4224,YES
0.254,NO
0.2165,NO
0.218,NO
0.1934,NO
0.2011,NO
0.7797,YES
0.2493,NO
1.0,YES
0.2011,NO
0.7797,YES
0.254,NO
0.1643,NO
0.3006,NO
0.254,NO
0.4224,YES
0.254,NO
0.6191,YES
0.3496,NO
0.0732,NO
0.4052,NO
0.5644,NO
0.4528,NO
0.4162,NO
0.3258,NO
0.2866,NO
0.4753,NO
1.0,YES
0.4964,NO
1.0,YES
0.3104,NO
0.3824,NO
0.1926,NO
0.3282,NO
0.4327,NO
0.2866,NO
0.3844,NO
0.2866,NO
0.4378,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4758,NO
1.0,YES
0.4528,NO
0.1741,NO
0.0774,NO
0.2644,YES
0.4836,YES
0.5253,YES
0.3353,YES
0.174,NO
0.174,NO
0.5253,YES
0.2598,NO
0.2359,YES
0.1459,NO
0.2552,NO
0.2571,NO
0.2375,NO
0.1453,NO
0.6115,YES
0.174,NO
0.6115,YES
0.1597,NO
0.6115,YES
0.2049,NO
0.2206,NO
0.2551,NO
0.1032,NO
0.3057,YES
0.1116,NO
0.5253,YES
0.32,NO
0.0745,NO
0.4218,NO
0.5644,NO
0.1985,NO
0.4162,NO
0.3258,NO
0.3096,NO
0.4218,NO
0.9462,YES
0.4218,NO
1.0,YES
0.3323,NO
0.3511,NO
0.2685,NO
0.3282,NO
0.4327,NO
0.3096,NO
0.3529,NO
0.3096,NO
0.4378,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4218,NO
0.7607,YES
0.3877,NO
0.3496,NO
0.1339,NO
0.3263,NO
0.5644,NO
0.3237,NO
0.4162,NO
0.3258,NO
0.1104,NO
0.4753,NO
1.0,YES
0.4964,NO
1.0,YES
0.3104,NO
0.3824,NO
0.1078,NO
0.3282,NO
0.4327,NO
0.188,NO
0.4156,NO
0.1309,NO
0.4378,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4758,NO
1.0,YES
0.3251,NO
0.32,NO
0.0994,NO
0.3821,NO
0.5644,NO
0.2287,NO
0.4162,NO
0.3258,NO
0.307,NO
0.3821,NO
1.0,YES
0.3821,NO
1.0,YES
0.2912,NO
0.3673,NO
0.22699999999999998,NO
0.3282,NO
0.4327,NO
0.307,NO
0.3529,NO
0.307,NO
0.4378,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3821,NO
1.0,YES
0.2964,NO
0.3496,NO
0.1045,NO
0.2031,NO
0.5644,NO
0.2813,NO
0.4162,NO
0.3258,NO
0.1712,NO
0.4753,NO
0.9462,YES
0.4964,NO
1.0,YES
0.3104,NO
0.3824,NO
0.2045,NO
0.3282,NO
0.4327,NO
0.2562,NO
0.3844,NO
0.2562,NO
0.4378,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4758,NO
1.0,YES
0.3251,NO
0.3618,NO
0.1531,NO
1.0,YES
0.6407,YES
1.0,YES
1.0,YES
0.4093,NO
0.2734,NO
1.0,YES
0.2509,NO
1.0,YES
0.5358,NO
0.3031,NO
0.474,NO
0.2417,NO
0.1747,NO
0.4942,YES
0.2734,NO
0.6036,YES
0.304,NO
0.4542,YES
0.5358,NO
0.3467,NO
0.6069,NO
0.5358,NO
1.0,YES
0.5358,NO
1.0,YES
0.2333,NO
0.1547,NO
0.7318,YES
0.2918,NO
0.4032,NO
0.9027,YES
0.264,NO
0.1097,NO
0.8170000000000001,YES
0.2325,NO
0.9027,YES
0.4965,NO
0.3264,NO
0.3203,NO
0.2648,NO
0.171,NO
0.3623,NO
0.1398,NO
0.3915,NO
0.1451,NO
0.2918,NO
0.4965,NO
0.3213,NO
0.4303,NO
0.4965,NO
0.9027,YES
0.4965,NO
0.7318,YES
0.3229,NO
0.1089,NO
0.6149,YES
0.7909,YES
0.6940000000000001,YES
0.583,YES
0.3014,NO
0.3014,NO
0.6693,YES
0.5755,NO
0.583,YES
0.6231,NO
0.3581,NO
0.3525,NO
0.2893,NO
0.3014,NO
1.0,YES
0.3014,NO
1.0,YES
0.3014,NO
1.0,YES
0.6231,NO
0.6083,NO
0.6083,NO
0.6231,NO
0.586,YES
0.6231,NO
0.6693,YES
0.2798,NO
0.1646,NO
0.7795,YES
0.2238,NO
0.1649,NO
0.6838,YES
0.3016,NO
0.153,NO
0.784,YES
0.2424,NO
0.6838,YES
0.5177,NO
0.2244,NO
0.3191,NO
0.1803,NO
0.1775,NO
0.2106,NO
0.1654,NO
0.516,NO
0.0929,NO
0.2663,NO
0.5177,NO
0.335,NO
0.4264,NO
0.5177,NO
0.6838,YES
0.5177,NO
0.7795,YES
0.3229,NO
0.1089,NO
0.5033,YES
0.7909,YES
1.0,YES
0.6382,YES
0.1186,NO
0.1327,NO
1.0,YES
0.3816,NO
0.4491,YES
0.1702,NO
0.3031,NO
0.3522,NO
0.1863,NO
0.0882,NO
1.0,YES
