50Traced_NONETRACED_MAX_MULTI_VSM_13_MAX,Associated
0.32,NO
0.1493,NO
0.2323,NO
0.4329,NO
0.3069,NO
0.2524,NO
0.2831,NO
0.1334,NO
0.4753,NO
1.0,YES
0.2323,NO
0.5949,YES
0.3353,NO
0.3824,NO
0.2223,NO
0.3282,NO
0.4327,NO
0.1819,NO
0.3529,NO
0.2179,NO
0.2418,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4758,NO
1.0,YES
0.2458,NO
1.0,YES
1.0,YES
0.3362,NO
0.1791,NO
0.2796,NO
0.2796,NO
0.5234,YES
0.6779999999999999,YES
0.2796,NO
0.1939,NO
0.2796,NO
0.1443,NO
0.2584,NO
0.23600000000000002,NO
0.1953,NO
0.5717,YES
0.1382,NO
1.0,YES
0.1687,NO
0.5838,YES
0.127,NO
0.2425,NO
0.1585,NO
0.1939,NO
0.2425,NO
0.3034,NO
0.2425,NO
0.2069,NO
0.3088,NO
0.294,NO
0.3753,NO
0.5644,NO
0.3765,NO
0.3753,NO
0.3258,NO
0.1187,NO
0.4753,NO
1.0,YES
0.3753,NO
0.4529,YES
0.205,NO
0.3824,NO
0.2136,NO
0.3167,NO
0.4175,NO
0.294,NO
0.3405,NO
0.1755,NO
0.3765,NO
0.83,YES
1.0,YES
1.0,YES
1.0,YES
0.4758,NO
1.0,YES
0.2372,NO
0.3239,YES
1.0,YES
0.3356,NO
0.2576,NO
0.2013,NO
0.2528,NO
0.7571,YES
0.2375,YES
0.2344,NO
0.2193,NO
0.2528,NO
0.188,NO
0.2289,NO
0.3413,NO
0.2075,NO
0.8269,YES
0.2013,NO
1.0,YES
0.2013,NO
0.504,YES
0.2013,NO
0.316,NO
0.2065,NO
0.1522,NO
0.316,NO
0.2862,NO
0.316,NO
0.2455,NO
0.2556,NO
0.0513,NO
0.6191,YES
1.0,YES
1.0,YES
0.6191,YES
0.213,NO
0.0821,NO
0.6191,YES
0.254,NO
0.6191,YES
0.1443,NO
0.2917,NO
0.2633,NO
0.2204,NO
0.1349,NO
0.7917,YES
0.0953,NO
1.0,YES
0.1417,NO
0.7917,YES
0.2147,NO
0.1787,NO
0.3006,NO
0.254,NO
0.6191,YES
0.254,NO
0.3701,YES
0.3331,NO
0.3331,NO
0.2168,NO
0.5352,NO
0.3613,NO
0.2566,NO
0.3089,NO
0.2258,NO
0.2962,NO
1.0,YES
0.2137,NO
0.5465,YES
0.2062,NO
0.3511,NO
0.1689,NO
0.3282,NO
0.4327,NO
0.3331,NO
0.3529,NO
0.2019,NO
0.3613,NO
0.9187,YES
1.0,YES
1.0,YES
1.0,YES
0.314,NO
1.0,YES
0.2458,NO
0.2522,NO
0.1676,NO
0.5253,YES
1.0,YES
1.0,YES
0.5253,YES
0.1807,NO
0.0856,NO
0.5253,YES
0.433,NO
0.5253,YES
0.1614,NO
0.3335,NO
0.3335,NO
0.2375,NO
0.1453,NO
0.594,YES
0.1676,NO
1.0,YES
0.142,NO
1.0,YES
0.3798,NO
0.4576,NO
0.2959,NO
0.2183,NO
0.5253,YES
0.2509,NO
0.2294,YES
0.3096,NO
0.2988,NO
0.42700000000000005,NO
0.5644,NO
0.42700000000000005,NO
0.42700000000000005,NO
0.3258,NO
0.2271,NO
0.4753,NO
1.0,YES
0.42700000000000005,NO
0.5949,YES
0.4316,NO
0.4316,NO
0.2685,NO
0.3096,NO
0.36,NO
0.3096,NO
0.2577,NO
0.2256,NO
0.3078,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4758,NO
1.0,YES
0.3877,NO
0.32,NO
0.1493,NO
0.2696,NO
0.5644,NO
0.31,NO
0.3855,NO
0.3258,NO
0.1187,NO
0.4753,NO
1.0,YES
0.2696,NO
0.5949,YES
0.2244,NO
0.3824,NO
0.0793,NO
0.3282,NO
0.4327,NO
0.1655,NO
0.3529,NO
0.1309,NO
0.3078,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4758,NO
1.0,YES
0.2458,NO
0.307,NO
0.0951,NO
0.4809,NO
0.5644,NO
0.4809,NO
0.4809,NO
0.3258,NO
0.2252,NO
0.4809,NO
1.0,YES
0.4809,NO
0.5949,YES
0.2912,NO
0.3824,NO
0.2201,NO
0.307,NO
0.36,NO
0.307,NO
0.2902,NO
0.1912,NO
0.3827,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4809,NO
1.0,YES
0.2964,NO
0.32,NO
0.1493,NO
0.2287,NO
0.5644,NO
0.3847,NO
0.2707,NO
0.3258,NO
0.1104,NO
0.2254,NO
