50Traced_NONETRACED_SUM_RAW_LSA_37_MAX,Associated
0.2506,NO
0.3514,NO
0.2722,NO
0.5547,NO
0.2206,NO
0.271,NO
0.5039,NO
0.2306,NO
0.495,NO
1.1983,YES
0.1761,NO
1.3935,YES
0.3149,NO
0.2426,NO
0.2223,NO
0.4101,NO
0.4081,NO
0.4274,NO
0.4054,NO
0.3355,NO
0.3885,NO
1.1997,YES
1.4862,YES
0.5885,YES
1.4341,YES
0.2826,NO
0.3679,YES
0.2588,NO
1.391,YES
2.1965,YES
0.3828,NO
0.606,NO
0.2212,NO
0.2959,NO
2.2241,YES
1.392,YES
0.1701,NO
0.267,NO
0.1694,NO
0.2288,NO
0.5228,NO
0.4497,NO
0.3058,NO
1.3436,YES
0.1893,NO
1.6136,YES
0.2543,NO
2.0856,YES
0.4969,NO
0.3029,NO
0.4256,NO
0.147,NO
0.3497,NO
0.2522,NO
0.1852,NO
0.3468,NO
0.3291,NO
0.1534,NO
0.7354,NO
0.965,NO
0.1771,NO
0.7017,NO
0.3557,NO
0.0509,NO
0.6802,NO
1.2903,YES
0.3455,NO
2.1147,YES
0.2671,NO
0.33299999999999996,NO
0.2136,NO
0.2064,NO
0.496,NO
0.1938,NO
0.8077,NO
0.1755,NO
0.4378,NO
1.1919,YES
2.2968,YES
1.3159999999999998,YES
2.1022,YES
0.3761,NO
0.7733,YES
0.4994,NO
1.4171,YES
2.2222,YES
0.7936,NO
0.4451,NO
0.1606,NO
0.5315,NO
2.2432,YES
1.4227,YES
0.6984,NO
0.1109,NO
0.4982,NO
0.0887,NO
0.6063,NO
0.5657,NO
0.3511,NO
1.3676,YES
0.1664,NO
1.6622,YES
0.0999,NO
2.1039,YES
0.2462,NO
0.1479,NO
0.1752,NO
0.162,NO
0.1558,NO
0.2694,NO
0.1796,NO
0.6999,NO
0.4606,NO
0.2135,NO
1.0401,YES
1.1951,YES
0.5273,YES
0.7917,YES
0.3231,NO
0.1552,NO
0.9594,YES
0.251,NO
0.8094,YES
0.2281,NO
0.2889,NO
0.278,NO
0.1934,NO
0.1083,NO
0.8462,YES
0.1244,NO
1.3723,YES
0.2249,NO
1.3958,YES
0.2232,NO
0.3284,NO
0.2871,NO
0.2737,NO
0.8107,YES
0.2504,NO
0.9705,YES
0.3288,NO
0.1162,NO
0.3916,NO
0.7041,NO
0.2029,NO
0.7497,NO
0.5145,NO
0.1225,NO
0.6988,NO
1.8378,YES
0.4476,NO
3.1169,YES
0.4622,NO
0.6039,NO
0.2824,NO
0.2351,NO
0.5312,NO
