50Traced_NONETRACED_MAX_RAW_VSM_93_MEDIAN,Associated
0.1686,NO
0.0652,NO
0.2688,NO
0.2164,NO
0.1423,NO
0.2963,NO
0.1987,NO
0.1171,NO
0.1689,NO
1.0,YES
0.1423,NO
1.0,YES
0.2427,NO
0.2231,NO
0.2223,NO
0.1142,NO
0.1906,NO
0.1109,NO
0.1423,NO
0.2179,NO
0.1498,NO
1.0,YES
0.4613,YES
1.0,YES
0.4096,YES
0.2254,NO
0.4096,YES
0.1576,NO
0.4428,YES
0.2444,YES
0.3362,NO
0.1579,NO
0.1148,NO
0.1194,NO
1.0,YES
1.0,YES
0.1405,NO
0.1156,NO
0.1405,NO
0.1156,NO
0.1835,NO
0.1528,NO
0.1835,NO
0.2811,YES
0.1344,NO
0.4035,YES
0.0395,NO
0.3715,YES
0.0412,NO
0.1231,NO
0.1218,NO
0.1235,NO
0.0802,NO
0.1903,NO
0.1119,NO
0.1778,NO
0.1686,NO
0.1534,NO
0.2688,NO
0.2865,NO
0.2143,NO
0.2963,NO
0.1987,NO
0.1731,NO
0.2187,NO
1.0,YES
0.1603,NO
1.0,YES
0.205,NO
0.2168,NO
0.2136,NO
0.1919,NO
0.1906,NO
0.1731,NO
0.1947,NO
0.1755,NO
0.2202,NO
1.0,YES
0.4613,YES
1.0,YES
1.0,YES
0.2254,NO
1.0,YES
0.1576,NO
0.4428,YES
0.1814,YES
0.3356,NO
0.1662,NO
0.1507,NO
0.1525,NO
1.0,YES
1.0,YES
0.1731,NO
0.1841,NO
0.1364,NO
0.1841,NO
0.2289,NO
0.2088,NO
0.2075,NO
0.1923,YES
0.0995,NO
0.4035,YES
0.0351,NO
0.3081,YES
0.0406,NO
0.1841,NO
0.1841,NO
0.1355,NO
0.1841,NO
0.2201,NO
0.1841,NO
0.1692,NO
0.1508,NO
0.1508,NO
1.0,YES
1.0,YES
1.0,YES
0.2985,YES
0.1661,NO
0.1267,NO
1.0,YES
0.183,NO
1.0,YES
0.1443,NO
0.2165,NO
0.1934,NO
0.1934,NO
0.0572,NO
0.4216,YES
0.1267,NO
1.0,YES
0.1508,NO
1.0,YES
0.1629,NO
0.1335,NO
0.1488,NO
0.1335,NO
1.0,YES
0.2113,NO
1.0,YES
0.1686,NO
0.0732,NO
0.2688,NO
0.2582,NO
0.1977,NO
0.2963,NO
0.1987,NO
0.1225,NO
0.1525,NO
0.4997,YES
0.1577,NO
0.4997,YES
0.1987,NO
0.1834,NO
0.1813,NO
0.159,NO
0.1906,NO
0.1544,NO
0.1701,NO
0.2019,NO
0.2083,NO
1.0,YES
0.485,YES
1.0,YES
1.0,YES
0.2254,NO
1.0,YES
0.1576,NO
0.1566,NO
0.0774,NO
0.2886,YES
0.3647,YES
0.3316,YES
0.1429,YES
0.0885,NO
0.0846,NO
0.2886,YES
0.2598,NO
0.2886,YES
0.2293,NO
0.2252,NO
0.2571,NO
0.2375,NO
0.1453,NO
1.0,YES
0.141,NO
1.0,YES
0.142,NO
1.0,YES
0.2293,NO
0.2293,NO
0.2564,NO
0.2564,NO
0.2886,YES
0.2564,NO
0.2886,YES
0.1415,NO
0.0745,NO
0.2381,NO
0.19,NO
0.1547,NO
0.1997,NO
0.1653,NO
0.1669,NO
0.1999,NO
1.0,YES
0.2045,NO
1.0,YES
0.2519,NO
0.2036,NO
0.2418,NO
0.064,NO
0.1733,NO
0.1669,NO
0.1113,NO
0.2256,NO
0.1498,NO
1.0,YES
0.4613,YES
1.0,YES
0.4061,YES
0.2405,NO
0.4061,YES
0.1635,NO
0.1553,NO
0.1339,NO
0.22399999999999998,NO
0.2061,NO
0.1879,NO
0.2133,NO
0.1339,NO
0.0967,NO
0.2198,NO
0.3905,YES
0.2344,NO
0.3905,YES
0.1331,NO
0.1693,NO
0.0647,NO
0.204,NO
0.1327,NO
0.1655,NO
0.31,NO
0.1309,NO
0.2819,NO
0.4042,YES
0.4206,YES
1.0,YES
1.0,YES
0.193,NO
1.0,YES
0.1892,NO
0.1686,NO
0.0769,NO
0.2688,NO
0.2664,NO
0.2664,NO
0.2963,NO
0.1987,NO
0.1204,NO
0.2664,NO
0.4754,YES
0.2664,NO
0.4754,YES
0.2252,NO
0.2041,NO
0.2007,NO
0.159,NO
0.1906,NO
0.1544,NO
0.2664,NO
0.1912,NO
0.2664,NO
1.0,YES
0.4373,YES
1.0,YES
1.0,YES
0.2664,NO
1.0,YES
0.2664,NO
0.1348,NO
0.1348,NO
0.2085,NO
0.2886,NO
0.2085,NO
0.0855,NO
0.1579,NO
0.1542,NO
0.2085,NO
1.0,YES
0.2085,NO
1.0,YES
0.2118,NO
0.2048,NO
0.2045,NO
0.0849,NO
0.1733,NO
0.1542,NO
0.2085,NO
0.1702,NO
0.2085,NO
1.0,YES
0.4613,YES
1.0,YES
0.3961,YES
0.2085,NO
0.3961,YES
0.2085,NO
0.17,NO
0.1628,NO
1.0,YES
0.27899999999999997,YES
0.27899999999999997,YES
1.0,YES
0.2237,NO
0.153,NO
1.0,YES
0.1253,NO
0.3653,YES
0.1253,NO
0.2203,NO
0.2118,NO
0.2203,NO
0.0941,NO
0.1935,YES
0.0875,NO
0.27899999999999997,YES
0.2129,NO
0.27899999999999997,YES
0.2938,NO
0.1709,NO
0.3025,NO
0.1253,NO
1.0,YES
0.2516,NO
1.0,YES
0.1799,NO
0.1547,NO
1.0,YES
0.2276,NO
0.2276,NO
1.0,YES
0.1955,NO
0.1097,NO
1.0,YES
0.191,NO
0.4381,YES
0.1528,NO
0.3264,NO
0.3203,NO
0.2875,NO
0.171,NO
0.21899999999999997,NO
0.1398,NO
0.3673,NO
0.1451,NO
0.2637,NO
0.1991,NO
0.1784,NO
0.3767,NO
0.1917,NO
1.0,YES
0.3359,NO
1.0,YES
0.1566,NO
0.1533,NO
0.3605,YES
1.0,YES
1.0,YES
0.2213,YES
0.1233,NO
