50Traced_NONETRACED_SUM_SINGLE_VSM_9_MEDIAN,Associated
0.4726,NO
0.8157,NO
1.3435,NO
0.8059999999999999,NO
0.9898,NO
1.1691,NO
0.6273,NO
0.4918,NO
0.6123,NO
3.4162,YES
0.9079,NO
2.7597,YES
0.7926,NO
0.6606,NO
0.7109,NO
0.4317,NO
1.5918,NO
0.7244,NO
1.3401,NO
1.1583,NO
1.094,NO
3.4349,YES
2.5423,YES
2.8028,YES
2.4326,YES
1.0452,NO
2.4031,YES
1.1099,NO
2.3505,YES
1.3018,YES
0.684,NO
0.9223,NO
0.6523,NO
0.5602,NO
2.404,YES
2.069,YES
0.5114,NO
0.248,NO
0.7178,NO
0.2565,NO
0.5781,NO
0.6692,NO
0.7139,NO
1.5556,YES
1.2245,NO
3.0259,YES
0.775,NO
3.2835,YES
0.6835,NO
0.4278,NO
0.414,NO
0.3533,NO
0.4318,NO
0.7747,NO
0.3887,NO
0.5776,NO
0.275,NO
0.5231,NO
0.6804,NO
1.2831,NO
0.9738,NO
0.7340000000000001,NO
0.3882,NO
0.2745,NO
0.627,NO
3.4519,YES
0.7955,NO
2.5976,YES
0.3687,NO
0.2573,NO
0.4277,NO
0.1919,NO
1.9083,NO
0.28,NO
1.3646,NO
0.5522,NO
1.4078,NO
3.4837,YES
2.9324,YES
2.8557,YES
2.8391,YES
0.6698,NO
2.0239,YES
0.5809,NO
2.677,YES
1.624,YES
2.3982,NO
1.3885,NO
1.439,NO
2.1159,NO
2.5164,YES
2.2618,YES
1.7949,NO
0.7124,NO
2.1208,NO
0.6207,NO
1.9377,NO
1.659,NO
1.6780000000000002,NO
1.6896,YES
2.148,NO
3.1074,YES
1.6112,NO
4.0969999999999995,YES
1.4103,NO
0.7623,NO
0.5431,NO
0.5981,NO
0.6428,NO
2.3939,NO
0.9927,NO
2.2919,NO
0.8109999999999999,NO
0.4097,NO
1.8896,YES
3.701,YES
4.3179,YES
2.0035,YES
0.4933,NO
0.389,NO
1.9699,YES
0.2586,NO
2.6712,YES
0.3581,NO
1.2606,NO
0.857,NO
0.9862,NO
0.16699999999999998,NO
5.2866,YES
0.4244,NO
4.3669,YES
1.276,NO
4.3556,YES
0.077,NO
0.439,NO
0.2598,NO
0.4335,NO
2.0848,YES
0.6006,NO
2.0334,YES
0.5561,NO
0.8347,NO
1.2494,NO
1.2254,NO
0.8048,NO
1.3421,NO
0.6422,NO
0.5368,NO
0.8352,NO
3.3333,YES
1.2872,NO
2.6626,YES
0.9849,NO
0.804,NO
0.995,NO
0.4551,NO
1.7811,NO
0.7323,NO
1.3503,NO
1.2921,NO
1.1458,NO
3.4906,YES
2.6548,YES
2.8435,YES
2.82,YES
1.3432,NO
2.1487,YES
1.2852,NO
0.6925,NO
0.6227,NO
1.8895,YES
3.5195,YES
4.1081,YES
1.7573,YES
0.4944,NO
0.4332,NO
1.7403,YES
1.7097,NO
2.4312,YES
1.5219,NO
0.8818,NO
0.7381,NO
0.8671,NO
0.287,NO
5.1696,YES
0.5536,NO
4.2705,YES
1.2825,NO
4.1304,YES
1.625,NO
1.5186,NO
1.3598,NO
1.2725,NO
1.6739,YES
1.5118,NO
1.4825,YES
0.871,NO
0.618,NO
2.1184,NO
1.6785,NO
1.1511,NO
1.8893,NO
0.6787,NO
0.9003,NO
1.0896,NO
3.3663,YES
1.663,NO
2.8287,YES
1.5855,NO
1.0995,NO
1.244,NO
0.3274,NO
2.0976,NO
0.8341,NO
1.5521,NO
1.7146,NO
1.3311,NO
3.3324,YES
2.5137,YES
2.8156,YES
2.7212,YES
1.9607,NO
2.0769,YES
1.8245,NO
0.1927,NO
0.7521,NO
1.6944,NO
1.4969999999999999,NO
1.3159999999999998,NO
1.7006,NO
0.4512,NO
0.3677,NO
1.3315,NO
3.5982,YES
1.4681,NO
2.6635,YES
0.7033,NO
0.2667,NO
0.4414,NO
0.4059,NO
2.4983,NO
0.4515,NO
1.7844,NO
0.748,NO
1.3848,NO
3.7295,YES
2.9036,YES
3.2039,YES
2.6692,YES
1.5824,NO
2.6048,YES
1.3148,NO
0.4868,NO
0.8590000000000001,NO
1.4738,NO
1.3587,NO
1.0019,NO
1.3034,NO
0.6178,NO
0.5109,NO
0.6484,NO
4.0355,YES
1.1774,NO
3.2337,YES
1.1176,NO
0.8634,NO
1.0321,NO
0.3542,NO
2.0473,NO
0.6042,NO
1.4911,NO
1.1725,NO
1.2132,NO
4.1021,YES
3.2244,YES
3.5242,YES
3.0772,YES
1.3023,NO
2.7603,YES
1.1885,NO
0.3243,NO
0.6386,NO
0.8652,NO
1.3622,NO
0.9940000000000001,NO
0.8758,NO
0.5921,NO
0.4316,NO
0.3687,NO
3.7566,YES
0.5425,NO
3.0022,YES
0.4178,NO
0.2981,NO
0.4476,NO
0.3684,NO
1.9404,NO
