50Traced_NONETRACED_SUM_MULTI_LSA_76_MEDIAN,Associated
0.8485,NO
0.4247,NO
0.7841,NO
1.0893,NO
0.8555,NO
1.4841,NO
1.0698,NO
0.7008,NO
1.1089,NO
2.5961,YES
0.4864,NO
2.1663,YES
0.6204,NO
1.0587,NO
0.6807,NO
0.7893,NO
0.9253,NO
0.8614,NO
1.6234,NO
0.5556,NO
1.2845,NO
1.6974,YES
2.4557,YES
1.9253,YES
1.933,YES
1.3141,NO
1.7987,YES
0.5086,NO
1.1491,YES
0.7752,YES
0.713,NO
0.7324,NO
0.3711,NO
0.7351,NO
1.7033,YES
1.6379,YES
0.779,NO
0.7205,NO
0.6437,NO
0.5841,NO
0.3973,NO
0.7704,NO
0.4175,NO
1.0998,YES
0.5929,NO
1.7109,YES
0.6924,NO
1.4902,YES
0.7034,NO
0.4596,NO
0.7379,NO
0.7371,NO
0.3842,NO
0.9856,NO
0.8439,NO
0.5739,NO
0.6181,NO
0.3472,NO
1.3114,NO
1.0421,NO
0.8512,NO
2.0239,NO
1.5784,NO
0.6402,NO
1.3713,NO
3.9297,YES
0.9711,NO
2.8213,YES
0.3799,NO
0.9879,NO
0.3033,NO
0.9167,NO
0.5101,NO
0.9063,NO
1.6295,NO
0.4978,NO
1.1057,NO
3.1057,YES
3.9258,YES
2.928,YES
2.8461,YES
1.4139,NO
2.4318,YES
1.0513,NO
1.7211,YES
0.8275,YES
0.7803,NO
0.7145,NO
0.547,NO
0.7359,NO
2.3909,YES
2.3891,YES
1.0578,NO
0.5606,NO
0.9107,NO
0.3971,NO
0.3365,NO
1.0786,NO
0.2697,NO
1.367,YES
0.6578,NO
2.4725,YES
0.7675,NO
1.9044,YES
1.1343,NO
0.4635,NO
0.4471,NO
0.6335,NO
0.4057,NO
1.1467,NO
0.8959999999999999,NO
1.1276,NO
1.6369999999999998,NO
0.3726,NO
2.4937,YES
4.0307,YES
3.7392,YES
2.9934,YES
1.5028,NO
0.4809,NO
3.7416,YES
1.4399,NO
2.4978,YES
0.7020000000000001,NO
0.8370000000000001,NO
1.1767,NO
0.7897,NO
0.7325,NO
3.8826,YES
0.6824,NO
4.4510000000000005,YES
0.6799,NO
4.7342,YES
0.8683,NO
1.7408,NO
0.9817,NO
0.6571,NO
2.5917,YES
1.8709,NO
2.838,YES
1.3937,NO
0.6549,NO
1.5966,NO
1.1233,NO
0.9893,NO
2.4618,NO
2.0097,NO
1.24,NO
1.985,NO
4.0569,YES
1.4563,NO
2.8824,YES
0.4905,NO
1.1364,NO
0.3941,NO
1.1284,NO
0.9737,NO
1.5197,NO
1.9347,NO
0.9684,NO
1.4893,NO
3.2578,YES
4.1084,YES
2.948,YES
2.8986,YES
2.0325,NO
2.8335,YES
1.7111,NO
1.2151,NO
0.2694,NO
1.5024,YES
3.3196,YES
3.1211,YES
1.3746,YES
1.4643,NO
0.5596,NO
2.1485,YES
1.2812,NO
1.3659,YES
0.7065,NO
0.7066,NO
0.9294,NO
0.4378,NO
0.8065,NO
3.2942,YES
0.6547,NO
3.5406,YES
0.6139,NO
4.013,YES
0.5746,NO
1.6491,NO
0.4582,NO
0.518,NO
1.5859999999999999,YES
1.1417,NO
1.5692,YES
1.1065,NO
0.5555,NO
1.525,NO
0.6856,NO
0.6935,NO
2.306,NO
1.314,NO
0.8759999999999999,NO
1.8539,NO
3.3629,YES
1.4734,NO
2.4528,YES
0.5908,NO
1.0788,NO
0.5868,NO
0.6164,NO
0.5129,NO
1.0247,NO
1.6054,NO
0.6990000000000001,NO
0.9042,NO
2.4618,YES
3.1908,YES
2.8006,YES
2.6361,YES
1.9889,NO
2.4335,YES
1.4947,NO
0.6495,NO
0.371,NO
1.4895,NO
0.7608,NO
0.6349,NO
2.2924,NO
1.4546,NO
0.6157,NO
1.699,NO
3.7343,YES
1.3952,NO
2.6014,YES
0.2115,NO
0.6237,NO
0.1474,NO
0.7059,NO
0.2955,NO
0.8475,NO
1.5659,NO
0.5535,NO
0.6402,NO
3.0454,YES
3.8581,YES
2.8926,YES
2.6068,YES
1.7193,NO
2.4726,YES
1.4284,NO
0.5803,NO
0.3112,NO
1.6042,NO
1.1707,NO
1.1705,NO
2.2931,NO
1.0803,NO
0.3341,NO
1.9815,NO
3.1607,YES
1.4087,NO
2.0948,YES
0.2252,NO
0.5288,NO
0.2007,NO
0.5146,NO
1.0312,NO
0.4375,NO
2.0622,NO
0.4089,NO
1.3841,NO
2.4906,YES
3.2919,YES
2.4023,YES
2.3352,YES
1.751,NO
2.2077,YES
1.6671,NO
0.5401,NO
0.2973,NO
0.8352,NO
0.8174,NO
0.7606,NO
1.4245,NO
0.9685,NO
0.4373,NO
1.0198,NO
3.4275,YES
0.6893,NO
2.4188,YES
0.2118,NO
0.5644,NO
0.2045,NO
0.5493,NO
0.3612,NO
0.6324,NO
1.4689,NO
0.2278,NO
0.9434,NO
2.6826,YES
3.2999,YES
2.3645,YES
2.5818,YES
0.9642,NO
2.0198,YES
0.6974,NO
1.6976,NO
0.6276,NO
4.2783,YES
2.0122,YES
1.7288,YES
5.7164,YES
1.9915,NO
0.5168,NO
5.8886,YES
1.6025,NO
5.204,YES
1.0318,NO
1.5416,NO
2.2391,NO
1.1504,NO
0.7843,NO
1.8693,YES
1.1336,NO
2.8178,YES
1.061,NO
2.938,YES
1.7098,NO
2.3281,NO
2.8601,NO
0.7308,NO
5.3441,YES
3.6510000000000002,NO
6.1823,YES
0.5122,NO
0.5662,NO
2.1268,YES
1.0932,NO
0.8448,NO
3.4032,YES
0.905,NO
0.2591,NO
3.6568,YES
1.3006,NO
3.0356,YES
0.9084,NO
0.3908,NO
0.7744,NO
0.3131,NO
0.2114,NO
0.792,NO
0.4713,NO
1.9784,NO
0.3775,NO
1.1992,NO
1.2849,NO
1.4909999999999999,NO
2.3543,NO
0.9081,NO
3.1244,YES
2.4579,NO
3.1626,YES
1.5232,NO
0.3992,NO
2.3297,YES
3.5231,YES
3.5191,YES
2.5173,YES
1.5276,NO
0.6477,NO
3.2066,YES
2.1816,NO
2.0428,YES
1.0817,NO
