50Traced_NONETRACED_SUM_SINGLE_VSM_7_MEDIAN,Associated
0.7771,NO
0.1369,NO
0.4887,NO
0.278,NO
0.3063,NO
0.3243,NO
0.5503,NO
0.4291,NO
0.5298,NO
1.9494,YES
0.266,NO
2.2954,YES
0.5202,NO
0.397,NO
0.4299,NO
0.3986,NO
1.2289,NO
0.7097,NO
0.3571,NO
0.5635,NO
0.3354,NO
1.8808,YES
2.5541,YES
2.562,YES
2.3422,YES
0.6841,NO
2.5877,YES
0.6076,NO
2.6203,YES
1.3530000000000002,YES
2.147,NO
1.1414,NO
1.0485,NO
1.5071,NO
1.6714,YES
2.4162,YES
1.5481,NO
0.3789,NO
1.5205,NO
0.5298,NO
0.7661,NO
0.8106,NO
0.8965,NO
2.5448,YES
1.3231,NO
1.7829,YES
1.2932,NO
2.8631,YES
1.1127,NO
0.4766,NO
0.9564,NO
1.3626,NO
1.0177,NO
1.492,NO
1.0807,NO
1.4577,NO
0.7655,NO
0.4936,NO
1.0659999999999998,NO
0.7924,NO
0.9485,NO
0.7415,NO
0.7306,NO
0.4292,NO
0.9391,NO
2.6312,YES
0.6922,NO
2.461,YES
0.8233,NO
0.5066,NO
0.6551,NO
0.3723,NO
1.599,NO
0.4858,NO
0.9623,NO
0.6277,NO
0.9199,NO
2.9029,YES
3.4592,YES
3.2001,YES
2.8186,YES
1.1327,NO
3.3817,YES
1.2586,NO
3.5043,YES
1.6717,YES
3.1774,NO
1.5062,NO
1.5918,NO
2.5914,NO
2.2312,YES
3.2058,YES
2.7439999999999998,NO
0.9219,NO
2.6863,NO
1.1222,NO
1.3015,NO
1.3397,NO
1.3706,NO
3.3094,YES
1.7629,NO
2.5363,YES
1.9679,NO
3.8843,YES
1.4293,NO
0.8239,NO
1.7795,NO
2.1196,NO
1.757,NO
2.7411,NO
1.8474,NO
2.3729,NO
0.5064,NO
0.5816,NO
2.1519999999999997,YES
4.8537,YES
3.8518,YES
2.2933,YES
0.2338,NO
0.314,NO
1.7521,YES
0.2824,NO
1.8809,YES
0.4439,NO
1.1349,NO
1.0193,NO
0.8003,NO
0.3845,NO
4.8513,YES
0.1672,NO
4.7477,YES
1.0836,NO
4.507,YES
0.6963,NO
1.3107,NO
1.2396,NO
1.1022,NO
2.0591,YES
1.3685,NO
1.7801,YES
0.7451,NO
0.415,NO
1.4214,NO
0.7718,NO
1.0459,NO
0.9794,NO
0.8313,NO
0.3693,NO
1.0061,NO
2.5185,YES
0.9082,NO
2.4402,YES
0.6579,NO
0.4535,NO
0.3445,NO
0.4319,NO
1.429,NO
0.4345,NO
0.8434,NO
0.7769,NO
0.8569,NO
2.6832,YES
3.5338,YES
3.2607,YES
2.6997,YES
1.2507,NO
3.4516,YES
1.2096,NO
0.7687,NO
0.5927,NO
1.5714,YES
4.5923,YES
3.5417,YES
1.7981,YES
0.2717,NO
0.5364,NO
1.4982,YES
1.1317,NO
1.5128,YES
1.5213,NO
1.151,NO
1.0008,NO
0.9129999999999999,NO
0.4144,NO
4.9042,YES
0.3709,NO
4.3657,YES
1.0391,NO
4.1466,YES
1.3339,NO
2.2037,NO
1.7397,NO
2.0557,NO
1.6673,YES
1.9666,NO
1.8045,YES
0.8259,NO
0.5631,NO
2.0534,NO
0.6548,NO
0.9235,NO
1.544,NO
0.779,NO
0.6347,NO
1.4693,NO
1.568,YES
1.7675,NO
1.686,YES
0.4873,NO
0.2036,NO
0.344,NO
0.6445,NO
1.2553,NO
0.4946,NO
1.0078,NO
0.8395,NO
0.9743,NO
1.8243,YES
2.4918,YES
2.5611,YES
2.1654,YES
1.7345,NO
2.6757,YES
1.7973,NO
0.9129999999999999,NO
0.5012,NO
2.3788,NO
0.4184,NO
