50Traced_NONETRACED_SUM_MULTI_VSM_79_MAX,Associated
0.1568,NO
0.2318,NO
0.7133,NO
1.29,NO
0.2357,NO
0.9851,NO
0.9761,NO
0.3983,NO
1.429,NO
3.4595,YES
0.5664,NO
2.5917,YES
0.4249,NO
0.8999,NO
0.5641,NO
0.6411,NO
1.1182,NO
0.3435,NO
0.4939,NO
0.4673,NO
0.597,NO
3.4014,YES
2.6516,YES
2.3096,YES
2.673,YES
1.0377,NO
2.6246,YES
1.1540000000000001,NO
1.8349,YES
1.2125,YES
1.2809,NO
1.5017,NO
0.7977,NO
1.242,NO
1.9189,YES
1.4869,YES
1.5577,NO
0.9671,NO
0.8586,NO
0.8246,NO
1.1914,NO
1.3752,NO
0.8209,NO
2.1653,YES
1.1526,NO
2.2844,YES
1.1617,NO
2.0212,YES
0.7392,NO
0.6414,NO
0.8892,NO
0.8346,NO
0.6801,NO
0.9551,NO
0.9185,NO
0.8675,NO
0.6781,NO
0.3559,NO
1.1449,NO
1.4399,NO
0.6526,NO
1.3148,NO
1.1841,NO
0.5971,NO
1.6133,NO
3.3568,YES
0.5589,NO
2.1824,YES
0.6381,NO
1.3861,NO
0.4837,NO
0.5239,NO
1.5105,NO
0.4869,NO
0.9862,NO
0.4066,NO
0.7707,NO
3.3311,YES
3.0429,YES
2.6395,YES
2.6951,YES
1.3579,NO
2.4115,YES
0.9558,NO
2.3476,YES
1.1256,YES
1.1927,NO
1.104,NO
0.6009,NO
1.1806,NO
1.7966,YES
2.1554,YES
1.1688,NO
0.722,NO
0.9541,NO
0.6835,NO
0.9055,NO
0.8251,NO
0.2184,NO
2.2633,YES
1.0643,NO
2.9072,YES
1.0952,NO
2.7249,YES
0.4161,NO
0.6212,NO
0.6722,NO
0.8674,NO
0.5694,NO
1.1744,NO
1.0819,NO
0.5478,NO
1.2905,NO
0.39899999999999997,NO
2.0638,YES
3.6604,YES
2.65,YES
2.1042,YES
1.4802,NO
0.7713,NO
2.7305,YES
1.3032,NO
1.7766,YES
1.0019,NO
1.6134,NO
1.8481,NO
1.0525,NO
0.8934,NO
2.8087,YES
0.9228,NO
3.7991,YES
0.5868,NO
3.3149,YES
0.9327,NO
1.41,NO
1.7994,NO
0.9986,NO
2.0239,YES
1.1554,NO
1.9825,YES
0.6066,NO
0.2888,NO
0.4977,NO
1.0086,NO
0.1977,NO
0.6728,NO
0.998,NO
0.6702,NO
1.0006,NO
3.3566,YES
0.1746,NO
2.2487,YES
0.1987,NO
0.7749,NO
0.1761,NO
0.47600000000000003,NO
1.1387,NO
0.6576,NO
0.2216,NO
0.5852,NO
0.4352,NO
3.5344,YES
2.8611,YES
2.5121,YES
2.81,YES
0.884,NO
2.4994,YES
0.5874,NO
0.9628,NO
0.4468,NO
1.8313,YES
3.5049,YES
2.3883,YES
1.7885,YES
1.5922,NO
0.5802,NO
2.2624,YES
1.4415,NO
1.2433,YES
1.0062,NO
0.8813,NO
0.9976,NO
0.3557,NO
0.8668,NO
2.9765,YES
1.0902,NO
3.5249,YES
0.5667,NO
3.1084,YES
1.43,NO
1.7269999999999999,NO
2.452,NO
1.2711,NO
1.6017,YES
1.3478,NO
1.399,YES
0.6249,NO
0.5841,NO
1.4718,NO
1.0968,NO
0.419,NO
1.5495,NO
1.294,NO
0.4827,NO
2.0394,NO
3.3797,YES
0.6773,NO
2.6895,YES
0.3917,NO
0.8405,NO
0.315,NO
0.7119,NO
1.3653,NO
0.8059,NO
0.8619,NO
0.5395,NO
0.5721,NO
3.5810000000000004,YES
2.7844,YES
2.9606,YES
3.235,YES
1.4366,NO
3.3112,YES
1.295,NO
0.6049,NO
0.3771,NO
1.8497,NO
1.4823,NO
0.5992,NO
2.2435,NO
1.2708,NO
0.5744,NO
2.6543,NO
3.3097,YES
1.5578,NO
2.4059,YES
0.5467,NO
1.0248,NO
0.3206,NO
0.6373,NO
1.76,NO
0.7211,NO
1.2756,NO
0.3729,NO
1.1602,NO
3.4664,YES
2.9094,YES
3.1919,YES
2.9133,YES
2.0333,NO
2.9012,YES
1.9549,NO
0.9251,NO
0.6705,NO
1.725,NO
1.9737,NO
0.6233,NO
2.1329,NO
1.8121,NO
0.8201,NO
2.5105,NO
3.8431,YES
1.1877,NO
2.7205,YES
1.1419,NO
1.7592,NO
0.9919,NO
0.9981,NO
1.8466,NO
1.1153,NO
1.3782,NO
1.0959999999999999,NO
0.9741,NO
3.7628,YES
3.217,YES
3.0837,YES
3.1366,YES
2.1109,NO
2.9939,YES
1.4040000000000001,NO
0.3743,NO
0.3263,NO
1.2896,NO
1.797,NO
0.7033,NO
1.4811,NO
1.4396,NO
0.4712,NO
2.0312,NO
3.9599,YES
0.7237,NO
2.8994,YES
0.5601,NO
1.2476,NO
0.623,NO
0.6549,NO
1.7202,NO
0.6259,NO
1.0908,NO
0.4591,NO
0.8382,NO
4.1304,YES
3.5208,YES
3.3352,YES
3.4704,YES
1.4436,NO
3.1693,YES
1.2714,NO
1.111,NO
0.6309,NO
5.0556,YES
1.8534,YES
1.5329,YES
5.3179,YES
1.1728,NO
0.4213,NO
5.4851,YES
1.7853,NO
4.5358,YES
1.6485,NO
1.6007,NO
1.8442,NO
0.9334,NO
0.8735,NO
1.9349,YES
0.684,NO
3.0992,YES
0.6463,NO
1.6836,YES
1.6198,NO
1.985,NO
2.9826,NO
1.4035,NO
4.4283,YES
2.5864,NO
4.2892,YES
0.5704,NO
0.3722,NO
2.4819999999999998,YES
1.4198,NO
1.0899,NO
2.6692,YES
0.5224,NO
0.4216,NO
2.6611,YES
0.8964,NO
2.71,YES
0.7352,NO
0.9229999999999999,NO
0.9586,NO
0.2648,NO
0.5591,NO
1.148,NO
0.5852,NO
2.0029,NO
0.3731,NO
1.7530000000000001,NO
0.8327,NO
0.8468,NO
1.4383,NO
0.5759,NO
2.2733,YES
0.4899,NO
2.2547,YES
1.1558,NO
0.6117,NO
3.2527,YES
4.5745,YES
3.1146,YES
3.205,YES
1.6916,NO
0.4717,NO
3.6945,YES
2.2583,NO
2.7848,YES
1.5802,NO
1.409,NO
1.7588,NO
0.5541,NO
0.9676,NO
3.805,YES
0.9727,NO
4.8833,YES
0.7317,NO
3.4983,YES
2.2595,NO
2.9517,NO
3.7249,NO
1.8524,NO
3.284,YES
2.2537,NO
2.4651,YES
0.6715,NO
0.1646,NO
2.4917,YES
1.1475,NO
0.997,NO
2.6457,YES
0.4853,NO
0.2644,NO
3.0295,YES
0.3748,NO
2.0437,YES
0.4055,NO
1.1106,NO
0.9862,NO
0.7275,NO
0.1775,NO
0.8398,NO
0.2055,NO
1.8791,NO
0.0902,NO
1.1124,NO
0.4979,NO
0.423,NO
1.4555,NO
0.3953,NO
2.4818,YES
1.5738,NO
2.3261,YES
0.595,NO
0.1581,NO
1.3085,YES
2.1639,YES
1.7068,YES
1.4756,YES
0.7945,NO
0.2837,NO
1.5903,YES
0.5389,NO
0.7768,YES
0.5308,NO
0.8101,NO
0.5782,NO
0.5615,NO
0.4386,NO
1.7806,YES
0.4561,NO
2.5641,YES
0.2373,NO
1.9924,YES
0.2987,NO
0.4844,NO
1.0802,NO
0.627,NO
1.1248,YES
0.8484,NO
0.8795,YES
1.7062,YES
1.1569,YES
1.2506,NO
0.8605,NO
0.4022,NO
0.9997,NO
1.7849,YES
1.4665,YES
1.3513,NO
0.9265,NO
0.9249,NO
0.6920000000000001,NO
0.9064,NO
1.4045,NO
0.5287,NO
1.79,YES
0.8292,NO
2.2544,YES
0.5951,NO
2.1577,YES
0.4801,NO
0.7361,NO
0.9212,NO
0.7829999999999999,NO
0.5213,NO
0.8916,NO
1.0009,NO
1.1234,NO
1.2324,NO
0.4941,NO
5.2334,YES
1.4309,YES
1.4602,YES
5.6671,YES
0.7811,NO
0.49200000000000005,NO
5.614,YES
1.1354,NO
4.9264,YES
0.9507,NO
2.1856,NO
2.4616,NO
1.4202,NO
0.7465,NO
1.3295,YES
0.5193,NO
2.8846,YES
0.5621,NO
1.5029,YES
0.8176,NO
1.246,NO
2.234,NO
0.6003,NO
4.7297,YES
1.7309999999999999,NO
4.5746,YES
1.5430000000000001,NO
0.6188,NO
5.7141,YES
1.7709,YES
1.3356,YES
6.0874,YES
1.3936,NO
1.145,NO
6.0175,YES
2.7209,NO
4.9328,YES
2.1767,NO
1.9323,NO
2.2337,NO
0.8984,NO
1.3363,NO
1.8443,YES
1.3168,NO
2.9765,YES
1.2433,NO
1.527,YES
2.678,NO
2.4930000000000003,NO
3.4982,NO
2.0317,NO
5.1851,YES
3.6151,NO
4.9724,YES
1.1732,NO
0.4162,NO
4.6044,YES
0.8147,YES
0.9568,YES
4.7993,YES
0.4532,NO
0.5053,NO
4.7208,YES
1.2871,NO
4.1789,YES
0.8741,NO
1.2087,NO
1.7762,NO
0.6397,NO
0.5332,NO
1.0491,YES
0.4448,NO
2.0071,YES
0.2701,NO
1.3339,YES
1.1721,NO
1.4554,NO
2.1885,NO
0.8773,NO
3.8414,YES
1.7321,NO
4.1354,YES
1.128,NO
0.4414,NO
